pop1 ecotype1 pop2 ecotype2 geography ecology intercept recomb_rate gene_count ds group
al marine cl marine allo S -4.674439594369 -0.0021281969214497 -0.232968653137015 -0.332990401679739 allo_S
al marine cl white allo D -4.55651776019921 -0.230078453707414 -0.240123818416294 -0.102955505762757 allo_D
al marine cp marine para S -7.20303078870278 -0.0826122782807477 0.115019186711342 0.687257476327846 para_S
al marine ln marine allo S -4.47366473176341 0.012251209963297 -0.0218313835662379 -1.68709371179209 allo_S
al marine mh marine allo S -5.01032300349863 0.00262352723083976 -0.260595081074379 -0.247038734418863 allo_S
al marine mh white allo D -4.914788075731 -0.108214902021182 -0.138330419131778 0.412823958297761 allo_D
al marine sk marine allo S -6.50661873551799 -0.0391940351760709 0.0482287304009931 0.643728736152386 allo_S
al marine sr marine allo S -5.1947012413719 0.026738603740976 -0.406590242895911 0.297556842108332 allo_S
al marine sr white allo D -4.53347075600912 -0.31085978903094 -0.248714998227968 -0.0932441284232066 allo_D
bea lake al marine allo D -4.51962719033689 0.00344031648468016 0.0182697934549544 0.0738137989100743 allo_D
bea lake boot lake allo S -5.22785099817591 0.0146087244532229 -0.0503580400201813 0.552782523837289 allo_S
bea lake boot stream allo D -3.05121586945601 0.0134938044537036 -0.103137778548917 -1.4684858983798 allo_D
bea lake cl marine allo D -5.66428430597635 0.021065056871422 -0.061011225731973 1.4998574274667 allo_D
bea lake cl white allo D -4.28965070762733 0.00641050676289893 0.061083700520059 -0.46412122554219 allo_D
bea lake constance lake allo S -3.96238310475679 -0.0951484920124029 -0.178610175821549 -0.0911426340093171 allo_S
bea lake constance stream allo D -4.71036935466953 0.00817390343792863 -0.136622039057584 0.288247678268616 allo_D
bea lake cp marine allo D -4.70228285006383 -0.0573258856499229 -0.102281676841184 0.761296063236503 allo_D
bea lake denmark marine allo D -5.26837000707802 -0.207324405918866 0.0579324211184836 0.950914379741832 allo_D
bea lake geneva lake allo S -4.53939485696485 0.0159846314939759 -0.162422539709132 -0.0754186387080916 allo_S
bea lake geneva stream allo D -4.1633361726554 0.0207732930334892 -0.198715006988232 -0.381760673506527 allo_D
bea lake japan japansea allo D -4.26325871269695 -0.0882449137191776 -0.12261495473659 0.0525845995421048 allo_D
bea lake japan marine allo D -2.5194659748796 -0.735515746361666 -0.0803207900158621 -0.407889020834497 allo_D
bea lake joes lake allo S -4.27610463976267 0.00971139689563778 -0.160043373575022 -0.0673708412678919 allo_S
bea lake joes stream allo D -4.33971716492502 0.00338955971175218 -0.153022286415761 0.160635501092186 allo_D
bea lake litcampbell marine allo D -5.72279360340168 -0.0693653534008168 -0.160902739040832 1.64591876964875 allo_D
bea lake ln marine allo D -4.45803763019687 -0.146186237308011 0.0174890755187647 0.556032766111001 allo_D
bea lake mh marine allo D -3.39860294616992 0.0212685980078249 -0.0645022841611812 -0.778230376247091 allo_D
bea lake mh white allo D -4.72715606193411 0.0290812828593657 -0.00547482709942412 0.345838270343492 allo_D
bea lake misty lake allo S -5.13080944170718 -0.0997761816186243 -0.0227222348897786 0.889473035091545 allo_S
bea lake misty stream allo D -4.43784745565672 0.000279791925429501 -0.095712893506612 0.231553687240956 allo_D
bea lake mud lake allo S -5.04686720643072 -0.218706946350973 0.0790559516155789 0.144709030509308 allo_S
bea lake rab marine allo D -2.72569948641352 -0.699155613131506 0.0157529333074362 -0.462090379138694 allo_D
bea lake res marine allo D -2.82761990522626 -0.515307692175182 0.00902022428642038 -0.315913748502477 allo_D
bea lake roberts lake allo S -4.81899729693921 0.0112130481935504 -0.132077156862259 0.563132691282827 allo_S
bea lake roberts stream allo D -4.50116427704316 0.00991057526850971 -0.122590118111807 0.266831575284728 allo_D
bea lake sk marine allo D -4.43489402193517 0.0172828861068639 0.011099545177737 -0.0648320919916909 allo_D
bea lake sr marine allo D -4.71389185496281 0.00490616815871764 0.00408881890753817 0.485403341875237 allo_D
bea lake sr white allo D -5.6544161345503 0.00831374811445827 0.0214276411929468 1.16580055713506 allo_D
boot lake al marine allo D -4.51890644575916 0.0250275299719973 -0.127803504073505 0.666368208674316 allo_D
boot lake boot stream para D -2.36733367186281 -0.930951810447031 -0.0746702935552296 -0.40141213095389 para_D
boot lake cl marine allo D -4.32737555147896 0.0306969649596341 -0.0786093009333921 0.23747252988231 allo_D
boot lake cl white allo D -5.20354397284157 0.0189375100717819 -0.00115325850720849 0.981181677003396 allo_D
boot lake constance lake allo S -6.18281835726085 -0.336603049475076 -0.0343254386647412 1.5575149666979 allo_S
boot lake constance stream allo D -5.95510398086853 -0.360821442397566 -0.0131844987222309 1.41736557283272 allo_D
boot lake cp marine allo D -0.962147596798652 -0.186185543720557 -0.084907758083451 -2.98564708212271 allo_D
boot lake geneva lake allo S -6.24811794956807 -0.479754089018621 0.0236742662117456 1.41003603546969 allo_S
boot lake geneva stream allo D -6.17699424512131 -0.19627954033445 -0.0778036459562187 1.3571108711815 allo_D
boot lake joes lake allo S -2.71582448573391 -1.73810294933952 0.209459868892313 -2.70807159432267 allo_S
boot lake joes stream allo D -3.90654140406228 -1.13426859291164 0.164848516356211 -1.26424821895322 allo_D
boot lake ln marine allo D -1.8715672704337 -0.139083498241614 -0.0869430725916127 -1.78234110231345 allo_D
boot lake mh marine allo D -6.02330836629481 0.0182251930891785 -0.056017284721052 2.00733418784614 allo_D
boot lake mh white allo D -3.67942630355888 0.0319689068641619 -0.127447143290147 -0.521862384360165 allo_D
boot lake misty lake allo S -3.19959877801768 -1.42979473882327 0.057162399954632 -0.246288560920748 allo_S
boot lake misty stream allo D -3.29988187745131 -0.938405853830068 0.0258446576064009 -0.16231627282557 allo_D
boot lake roberts lake allo S -4.21990749339341 -0.34062147606393 0.00663239542349633 0.103976419173085 allo_S
boot lake roberts stream allo D -4.16521202376502 -1.00589799368852 0.0602123844092105 0.369883982993595 allo_D
boot lake sk marine allo D -3.64467296988349 0.0221333071454911 -0.0869389645413909 -0.615828423589895 allo_D
boot lake sr marine allo D -4.58421486312412 0.022876187277183 -0.0832703603082219 0.648316035033911 allo_D
boot lake sr white allo D -4.46206943470739 0.0133253421176705 -0.050196433512407 0.584355509533317 allo_D
boot stream al marine allo D -2.19534190950847 -0.505672368814433 0.0331872364865823 -1.34182838777802 allo_D
boot stream cl marine allo D -3.91296464553744 0.0084666149735008 0.0594834212908391 -0.470601804014814 allo_D
boot stream cl white allo D -2.7413749242389 -0.162123371546148 0.0665566796650639 -1.40459321777804 allo_D
boot stream constance lake allo D -3.85812438043397 -0.319782351260572 -0.0633230756394593 -0.876196525990856 allo_D
boot stream constance stream allo S -4.3717564645912 -0.281527460109935 -0.12539368745511 -0.197630743923363 allo_S
boot stream cp marine allo D -2.29056763438743 -0.220734901484042 -0.0045774278078917 -1.52114515214529 allo_D
boot stream geneva lake allo D -2.89792265237737 -0.303045444931803 -0.161014674086214 -2.22582837665651 allo_D
boot stream geneva stream allo S -3.49165131666369 -0.00629699613188642 -0.441992744520203 -1.31713551522285 allo_S
boot stream joes lake allo D -2.68788398987907 -0.149280798873749 -0.108643683529288 -2.47989819180257 allo_D
boot stream joes stream allo S -2.96741804539524 -0.0175775512221809 -0.0241891528398381 -3.42165502824475 allo_S
boot stream ln marine allo D -2.98356319548069 -0.21060995646425 0.00577761633148386 -0.701140184265313 allo_D
boot stream mh marine allo D -2.60797911961925 0.0081650302786547 -0.0139300934241864 -1.61117552691304 allo_D
boot stream mh white allo D -2.91342436471492 0.0181085438059062 -0.0190996838574855 -1.38470213883815 allo_D
boot stream misty lake allo D -4.52476870033284 -0.323073660964176 0.0462539859061793 0.284414777446258 allo_D
boot stream misty stream allo S -3.39413304452718 -0.596732188154354 0.0180337705164412 -0.571278048546024 allo_S
boot stream roberts lake allo D -4.33146835643584 -0.236906043604985 -0.0355866987440415 0.252908410633108 allo_D
boot stream roberts stream allo S -4.8612443389726 -0.571659722029264 -0.0151845334600711 1.038174974374 allo_S
boot stream sk marine allo D -2.7164593250561 0.0481498553095708 -0.0973801740796112 -1.40919889327646 allo_D
boot stream sr marine allo D -2.28709786603055 -0.438582958997417 -0.0193568085951332 -0.807260726391494 allo_D
boot stream sr white allo D -2.78215578805088 -0.188891070362156 0.0552276302691261 -1.21582257129223 allo_D
cl marine cl white para D -5.45964982976181 -0.0128767191220591 -0.017319981412388 -0.261817936896027 para_D
