pop1 ecotype1 pop2 ecotype2 geography ecology intercept recomb_rate gene_count ds recomb_rate.gene_count recomb_rate.ds gene_count.ds recomb_rate.gene_count.ds group
al marine cl marine allo S -4.00080630492392 -0.160130843821511 -0.385105159744785 -2.78734114311325 0.0421273402835376 0.564762656428894 0.37398684082382 -0.141522819344194 allo_S
al marine cl white allo D -4.94365328511816 -0.393098692726117 -0.460595404726848 1.09749409477433 0.0401401010923016 0.0876214078556151 0.628857929759179 -0.0502368332321442 allo_D
al marine cp marine para S -3.33485660130557 -0.416525049578897 -0.40531946878313 -12.4629156893909 0.0605357910845919 1.24974490800202 1.94830846662656 -0.228771399259112 para_S
al marine ln marine allo S -8.61059451642601 0.458203667477423 0.460095645194327 7.85878599939494 -0.0408501843464865 -1.3083383274569 -1.29677065074894 0.0545312064260738 allo_S
al marine mh marine allo S -6.25819064357469 -0.0102330732272756 0.345326522574668 3.26920329506875 -0.000610568025875261 0.0950494347012726 -2.07488306681254 -0.0102782628761062 allo_S
al marine mh white allo D -4.70126067093042 -0.089873398507812 0.137443553214995 -0.647118996457067 -0.0491993375026244 0.565223341718331 -0.394179843813369 -0.148377972661453 allo_D
al marine sk marine allo S -7.73274702928855 0.223102857758658 0.257577831424928 5.41190078178991 -0.0143049591295195 -0.881374463717094 -0.61179938486142 0.0519888125247103 allo_S
al marine sr marine allo S -4.93172462025173 0.255999703095538 -0.841448810322111 0.406453114153447 0.00777444723463933 -0.672901133455844 0.77425384470554 0.0198928732078139 allo_S
al marine sr white allo D -5.6484412727369 -0.114873680282786 0.0782908192898711 3.02154618755225 -0.0762852049848406 -0.730938980158118 -0.920468129494117 0.244142625136589 allo_D
bea lake al marine allo D -5.34432572617404 -0.0952585258490187 0.365166400255234 3.46236622165227 -0.00103301800809423 0.0371745391639405 -0.99573365105092 -0.0400991392753395 allo_D
bea lake boot lake allo S -3.93999191687095 -0.0850696399395999 -0.127061620807106 -3.31684821667108 0.00503589686900312 0.456862338336867 0.399933836414642 -0.04872199188296 allo_S
bea lake boot stream allo D -3.78963755356108 0.0804828118504449 -0.0364090551111739 -2.1162180548233 -0.0730497442129762 -0.043171390889437 -0.0295046672081698 0.124908476194125 allo_D
bea lake cl marine allo D -5.35639074027708 -0.00291407770089181 0.357163848902358 4.15200065122113 -0.0103338844358765 -0.10202998406164 -1.31001536928287 0.016295810125367 allo_D
bea lake cl white allo D -6.38076205008147 0.0185471922454085 0.444507301680228 5.15137435052062 -0.0011807292778052 -0.144047517425302 -1.05850586826653 -0.0525005908163908 allo_D
bea lake constance lake allo S -4.88402235651834 -0.0562399192175503 0.333146177526368 2.21275035431904 -0.0363108313987902 -0.0427388723428117 -1.59477537366214 0.106038516796596 allo_S
bea lake constance stream allo D -3.38906663053182 -0.022629677109342 -0.341742009258955 -4.21561339310306 -0.0139697964156968 0.269043221236147 0.944417901638063 -0.0489475547539054 allo_D
