pop1 ecotype1 pop2 ecotype2 geography ecology intercept recomb_rate ds gene_count group reg1 reg2 geography2 group2
al marine cl marine allo S -4.0534905608902 0.0170514942859024 -0.694022253797028 -0.351997466545417 allo_S ns ns para para_S
al marine cl white allo D -4.67541858400808 -0.371247409104451 -0.069380567672809 -0.156331558764343 allo_D ns ns para para_D
al marine cp marine para S -8.30540882076254 -0.056297818157844 0.750750552610167 0.228194533108396 para_S ns ns para para_S
al marine ln marine allo S -4.93495574163928 0.0223804917662993 -1.89709231016417 0.0739675878484499 allo_S ns ns para para_S
al marine mh marine allo S -4.51185981988516 0.0137013942712424 -0.591108120879212 -0.38799826126293 allo_S ns ns para para_S
al marine mh white allo D -4.74823210412099 -0.137289836881663 0.593405742183134 -0.24350688912169 allo_D ns ns para para_D
al marine sk marine allo S -6.71400572058983 -0.0265005161694118 1.04809553099293 0.0312208231313295 allo_S ns ns para para_S
al marine sr marine allo S -5.788216962766 0.0358353795070759 0.610456374814153 -0.282528753426006 allo_S ns ns para para_S
al marine sr white allo D -4.95989029585896 -0.230999885215266 -0.370608378450292 -0.0801479922300398 allo_D ns ns para para_D
bea lake al marine allo D -2.85249940625889 -0.0994194621057892 -1.00478002823989 -0.0179137157256997 allo_D al ns allo allo_D
bea lake boot lake allo S -5.31864542573393 -0.0487044376269082 0.808434545297644 -0.0579781009364654 allo_S al bc allo allo_S
bea lake boot stream allo D -3.30775194718141 0.019841606565617 -1.66905670555738 -0.0572459244514202 allo_D al bc allo allo_D
bea lake cl marine allo D -4.4557266421031 0.0448375676689166 0.945883903514338 -0.121250757728956 allo_D al ns allo allo_D
bea lake cl white allo D -2.98368629219987 -0.0463769482819084 -0.961713910309054 0.00885326194592991 allo_D al ns allo allo_D
bea lake constance lake allo S -2.72180860369767 -0.0264666596634725 -1.01537093884778 -0.410757547851554 allo_S al sl allo allo_S
bea lake constance stream allo D -4.10327641414815 0.0249846982834092 -0.316511959447246 -0.21027353627026 allo_D al sl allo allo_D
bea lake cp marine allo D -4.82931506555438 0.0628332217892126 0.193510626213374 -0.151445585038465 allo_D al ns allo allo_D
bea lake denmark marine allo D -4.14027994927718 -0.24337489951234 -0.0945473966345521 0.0384529182807297 allo_D al ne allo allo_D
bea lake geneva lake allo S -4.14853675467913 0.0228733558018706 -0.739451821806531 -0.139477671263866 allo_S al sl allo allo_S
bea lake geneva stream allo D -3.70035312220306 0.0314968004702337 -1.02853772167273 -0.179571436466652 allo_D al sl allo allo_D
bea lake japan japansea allo D -3.9477679067339 -0.105819803371495 0.0618004622737402 -0.179099012943887 allo_D al jp allo allo_D
bea lake japan marine allo D -2.21777637528533 -0.405858637773171 -0.963035286640627 -0.126745555855131 allo_D al jp allo allo_D
bea lake joes lake allo S -3.10871923229027 0.0155030176638273 -1.34144570452088 -0.251365632059872 allo_S al bc allo allo_S
bea lake joes stream allo D -4.31438395863611 0.0163364111621193 0.141273035663565 -0.246686861369061 allo_D al bc allo allo_D
bea lake litcampbell marine allo D -2.48034821231787 -0.0940386398579197 0.34330171884759 -0.415405006914232 allo_D al bc allo allo_D
bea lake ln marine allo D -2.49298200348692 -0.0921662548245688 -1.04001377355808 -0.125557060887843 allo_D al ns allo allo_D
bea lake mh marine allo D -2.49507606317936 0.0302112850664429 -1.23371958441445 -0.0773449453032076 allo_D al ns allo allo_D
bea lake mh white allo D -2.21146083551907 0.0136029252686852 -1.29263803656544 -0.0550417237056983 allo_D al ns allo allo_D
