pop1 ecotype1 pop2 ecotype2 geography ecology intercept recomb_rate ds gene_count group reg1 reg2 geography2 group2
al marine cl marine allo S -2.95667191987727 -0.0623949925594031 0.187362326059604 -0.016702821812943 allo_S ns ns para para_S
al marine cl white allo D -1.78810046786541 -0.160844133410808 -0.747783311864334 -0.0519305307521078 allo_D ns ns para para_D
al marine cp marine para S -3.20265796932088 -0.0493480227281059 0.523304653723437 0.00207182065339204 para_S ns ns para para_S
al marine ln marine allo S -2.58325001260663 -0.0762432783913748 -0.420341977934689 0.0427253087621934 allo_S ns ns para para_S
al marine mh marine allo S -2.05743060005259 -0.0793547633137926 -0.468692035811689 -0.069388058762243 allo_S ns ns para para_S
al marine mh white allo D -2.18161674967388 -0.108297395428007 -0.182125218081348 -0.106452172282159 allo_D ns ns para para_D
al marine sk marine allo S -3.03164935125849 -0.102272881269277 0.292392229063993 0.00474725226218314 allo_S ns ns para para_S
al marine sr marine allo S -2.45506412259292 -0.0739413119642128 -0.337711087950208 -0.00770618367093254 allo_S ns ns para para_S
al marine sr white allo D -1.74220281433903 -0.203831492633129 -0.526977528747738 -0.0839172630906728 allo_D ns ns para para_D
bea lake al marine allo D -2.10430478529537 -0.0299081721195145 -0.684991574686297 0.069651501049306 allo_D al ns allo allo_D
bea lake boot lake allo S -2.66535690869191 -0.0392314860576826 -0.417291052238987 0.0424861326847914 allo_S al bc allo allo_S
bea lake boot stream allo D -2.66227966840585 -0.0793908192370801 -0.0547432964818775 0.010235698796766 allo_D al bc allo allo_D
bea lake cl marine allo D -3.03676697485873 0.011796951575897 0.432012521619096 0.0391538361574595 allo_D al ns allo allo_D
bea lake cl white allo D -2.06546895161031 -0.0141670998876371 -1.01606954076788 0.118048524108173 allo_D al ns allo allo_D
bea lake constance lake allo S -2.38206594936825 -0.0712250825987294 -0.0665962264397735 -0.0489569097342421 allo_S al sl allo allo_S
bea lake constance stream allo D -2.93431083204957 -0.0388550241892817 0.234097018172231 -0.0106669412971604 allo_D al sl allo allo_D
bea lake cp marine allo D -1.93731548507325 -0.147254063808524 -0.190217981682636 0.0122630492468776 allo_D al ns allo allo_D
bea lake denmark marine allo D -3.09252201808976 -0.0102866920860199 0.630373485740276 -0.00783465884556335 allo_D al ne allo allo_D
bea lake geneva lake allo S -1.92484905194102 -0.0426252772679622 -0.846459284647596 -0.0132176409623603 allo_S al sl allo allo_S
bea lake geneva stream allo D -2.30081940125494 -0.0558313893085104 -0.486388250252066 -0.0029399304536875 allo_D al sl allo allo_D
bea lake japan japansea allo D -0.84369038556452 -0.101377005251598 -0.449757645057483 -0.115162201946439 allo_D al jp allo allo_D
bea lake japan marine allo D -1.73371594450779 -0.339146516452844 -0.316577132508202 -0.00652372481318869 allo_D al jp allo allo_D
bea lake joes lake allo S -3.36307594183121 0.0126801148907908 0.227081461179785 0.0283114429766837 allo_S al bc allo allo_S
bea lake joes stream allo D -3.20887499053315 0.011124138622576 0.0289220861361877 0.0308924526894361 allo_D al bc allo allo_D
bea lake litcampbell marine allo D -2.56478846118919 -0.0709838506821808 0.59902536174795 -0.135343959953045 allo_D al bc allo allo_D
bea lake ln marine allo D -2.31110443326511 -0.114686143993612 0.132800472686596 0.05027350539754 allo_D al ns allo allo_D
bea lake mh marine allo D -1.99118684871191 0.0271410037465846 -0.415522896453268 -0.0326843531991616 allo_D al ns allo allo_D
bea lake mh white allo D -1.72399099495172 0.0536405262041168 -1.30368947628548 0.0465443119778463 allo_D al ns allo allo_D
bea lake misty lake allo S -3.25177423105492 -0.0273766751304765 0.203074301232805 0.0476487151103054 allo_S al bc allo allo_S
bea lake misty stream allo D -2.92102235859306 -0.00623541269063866 -0.0746266667330962 0.0167755562689303 allo_D al bc allo allo_D
bea lake mud lake allo S -2.771667744922 -0.10832457549693 0.0900082310664566 0.0188972096507029 allo_S al al para para_S
bea lake rab marine allo D -1.05303393294419 -0.647417798186721 -0.742496029860731 0.0459886731834258 allo_D al al para para_D
bea lake res marine allo D -1.31301831584479 -0.651356532203363 -0.404208363488159 0.0255294575865559 allo_D al al para para_D
bea lake roberts lake allo S -3.38573482971086 -0.0078907881773463 0.469940082298399 -0.00738796065750921 allo_S al bc allo allo_S
bea lake roberts stream allo D -2.76353061523185 -0.0164205427057824 -0.0556962678674728 -0.0143686315088568 allo_D al bc allo allo_D
bea lake sk marine allo D -2.09288973230823 0.0114774518291776 -0.774235725429085 0.0738588342407129 allo_D al ns allo allo_D
bea lake sr marine allo D -2.50601595103802 -0.00993891375167428 -0.182499569710526 0.0612769747477729 allo_D al ns allo allo_D
bea lake sr white allo D -3.20236839636595 -0.0162524430851522 0.442211198243398 0.0720567176854045 allo_D al ns allo allo_D
boot lake al marine allo D -2.13100791924072 0.0045882585486747 0.26614240355774 -0.0953652416503642 allo_D bc ns allo allo_D
boot lake boot stream para D -1.35478637677013 -0.549294115881601 -0.175857152560637 -0.079690536807245 para_D bc bc para para_D
