pop1 ecotype1 pop2 ecotype2 geography ecology intercept recomb_rate ds gene_count group reg1 reg2 geography2 group2
al marine cl marine allo S -4.37689748061157 -0.00134907427509294 -0.631706713681557 -0.245286799164448 allo_S ns ns para para_S
al marine cl white allo D -4.61705212088043 -0.279126134044934 -0.112649282357376 -0.188897879429629 allo_D ns ns para para_D
al marine cp marine para S -7.58586965359501 -0.112037364161405 1.0259169446334 0.138588322621898 para_S ns ns para para_S
al marine ln marine allo S -4.57645697389899 0.0114870186442436 -1.72301625210881 0.0119780325397371 allo_S ns ns para para_S
al marine mh marine allo S -5.48240698270782 -0.0041703138464399 0.279875475985088 -0.25678114440872 allo_S ns ns para para_S
al marine mh white allo D -4.77322129023482 -0.133499812362879 0.341313479966099 -0.145166859288011 allo_D ns ns para para_D
al marine sk marine allo S -6.81479742746375 -0.0567934571262736 0.955341126202739 0.0601964547266289 allo_S ns ns para para_S
al marine sr marine allo S -5.25168327498824 0.0370697876665766 0.578594872906115 -0.534922664230373 allo_S ns ns para para_S
al marine sr white allo D -4.68822103035158 -0.334172109172708 0.00716932092022698 -0.21283296524016 allo_D ns ns para para_D
bea lake al marine allo D -4.51777069042959 0.00264462846497413 0.0446229457496377 0.0249969691024486 allo_D al ns allo allo_D
bea lake boot lake allo S -5.31938322143354 0.0173124539177781 0.670919002039127 -0.0594259705538684 allo_S al bc allo allo_S
bea lake boot stream allo D -3.24387446220278 0.00637741438773663 -1.06509666724557 -0.140140524154361 allo_D al bc allo allo_D
bea lake cl marine allo D -5.38883739252613 0.0198654962686737 1.26849051339037 -0.0678769179293135 allo_D al ns allo allo_D
bea lake cl white allo D -4.40830605700523 0.00936372016007731 -0.405257691788931 0.0723727684845572 allo_D al ns allo allo_D
bea lake constance lake allo S -3.50040691032474 -0.0880060268069499 -0.396089179894285 -0.256479104537461 allo_S al sl allo allo_S
bea lake constance stream allo D -4.69214182064717 0.00351098163574629 0.30010563413883 -0.14022070097647 allo_D al sl allo allo_D
bea lake cp marine allo D -4.87388143875435 -0.0536046842047799 0.975351091285759 -0.116198326064614 allo_D al ns allo allo_D
bea lake denmark marine allo D -5.44027180745249 -0.131668671574402 1.02520235560026 0.0491655205258119 allo_D al ne allo allo_D
bea lake geneva lake allo S -4.39537242803618 0.0132129864954623 -0.234535432264189 -0.158206240221763 allo_S al sl allo allo_S
bea lake geneva stream allo D -4.15095558663881 0.0182621049871641 -0.447905680222517 -0.179461566564784 allo_D al sl allo allo_D
bea lake japan japansea allo D -4.32091794991208 -0.0853518247072106 0.161758923907222 -0.137480066400268 allo_D al jp allo allo_D
bea lake japan marine allo D -2.13045785564064 -0.523942852766862 -1.05966237574514 -0.0861179140492579 allo_D al jp allo allo_D
bea lake joes lake allo S -4.08965397353755 0.0102289623084582 -0.16526498348221 -0.199460388457455 allo_S al bc allo allo_S
bea lake joes stream allo D -4.17759606597893 -0.000496414238240645 0.151236395665425 -0.204684763484737 allo_D al bc allo allo_D
bea lake litcampbell marine allo D -5.60305893007705 -0.083074001776968 1.49449952164207 -0.133793194947042 allo_D al bc allo allo_D
bea lake ln marine allo D -4.58304480682025 -0.112182552683535 0.614804509765338 0.0165230102268022 allo_D al ns allo allo_D
bea lake mh marine allo D -3.29087966811828 0.0254235772227169 -0.847418187367026 -0.0813756908762402 allo_D al ns allo allo_D
bea lake mh white allo D -4.5094572603986 0.0371299729923896 0.00785557192840269 0.0050557242204782 allo_D al ns allo allo_D
bea lake misty lake allo S -5.25632674193006 -0.0399164889643649 0.891910628479326 -0.0295474720860404 allo_S al bc allo allo_S
bea lake misty stream allo D -4.33852749392471 -6.55694142268837e-05 0.158665181830674 -0.104001859264782 allo_D al bc allo allo_D
bea lake mud lake allo S -4.86196245058676 -0.179598217616839 -0.00989298406961128 0.0572341796499137 allo_S al al para para_S
bea lake rab marine allo D -2.80681287439682 -0.679549210583579 -0.378173043604171 0.0133741953954342 allo_D al al para para_D
bea lake res marine allo D -2.71996599905123 -0.452731609664104 -0.505703561365541 0.00721873427475412 allo_D al al para para_D
bea lake roberts lake allo S -4.86266383719525 0.0147346813168649 0.581715377810578 -0.1287779984708 allo_S al bc allo allo_S
bea lake roberts stream allo D -4.39172240833528 0.0099338498253979 0.320496907335532 -0.178351978134803 allo_D al bc allo allo_D
bea lake sk marine allo D -4.4169617277629 0.0185304858966364 -0.14070347828169 0.0217493391136931 allo_D al ns allo allo_D
bea lake sr marine allo D -4.58641893364297 0.00130482368868095 0.340028683976187 0.0104748893915508 allo_D al ns allo allo_D
bea lake sr white allo D -5.68683959010315 0.00449825892426181 1.17894144395764 0.0292452428940675 allo_D al ns allo allo_D
