pop1 ecotype1 reg1 pop2 ecotype2 reg2 geography geography2 ecology group group2 lg n.sites num.outliers nnd.mean.null nnd.sd.null nnd.mean.emp nnd.emp.percentile nnd.emp.zscore nnd.emp.pvalue disp.all disp.out
al marine ns cl white ns allo para D allo_D para_D 1 670 20 1.31867399713313 0.532889374763603 0.201294701539683 0.0063 -2.09683162868302 0.0360084826633807 1.05417210479647 1.53467967068858
al marine ns cl white ns allo para D allo_D para_D 2 577 8 4.53814438228165 1.73138004684805 3.72619356022486 0.337 -0.468961637587847 0.639097057186745 0.482703808241524 5.28297070992324
al marine ns cl white ns allo para D allo_D para_D 3 493 14 1.76190105582507 0.513750052822135 0.838249580447634 0.0327 -1.7978615677091 0.0721989477932101 0.380641811812507 3.37170387239045
al marine ns cl white ns allo para D allo_D para_D 4 852 25 1.48860035332031 0.411815445628033 0.922018189893992 0.0875 -1.37581571901039 0.168878693598192 1.01205429389828 8.60444364476074
al marine ns cl white ns allo para D allo_D para_D 5 375 13 1.28803901333361 0.465835030481931 0.948325133024901 0.2375 -0.729257909086941 0.465843914095205 1.58869174304806 5.70207915542193
al marine ns cl white ns allo para D allo_D para_D 6 508 10 2.68888598190027 1.01270931864441 2.99674518220488 0.6012 0.303995623064572 0.761131225748098 0.620704732334602 5.01048794570626
al marine ns cl white ns allo para D allo_D para_D 7 677 25 1.43611035430817 0.314612927927331 1.38125285155171 0.4306 -0.174365062230166 0.861578569984075 0.362538844949887 5.99315990418533
al marine ns cl white ns allo para D allo_D para_D 8 538 20 1.51257109761921 0.371190922097786 1.03970934123468 0.1017 -1.27390442016242 0.202697291718573 0.406855466520282 11.745312712979
al marine ns cl white ns allo para D allo_D para_D 9 638 20 1.00673104936699 0.789442075796023 1.98610824830461 0.7715 1.24059412205776 0.214755724452768 20.5231499694254 6.78907059056091
al marine ns cl white ns allo para D allo_D para_D 10 446 10 3.04081656218534 1.01351475250362 1.90657423440001 0.1486 -1.11911772866007 0.263089917457131 0.467457231290426 8.01457378325425
al marine ns cl white ns allo para D allo_D para_D 11 479 10 2.17198030257891 0.726487060592999 0.688569520757429 0.0137 -2.04189566791546 0.0411618815950031 0.339160071764432 10.062295172715
al marine ns cl white ns allo para D allo_D para_D 12 492 18 1.32610664764191 1.06531876796383 0.716486572905653 0.5872 -0.572241936468878 0.567158080205074 26.415534449179 26.5265014029356
al marine ns cl white ns allo para D allo_D para_D 13 566 10 3.35202073512247 1.21357400608689 5.70353304040547 0.9738 1.93767524146742 0.0526628563811011 1.18802596501154 5.46295489104689
al marine ns cl white ns allo para D allo_D para_D 14 466 13 1.85170071743743 0.598406168275586 3.05720823961326 0.9892 2.01453057485974 0.0439538581442287 0.385218098309137 3.11473409801066
al marine ns cl white ns allo para D allo_D para_D 15 485 4 6.51536087990217 3.21704548753256 3.07026286230987 0.1769 -1.07088881116029 0.284219427379411 1.4416281483512 0.721769942504519
