pop1 ecotype1 pop2 ecotype2 geography ecology lg n.sites num.outliers nnd.mean.null nnd.sd.null nnd.mean.emp nnd.emp.percentile nnd.emp.zscore nnd.emp.pvalue disp.all disp.out
hadsten lake japan japansea allo D 1 2226 1167 0.00913372051389997 0.000967003223215711 0.0124706603377838 0.9995 3.45080527527826 0.000558916670003572 0.477161128687153 0.588042811936415
hadsten lake japan japansea allo D 2 1852 1069 0.014952662597977 0.00131926383284284 0.019973568235147 0.9999 3.80583891726236 0.000141324343489983 0.326934979155714 0.431266773978031
hadsten lake japan japansea allo D 3 1453 755 0.016729022036636 0.00143645947524903 0.0159827687496877 0.3049 -0.519508764296255 0.603406002743108 0.235380105779519 0.40131599561904
hadsten lake japan japansea allo D 4 2648 1379 0.0119486031269634 0.000962496333518979 0.0112628371507462 0.2424 -0.71248684523287 0.476163354534967 0.604499580557784 0.679631411629761
hadsten lake japan japansea allo D 5 1088 530 0.0162537586398133 0.00167294875558154 0.0147236656641238 0.1858 -0.914608394659169 0.36039725013323 1.31523905594566 1.34976559940288
hadsten lake japan japansea allo D 6 1522 825 0.0141545734540811 0.00122794020412794 0.0164906362281069 0.9704 1.90242388527774 0.0571157608683738 0.313743746623355 0.402511277331555
hadsten lake japan japansea allo D 7 2140 1164 0.0142432581430786 0.00106781694181617 0.017666089350246 0.9985 3.20544755671861 0.00134852618108667 0.311681893983667 0.46106867878979
hadsten lake japan japansea allo D 8 1724 876 0.0165395234768799 0.0012997710517867 0.0209487703116055 0.9994 3.39232577049981 0.000693019905728097 0.273991688703562 0.339173293939684
hadsten lake japan japansea allo D 9 1663 835 0.00541774706243806 0.000860301351015599 0.00758479284339302 0.9916 2.51893801909845 0.0117709375012252 20.154858034677 20.2187957316618
hadsten lake japan japansea allo D 10 1419 746 0.0166128906639872 0.00157872179841989 0.0188689085502964 0.9223 1.42901547857715 0.152999784637634 0.373215456998677 0.46449647612276
hadsten lake japan japansea allo D 11 1533 822 0.0118025633092977 0.00113364988573857 0.0105325119261684 0.1325 -1.12032065552744 0.262577143022277 0.240976273181376 0.35778594298668
hadsten lake japan japansea allo D 12 1423 780 0.00539737609382953 0.000548714984009453 0.00579335957803094 0.7709 0.721656043193811 0.470505973691852 26.3627694904747 26.3917741793249
hadsten lake japan japansea allo D 13 1806 948 0.0145540891944893 0.00120820122688111 0.0150987104437426 0.6756 0.450770316348052 0.65215509726289 1.00689105878491 1.21929169640839
hadsten lake japan japansea allo D 14 1376 715 0.0164461956664269 0.00158678080096126 0.0187607858802267 0.9292 1.45867041773991 0.144655841907547 0.294264332775033 0.359899707339392
hadsten lake japan japansea allo D 15 1431 760 0.0152858825018655 0.00157125155105525 0.0136400832118926 0.1495 -1.0474448148469 0.294894471685434 1.26694383759523 1.36177651674477
hadsten lake japan japansea allo D 16 1488 759 0.0143484290567972 0.00130137308802338 0.0157849701007775 0.8697 1.10386564560222 0.269651423337064 3.7075781475334 3.78530918498486
hadsten lake japan japansea allo D 17 1310 745 0.019519981644396 0.00163316833279086 0.022296788821794 0.9562 1.70025778827881 0.08908244664153 0.495307524295116 0.576007378298266
hadsten lake japan japansea allo D 18 1457 885 0.0125955929991358 0.00123326436153058 0.0145507995871589 0.9401 1.58539129890729 0.112877456879265 0.29215467467228 0.389924598632752
hadsten lake japan japansea allo D 20 1344 723 0.000372334918299606 2.40987020924172e-05 0.000404426286327589 0.9088 1.33166375122253 0.182970705794541 0.00399362441289639 0.0048086275559071
hadsten lake japan japansea allo D 21 1106 434 0.0231332384088594 0.00254566163116891 0.0214100129293744 0.2557 -0.676926366955425 0.498452673928888 0.355361373873666 0.464094478800311
