pop1 ecotype1 pop2 ecotype2 geography ecology lg n.sites num.outliers nnd.mean.null nnd.sd.null nnd.mean.emp nnd.emp.percentile nnd.emp.zscore nnd.emp.pvalue disp.all disp.out
japan japansea cl marine allo D 1 4746 2185 0.0048551484904511 0.000496855094955707 0.00576168110680989 0.9651 1.82454125068318 0.0680702859543963 0.336180204345689 0.475963515003335
japan japansea cl marine allo D 2 3937 2025 0.00688393626129628 0.000518789887824619 0.00778291679003977 0.9569 1.73284127127665 0.0831238850495379 0.214697908874524 0.292406227507614
japan japansea cl marine allo D 3 3213 1541 0.00649313088186659 0.000513452078542591 0.00768210621025646 0.9896 2.31565004423533 0.0205773840600604 0.17454638101913 0.266637097301764
japan japansea cl marine allo D 4 5595 2725 0.00514454593612784 0.000385943769157961 0.00622199716137018 0.9972 2.79173110526718 0.00524269038291524 0.530541981517544 0.642643448669693
japan japansea cl marine allo D 5 2385 1092 0.00558045282040391 0.000565578456120992 0.0047416223581387 0.0693 -1.48313722559078 0.138037955406388 1.38138313656824 1.49363067539105
japan japansea cl marine allo D 6 3576 1591 0.00695856566334281 0.000525033381254487 0.00749576819618266 0.8497 1.0231778626271 0.306223757748685 0.227415353382146 0.302814897768496
japan japansea cl marine allo D 7 4524 2248 0.00692314319895679 0.00046424377010407 0.00759649730518838 0.9226 1.45043218583343 0.14693803714708 0.222200684196796 0.352400481794189
japan japansea cl marine allo D 8 3402 1598 0.00798174226366292 0.000565652107265655 0.00947963356730489 0.9963 2.64807871198913 0.00809506748332799 0.20589481245091 0.293744227763796
japan japansea cl marine allo D 9 3992 1850 0.00211657941146248 0.000346487812872369 0.00234895322443151 0.7524 0.670655083198062 0.502440283162276 20.144305864553 20.3141293679458
japan japansea cl marine allo D 10 3081 1387 0.00775010821079604 0.00068632061361202 0.00680838617715979 0.0797 -1.37213135516954 0.170022550026275 0.281697471424062 0.425423548660441
japan japansea cl marine allo D 11 3087 1374 0.00590538969947175 0.00052294135127447 0.0067464620064379 0.9463 1.60834920573091 0.107758719591402 0.177038282507509 0.217650479288052
japan japansea cl marine allo D 12 3265 1515 0.00255868884860153 0.000241217270986588 0.00314372932313158 0.9897 2.42536727215761 0.0152929066754984 26.3758297562017 26.4077214860235
japan japansea cl marine allo D 13 3992 1779 0.00676375207794095 0.000517119956599455 0.00674721358860887 0.4997 -0.0319819204828847 0.974486468886469 0.972242797296344 1.13821973122752
japan japansea cl marine allo D 14 3000 1430 0.00609775827986858 0.000585543908398613 0.00637618143218138 0.6913 0.47549491732268 0.634434255134768 0.253567693725838 0.303240928217706
japan japansea cl marine allo D 15 2870 1434 0.0063173860675406 0.000640454594007073 0.00639960254433943 0.5913 0.128372061920018 0.897854539560999 0.677923789761751 0.717935108236299
japan japansea cl marine allo D 16 3398 1577 0.0056094849873957 0.000389035572307066 0.0051020378725155 0.0957 -1.30437201891574 0.192106770739946 3.66404446321286 3.71641586702268
japan japansea cl marine allo D 17 2838 1359 0.0089030250568525 0.000733187893068364 0.0109554447334653 0.9975 2.79930928485939 0.00512120588512555 0.37796366702997 0.440082710451979
japan japansea cl marine allo D 18 3088 1543 0.00594003337693229 0.00058107288325898 0.00670833444729744 0.9026 1.32221119329486 0.186097834812701 0.235101856017249 0.271189360856113
japan japansea cl marine allo D 20 3300 1728 0.000122309986710703 7.31046586600308e-06 0.000135763454516719 0.9655 1.84030239010904 0.0657238546792293 0.00226006614774453 0.00281514668029248
japan japansea cl marine allo D 21 1978 954 0.00758332195828553 0.000809829592735685 0.0104460078236591 0.9997 3.5349237556301 0.000407892833823619 0.370572595324541 0.524530598446319
