pop1 ecotype1 pop2 ecotype2 geography ecology lg n.sites num.outliers nnd.mean.null nnd.sd.null nnd.mean.emp nnd.emp.percentile nnd.emp.zscore nnd.emp.pvalue disp.all disp.out
japan japansea constance lake allo D 1 1560 853 0.0139359186755389 0.00151877100552363 0.0154264016132229 0.8375 0.981374369317881 0.326408160753608 0.502556406126713 0.632479201257893
japan japansea constance lake allo D 2 1384 877 0.0209044624022092 0.00178830355692658 0.0215527837363825 0.6447 0.362534275381894 0.716952814969647 0.352390918816532 0.476234666850485
japan japansea constance lake allo D 3 1133 652 0.0191335537965273 0.00163631979142226 0.0226853553709559 0.9842 2.17060356603119 0.029961152302093 0.285435515812071 0.401700458668067
japan japansea constance lake allo D 4 2003 1133 0.0162180039700547 0.00130180325693142 0.0198953457101264 0.9976 2.82480606842224 0.0047309240464942 0.667267029684699 0.743692155589987
japan japansea constance lake allo D 5 833 438 0.0223858895538243 0.00220093312330995 0.019573334283005 0.102 -1.27789219991818 0.201287438725866 1.33615163131792 1.52536725171225
japan japansea constance lake allo D 6 1132 668 0.0194058761852446 0.0017490284622385 0.0193524743054477 0.4818 -0.0305323103367527 0.975642525464282 0.328546145473349 0.431956093008611
japan japansea constance lake allo D 7 1592 928 0.0215651278149852 0.00161193474773648 0.0240143926703632 0.9357 1.51945657776614 0.128647609968762 0.325002439961649 0.532772281791208
japan japansea constance lake allo D 8 1252 662 0.0246488057140213 0.00189914040803223 0.0245200787058923 0.4791 -0.0677817225017185 0.945959393626591 0.308428277701973 0.388051668704793
japan japansea constance lake allo D 9 1255 678 0.00839691620144375 0.00122909290516339 0.0127511810328347 0.9995 3.54266533725706 0.000396105031546893 20.1606296511305 20.3024283391254
japan japansea constance lake allo D 10 1016 579 0.0242625272781405 0.00245507152159354 0.027481591777584 0.9056 1.31118970308208 0.189793680302974 0.458153527741607 0.541584469262841
japan japansea constance lake allo D 11 1141 662 0.0158132815562741 0.00148751890858479 0.0173561000573084 0.8449 1.03717572403974 0.299653969536243 0.278669488763488 0.343782310910337
japan japansea constance lake allo D 12 1087 630 0.00752177245959287 0.000713862122956162 0.00848162137029649 0.9036 1.34458585185723 0.178759014800011 26.3767032506558 26.3742825130248
japan japansea constance lake allo D 13 1359 788 0.0188085060386314 0.00149487451153767 0.0232842792474385 0.9992 2.99407955267309 0.00275274160557468 1.05698814900059 1.26079388880944
japan japansea constance lake allo D 14 1054 600 0.0213050766008167 0.0019398622187362 0.023529967803916 0.8743 1.14693259222747 0.251409481233177 0.340623037471567 0.485321219773025
japan japansea constance lake allo D 15 1035 612 0.0198516936566853 0.0018725361751925 0.0210871296188253 0.7635 0.659766138837331 0.509403916088245 1.29723375744763 1.3668695242823
japan japansea constance lake allo D 16 1129 617 0.0196302774790766 0.00275819778417751 0.0220877946594883 0.9265 0.890986569023203 0.372936375685548 3.72311548481583 3.80205294799375
japan japansea constance lake allo D 17 1014 635 0.0252831166617308 0.00199912781335577 0.0291391585371947 0.972 1.92886210161375 0.0537479837834496 0.516910688282595 0.618518951271175
japan japansea constance lake allo D 18 1165 685 0.01966312486518 0.00174168950414434 0.0222015376026787 0.9274 1.45744274823879 0.144994204187295 0.299198719392854 0.382480738324275
japan japansea constance lake allo D 20 1018 610 0.000464982075065518 3.07434498768913e-05 0.000548581156748557 0.9977 2.7192485559624 0.00654304204112443 0.00434202921249459 0.00560960722930153
japan japansea constance lake allo D 21 721 397 0.0252555138695612 0.00280919680906164 0.0283491209452304 0.8616 1.10124255648097 0.270791104581838 0.38329832828328 0.566720338976339
