pop1 ecotype1 pop2 ecotype2 geography ecology lg n.sites num.outliers nnd.mean.null nnd.sd.null nnd.mean.emp nnd.emp.percentile nnd.emp.zscore nnd.emp.pvalue disp.all disp.out
japan japansea constance stream allo D 1 1587 848 0.0139778603278127 0.00155571919180388 0.0153502213550901 0.8111 0.882139292558373 0.377701486066732 0.504882186370277 0.619377896689567
japan japansea constance stream allo D 2 1375 866 0.020813875464802 0.0017714225880443 0.0258969224344671 0.9983 2.8694716912676 0.00411158135355256 0.347610264487917 0.463042835835327
japan japansea constance stream allo D 3 1122 649 0.0194603720979371 0.00168463731921253 0.0252593480318032 0.9999 3.44226966109048 0.000576854896695021 0.275990119303376 0.394444159843357
japan japansea constance stream allo D 4 1990 1138 0.0163464238576219 0.00127625872884394 0.0153811989380899 0.2272 -0.756292511633838 0.449473836844468 0.658414278455493 0.774822131089832
japan japansea constance stream allo D 5 849 447 0.0214744747381331 0.00207827544885912 0.0211550712507071 0.4437 -0.153686792384175 0.877856699202546 1.33167000440342 1.41337967367861
japan japansea constance stream allo D 6 1153 666 0.0196992259454664 0.00172622355286513 0.0197861588328625 0.5216 0.0503601559901093 0.959835386988831 0.322680534833098 0.428383679129264
japan japansea constance stream allo D 7 1628 941 0.0212153779316644 0.00157333516962416 0.0239194241748158 0.9571 1.71867145371023 0.0856742127595052 0.330651357036819 0.528328719590704
japan japansea constance stream allo D 8 1288 675 0.023654390688783 0.00185604143977655 0.0232225669023598 0.4131 -0.232658483355403 0.816026610031134 0.311347662210989 0.385215981975999
japan japansea constance stream allo D 9 1264 691 0.00799606125224306 0.00117997979112069 0.0134013906692783 1 4.5808660942417 4.63054269335074e-06 20.1631917950186 20.2487740584511
japan japansea constance stream allo D 10 1022 576 0.0245665980837366 0.00251737939846604 0.0274522762613329 0.8753 1.14630245220674 0.25167002864069 0.458138892057548 0.526755209799949
japan japansea constance stream allo D 11 1155 665 0.0153649320989335 0.00144830572542241 0.0163263786720776 0.7465 0.663842278786596 0.506791262768373 0.279985051830956 0.346925353045358
japan japansea constance stream allo D 12 1094 634 0.00794160646991826 0.000787133410263481 0.00847360543453904 0.7423 0.675868865028489 0.499123907041708 26.3766720831693 26.4059170561691
japan japansea constance stream allo D 13 1381 779 0.0200052067903262 0.00159639562553933 0.024098785436563 0.9937 2.56426325701922 0.0103395088483857 1.02941185775675 1.2618697526258
japan japansea constance stream allo D 14 1073 601 0.021765855507528 0.00197117520025544 0.0238299681899768 0.8503 1.04714826068291 0.295031203781522 0.32708404832218 0.460482022828282
japan japansea constance stream allo D 15 1053 615 0.019660029734897 0.00186317309958818 0.0221862104889049 0.9028 1.35584866192319 0.175147324713938 1.29468167502751 1.37919681344398
japan japansea constance stream allo D 16 1153 634 0.0185450954809068 0.00182427790592115 0.0167407771656487 0.146 -0.989058908953369 0.322634320442963 3.7234681757113 3.76112211648635
japan japansea constance stream allo D 17 1061 645 0.0245292733297212 0.00194750653352477 0.0318600903721615 1 3.76420664898739 0.000167078676365698 0.513985358682532 0.619917752786212
japan japansea constance stream allo D 18 1167 694 0.019120109633513 0.00172565433171921 0.0240999398837171 0.9993 2.88576348036215 0.00390465474089541 0.31022394951463 0.381469297606532
japan japansea constance stream allo D 20 1027 617 0.000440556260219042 2.89979020432325e-05 0.000514815525348058 0.9948 2.560849575197 0.0104416555834381 0.00447799411525822 0.0056547172907118
japan japansea constance stream allo D 21 801 389 0.0265347687167564 0.00306424890285453 0.0235255571781446 0.168 -0.982038872824108 0.326080697824079 0.384323156735661 0.595322097646434
