pop1 ecotype1 pop2 ecotype2 geography ecology lg n.sites num.outliers nnd.mean.null nnd.sd.null nnd.mean.emp nnd.emp.percentile nnd.emp.zscore nnd.emp.pvalue disp.all disp.out
japan japansea ln marine allo D 1 6614 3058 0.00337348408236857 0.000284775387371687 0.00368891195443727 0.8615 1.10763740848504 0.268018440898375 0.268501443810511 0.367378195139147
japan japansea ln marine allo D 2 5625 2876 0.0046704670196881 0.000305334551344255 0.00554998852839577 0.9972 2.88051746792339 0.00397022951410268 0.170490110045603 0.229995143143526
japan japansea ln marine allo D 3 4390 2190 0.004471469716609 0.000297367065540924 0.00557561152951994 0.9996 3.71306019011369 0.000204768162915559 0.140383360121392 0.204481119313033
japan japansea ln marine allo D 4 7860 3866 0.00379159655974881 0.000237305541491484 0.00428241388952397 0.9798 2.06829274483155 0.038612503585408 0.448814573907285 0.493775205257342
japan japansea ln marine allo D 5 3421 1580 0.00412528929626377 0.00033770201128454 0.00501418725784861 0.9961 2.63219623183079 0.00848348481772139 1.28337627701547 1.41585319237021
japan japansea ln marine allo D 6 5081 2298 0.00495301931584776 0.000364744314889658 0.00620976150785074 0.9998 3.44554292061595 0.000569913452918368 0.148403679202968 0.192128953030613
japan japansea ln marine allo D 7 6505 3258 0.00480544027025259 0.000277281168866745 0.00571274854433701 0.9993 3.27215972794913 0.00106729260050258 0.147349504132137 0.252951398774208
japan japansea ln marine allo D 8 4869 2281 0.00522673305494468 0.000308626276460946 0.00535566401217398 0.6635 0.417757550354327 0.676124390302574 0.162043047628123 0.232790810400501
japan japansea ln marine allo D 9 5679 2610 0.00135721565048856 0.000182585386051422 0.00217118799318237 1 4.45803664957378 8.27137623971778e-06 20.1260445128778 20.2947319982597
japan japansea ln marine allo D 10 4313 1988 0.00535355366478112 0.000384850988782417 0.00610754372133435 0.9727 1.95917401417802 0.0500924112586346 0.212268046742639 0.277125792771694
japan japansea ln marine allo D 11 4416 1993 0.0039368979896877 0.000290176841611233 0.00411371212799461 0.7302 0.609332355142929 0.54230416516069 0.136779579578843 0.172645077366455
japan japansea ln marine allo D 12 4582 2174 0.00169424566655901 0.000133863913693371 0.00172157253140817 0.5939 0.204139144711972 0.83824476530126 26.3668080222212 26.3732726827666
japan japansea ln marine allo D 13 5540 2528 0.00494594705142288 0.000322844657241246 0.00524359731844384 0.8174 0.921961260144186 0.356548783155981 0.91244999226547 1.05387325143793
japan japansea ln marine allo D 14 4259 2009 0.00452543846522876 0.000353370628536314 0.00599686111829554 1 4.16396421842278 3.1276915166515e-05 0.196014890183374 0.297052152493038
japan japansea ln marine allo D 15 4137 2055 0.00485138061927422 0.000482423681080753 0.00610707162057698 0.9947 2.60288010424715 0.00924442763430842 0.55935517976708 0.599524042641238
japan japansea ln marine allo D 16 4785 2228 0.00386947980615831 0.000262631120946405 0.00379802398567403 0.3951 -0.272076744853312 0.78556301019387 3.63497535769997 3.67508275105288
japan japansea ln marine allo D 17 4126 2037 0.00587153960052235 0.000405389602835187 0.00710750106355879 0.9984 3.04882378431132 0.0022973919588788 0.297056621339719 0.343726622897083
japan japansea ln marine allo D 18 4614 2306 0.00380474406800597 0.000290886802404658 0.00435033413079213 0.9696 1.87560954390492 0.0607089149267018 0.156535138622396 0.184545443222331
japan japansea ln marine allo D 20 4589 2414 9.09900701410515e-05 4.50256028709485e-06 0.000103338299892804 0.9968 2.74249070848531 0.00609751749503916 0.00164003829374995 0.00215530591677966
japan japansea ln marine allo D 21 2840 1361 0.0052941353821693 0.00047511977808928 0.00519132570168474 0.4207 -0.216386867534778 0.82868620198312 0.28636478335945 0.371934519565718
