pop1 ecotype1 pop2 ecotype2 geography ecology lg n.sites num.outliers nnd.mean.null nnd.sd.null nnd.mean.emp nnd.emp.percentile nnd.emp.zscore nnd.emp.pvalue disp.all disp.out
mariager marine japan japansea allo D 1 2341 1018 0.0111033660046915 0.00116349612530627 0.0133599305669146 0.9707 1.93946891024595 0.0524442666566096 0.4703555502335 0.660958870452076
mariager marine japan japansea allo D 2 1974 966 0.0178598414163315 0.00156982782344156 0.019815160784294 0.8947 1.24556294567123 0.212924893013303 0.305234649091369 0.449374851256035
mariager marine japan japansea allo D 3 1567 692 0.0199243868534011 0.00163722206514118 0.0216383373255917 0.8538 1.04686499692567 0.29516184773039 0.225076483438265 0.426075877054789
mariager marine japan japansea allo D 4 2797 1237 0.0146723870789815 0.00116646130120438 0.015380525305743 0.7282 0.607082486174486 0.543796172408369 0.581148846704568 0.718408253725265
mariager marine japan japansea allo D 5 1173 476 0.0199495209282276 0.00199797245276324 0.0245116497159576 0.9883 2.28337922348256 0.0224080400151767 1.30674142509372 1.35792582254626
mariager marine japan japansea allo D 6 1613 697 0.0179237092371971 0.00165749192243612 0.0217822939868187 0.9886 2.32796594504693 0.0199139120481151 0.323898984246884 0.491283692888155
mariager marine japan japansea allo D 7 2266 1030 0.0175508889421872 0.00131721194684651 0.0202963026264581 0.9797 2.08426114783089 0.037136419339035 0.306293653465229 0.520160756421516
mariager marine japan japansea allo D 8 1856 768 0.0214939594698965 0.00165339450977171 0.0219260391058488 0.6034 0.261328819830159 0.793838943525898 0.238325932780389 0.355746213465402
mariager marine japan japansea allo D 9 1753 724 0.007479096264797 0.0011516162694232 0.00917222830253943 0.9278 1.47022240193815 0.14150152935034 20.1545423756518 20.8222266447627
mariager marine japan japansea allo D 10 1511 675 0.0198246931714938 0.0018998839758351 0.0208713216395504 0.7156 0.550890728785973 0.581708583355727 0.357853415114519 0.486318002048849
mariager marine japan japansea allo D 11 1691 710 0.0150205108712356 0.00145806690363012 0.0142327199982251 0.2916 -0.540298165364813 0.588991423416982 0.228000832883763 0.36431371411665
mariager marine japan japansea allo D 12 1530 675 0.0069627616708411 0.00069950971944604 0.00673525567756234 0.3939 -0.32523635762907 0.745002193737013 26.3622259069662 26.3868598756173
mariager marine japan japansea allo D 13 1907 817 0.0181654057397047 0.00148632955896938 0.019327805376875 0.7838 0.782060499406553 0.434179019452656 0.992543520470485 1.28287649719495
mariager marine japan japansea allo D 14 1531 637 0.0199009364955429 0.00194788399355988 0.0234844900820108 0.9675 1.83971612186141 0.0658099253830354 0.285472577792872 0.399319199375048
mariager marine japan japansea allo D 15 1535 683 0.0193433925490599 0.00194083150337824 0.0215520173408249 0.8719 1.13797863849625 0.255129402275139 1.03387030640025 1.37225937504421
mariager marine japan japansea allo D 16 1570 653 0.0189291465646764 0.00174714821421329 0.0175314273682409 0.2099 -0.80000035776292 0.423710589885031 3.68659204742956 3.76319927421149
mariager marine japan japansea allo D 17 1488 666 0.0233862623739214 0.0019632202851403 0.0273427523901684 0.9772 2.01530620185306 0.0438725755098797 0.484494789970748 0.561537892370965
mariager marine japan japansea allo D 18 1617 793 0.0150414415579444 0.0014307955996029 0.0219881309420367 1 4.85512353128581 1.2031171888928e-06 0.277272452343231 0.380142838290389
mariager marine japan japansea allo D 20 1436 664 0.000448365757351348 2.96338403620025e-05 0.00043522371334643 0.3294 -0.443480961103127 0.657417887271229 0.00362837969292964 0.0051511247586261
mariager marine japan japansea allo D 21 1072 389 0.026574494477919 0.00284191231655643 0.025098777777353 0.3035 -0.51926890635181 0.603573233245474 0.31586209064676 0.505074068699161
