pop1 ecotype1 pop2 ecotype2 geography ecology lg n.sites num.outliers nnd.mean.null nnd.sd.null nnd.mean.emp nnd.emp.percentile nnd.emp.zscore nnd.emp.pvalue disp.all disp.out
pax benthic japan japansea allo D 1 5413 2463 0.00471925880599943 0.000378928544307203 0.00562412578701734 0.9895 2.3879620435359 0.0169420914433804 0.251847864220274 0.407098519266351
pax benthic japan japansea allo D 2 4407 2245 0.006198761174826 0.000403271032368807 0.00725953814844239 0.9954 2.63043186460828 0.00852764616879532 0.192113982937481 0.252035534559196
pax benthic japan japansea allo D 3 3606 1796 0.00575126174584524 0.000408398687728068 0.00639683125232797 0.9401 1.58073354758814 0.113938974363157 0.151290036425827 0.274678191411206
pax benthic japan japansea allo D 4 6505 3250 0.00450868665057198 0.000289726732605996 0.0047390871286682 0.7903 0.795233757078067 0.426477538760083 0.465459764722886 0.520197266178103
pax benthic japan japansea allo D 5 2902 1238 0.0060863267537385 0.000491937003101866 0.00698505485360746 0.9647 1.82691705279763 0.0677122418697816 1.26910093642299 1.33139478570277
pax benthic japan japansea allo D 6 3938 1746 0.00680855312782744 0.000474638096963478 0.00868270524501923 1 3.94859184119812 7.8612256020745e-05 0.154909101635204 0.192092835032331
pax benthic japan japansea allo D 7 5494 2762 0.00574008724867101 0.000331192694669107 0.00717647821364483 1 4.33702490451642 1.4442426594018e-05 0.158315298410883 0.221174783499287
pax benthic japan japansea allo D 8 4105 1892 0.00716830941899929 0.000424639814800266 0.00750409867088603 0.7879 0.790762524340013 0.429082582494039 0.164447060568751 0.238958981288174
pax benthic japan japansea allo D 9 4534 2109 0.0018187872742147 0.000222998077392348 0.00250105525056989 0.9978 3.05952402968387 0.00221689002546848 20.1199373904658 20.2605561239144
pax benthic japan japansea allo D 10 3765 1634 0.00718636859867564 0.000518667956117203 0.00794736848897993 0.9276 1.46721979125374 0.142316274748553 0.186129274541398 0.235081888911812
pax benthic japan japansea allo D 11 3827 1669 0.00504370614867762 0.000388865404378503 0.00570076983077492 0.9516 1.68969436390835 0.0910864420846389 0.149038083889217 0.224187217504396
pax benthic japan japansea allo D 12 3731 1745 0.00244858218419821 0.000195039042097602 0.00271203101940893 0.906 1.35074922629529 0.176775777583901 26.383985902126 26.3831193808765
pax benthic japan japansea allo D 13 4305 1926 0.00698674706088974 0.000471378512029846 0.00694421121698837 0.4616 -0.0902371296438746 0.928098779479265 0.930886037594475 1.10391314337549
pax benthic japan japansea allo D 14 3612 1697 0.00616703725803981 0.000436546357852597 0.00749003369769461 0.9989 3.03059781820818 0.00244070113664795 0.165722841752449 0.239454831153472
pax benthic japan japansea allo D 15 3521 1670 0.0067802236686661 0.000638631616464815 0.00806088112405345 0.9729 2.00531483623767 0.0449293997251411 0.576552433636868 0.610825157619497
pax benthic japan japansea allo D 16 3872 1747 0.00530571395312475 0.000366297035668296 0.00476966089969395 0.0736 -1.46343814236114 0.143347528163305 3.63553873324008 3.68860279197474
pax benthic japan japansea allo D 17 3628 1723 0.00787317237967253 0.000517104298723548 0.0102520723820236 1 4.60042588743378 4.21628013782346e-06 0.277191374216603 0.347135542633695
pax benthic japan japansea allo D 18 3868 1849 0.00550485672862951 0.000375502546658484 0.00666534539025194 0.9988 3.09049478345586 0.00199823314733411 0.156665134053541 0.207217923163146
pax benthic japan japansea allo D 20 3780 1922 0.000128103103089853 6.66059280486806e-06 0.000138017163823212 0.9301 1.48846521980935 0.136628247834339 0.00178058246481153 0.00224117193559742
pax benthic japan japansea allo D 21 2541 1199 0.00631683531075406 0.00052859043926381 0.0070175573290182 0.903 1.32564262652966 0.184958099775484 0.215643958576919 0.310797618181002
