pop1 ecotype1 pop2 ecotype2 geography ecology lg n.sites num.outliers nnd.mean.null nnd.sd.null nnd.mean.emp nnd.emp.percentile nnd.emp.zscore nnd.emp.pvalue disp.all disp.out
pri benthic japan japansea allo D 1 5502 2463 0.00493966840007985 0.000394897950838304 0.00531960740344387 0.8301 0.962119460375699 0.335989599774041 0.250956700728233 0.46267804220921
pri benthic japan japansea allo D 2 4517 2140 0.00670779432537781 0.000432941037383684 0.00820873602758424 0.9999 3.4668501541845 0.000526595363070044 0.200474817316139 0.304115211635356
pri benthic japan japansea allo D 3 3640 1737 0.00649348677286592 0.00047401648636568 0.00778984095571325 0.9971 2.73482931529781 0.0062412629898974 0.14139044830079 0.237231185011743
pri benthic japan japansea allo D 4 6740 3080 0.00529449519316554 0.000348520916406765 0.00534935940049266 0.5617 0.157420128159784 0.874913751246901 0.474434763778931 0.577616178340642
pri benthic japan japansea allo D 5 2778 1131 0.00723931968166477 0.000578055641341374 0.00853605492905141 0.987 2.24327063806102 0.0248793675866878 1.28274437207344 1.37868458432915
pri benthic japan japansea allo D 6 4074 1672 0.00738811443343967 0.000510964184943122 0.00861802878533325 0.9895 2.40704610643207 0.0160821393657158 0.172198729635131 0.232182246290769
pri benthic japan japansea allo D 7 5508 2566 0.00659149718217019 0.000399532041915704 0.00704563275605277 0.8686 1.13666871799582 0.255676801193936 0.164360261834005 0.276118900552781
pri benthic japan japansea allo D 8 4115 1794 0.00748142321581024 0.000442822888237291 0.00838740186596734 0.98 2.04591649217468 0.0407645874379743 0.191272466171947 0.266805885399369
pri benthic japan japansea allo D 9 4388 1974 0.00203845497106448 0.000254363615569789 0.00253177576643361 0.9687 1.93943144841712 0.0524488242634275 20.1221208940409 20.2976037789064
pri benthic japan japansea allo D 10 3626 1517 0.00806302403484982 0.000576045587135479 0.00978413470137711 0.9985 2.9878028839452 0.00280990716825766 0.195547352464597 0.286311215861991
pri benthic japan japansea allo D 11 3824 1566 0.00570271895341176 0.000436536557546061 0.00643675464265856 0.9534 1.68149878070486 0.0926660730814652 0.151546986592845 0.221634948467084
pri benthic japan japansea allo D 12 3807 1694 0.00268850035730852 0.000209838436561171 0.00317265416233082 0.9913 2.30726940667598 0.0210398059226353 26.3465302298317 26.3514028112752
pri benthic japan japansea allo D 13 4623 1879 0.0072542068007967 0.000459481443896619 0.00894842211256617 0.9998 3.68723336768886 0.00022670543466993 0.932790138679975 1.07663922705212
pri benthic japan japansea allo D 14 3469 1545 0.00718086339120868 0.000529758446676468 0.00944502418806614 1 4.2739494029063 1.92040632725852e-05 0.172682957448218 0.274780002357123
pri benthic japan japansea allo D 15 3497 1593 0.00738457588492922 0.000890118839822011 0.00805467698125568 0.7608 0.752822057401294 0.451556850195077 0.46158087420482 0.512776379732247
pri benthic japan japansea allo D 16 3902 1634 0.00592257846486334 0.000372859536593266 0.00545452454855637 0.1042 -1.25530895785441 0.209366624557878 3.67456590310302 3.70325772221832
pri benthic japan japansea allo D 17 3438 1549 0.00930010054906913 0.000656516037727644 0.0110218892085975 0.9949 2.62261477341489 0.00872578720623168 0.296481409174455 0.404631723415891
pri benthic japan japansea allo D 18 3747 1686 0.00657215279633107 0.000454239198905624 0.0086837403379075 1 4.64862466001122 3.34155643756131e-06 0.172127137412178 0.238389672175981
pri benthic japan japansea allo D 20 3933 1916 0.000129477770788215 6.70744327204184e-06 0.000155041786813028 1 3.81129067932178 0.000138243089635375 0.00175896943344526 0.00224014544228696
pri benthic japan japansea allo D 21 2523 1146 0.00693858932035602 0.000549971389829053 0.00767527610088362 0.907 1.33950018883088 0.180407893013502 0.222718589533135 0.319161864257157
