"lg" "pos1" "pos2" "utr3"
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
21 "NA" "NA" TRUE
21 "NA" "NA" TRUE
21 "NA" "NA" TRUE
21 "NA" "NA" TRUE
21 "NA" "NA" TRUE
21 "NA" "NA" TRUE
21 "NA" "NA" TRUE
21 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
21 "NA" "NA" TRUE
16 "NA" "NA" TRUE
21 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
21 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
21 "NA" "NA" TRUE
21 "NA" "NA" TRUE
21 "NA" "NA" TRUE
16 "NA" "NA" TRUE
21 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
21 "NA" "NA" TRUE
21 "NA" "NA" TRUE
16 "NA" "NA" TRUE
21 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
21 "NA" "NA" TRUE
21 "NA" "NA" TRUE
21 "NA" "NA" TRUE
21 "NA" "NA" TRUE
16 "NA" "NA" TRUE
21 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
21 "NA" "NA" TRUE
16 "NA" "NA" TRUE
21 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "2519119" "2519794" TRUE
10 "NA" "NA" TRUE
21 "NA" "NA" TRUE
10 "NA" "NA" TRUE
10 "NA" "NA" TRUE
10 "NA" "NA" TRUE
16 "NA" "NA" TRUE
21 "NA" "NA" TRUE
21 "NA" "NA" TRUE
21 "NA" "NA" TRUE
10 "NA" "NA" TRUE
21 "NA" "NA" TRUE
10 "NA" "NA" TRUE
21 "NA" "NA" TRUE
10 "NA" "NA" TRUE
21 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
10 "NA" "NA" TRUE
21 "NA" "NA" TRUE
10 "NA" "NA" TRUE
16 "NA" "NA" TRUE
21 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
10 "NA" "NA" TRUE
16 "NA" "NA" TRUE
10 "NA" "NA" TRUE
10 "NA" "NA" TRUE
10 "NA" "NA" TRUE
10 "NA" "NA" TRUE
21 "NA" "NA" TRUE
10 "NA" "NA" TRUE
10 "NA" "NA" TRUE
10 "NA" "NA" TRUE
10 "NA" "NA" TRUE
21 "NA" "NA" TRUE
16 "NA" "NA" TRUE
10 "NA" "NA" TRUE
21 "NA" "NA" TRUE
10 "NA" "NA" TRUE
10 "NA" "NA" TRUE
10 "NA" "NA" TRUE
21 "NA" "NA" TRUE
10 "NA" "NA" TRUE
16 "NA" "NA" TRUE
10 "NA" "NA" TRUE
10 "NA" "NA" TRUE
16 "NA" "NA" TRUE
21 "NA" "NA" TRUE
16 "NA" "NA" TRUE
21 "NA" "NA" TRUE
21 "NA" "NA" TRUE
10 "NA" "NA" TRUE
21 "NA" "NA" TRUE
21 "NA" "NA" TRUE
10 "NA" "NA" TRUE
21 "NA" "NA" TRUE
10 "NA" "NA" TRUE
16 "NA" "NA" TRUE
10 "NA" "NA" TRUE
21 "NA" "NA" TRUE
16 "NA" "NA" TRUE
10 "NA" "NA" TRUE
10 "NA" "NA" TRUE
10 "NA" "NA" TRUE
10 "NA" "NA" TRUE
10 "NA" "NA" TRUE
16 "NA" "NA" TRUE
10 "NA" "NA" TRUE
10 "NA" "NA" TRUE
