"lg" "pos1" "pos2" "gene.density"
1 1 74999 0.346306666666667
1 75000 149999 0.683773333333333
1 150000 224999 0.58364
1 225000 299999 0.315866666666667
1 3e+05 374999 0.19656
1 375000 449999 0.625413333333333
1 450000 524999 0.69748
1 525000 599999 0.462
1 6e+05 674999 0.178306666666667
1 675000 749999 0.31056
1 750000 824999 0.752866666666667
1 825000 899999 0.605946666666667
1 9e+05 974999 0.670706666666667
1 975000 1049999 0.50904
1 1050000 1124999 0.164826666666667
1 1125000 1199999 0.248533333333333
1 1200000 1274999 0.738306666666667
1 1275000 1349999 0.522546666666667
1 1350000 1424999 0.73516
1 1425000 1499999 0.185346666666667
1 1500000 1574999 0.594413333333333
1 1575000 1649999 0.75216
1 1725000 1799999 0.164053333333333
1 1800000 1874999 0.3792
1 1875000 1949999 0.440533333333333
1 1950000 2024999 0.469973333333333
1 2025000 2099999 0.323746666666667
1 2100000 2174999 0.582453333333333
1 2175000 2249999 0.618826666666667
1 2250000 2324999 0.572066666666667
1 2325000 2399999 0.464506666666667
1 2625000 2699999 0.14808
1 2700000 2774999 0.383
1 2775000 2849999 0.390213333333333
1 2850000 2924999 0.50004
1 2925000 2999999 0.568346666666667
1 3e+06 3074999 0.329533333333333
1 3075000 3149999 0.512413333333333
1 3150000 3224999 0.255546666666667
1 3225000 3299999 0.35332
1 3300000 3374999 0.619413333333333
1 3375000 3449999 0.443053333333333
1 3450000 3524999 0.0520266666666667
1 3525000 3599999 0.0438666666666667
1 3675000 3749999 0.293986666666667
1 3825000 3899999 0.15012
1 3900000 3974999 0.145453333333333
1 3975000 4049999 0.687146666666667
1 4050000 4124999 0.583213333333333
1 4125000 4199999 0.798213333333333
1 4200000 4274999 0.49292
1 4275000 4349999 0.3698
1 4425000 4499999 0.76764
1 4500000 4574999 0.60032
1 4575000 4649999 0.235466666666667
1 4650000 4724999 0.208453333333333
1 4725000 4799999 0.70356
1 4800000 4874999 0.20256
1 5025000 5099999 0.458266666666667
1 5100000 5174999 0.34688
1 5175000 5249999 0.07244
1 5325000 5399999 0.13904
1 5400000 5474999 0.127186666666667
1 5475000 5549999 0.845506666666667
1 5550000 5624999 0.54332
1 5625000 5699999 0.29844
1 5700000 5774999 0.62384
1 5775000 5849999 0.34712
1 5850000 5924999 0.68592
1 5925000 5999999 0.53292
1 6e+06 6074999 0.288
1 6075000 6149999 0.348226666666667
1 6150000 6224999 0.671706666666667
1 6225000 6299999 0.738906666666667
1 6300000 6374999 0.706053333333333
1 6375000 6449999 0.13064
1 6450000 6524999 0.909866666666667
1 6525000 6599999 0.353546666666667
1 6600000 6674999 0.438146666666667
1 6675000 6749999 0.7088
1 6750000 6824999 0.694973333333333
1 6825000 6899999 0.670946666666667
1 6900000 6974999 0.750906666666667
1 6975000 7049999 0.522493333333333
1 7050000 7124999 0.0819066666666667
1 7200000 7274999 0.46828
1 7350000 7424999 0.225933333333333
1 7425000 7499999 0.706813333333333
1 7500000 7574999 0.765106666666667
1 7575000 7649999 0.752226666666667
1 7650000 7724999 0.28468
1 7725000 7799999 0.641173333333333
1 7800000 7874999 0.563933333333333
1 7875000 7949999 0.266813333333333
1 7950000 8024999 0.795266666666667
1 8025000 8099999 0.63384
1 8100000 8174999 0.851453333333333
1 8325000 8399999 0.305493333333333
1 8400000 8474999 0.232546666666667
1 8475000 8549999 0.244693333333333
1 8550000 8624999 0.410026666666667
1 8625000 8699999 0.832733333333333
1 8700000 8774999 0.999986666666667
1 8775000 8849999 0.27736
1 8850000 8924999 0.361053333333333
1 8925000 8999999 0.370933333333333
1 9e+06 9074999 0.818813333333333
1 9075000 9149999 0.563213333333333
1 9150000 9224999 0.449026666666667
1 9225000 9299999 0.263373333333333
1 9300000 9374999 0.325133333333333
1 9375000 9449999 0.41552
1 9450000 9524999 0.25964
1 9525000 9599999 0.638693333333333
1 9600000 9674999 0.517066666666667
1 9675000 9749999 0.454106666666667
1 9750000 9824999 0.72276
1 9825000 9899999 0.600693333333333
1 9900000 9974999 0.66616
1 9975000 10049999 0.675226666666667
1 10050000 10124999 0.905186666666667
1 10125000 10199999 0.637106666666667
1 10275000 10349999 0.179973333333333
1 10350000 10424999 0.2834
1 10425000 10499999 0.351506666666667
1 10500000 10574999 0.62576
1 10575000 10649999 0.50264
1 10650000 10724999 0.30144
1 10725000 10799999 0.496946666666667
1 10800000 10874999 0.521506666666667
1 10875000 10949999 0.459066666666667
1 10950000 11024999 0.76444
1 11025000 11099999 0.346
1 11100000 11174999 0.49344
1 11175000 11249999 0.442093333333333
1 11325000 11399999 0.629013333333333
1 11400000 11474999 0.486453333333333
1 11550000 11624999 0.356986666666667
1 11625000 11699999 0.0534
1 11700000 11774999 0.576093333333333
1 11850000 11924999 0.284093333333333
1 11925000 11999999 0.747293333333333
1 1.2e+07 12074999 0.791933333333333
1 12075000 12149999 0.720346666666667
1 12150000 12224999 0.553786666666667
1 12225000 12299999 0.526266666666667
1 12300000 12374999 0.415213333333333
1 12375000 12449999 0.43284
1 12450000 12524999 0.445813333333333
1 12525000 12599999 0.228853333333333
1 12675000 12749999 0.200853333333333
1 12825000 12899999 0.645066666666667
1 13125000 13199999 0.430533333333333
1 13200000 13274999 0.536493333333333
1 13275000 13349999 0.705053333333333
1 13350000 13424999 0.324813333333333
1 13425000 13499999 0.485453333333333
1 13575000 13649999 0.614213333333333
1 13650000 13724999 0.804226666666667
1 13725000 13799999 0.586053333333333
1 13800000 13874999 0.707586666666667
1 13875000 13949999 0.417373333333333
1 13950000 14024999 0.522946666666667
1 14100000 14174999 0.795346666666667
1 14175000 14249999 0.47312
1 14250000 14324999 0.7378
1 14325000 14399999 0.6076
1 14400000 14474999 0.221306666666667
1 14475000 14549999 0.107626666666667
1 14550000 14624999 0.525133333333333
1 14625000 14699999 0.81576
1 14700000 14774999 0.8136
1 14775000 14849999 0.76832
1 14850000 14924999 0.693786666666667
1 1.5e+07 15074999 0.0747733333333333
1 15075000 15149999 0.266653333333333
1 15150000 15224999 0.0132133333333333
1 15300000 15374999 0.115826666666667
1 15375000 15449999 0.532333333333333
1 15450000 15524999 0.248746666666667
1 15600000 15674999 0.325973333333333
1 15675000 15749999 0.510426666666667
1 15750000 15824999 0.434413333333333
1 15825000 15899999 0.861186666666667
1 15900000 15974999 0.55572
1 15975000 16049999 0.868066666666667
1 16050000 16124999 0.41324
1 16125000 16199999 0.163986666666667
1 16200000 16274999 0.561413333333333
1 16275000 16349999 0.264706666666667
1 16350000 16424999 0.69164
1 16425000 16499999 0.646213333333333
1 16500000 16574999 0.412866666666667
1 16575000 16649999 0.709186666666667
1 16650000 16724999 0.805786666666667
1 16725000 16799999 0.37748
1 16800000 16874999 0.760133333333333
1 16875000 16949999 0.321906666666667
1 16950000 17024999 0.867626666666667
1 17025000 17099999 0.673453333333333
1 17100000 17174999 0.217493333333333
1 17175000 17249999 0.448586666666667
1 17250000 17324999 0.69012
1 17325000 17399999 0.498946666666667
1 17400000 17474999 0.25448
1 17475000 17549999 0.0460266666666667
1 17700000 17774999 0.06296
1 17925000 17999999 0.469573333333333
1 1.8e+07 18074999 0.45216
1 18075000 18149999 0.118173333333333
1 18150000 18224999 0.195693333333333
1 18225000 18299999 0.50532
1 18300000 18374999 0.510933333333333
1 18375000 18449999 0.636506666666667
1 18450000 18524999 0.797826666666667
1 18525000 18599999 0.35504
1 18600000 18674999 0.819373333333333
1 18825000 18899999 0.7336
1 18975000 19049999 0.0276133333333333
