pop1 ecotype1 pop2 ecotype2 geography ecology intercept recomb_rate ds gene_count group reg1 reg2 geography2 group2
al marine cl marine allo S -3.92834413626289 0.0469325113799428 0.80205465918268 -0.00242827057145375 allo_S ns ns para para_S
al marine cl white allo D -3.67095872572526 0.0535994944274473 0.726030635635075 -0.0565501058964792 allo_D ns ns para para_D
al marine cp marine para S -3.51686170996116 0.0461117599253462 0.473595191439177 -0.0329927475515973 para_S ns ns para para_S
al marine ln marine allo S -3.76776420988933 0.0588099585633293 0.628931917955995 -0.0275628508222843 allo_S ns ns para para_S
al marine mh marine allo S -4.14701263089247 0.0442687994624395 1.0613539457099 -0.0112636780866996 allo_S ns ns para para_S
al marine mh white allo D -3.93536339084391 0.0198013742561203 1.03285201222232 -0.0448336715688609 allo_D ns ns para para_D
al marine sk marine allo S -3.90499672114261 0.0426621829717619 0.996874342749341 -0.0481198171192118 allo_S ns ns para para_S
al marine sr marine allo S -3.69932073414699 0.069247860524822 0.700593813464323 -0.0620089317194108 allo_S ns ns para para_S
al marine sr white allo D -3.77302660880293 0.0392964547070545 0.645924253256284 -0.00580804347765468 allo_D ns ns para para_D
bea lake al marine allo D -3.40487489517894 -0.108840082922347 0.938216525186525 -0.0409641728190939 allo_D al ns allo allo_D
bea lake boot lake allo S -3.55218741171301 -0.0341718989832845 0.939844675896588 -0.0761505602677993 allo_S al bc allo allo_S
bea lake boot stream allo D -3.35246404574726 0.00510485583439247 0.641284048135488 -0.0802319019649864 allo_D al bc allo allo_D
bea lake cl marine allo D -4.12236751429378 -0.0178108963409302 1.57313336854256 -0.0483073342813266 allo_D al ns allo allo_D
bea lake cl white allo D -3.02504782980596 -0.0633994572626324 0.669134089422626 -0.088163642011125 allo_D al ns allo allo_D
bea lake constance lake allo S -2.75114026091387 -0.00129971691803613 0.268787171584186 -0.121249235154963 allo_S al sl allo allo_S
bea lake constance stream allo D -3.17886956529678 -0.00446304474345932 0.585700511344017 -0.0771755180209763 allo_D al sl allo allo_D
bea lake cp marine allo D -3.04618206416108 -0.097673905519315 0.678164927994096 -0.0628645618840909 allo_D al ns allo allo_D
bea lake denmark marine allo D -2.9260650189218 -0.212576769008302 0.47641124301532 -0.0154534778257145 allo_D al ne allo allo_D
