study	sample	group	pop	ecotype	pop_alias	data_source	pooled	accession_number	barcode	seq_type	latitude	longitude
rennison	Pri_S13_012	NA	priest	limnetic	Pri_L	UBC	no			GBS	49.745477	-124.566159
rennison	Pri_S13_040	NA	priest	limnetic	Pri_L	UBC	no			GBS	49.745477	-124.566159
rennison	Pri_S13_048	NA	priest	limnetic	Pri_L	UBC	no			GBS	49.745477	-124.566159
rennison	Pri_S13_078	NA	priest	limnetic	Pri_L	UBC	no			GBS	49.745477	-124.566159
rennison	Pri_S13_105	NA	priest	limnetic	Pri_L	UBC	no			GBS	49.745477	-124.566159
rennison	Pri_S13_114	NA	priest	limnetic	Pri_L	UBC	no			GBS	49.745477	-124.566159
rennison	Pri_S13_118	NA	priest	limnetic	Pri_L	UBC	no			GBS	49.745477	-124.566159
rennison	Pri_S13_144	NA	priest	limnetic	Pri_L	UBC	no			GBS	49.745477	-124.566159
rennison	Pri_S13_150	NA	priest	limnetic	Pri_L	UBC	no			GBS	49.745477	-124.566159
rennison	Pri_S14_033	NA	priest	limnetic	Pri_L	UBC	no			GBS	49.745477	-124.566159
rennison	Pri_S14_034	NA	priest	limnetic	Pri_L	UBC	no			GBS	49.745477	-124.566159
rennison	Pri_S14_042	NA	priest	limnetic	Pri_L	UBC	no			GBS	49.745477	-124.566159
rennison	Pri_S14_065	NA	priest	limnetic	Pri_L	UBC	no			GBS	49.745477	-124.566159
rennison	Pri_S14_066	NA	priest	limnetic	Pri_L	UBC	no			GBS	49.745477	-124.566159
rennison	Pri_S14_085	NA	priest	limnetic	Pri_L	UBC	no			GBS	49.745477	-124.566159
rennison	Pri_S14_086	NA	priest	limnetic	Pri_L	UBC	no			GBS	49.745477	-124.566159
rennison	Pri_S14_087	NA	priest	limnetic	Pri_L	UBC	no			GBS	49.745477	-124.566159
rennison	Pri_S14_124	NA	priest	limnetic	Pri_L	UBC	no			GBS	49.745477	-124.566159
rennison	Pri_S14_130	NA	priest	limnetic	Pri_L	UBC	no			GBS	49.745477	-124.566159
rennison	Pri_S14_132	NA	priest	limnetic	Pri_L	UBC	no			GBS	49.745477	-124.566159
rennison	Pri_S13_005	NA	priest	benthic	Pri_B	UBC	no			GBS	49.745477	-124.566159
