Chr	StartPos	EndPos	MidPos	TotalSites	VariableSites	Dxy	Fst	Hexp1	Hexp2
groupI	0	74999	37500	470	0	0	NA	0	0
groupI	75000	149999	112500	519	2	0.00124348818953829	0.310660911245288	0.000768304431599229	0.000898636451337514
groupI	150000	224999	187500	686	0	0	NA	0	0
groupI	225000	299999	262500	103	0	0	NA	0	0
groupI	300000	374999	337500	197	0	0	NA	0	0
groupI	375000	449999	412500	701	3	0.00108333850193306	0.309093421738037	0.0006490727532097	0.000844916240219736
groupI	450000	524999	487500	600	1	0.000227272727272727	0.124024939698721	0.000392561983471075	0
groupI	525000	599999	562500	650	4	0.00378947368421053	0.679763044965832	0.00278691668442361	0
groupI	600000	674999	637500	407	4	0.00271756159914055	0.329885421206268	0.00332324417482832	0.00036346190192344
groupI	675000	749999	712500	630	3	0.00215152077725177	0.467717359318919	0.00223606714153806	0.000170923421952229
groupI	750000	824999	787500	324	1	0.00130579297245964	0.507248642100739	0.00150668419899189	0
groupI	825000	899999	862500	139	0	0	NA	0	0
groupI	900000	974999	937500	654	1	0.000147024229593037	0.0716145679914222	0	0.00026577456887972
groupI	975000	1049999	1012500	440	2	0.00307621671258035	0.761243424012433	0.0013335837716003	0.000448933782267116
groupI	1050000	1124999	1087500	245	1	0.00114285714285714	0.240400162939747	0	0.00164571428571429
groupI	1125000	1199999	1162500	252	1	0.00223552708932826	0.305327690339534	0.00105526975333069	0.00191608422061097
groupI	1200000	1274999	1237500	610	3	0.00248003362757461	0.725176657541325	0.00170185706125177	0
groupI	1275000	1349999	1312500	467	7	0.00715211534689219	0.48197131940413	0.00709869905471531	0.000302546975558316
groupI	1350000	1424999	1387500	413	5	0.00715064497401696	0.663690575822803	0.00534451816593388	0
groupI	1425000	1499999	1462500	347	3	0.00281831165596776	0.110549838593301	0.00353550535381193	0.00120175677865933
groupI	1500000	1574999	1537500	228	2	0.00329140753117361	0.490210575812585	0.00336655129888213	0.000159434938512261
groupI	1575000	1649999	1612500	467	3	0.00137401855817273	0.246223842564081	0.00214459909588389	0
groupI	1650000	1724999	1687500	275	0	0	NA	0	0
groupI	1725000	1799999	1762500	507	2	0.000657462195923734	0.127747204721382	0	0.00104098181021258
groupI	1800000	1874999	1837500	207	3	0.00443984357027835	0.269516867213578	0.00482193521530996	0.00102028985507246
groupI	1875000	1949999	1912500	753	5	0.00264290466464228	0.517732976528728	0.00192300613898157	0.000619378908690797
groupI	1950000	2024999	1987500	564	10	0.00965895737265652	0.321582006443379	0.00584995681537699	0.00700463877544054
groupI	2025000	2099999	2062500	342	2	0.0012479759068453	0.182614430243762	0.00126639349696994	0.000738013300283172
groupI	2100000	2174999	2137500	367	3	0.00486005987822518	0.665294979150181	0.000549122010293673	0.00260331984017522
groupI	2175000	2249999	2212500	109	0	0	NA	0	0
groupI	2250000	2324999	2287500	840	4	0.0025881879817454	0.565441711512971	0.00176938159717669	0.000559638219927868
groupI	2325000	2399999	2362500	518	5	0.00404374399910114	0.57876291731831	0.00268586963421147	0.000774501353205057
groupI	2400000	2474999	2437500	286	5	0.00564554023052047	0.27505190557918	0.00719987265638584	0.00123094030186378
groupI	2475000	2549999	2512500	283	2	0.00476845824809373	0.696115188256396	0.00164142399890371	0.00169611307420495
groupI	2550000	2624999	2587500	446	6	0.00746407357098884	0.646323559723616	0.00490615276079748	0.000583755671717038
groupI	2625000	2699999	2662500	792	5	0.00305299970619315	0.520498370417221	0.0028794716495711	0.000219097698521566
groupI	2700000	2774999	2737500	621	5	0.00545292553891835	0.79898521941355	0.0022643377037077	5.85364991639221e-05
groupI	2775000	2849999	2812500	0	0	NA	NA	NA	NA
groupI	2850000	2924999	2887500	298	2	0.0058165548098434	0.839760626402394	0.00063758389261745	0.00112777455556476
groupI	2925000	2999999	2962500	125	0	0	NA	0	0
groupI	3000000	3074999	3037500	269	0	0	NA	0	0
groupI	3075000	3149999	3112500	729	6	0.00333746396697431	0.346773882266501	0.0017257954007982	0.00256361883919156
groupI	3150000	3224999	3187500	464	4	0.006121525877273	0.841856039504023	0.00201833607006021	7.8343030131025e-05
groupI	3225000	3299999	3262500	336	3	0.00301466625479784	0.336503185004137	0.00252584491834681	0.00146828331924486
groupI	3300000	3374999	3337500	447	2	0.00197475626260115	0.437162946640981	0.00220416279860192	8.13225189726971e-05
groupI	3375000	3449999	3412500	255	0	0	NA	0	0
groupI	3450000	3524999	3487500	764	10	0.00578500784342967	0.651536891329269	0.00412762471124957	0.000179547396921839
groupI	3525000	3599999	3562500	233	5	0.0104333850483813	0.618140062628796	0.00693523289985859	0.00143201030257509
groupI	3600000	3674999	3637500	0	0	NA	NA	NA	NA
groupI	3675000	3749999	3712500	226	1	0.00288572527895344	0.662364830640745	0.00200746106361979	0
groupI	3750000	3824999	3787500	334	3	0.00426340301852436	0.579396911803832	0.000716160272048497	0.00278186374307459
groupI	3825000	3899999	3862500	592	9	0.0050618961924109	0.551439476126703	0.00297606452739416	0.00161272383494606
groupI	3900000	3974999	3937500	350	1	0.00186813186813187	0.607605293987532	0	0.00129332206255283
groupI	3975000	4049999	4012500	264	0	0	NA	0	0
groupI	4050000	4124999	4087500	505	1	0.000366703337000366	0.142294555929649	0	0.000597590623259858
groupI	4125000	4199999	4162500	268	2	0.0019589552238806	0.356163881904072	0.00260727611940298	0
groupI	4200000	4274999	4237500	350	2	0.0035005291005291	0.561741613307805	0	0.00265203684107388
groupI	4275000	4349999	4312500	934	7	0.00426984894852202	0.574504945255348	0.00189262809520491	0.00163838694543258
