Chr	StartPos	EndPos	MidPos	TotalSites	VariableSites	Dxy	Fst	Hexp1	Hexp2
groupIV	0	74999	37500	848	3	0.00155442778526505	0.0327609538034213	0.00129856030462499	0.00157403486895938
groupIV	75000	149999	112500	188	0	0	NA	0	0
groupIV	150000	224999	187500	1237	1	0.000307964738037495	-0.0366841011678728	0.000329962219325887	0.000279449484515504
groupIV	225000	299999	262500	1333	3	0.000696602722109099	-0.0093184191057532	0.000510127531882971	0.000812575592877811
groupIV	300000	374999	337500	1014	7	0.00241939296712648	1.17674640841321e-05	0.00218843276750214	0.00241123312149508
groupIV	375000	449999	412500	590	4	0.00229176755447942	0.0128399861549706	0.00245866482186095	0.00178601694915254
groupIV	450000	524999	487500	450	0	0	NA	0	0
groupIV	525000	599999	562500	514	2	0.000984521315260615	0.0256861429729283	0.0012614726317852	0.000592304366623432
groupIV	600000	674999	637500	647	0	0	NA	0	0
groupIV	675000	749999	712500	1545	5	0.00117243826831205	-0.0302252451004887	0.001207654360647	0.00108487417350975
groupIV	750000	824999	787500	1831	9	0.00149832831973739	-0.0156395118019983	0.00139989336906355	0.00144754424617107
groupIV	825000	899999	862500	1354	10	0.00215880293936055	-0.0347879580238162	0.00218462144058756	0.00193964729608677
groupIV	900000	974999	937500	469	7	0.00558234631395612	-0.0270203504032733	0.00580579758008939	0.00520572361407249
groupIV	975000	1049999	1012500	808	7	0.00273276045938544	0.0054197675812597	0.00240848126741298	0.00285791914181248
groupIV	1050000	1124999	1087500	620	2	0.00084601814516129	0.0745530271531161	0.000479334677419355	0.00100793850806452
groupIV	1125000	1199999	1162500	0	0	NA	NA	NA	NA
groupIV	1200000	1274999	1237500	1497	7	0.00163860789679188	-0.0221731102540645	0.0017008055271087	0.00149028125085557
groupIV	1275000	1349999	1312500	1313	8	0.0018640904401091	0.0508878209366195	0.00183782859878627	0.0015472412625878
groupIV	1350000	1424999	1387500	1011	3	0.00058667785670753	0.0628637771613858	0.000459391141883723	0.000570128948871867
groupIV	1425000	1499999	1462500	1608	13	0.00253894061048764	-0.012361488121212	0.00249825073697712	0.00224049216449385
groupIV	1500000	1574999	1537500	2445	15	0.00181122526777989	0.00196424101548395	0.00177794001042259	0.00168813909955787
groupIV	1575000	1649999	1612500	2410	19	0.0027095822884853	-0.0275066072415497	0.00252384431516706	0.00279793678532711
groupIV	1650000	1724999	1687500	1049	9	0.00254352117693808	0.00413430080409803	0.00222143075221866	0.00259776507940669
groupIV	1725000	1799999	1762500	1354	4	0.000659575530328853	-0.037596995488341	0.000600597205893682	0.000708534579903472
groupIV	1800000	1874999	1837500	507	1	0.000801282051282051	-0.054945054945055	0.000739644970414201	0.000847509861932939
groupIV	1875000	1949999	1912500	315	0	0	NA	0	0
groupIV	1950000	2024999	1987500	847	2	0.000687533966754746	-0.00183397498490174	0.000758646630631789	0.000537026105207923
groupIV	2025000	2099999	2062500	830	1	0.000200803212851406	0.0909090909090909	0	0.00033467202141901
groupIV	2100000	2174999	2137500	1508	9	0.00207346121610669	-0.0114354675212028	0.00210356110005894	0.00193082623129318
groupIV	2175000	2249999	2212500	1062	9	0.00300385622312327	-0.0179842660028629	0.00291886758234367	0.00270923498850436
groupIV	2250000	2324999	2287500	543	2	0.00168707903514533	0.0609518635130878	0.00161069493363964	0.00135458046055736
groupIV	2325000	2399999	2362500	968	3	0.000763109996064541	-0.0125174874853538	0.000635046546166676	0.000850407483930211
groupIV	2400000	2474999	2437500	1688	16	0.00339809313169058	0.0378976920633257	0.00294204347248335	0.00335059365474143
groupIV	2475000	2549999	2512500	796	2	0.000664034458004308	0.0551377155151946	0.000474310327145933	0.000683975432719151
groupIV	2550000	2624999	2587500	889	6	0.00241790367721892	-0.0110598522127858	0.00243065200395869	0.00230360693911985
groupIV	2625000	2699999	2662500	516	0	0	NA	0	0
groupIV	2700000	2774999	2737500	466	3	0.00183576984978541	-0.0203957382039574	0.00185253487124464	0.00178547478540773
groupIV	2775000	2849999	2812500	2788	15	0.00195943214684248	-0.0254656792531438	0.00178928380295208	0.00198838884441536
groupIV	2850000	2924999	2887500	856	2	0.00078687816394081	-0.00265264991944011	0.000644460264148494	0.000889858352803738
groupIV	2925000	2999999	2962500	1379	14	0.00392950716611431	-0.00782322351591713	0.00404865529474621	0.00355198841938031
groupIV	3000000	3074999	3037500	1158	6	0.0015763406408646	-0.0166729904627957	0.00149192363509883	0.00158465766354073
groupIV	3075000	3149999	3112500	535	2	0.00117193294763388	-0.0572144678276652	0.00116345603662026	0.00111918772354909
groupIV	3150000	3224999	3187500	765	7	0.00220324156598667	0.0113609605434469	0.00145058544112812	0.00266610699988597
groupIV	3225000	3299999	3262500	517	0	0	NA	0	0
groupIV	3300000	3374999	3337500	1197	7	0.00249030584831023	-0.016604575041368	0.00241505818945512	0.002480544326656
groupIV	3375000	3449999	3412500	495	4	0.00375180375180375	-0.038874035269152	0.00378787878787879	0.00361039983235969
groupIV	3450000	3524999	3487500	2426	23	0.00311693768525651	-0.00733968024002491	0.00304488529078729	0.00291844309659351
groupIV	3525000	3599999	3562500	1932	21	0.00438561146356663	-0.00294857573933138	0.00437728023507176	0.00404133337197968
groupIV	3600000	3674999	3637500	1165	4	0.0013731118666741	-0.0185880601052926	0.00126223504423228	0.00135136381371262
groupIV	3675000	3749999	3712500	505	2	0.00136413641364136	-0.021925516115849	0.00118799657743552	0.0014950495049505
groupIV	3750000	3824999	3787500	1148	6	0.00202697273690305	0.0262177256623373	0.00168312223209815	0.00214915886757656
groupIV	3825000	3899999	3862500	2244	10	0.001617309705545	0.0335940590913953	0.0015710154462105	0.00138800828965183
groupIV	3900000	3974999	3937500	2150	16	0.00236066259322073	0.0158258130958208	0.00195398181887913	0.002387359187619
groupIV	3975000	4049999	4012500	1097	7	0.00258438006842747	-0.00553349517897633	0.00245963718564614	0.00247671964562185
groupIV	4050000	4124999	4087500	1736	17	0.00325334392829713	0.027425851728681	0.00281352901883785	0.00322987442489961
groupIV	4125000	4199999	4162500	1017	12	0.00305318557607766	-0.0138548040914144	0.0027773781405202	0.00310556437621295
groupIV	4200000	4274999	4237500	0	0	NA	NA	NA	NA
groupIV	4275000	4349999	4312500	177	0	0	NA	0	0
groupIV	4350000	4424999	4387500	1182	17	0.00547721008112457	0.0800072362745253	0.00508110068654062	0.0043707203548798
groupIV	4425000	4499999	4462500	775	3	0.00106270161290323	0.00664777158801062	0.000797983870967742	0.00124004256272401
groupIV	4500000	4574999	4537500	1594	4	0.000638041838441775	-0.0212563688537877	0.000514525132512227	0.000734824820507459
groupIV	4575000	4649999	4612500	1489	6	0.00103397134542198	0.0249967362616679	0.000713379598537422	0.0012369354432505
groupIV	4650000	4724999	4687500	1342	5	0.0014061451619667	0.0415103223867284	0.00119904141503095	0.00141127671728155
groupIV	4725000	4799999	4762500	718	2	0.000905644185588475	-0.0209858963312321	0.00103337758440316	0.000691542865985763
groupIV	4800000	4874999	4837500	1155	4	0.000944025671298398	-0.0274506642681054	0.000880206035164713	0.000984409330857526
groupIV	4875000	4949999	4912500	606	6	0.00286995732540287	0.00448547350572043	0.00301424530208123	0.00239936847406111
groupIV	4950000	5024999	4987500	550	0	0	NA	0	0
groupIV	5025000	5099999	5062500	1635	7	0.0014149975527078	0.0255821992433647	0.00120643071436862	0.00143965355939377
groupIV	5100000	5174999	5137500	926	4	0.00132895212538841	0.0766474627234783	0.00112563775510204	0.00120307179833327
groupIV	5175000	5249999	5212500	1066	7	0.00239990126931184	0.00433906514577819	0.00229987401703611	0.00225437484075695
groupIV	5250000	5324999	5287500	1246	2	0.000200642054574639	0.0955806783144912	0	0.000351123595505618
groupIV	5325000	5399999	5362500	3172	9	0.00100915136775793	0.0103049756103105	0.000956970295261358	0.000949047339150896
groupIV	5400000	5474999	5437500	523	2	0.00142288081580624	-0.0392264266071832	0.00141916294879966	0.00142193475143403
groupIV	5475000	5549999	5512500	969	5	0.0016590793680577	-0.0130177790046004	0.0014975784823351	0.00163918351159516
groupIV	5550000	5624999	5587500	932	3	0.00117275316779072	-0.0241022609014245	0.00114754557044563	0.00115259522532189
groupIV	5625000	5699999	5662500	1258	3	0.00108827314709668	0.0728814042566463	0.00114888297661407	0.000779014308426073
groupIV	5700000	5774999	5737500	751	2	0.00114513981358189	0.0191620656057161	0.00122503328894807	0.000898801597869507
groupIV	5775000	5849999	5812500	78	2	0.00686813186813187	-0.0912518207522919	0.00480769230769231	0.00837257980115122
groupIV	5850000	5924999	5887500	1674	14	0.00327143428761932	0.0191732766648223	0.00324026387306659	0.00293125719685747
groupIV	5925000	5999999	5962500	1004	6	0.0016473864867011	-0.0294704347729837	0.00149503690923745	0.00177316774568393
groupIV	6000000	6074999	6037500	742	1	0.00054282719377059	-0.053204793923144	0.000556865828092243	0.000527103923330338
groupIV	6075000	6149999	6112500	683	3	0.00099445454496699	-0.0100183767339418	0.000739755474040223	0.0011955018708313
groupIV	6150000	6224999	6187500	842	6	0.00163402548024356	0.0484024948522813	0.00111341516763079	0.00181731634519515
groupIV	6225000	6299999	6262500	1215	4	0.000935739157961379	-0.0331323647456555	0.00105578417924097	0.000781270714793982
groupIV	6300000	6374999	6337500	1209	12	0.00378119195401963	-0.00587475764790497	0.00397175382594449	0.00324368161864199
groupIV	6375000	6449999	6412500	1701	10	0.00185757023845725	0.0331008770375988	0.00184796012740101	0.00157909867103999
groupIV	6450000	6524999	6487500	1124	2	0.000621038145017794	0.0151091214325686	0.000443102201957295	0.000727799710854093
groupIV	6525000	6599999	6562500	539	1	0.000252993759487265	0.0205250354753699	0	0.000436989220932551
groupIV	6600000	6674999	6637500	1457	8	0.00157263429934157	0.0111241829898332	0.00157160311838481	0.00139320053462497
groupIV	6675000	6749999	6712500	1928	5	0.00106693720137055	0.0301428106903186	0.000965268192582178	0.00104286429518211
groupIV	6750000	6824999	6787500	1027	8	0.00304172357178686	-0.0100504645579426	0.00302157437950838	0.00285434433350501
groupIV	6825000	6899999	6862500	956	5	0.000936022441644826	-0.00955082025919107	0.00104810118172353	0.000754780560721111
groupIV	6900000	6974999	6937500	937	5	0.0014101814822199	-0.0251319372437586	0.00143381488755432	0.00135094858603349
groupIV	6975000	7049999	7012500	799	5	0.00130980864079411	0.0230625689524294	0.00114780389729012	0.00128693278788568
groupIV	7050000	7124999	7087500	1369	2	0.000447406866325785	-0.0323055786903951	0.000467494521548576	0.000425467697427157
groupIV	7125000	7199999	7162500	911	1	0.000495249039517014	-0.0297258297258297	0.000495249039517014	0.000495249039517014
groupIV	7200000	7274999	7237500	196	3	0.00514190051020408	-0.0232558139534884	0.00538105867346939	0.0047233737244898
groupIV	7275000	7349999	7312500	675	0	0	NA	0	0
groupIV	7350000	7424999	7387500	1256	14	0.00322490907557587	0.0360209986266815	0.00270132650467837	0.00328448457300435
groupIV	7425000	7499999	7462500	557	0	0	NA	0	0
groupIV	7500000	7574999	7537500	2032	1	7.11275836614173e-05	-0.0234234234234234	8.3622969980315e-05	5.76710137795276e-05
