Chr	StartPos	EndPos	MidPos	TotalSites	VariableSites	Dxy	Fst	Hexp1	Hexp2
groupIII	0	74999	37500	45099	959	0.0146393636946564	0.826781983265846	0.00299180378689684	0.00173194312648228
groupIII	75000	149999	112500	55015	999	0.012090855014186	0.807198095534778	0.00261157712501826	0.00173082315418821
groupIII	150000	224999	187500	61258	1089	0.0119784536888476	0.832867384601305	0.00184819040295278	0.00188729815307014
groupIII	225000	299999	262500	63888	1469	0.0157905822726975	0.835914157441582	0.00212865553666266	0.00274693461351796
groupIII	300000	374999	337500	56101	1349	0.015921525031021	0.808339394662917	0.00289108221703802	0.00277122066318194
groupIII	375000	449999	412500	53301	1365	0.0174131848922568	0.824834459598576	0.00283410496131562	0.00278854271441602
groupIII	450000	524999	487500	63034	1518	0.0169491527090948	0.8519941106977	0.00219252529517058	0.0024916926671939
groupIII	525000	599999	562500	69703	1780	0.0157721280394142	0.778827565942591	0.00403559508055933	0.00241848218061452
groupIII	600000	674999	637500	67059	1598	0.0160537064946768	0.825263576091564	0.00270781233478395	0.00252508243874256
groupIII	675000	749999	712500	61424	1548	0.0164928264871982	0.807676269896666	0.00325849237709975	0.0026241242126952
groupIII	750000	824999	787500	65347	1577	0.0151598003330519	0.799960077266853	0.00339110571093226	0.0022273810699289
groupIII	825000	899999	862500	66734	1637	0.0161017002398156	0.81218516158001	0.00293886736258624	0.00269208526683968
groupIII	900000	974999	937500	69015	1315	0.0119063735754148	0.795328262194484	0.00262427844607379	0.00188963957192914
groupIII	975000	1049999	1012500	70371	1012	0.00879294609802256	0.777259090216411	0.00234376302519226	0.00127284322673568
groupIII	1050000	1124999	1087500	69470	1333	0.0103066331793981	0.623609373448074	0.00485991567348114	0.00229943211510409
groupIII	1125000	1199999	1162500	70001	1676	0.0149718901610443	0.796823236295174	0.00327394684165672	0.00237268494560865
groupIII	1200000	1274999	1237500	71197	1256	0.0111650191647512	0.799909297857194	0.00216527280053043	0.00197341787033881
groupIII	1275000	1349999	1312500	69280	1781	0.0152208641287057	0.763864292130536	0.00394476062172367	0.0027164385980287
groupIII	1350000	1424999	1387500	68986	1464	0.013874837011772	0.822024035325668	0.00240166755259685	0.00218548637008607
groupIII	1425000	1499999	1462500	68104	1732	0.0157684344453647	0.778735893313183	0.00378136609395315	0.00273028890405177
groupIII	1500000	1574999	1537500	70355	1738	0.0164294602337417	0.821101182609219	0.00297233275254052	0.00248929465420831
groupIII	1575000	1649999	1612500	67724	1437	0.0136395772926588	0.812271275707229	0.00245642820847749	0.00229562566688913
groupIII	1650000	1724999	1687500	68589	1670	0.014779440271324	0.763116425137223	0.00342238162292672	0.00311144954951855
groupIII	1725000	1799999	1762500	56781	1624	0.0183210127287796	0.800547361215896	0.00314381026181629	0.00376614384798083
groupIII	1800000	1874999	1837500	69722	1766	0.0159779212301417	0.806002708142548	0.00327988112418409	0.00249508072259243
groupIII	1875000	1949999	1912500	69491	1956	0.0167906782741829	0.770026447569264	0.00413672414829425	0.00304704463882515
groupIII	1950000	2024999	1987500	68342	1733	0.0151675452635474	0.774077601964926	0.00353612118200904	0.00280924176465822
groupIII	2025000	2099999	2062500	67473	1314	0.0117419381563829	0.773955517003069	0.00295732329842998	0.00196156050183574
groupIII	2100000	2174999	2137500	68611	1648	0.0153080247180273	0.809777155207771	0.00294813696261129	0.00251541200959063
groupIII	2175000	2249999	2212500	68729	1422	0.0132356687764515	0.813467572618652	0.00255203622040609	0.00202424808283637
groupIII	2250000	2324999	2287500	68729	1432	0.0145742742891508	0.871028695323094	0.00181766958360796	0.0016441447181772
groupIII	2325000	2399999	2362500	70687	1445	0.013912276139772	0.84872602170855	0.00202504619226652	0.00185956285657698
groupIII	2400000	2474999	2437500	69595	1474	0.0140035518302443	0.833576159463419	0.00228062479931264	0.00202821490152207
groupIII	2475000	2549999	2512500	67471	1359	0.01306226773846	0.827580725947014	0.00246651621612121	0.00166796549460689
groupIII	2550000	2624999	2587500	65756	1341	0.014522165187171	0.860677806523403	0.00199877138247578	0.00174179175936145
groupIII	2625000	2699999	2662500	68518	1427	0.0141150763907049	0.847292834802011	0.00202286638029605	0.00200805001403541
groupIII	2700000	2774999	2737500	69342	1252	0.0136763688487134	0.883918783905945	0.00135778166277423	0.00163789838075251
groupIII	2775000	2849999	2812500	58952	1120	0.0143297932617035	0.884555214026798	0.00119364581775511	0.00198604248038836
groupIII	2850000	2924999	2887500	65932	1145	0.0129270620915963	0.874909263680345	0.00130511054954854	0.00174367694837242
groupIII	2925000	2999999	2962500	67465	1215	0.0142246290299514	0.902484555877206	0.00127092084826717	0.00137518501867013
groupIII	3000000	3074999	3037500	68612	977	0.0106703273479858	0.891122360076488	0.00106637510678206	0.00109147187533752
groupIII	3075000	3149999	3112500	69771	889	0.00998039699748556	0.920271697836088	0.000934222534403203	0.000541882535239759
groupIII	3150000	3224999	3187500	64107	1064	0.0115246846440335	0.841963481041914	0.0018462001060479	0.00158239490218433
groupIII	3225000	3299999	3262500	49533	1038	0.0124716660582631	0.760482704060865	0.00208787049500383	0.00367571094464475
groupIII	3300000	3374999	3337500	48505	1159	0.0161136735558739	0.829725428527855	0.00235799603145385	0.00286027660729274
groupIII	3375000	3449999	3412500	47410	903	0.0136744885045349	0.880191364337347	0.00149949565796226	0.00159391750618549
groupIII	3450000	3524999	3487500	54496	1000	0.0142606726612401	0.915523453460408	0.00129642745420247	0.000932306940104532
groupIII	3525000	3599999	3562500	54415	1074	0.0151528881300445	0.898287996688995	0.00121206869375212	0.00172167741487848
groupIII	3600000	3674999	3637500	63930	980	0.0119323510727613	0.906208281699168	0.000901540231166245	0.00119285021741112
groupIII	3675000	3749999	3712500	66057	1161	0.0127813010160743	0.876421282735283	0.00200576626566275	0.000909790624118104
groupIII	3750000	3824999	3787500	66812	1278	0.0147557371062037	0.91599923834623	0.00123124023726915	0.00108813479641592
groupIII	3825000	3899999	3862500	68566	1056	0.0118721701938804	0.907285603968288	0.000988427839244284	0.0011055963412745
groupIII	3900000	3974999	3937500	60149	1087	0.0141032336308145	0.919858988893942	0.000903126979094131	0.00122450778554119
groupIII	3975000	4049999	4012500	68179	1280	0.0136737545431545	0.882915982629556	0.00149356481507812	0.00152684041099096
groupIII	4050000	4124999	4087500	65461	1579	0.0164361722828787	0.859795477198642	0.00227105717747297	0.00204089866164967
groupIII	4125000	4199999	4162500	59844	1568	0.0191610314794656	0.884099560381427	0.00159518751257048	0.00267656140754321
groupIII	4200000	4274999	4237500	59029	1428	0.0165189060407066	0.855074931755722	0.00243863600048771	0.00204503483462085
groupIII	4275000	4349999	4312500	56153	1551	0.0173945942729842	0.80079522285009	0.00370094667759244	0.00277105796357805
groupIII	4350000	4424999	4387500	61883	1709	0.0168494342131921	0.771762082289638	0.00366674860710192	0.00355051862233402
groupIII	4425000	4499999	4462500	64436	1412	0.0151608681060108	0.861161128362247	0.0022937114345138	0.00165250967218576
groupIII	4500000	4574999	4537500	59650	1747	0.0183798721709975	0.809105366426621	0.00370645933002986	0.00280323779064573
groupIII	4575000	4649999	4612500	66065	1196	0.0111999420621449	0.811844765867999	0.00209100329881946	0.00182721616800811
