Chr	StartPos	EndPos	MidPos	TotalSites	VariableSites	Dxy	Fst	Hexp1	Hexp2
groupIV	0	74999	37500	1052	4	0.00152385164564347	0.00177026143422042	0.00157408415921466	0.0013825039275765
groupIV	75000	149999	112500	252	0	0	NA	0	0
groupIV	150000	224999	187500	1412	3	0.000602839714886228	0.00151746715269971	0.000705448831444759	0.000468424357300144
groupIV	225000	299999	262500	1543	4	0.00095437210229822	-0.0035491372490937	0.000825299740764744	0.00102185441598756
groupIV	300000	374999	337500	1078	9	0.0024635292933973	-0.0272167030955763	0.00238481548179981	0.00246600102953211
groupIV	375000	449999	412500	768	3	0.00186554586194641	-0.0203951073985432	0.00188675957740267	0.00175835425103688
groupIV	450000	524999	487500	492	1	0.00101626016260163	-0.0430246780343909	0.00101626016260163	0.00100499966218499
groupIV	525000	599999	562500	526	5	0.0027779394394006	0.0107160576684766	0.0032345712167947	0.00209535018062992
groupIV	600000	674999	637500	922	2	0.000881236442516269	-0.020157255182273	0.000813449023861171	0.000932077006507592
groupIV	675000	749999	712500	1672	10	0.00192261216796508	0.005835272381347	0.00179572964303345	0.00190182398716146
groupIV	750000	824999	787500	2163	11	0.00138599848213689	7.5114168344051e-05	0.0010720027577927	0.00156152443893117
groupIV	825000	899999	862500	1378	13	0.0027984844414394	-0.00855093774907564	0.00275162176721678	0.0026615477453942
groupIV	900000	974999	937500	642	8	0.00509467964846735	0.060034024912	0.00477740746348343	0.00459283286941405
groupIV	975000	1049999	1012500	1406	11	0.00244853357013798	-0.0161261528641562	0.0023593896420946	0.00243521881183445
groupIV	1050000	1124999	1087500	648	1	0.000285779606767261	-0.036534132025408	0.000304831580551745	0.000265950001399736
groupIV	1125000	1199999	1162500	0	0	NA	NA	NA	NA
groupIV	1200000	1274999	1237500	1591	9	0.00150226239983039	0.00199441238526671	0.00137984628528968	0.0015085703748538
groupIV	1275000	1349999	1312500	1450	14	0.00357909584748824	0.0197807984880612	0.00339255905237831	0.0033263682883534
groupIV	1350000	1424999	1387500	1069	4	0.000838803472105623	-0.0390076532810255	0.000732122440494751	0.000889579289113961
groupIV	1425000	1499999	1462500	2027	11	0.0018954808977049	0.0168459867854869	0.00171934104302155	0.00183582809346114
groupIV	1500000	1574999	1537500	2656	18	0.00193905974069318	-0.0141630933538927	0.00185443850180272	0.00192871043659305
groupIV	1575000	1649999	1612500	2559	17	0.00195589228528342	-0.00982621046702677	0.0019294512264019	0.00189613538452421
