Chr	StartPos	EndPos	MidPos	TotalSites	VariableSites	Dxy	Fst	Hexp1	Hexp2
groupI	0	74999	37500	595	1	0.000202984419574281	0.032995571148268	0.000293811593315787	9.70626345776405e-05
groupI	75000	149999	112500	524	1	0.000866088491139399	0.0615508081054826	0.000924482949893025	0.000692942130881557
groupI	150000	224999	187500	778	3	0.00153952455585137	0.0147668373888223	0.0013682191522012	0.00164216010605463
groupI	225000	299999	262500	87	1	0.00116704100057251	-0.00822963747783784	0.00120618702994182	0.00112755750543278
groupI	300000	374999	337500	245	0	0	NA	0	0
groupI	375000	449999	412500	697	2	0.00115351506456241	0.0202443772441925	0.00125896700143472	0.000984791965566715
groupI	450000	524999	487500	734	0	0	NA	0	0
groupI	525000	599999	562500	766	5	0.00244967578488717	-0.000643631519632382	0.00245493862416594	0.00236146996229596
groupI	600000	674999	637500	454	7	0.00379750735421882	0.018624688204388	0.00302262739730726	0.00427709319446245
groupI	675000	749999	712500	576	7	0.00532345604101016	0.0298591299797738	0.00518839597121499	0.00506880403986213
groupI	750000	824999	787500	468	2	0.00206884687816891	-0.00788506957545152	0.00207536885215713	0.00206163194444444
groupI	825000	899999	862500	199	1	0.00227488795327991	0.0310158233519554	0.00241206030150754	0.0019504938865254
groupI	900000	974999	937500	923	8	0.0030533975983707	0.323804530549997	0.00173113135782029	0.00211692306906095
groupI	975000	1049999	1012500	441	7	0.00580366019009948	0.196633565933548	0.00516340754292103	0.0041906653687243
groupI	1050000	1124999	1087500	169	0	0	NA	0	0
groupI	1125000	1199999	1162500	240	1	0.00206290849673202	-0.00477096948305111	0.00207137664524028	0.0020484429065744
groupI	1200000	1274999	1237500	759	12	0.00502729709533013	0.122563709045145	0.00416295657876925	0.00450661125193982
groupI	1275000	1349999	1312500	564	11	0.00674890372443213	0.0136380398810206	0.00637999115002774	0.00673361072033339
groupI	1350000	1424999	1387500	456	6	0.0043791086389337	0.0141012488849217	0.0039288419547452	0.00457618538895023
groupI	1425000	1499999	1462500	494	4	0.00223086251769315	-0.00652197599726651	0.00217066040118473	0.00217120287317616
groupI	1500000	1574999	1537500	230	5	0.00758395034766579	-0.0643225209350067	0.0072214653560683	0.00777316709438947
groupI	1575000	1649999	1612500	465	1	0.000513912311967499	-0.00635530113711671	0.000533718237051458	0.000493382032256643
groupI	1650000	1724999	1687500	363	2	0.00159386068476978	-0.0349871559411764	0.0018316748186878	0.00123510147860797
groupI	1725000	1799999	1762500	412	1	0.000455512701157068	-0.0162149278595149	0.000436893203883495	0.000473685840619289
groupI	1800000	1874999	1837500	231	5	0.00575768633134102	0.0159666786139781	0.00435827248150817	0.00679850097138043
groupI	1875000	1949999	1912500	775	10	0.00412193521992071	0.0798903452289437	0.00341729734976926	0.00401621270307744
groupI	1950000	2024999	1987500	577	10	0.00747296622700246	0.0233324852986058	0.00766860980916801	0.00685607414053242
groupI	2025000	2099999	2062500	397	8	0.0055011669857563	0.0450568878384895	0.00421138896401033	0.00614009144756527
groupI	2100000	2174999	2137500	439	6	0.00332316338938958	0.0434760413365128	0.00242283372137268	0.00385858438437757
groupI	2175000	2249999	2212500	135	0	0	NA	0	0
groupI	2250000	2324999	2287500	926	7	0.00279017845255758	0.0155006934308625	0.00286534046130798	0.00259177704652538
groupI	2325000	2399999	2362500	514	8	0.00561720724598133	0.265047431679362	0.00239701644140315	0.00547174816443295
groupI	2400000	2474999	2437500	259	10	0.0181301822162344	0.115256992915592	0.0152548935665157	0.0164043265875961
groupI	2475000	2549999	2512500	326	7	0.00867181062354394	0.139639922281749	0.00708020008004277	0.00764150194635629
groupI	2550000	2624999	2587500	413	10	0.00972895560805218	0.00271719255233717	0.00950440679853372	0.0097835669425142
groupI	2625000	2699999	2662500	820	13	0.00596029690910122	0.112443389491117	0.00481183072127719	0.00551909468887258
groupI	2700000	2774999	2737500	721	14	0.00753557257032518	0.168430991440709	0.0069524548857321	0.00549055038828973
groupI	2775000	2849999	2812500	58	0	0	NA	0	0
groupI	2850000	2924999	2887500	429	4	0.00279950851564311	0.0975640121426044	0.00195043052185909	0.00296418227641668
groupI	2925000	2999999	2962500	209	1	0.00127331730524688	0.104659515294292	0.000529792553103426	0.00172002936516922
groupI	3000000	3074999	3037500	263	5	0.00408537486698617	0.0325455166952892	0.00288600502173238	0.00492859063007585
groupI	3075000	3149999	3112500	759	13	0.00609070809466736	0.0236735166226519	0.00640149404294046	0.00530554428618138
groupI	3150000	3224999	3187500	457	4	0.00169612611137525	0.0404183369774962	0.00149106679174564	0.00174139163195834
groupI	3225000	3299999	3262500	395	7	0.00464483799332705	0.0438485946921017	0.00416040358876261	0.00461009333849521
groupI	3300000	3374999	3337500	631	8	0.00369842738140942	0.0660050302001404	0.0033273825417468	0.00341962256880547
groupI	3375000	3449999	3412500	340	1	0.00157043254586069	0.395257217090558	0.00145843461351483	0.000650348266209224
groupI	3450000	3524999	3487500	802	11	0.00463636008083279	0.0349128139977079	0.0040760290405697	0.00478740187213846
groupI	3525000	3599999	3562500	227	3	0.00321594742761302	-0.000515920484836345	0.00314074329691955	0.00324796782285822
groupI	3600000	3674999	3637500	0	0	NA	NA	NA	NA
groupI	3675000	3749999	3712500	341	0	0	NA	0	0
groupI	3750000	3824999	3787500	399	4	0.0036550780877612	0.0106548187036966	0.00391666361845216	0.00325728424622574
groupI	3825000	3899999	3862500	678	12	0.00622940640641802	0.0125204843490055	0.00584991384145675	0.00634159339898438
groupI	3900000	3974999	3937500	349	2	0.00115050382219821	0.140773666560725	0.000746002950102576	0.00118756940278008
groupI	3975000	4049999	4012500	259	1	0.000578500578500579	0.000968970734229242	0.000405167071833737	0.000732137095773459
groupI	4050000	4124999	4087500	501	1	0.000265453288824649	0.0507679173981622	9.13699943862275e-05	0.000406110753786389
groupI	4125000	4199999	4162500	341	1	0.00117571588752803	0.0283612270237554	0.00129301457111437	0.000979005367888056
groupI	4200000	4274999	4237500	345	2	0.00260030582281222	0.0413966840808311	0.00276673202829172	0.00219993899821699
groupI	4275000	4349999	4312500	982	12	0.00382941294319651	0.0606728788633879	0.00356410412616282	0.00356049476102565
groupI	4350000	4424999	4387500	336	2	0.00235034489986471	0.0212223338187505	0.0022196312873889	0.00234771487960263
groupI	4425000	4499999	4462500	613	5	0.00142843236244832	0.0964918005613592	0.000477511414423198	0.00198438665577114
groupI	4500000	4574999	4537500	241	3	0.00620948392148342	0.119761437750781	0.00556834550686722	0.0053044988755756
groupI	4575000	4649999	4612500	247	1	0.000493729633652611	0.0933254557680353	0	0.000867037405438733
groupI	4650000	4724999	4687500	258	1	0.00132382839242371	0.0103647697648544	0.00146977278648878	0.00113239225665142
groupI	4725000	4799999	4762500	721	11	0.00569618332504089	0.0267815492253594	0.00519761669736874	0.0057983673527905
groupI	4800000	4874999	4837500	115	1	0.00287633960797379	-0.00460680265248499	0.00300590445517982	0.00273426505138236
groupI	4875000	4949999	4912500	205	4	0.00746416573233225	-0.00140606824835369	0.00734432474981037	0.00750121613851838
groupI	4950000	5024999	4987500	0	0	NA	NA	NA	NA
groupI	5025000	5099999	5062500	101	2	0.00300805217320638	0.0859601799055917	0.000701248758093803	0.00467010750565945
groupI	5100000	5174999	5137500	208	1	0.000806844578538433	0.00705578621099403	0.000602434155285572	0.0009880600740525
groupI	5175000	5249999	5212500	355	4	0.00311980644370434	0.0338247367400639	0.00292556041522417	0.00305365675195655
groupI	5250000	5324999	5287500	116	0	0	NA	0	0
groupI	5325000	5399999	5362500	104	2	0.00535979634721844	0.0546108651100547	0.00343431089636658	0.00662121598252129
groupI	5400000	5474999	5437500	471	1	0.00104312572652775	0.0188445790194291	0.00105755097425847	0.000976939295763265
groupI	5475000	5549999	5512500	805	16	0.00534006221558213	0.0121973861115629	0.00536195176800926	0.00506571728300134
groupI	5550000	5624999	5587500	471	5	0.00338697889387234	0.00732405613173687	0.00304175279446649	0.00353482588657212
groupI	5625000	5699999	5662500	113	0	0	NA	0	0
groupI	5700000	5774999	5737500	758	8	0.00290062377526676	0.0313750491215679	0.00325751395930271	0.0022991856916425
groupI	5775000	5849999	5812500	1230	4	0.000907912674217141	0.0171287781611837	0.000802549900613245	0.000967324885382052
groupI	5850000	5924999	5887500	504	2	0.00165602571535828	0.0588906342398406	0.00149776592000704	0.00159731893598791
groupI	5925000	5999999	5962500	478	2	0.00160274391568097	0.129520203040053	0.00114329820040249	0.00162260471913763
groupI	6000000	6074999	6037500	107	3	0.00920110386508309	0.0295281196418438	0.00707147241222548	0.0106606596156643
groupI	6075000	6149999	6112500	611	4	0.00215162581255791	0.043992887634933	0.00174385139219596	0.00233568347912959
groupI	6150000	6224999	6187500	290	3	0.00298950669458076	-0.000316583209041212	0.00281305868009303	0.003129054737468
groupI	6225000	6299999	6262500	354	2	0.00129342146488382	0.0171203788485013	0.00152174639788721	0.00100508596798392
groupI	6300000	6374999	6337500	228	3	0.00754492199356523	0.723230153041047	0.00324726446306077	0.000870818915801614
groupI	6375000	6449999	6412500	241	2	0.00312585063622408	0.294485863347564	0	0.00366999307736993
groupI	6450000	6524999	6487500	242	7	0.00736402832381156	0.0287816012059582	0.00670236339194376	0.00749887528966386
groupI	6525000	6599999	6562500	360	2	0.00174866433969616	0.0679118708131401	0.00153561679907976	0.00169823195539318
groupI	6600000	6674999	6637500	0	0	NA	NA	NA	NA
groupI	6675000	6749999	6712500	116	1	0.00431034482758621	0.632748028227732	0.00431034482758621	0.000790865998268103
groupI	6750000	6824999	6787500	431	4	0.00296348265427316	0.0963670445394066	0.00241769112639945	0.00285095594480175
groupI	6825000	6899999	6862500	250	0	0	NA	0	0
groupI	6900000	6974999	6937500	0	0	NA	NA	NA	NA
groupI	6975000	7049999	7012500	551	8	0.00494971308849786	0.0386956476001817	0.00390810773291582	0.00549351703004434
groupI	7050000	7124999	7087500	443	5	0.00524992117921668	0.144121823522055	0.00386885181538104	0.00503706476731003
