Chr	StartPos	EndPos	MidPos	TotalSites	VariableSites	Dxy	Fst	Hexp1	Hexp2
groupI	0	74999	37500	592	2	0.00153800958148784	0.386645755752014	0.000614686047105706	0.00121347952982568
groupI	75000	149999	112500	514	2	0.00185473411154345	0.741792335364103	0.000951318633808907	0
groupI	150000	224999	187500	685	1	0.000140370578326783	0.073770909165973	0	0.000253746814667645
groupI	225000	299999	262500	102	0	0	NA	0	0
groupI	300000	374999	337500	184	0	0	NA	0	0
groupI	375000	449999	412500	699	4	0.00189177179520527	0.595916972021306	0	0.00129006568152588
groupI	450000	524999	487500	555	0	0	NA	0	0
groupI	525000	599999	562500	673	2	0.00218972393837491	0.894149588326387	0.000819088465670315	0
groupI	600000	674999	637500	352	5	0.00630807152406417	0.36298329153466	0.0027157596728531	0.00497898910984849
groupI	675000	749999	712500	596	6	0.00469597152191258	0.587845760973458	0.00122662267711724	0.00247954807195902
groupI	750000	824999	787500	293	1	0.00140534029311383	0.367807565695944	0	0.00165334152131039
groupI	825000	899999	862500	64	0	0	NA	0	0
groupI	900000	974999	937500	586	1	0.0016615771510688	0.977181254774619	8.7451429003621e-05	0
groupI	975000	1049999	1012500	455	1	0.0011988011988012	0.642300232828027	0	0.00108981927163745
groupI	1050000	1124999	1087500	284	0	0	NA	0	0
groupI	1125000	1199999	1162500	218	1	0.00234136085626911	0.123496659163463	0.00228959607543323	0.00172018348623853
groupI	1200000	1274999	1237500	618	3	0.00279193236437449	0.665555079113529	0.000377003504337335	0.0014267038164723
groupI	1275000	1349999	1312500	380	2	0.00459928229665072	0.921496865764016	0.00105260439321444	0
groupI	1350000	1424999	1387500	330	4	0.00418026418026418	0.183024882138381	0.00281481481481481	0.00384615384615385
groupI	1425000	1499999	1462500	341	3	0.00392829718342915	0.474918146647168	0.00228610941309777	0.00184802790261847
groupI	1500000	1574999	1537500	232	2	0.00330837870538415	0.474723014388615	0	0.00339079796436039
groupI	1575000	1649999	1612500	473	0	0	NA	0	0
