"lg" "pos1" "pos2" "rate"
1 715798 983330 2.660815301
1 983331 1236417 3.769782723
1 1236418 1330208 5.296042264
1 1330209 1391915 20.17579853
1 1391916 1464000 2.965930499
1 1464001 1911436 19.6858791
1 1911437 1913462 247.0608095
1 1913463 2092038 8.803703745
1 2092039 2169783 21.68186507
1 2169784 2363639 11.6336198
1 2363640 2544241 14.93537502
1 2544242 2551672 47.78806352
1 2551673 2589721 9.336221714
1 2589722 2659117 21.47648568
1 2659118 3037319 7.449717082
1 3037320 3152276 3.090121524
1 3152277 4319658 7.087305098
1 4319659 4335072 27.62538601
1 4335073 6301896 3.282861405
1 6301897 6550219 1.501187566
1 6550220 6596684 7.827074142
1 6596685 7132319 0.339112269
1 7132320 7469158 0.526879904
1 7469159 7604030 1.315794235
1 7604031 8131876 0.673102003
1 8131877 9598491 1.097867061
1 9598492 9945959 1.535327282
1 9945960 12991415 0.116661971
1 12991416 13376378 0.922960908
1 13376379 13833891 0.38792231
1 13833892 13973589 1.270452691
1 13973590 14598901 0.283830952
1 14598902 15464652 0.410401028
1 15464653 15819235 0.500516945
1 15819236 16469279 0.273027672
1 16469280 18081756 0.663785344
1 18081757 19749589 0.213030801
1 20035611 20094256 9.8763087
1 20094257 20406713 5.264867486
1 20406714 20727495 5.875560973
1 20727496 20739850 14.35558883
1 20739851 20798036 3.049175059
1 20798037 21023542 3.609030358
1 21023543 21255007 2.632909079
1 21255008 21424289 10.56794993
1 21424290 21460023 24.91925337
1 21460024 21919654 0.772829074
1 21919655 21954115 5.149319521
1 21954116 21974474 20.34899553
1 21974475 22033444 14.09680855
1 22033445 22053314 31.66985908
1 22053315 22462553 4.136321807
1 22462554 22534232 8.057828653
1 22534233 22707912 7.524444956
1 22707913 22871469 2.643010082
1 22871470 22935134 2.787402812
1 22935135 23065327 8.220252241
1 23065328 23195601 1.362000092
1 23195602 23357908 1.093479024
1 23357909 23376739 20.79055281
1 23376740 23499877 5.482228069
1 23499878 23825248 2.621374984
1 23825249 24135008 7.673123709
1 24135009 24593361 0.386978595
1 24593362 24898852 3.570812233
1 24898853 24989686 9.587924125
1 24989687 25143764 4.622407482
1 25143765 25662395 4.156878204
1 25662396 26510322 0.629163713
1 26510323 27013226 0.352922824
1 27866151 27955699 5.955552826
1 27955700 28144937 4.705721895
2 1210852 2550239 1.201723324
2 2550240 3126021 1.159364308
2 3126022 3210498 2.622844088
2 3210499 3515995 1.746037768
2 3515996 3675533 3.343281225
2 3675534 3762186 4.438445293
2 3762187 4000000 5.424842944
2 4000001 4351184 1.826756344
2 4351185 4523619 3.093081451
2 4523620 4743030 1.61901272
2 4743031 5344760 2.075954498
2 5344761 5395534 6.996454878
2 5395535 5633642 2.240041914
2 5633643 5665753 12.28870481
2 5665754 5772380 4.31581213
2 5772381 6050141 3.328903266
2 6050142 6075091 7.111350701
2 6075092 6079146 43.73124538
2 6079147 6833375 3.739663153
2 6833376 8314680 0.972844485
2 8314681 8355644 5.488917098
2 8355645 8529365 5.126864916
2 8529366 8595835 1.333354897
2 8595836 8602012 14.36161567
2 8602013 8680760 2.253536598
2 8680761 8753413 4.889703109
2 8753414 9355423 1.182391322
2 9355424 9790003 3.658481983
2 9790004 10052990 0.374079707
2 10052991 10146053 1.055366795
2 10146054 10413469 0.663640171
2 10413470 10641127 1.560461306
2 10641128 11143793 0.353029447
2 11143794 11407651 1.346391241
2 11407652 11698397 1.221831083
2 11698398 13352341 0.107296196
2 13352342 13491924 1.271304528
2 13491925 13803475 1.140267886
2 13803476 14179562 0.47186635
2 14179563 14740149 0.951431446
2 14740150 15452289 0.249168001
2 15452290 15651698 0.889848001
2 15651699 16326332 0.790414951
2 16326333 17811660 2.056990443
2 17811661 17898053 2.16824627
2 17898054 17927279 6.071833299
2 17927280 18007864 4.408556183
2 18007865 18021346 28.7088785
2 18021347 18693726 8.598685713
2 18693727 18750056 10.55016865
2 18750057 18777732 6.411327504
2 18777733 18800290 18.36733753
2 18800291 18930998 6.361576185
2 18930999 19208761 7.672666266
2 19208762 19536785 12.99346999
2 19536786 19830389 9.686768232
2 19830390 20012559 13.39080859
2 20012560 20126065 11.55579881
2 20126066 20198343 10.77393121
2 20198344 20297049 18.71282394
2 20297050 20871566 11.66083841
2 20871567 20955834 2.154510609
2 20955835 21017516 6.231670504
2 21017517 21206815 9.225480325
2 21206816 21213734 27.73288047
2 21213735 21245472 24.08336064
2 21245473 21361230 15.76766789
2 21361231 21564554 3.079413645
2 21564555 21696833 4.609802009
2 21696834 21814245 6.936359997
2 21814246 21963567 3.572695249
2 21963568 21999411 14.88382993
2 21999412 22061012 8.660969789
2 22061013 22116617 3.191328118
2 22116618 22149462 10.81820064
2 22149463 22157165 45.64356744
3 689236 947277 4.36169267
3 947278 1199651 5.547922924
3 1199652 1653088 3.965105627
3 1653089 1675886 19.94270989
3 1675887 1878154 2.81252645
3 1878155 2035076 4.534255872
3 2035077 2289378 3.500208414
3 2289379 3898235 0.645496585
3 3898236 5214420 1.108200899
3 5214421 5263777 3.593879288
3 5263778 5585737 1.103205988
3 5585738 5890766 0.581749604
3 5890767 5991257 1.765832761
3 5991258 6734210 0.957822904
3 6734211 6810396 4.662592865
3 6810397 6994046 0.966064253
3 6994047 7498749 1.502866835
3 7498750 8515948 2.067304923
3 8515949 8718045 0.878017981
3 8718046 8808333 3.934147395
3 8808334 9127833 1.669010329
3 9127834 9608043 1.110430437
3 9608044 9871896 1.346210958
3 9871897 10195259 1.098461791
3 10195260 10388336 1.839720422
3 10388337 10492594 2.2681118
3 10492595 10789069 1.598923687
3 10789070 10901717 6.317448157
3 10901718 11137604 1.505775647
3 11137605 11311266 1.103495295
3 11311267 12505929 1.801441243
3 12505930 12891582 4.684211454
3 12891583 13014992 5.494426708
3 13014993 13197286 1.017972616
3 13197287 13964816 8.221300535
3 13964817 14416367 4.816230503
3 14416368 14525075 10.06856717
3 14525076 14693503 12.01643017
3 14693504 14877319 17.64056013
3 14877320 15014394 8.58430859
3 15014395 15272237 3.035278832
3 15272238 15812848 2.171140247
3 15812849 15869592 9.748260609
3 15869593 15892690 12.54825093
3 15892691 16335987 11.35335136
4 570693 1090515 2.748496315
4 1090516 1372198 10.20164724
4 1372199 1416215 19.73300089
4 1416216 1710912 2.514214261
4 1710913 1840361 1.59652141
4 1840362 1944600 9.977945874
4 1944601 2337600 7.858572265
4 2337601 2344100 63.02810769
4 2344101 3183661 10.68409371
4 3183662 3541899 7.723994663
4 3541900 3763385 15.73097126
4 3763386 3846428 2.71334971
4 3846429 4185607 9.527092184
4 4185608 4188425 73.09166075
4 4188426 4637636 9.287645449
4 4637637 4967368 4.172159511
4 4967369 5255599 2.034505657
4 5255600 5455187 2.672473796
4 5455188 5552425 1.824814373
4 5552426 5835065 2.518643504
4 5835066 6024096 5.238808449
4 6024097 6309217 2.774711088
4 6309218 6404573 1.860764923
4 6404574 6467219 2.832857645
4 6467220 6528988 2.872933025
4 6528989 7366330 0.211951867
4 7366331 7965857 0.741072712
4 7965858 9103000 0.390715855
4 9103001 10235819 0.376329228
4 10235820 11192842 0.669440128
4 11192843 11693746 0.709255266
4 11693747 11984797 0.609742279
4 11984798 12377328 0.905096668
4 12377329 12831063 0.391110891
4 12831064 12962773 4.0499795
4 12962774 13354106 0.907821983
4 13354107 14163640 0.438857046
4 14163641 14417576 1.679794909
4 14417577 15026625 0.349534274
4 15026626 15631335 0.705370508
4 15631336 17771380 0.249248824
4 18291570 18403594 1.584174961
4 18403595 18501378 3.633486051
4 18501379 18880314 1.879050552
4 18880315 19344934 1.532368818
4 19344935 20463111 1.117671889
4 20463112 21388053 0.191864787
4 21388054 24536930 0.112831559
4 24536931 28016527 0.102103577
4 28479447 29406006 2.213059273
4 29406007 29785599 5.069550808
4 29785600 30047318 4.701984953
4 30047319 30375117 5.441145946
4 30375118 30590473 4.347199985
4 30590474 30769439 5.783512511
4 30769440 30847949 11.96747293
4 30847950 31019699 4.624432606
4 31019700 31085525 3.268603591
4 31085526 31245885 7.961408082
4 31245886 31347117 9.387448633
4 31347118 31632597 10.36077974
4 31632598 31663162 6.909860952
4 31663163 32116000 13.80692853
4 32116001 32230020 3.19594194
4 32230021 32309121 4.491591762
4 32309122 32458301 2.38149752
5 580663 855049 0.678636743
5 855050 948406 1.993360969
5 948407 1465834 4.643093532
5 1465835 1648713 5.200909344
5 1648714 1832717 1.285428034
5 1832718 2492909 2.274313079
5 2492910 3358232 1.542634484
5 3358233 3652212 0.603498197
5 3652213 3764951 3.151873797
5 3764952 3853817 2.458167353
5 3853818 4621983 2.149130787
5 4621984 5204953 1.083385938
5 5204954 7086954 0.283503303
5 7957901 8024392 6.018629309
5 8024393 8238830 0.827566942
5 8238831 8359716 9.519859206
5 8359717 8893603 7.238783301
5 8893604 9031323 9.393616033
5 9031324 9088178 10.37128661
5 9088179 9498771 3.092901243
5 9498772 9625295 7.492097942
5 9625296 9836684 3.583210574
5 9836685 9852420 11.27541942
