Chr	StartPos	EndPos	MidPos	TotalSites	VariableSites	Dxy	Fst	Hexp1	Hexp2
groupI	0	74999	37500	615	3	0.00333032219211081	0.892668289602062	0	0.000703090323084301
groupI	75000	149999	112500	517	3	0.00223834110856632	0.521370479466363	0.0011679051980512	0.00096189266514607
groupI	150000	224999	187500	683	1	0.000352475462285126	0.218032447822879	0	0.000535240516803338
groupI	225000	299999	262500	127	1	0.00160396617089531	0.192307692307692	0	0.00255446464253697
groupI	300000	374999	337500	208	0	0	NA	0	0
groupI	375000	449999	412500	704	3	0.00307765151515151	0.759940463377233	0.000710227272727273	0.000789141414141415
groupI	450000	524999	487500	643	0	0	NA	0	0
groupI	525000	599999	562500	674	3	0.00197868896681953	0.402626993451883	0.000659413122321133	0.00164801481227162
groupI	600000	674999	637500	355	6	0.00567116522600558	0.385855911756662	0.00233102129795681	0.00458348799204867
groupI	675000	749999	712500	598	6	0.00420561415544693	0.554835465756534	0.00129499713047436	0.00239252010588565
groupI	750000	824999	787500	301	1	0.00118652112007594	0.357539572341017	0	0.00152552715438335
groupI	825000	899999	862500	116	0	0	NA	0	0
groupI	900000	974999	937500	733	2	0.00192006467586277	0.825063356517512	4.95923137527907e-05	0.00087586880534724
groupI	975000	1049999	1012500	461	1	0.00108459869848156	0	0.00108459869848156	0.00108459869848156
groupI	1050000	1124999	1087500	292	0	0	NA	0	0
groupI	1125000	1199999	1162500	218	1	0.00234391714174249	0.0479607640681468	0.00209222134128692	0.0022809931916286
groupI	1200000	1274999	1237500	629	4	0.00266437095081596	0.463644477080185	0.000441618088676913	0.00265155633122482
groupI	1275000	1349999	1312500	486	7	0.00564726929153084	0.350403620847841	0.00174677748159746	0.00546164737167918
groupI	1350000	1424999	1387500	483	8	0.00450738625686866	0.13623031490788	0.00195247895916792	0.00563888933072333
groupI	1425000	1499999	1462500	347	3	0.00475317190014596	0.450700300600543	0.00286993593255055	0.00211609227180538
groupI	1500000	1574999	1537500	232	3	0.00568026765344773	0.608433269774655	0.00015668606026205	0.00423083850360597
groupI	1575000	1649999	1612500	479	1	0.000811876594757597	0.386983815177008	0	0.000992293615814841
groupI	1650000	1724999	1687500	270	1	0.000641025641025641	0.153803692322808	0	0.00106015779092702
groupI	1725000	1799999	1762500	510	2	0.00118269530034236	0.377063373313962	0.000660264105642257	0.000931977729363351
groupI	1800000	1874999	1837500	242	0	0	NA	0	0
groupI	1875000	1949999	1912500	758	6	0.0025383199866526	0.316071125162869	0.0013468000326129	0.00213818300374503
groupI	1950000	2024999	1987500	560	13	0.0107409951159951	0.347322688941525	0.00581149619611158	0.0080651087595532
groupI	2025000	2099999	2062500	339	3	0.00641384052801717	0.913463900390042	0	0.00112539951388711
groupI	2100000	2174999	2137500	428	2	0.00182877581631476	0.298929314887313	0.00106957424714434	0.00145627411766214
groupI	2175000	2249999	2212500	108	0	0	NA	0	0
groupI	2250000	2324999	2287500	911	5	0.00345602653231632	0.583244875085001	0.000505817782656422	0.00218603903147981
groupI	2325000	2399999	2362500	457	3	0.00317808472845348	0.464523658946899	0.000998039939607328	0.00232979962277935
groupI	2400000	2474999	2437500	287	7	0.0174917193616381	0.721706708324057	0.00413682625715146	0.00503845603733815
groupI	2475000	2549999	2512500	278	4	0.00815643781271279	0.580657545721066	0.00211682505847174	0.00461852740030198
groupI	2550000	2624999	2587500	447	8	0.00822214546120713	0.334750289322371	0.00524600703926722	0.00546995399521409
groupI	2625000	2699999	2662500	763	6	0.00296885222981044	0.267064183408453	0.0022718597352072	0.00198849514227105
groupI	2700000	2774999	2737500	623	6	0.00552740307734065	0.558048244134745	0.00120330186913624	0.00374805419551625
groupI	2775000	2849999	2812500	57	0	0	NA	0	0
groupI	2850000	2924999	2887500	405	1	0.00027434842249657	0.0961538461538462	0	0.000487730528882793
groupI	2925000	2999999	2962500	125	0	0	NA	0	0
groupI	3000000	3074999	3037500	274	2	0.00207046603032004	0.325770027913461	0.00113376236340863	0.00171076642335766
groupI	3075000	3149999	3112500	728	9	0.00529754222774166	0.365942089049026	0.00255329370631803	0.00405497870405826
groupI	3150000	3224999	3187500	464	4	0.00275024969708878	0.334289802788757	0.000824819071945509	0.00277232822715557
groupI	3225000	3299999	3262500	390	4	0.00284900284900285	0.31688498726901	0	0.00381625690267666
groupI	3300000	3374999	3337500	632	3	0.00244341563786008	0.51865313547269	0.00114031489295202	0.00114818287579656
groupI	3375000	3449999	3412500	258	0	0	NA	0	0
groupI	3450000	3524999	3487500	786	10	0.00338084874179493	0.250496181576643	0.00144632032343675	0.00346967603551845
groupI	3525000	3599999	3562500	233	4	0.00493378819559077	0.346443532464817	0	0.00631416095815788
groupI	3600000	3674999	3637500	0	0	NA	NA	NA	NA
groupI	3675000	3749999	3712500	225	0	0	NA	0	0
groupI	3750000	3824999	3787500	276	3	0.00509661835748792	0.0190288800818856	0.00464802290212918	0.00520039363034532
groupI	3825000	3899999	3862500	595	8	0.00635842814492052	0.490925619362617	0.00268062471902341	0.00365195718204977
groupI	3900000	3974999	3937500	353	1	0.00246563844297555	0.868248772504092	0	0.000639239596326994
groupI	3975000	4049999	4012500	323	1	0.00309597523219814	1	0	0
groupI	4050000	4124999	4087500	505	0	0	NA	0	0
groupI	4125000	4199999	4162500	269	2	0.0067279890699965	0.904089543794512	0	0.0012562321088677
groupI	4200000	4274999	4237500	347	1	0.000403458213256484	0.116520948245511	0	0.000693948126801153
groupI	4275000	4349999	4312500	1056	6	0.00166046145212812	0.34353136732634	0.00105249511576672	0.00108118157738291
groupI	4350000	4424999	4387500	352	2	0.00322587648976538	0.421718616527483	0.00233484656021032	0.0014594244918319
groupI	4425000	4499999	4462500	337	1	0.00265825914935707	0.890714318977597	0.000553803989449389	0
groupI	4500000	4574999	4537500	238	1	0.00219633307868602	0.534462215730964	0	0.00209649975692756
groupI	4575000	4649999	4612500	243	0	0	NA	0	0
groupI	4650000	4724999	4687500	246	0	0	NA	0	0
groupI	4725000	4799999	4762500	679	6	0.00580905741139485	0.614199562057128	0.000895975886430259	0.00351120443821424
groupI	4800000	4874999	4837500	120	1	0.00231481481481482	0.264102564102564	0	0.00334362139917696
groupI	4875000	4949999	4912500	216	4	0.00747704481415043	0.668259772943727	0.000336584870192552	0.00456662565419292
groupI	4950000	5024999	4987500	0	0	NA	NA	NA	NA
groupI	5025000	5099999	5062500	94	1	0.00347790507364976	0.315209884122477	0.0046817952914516	0
groupI	5100000	5174999	5137500	186	0	0	NA	0	0
groupI	5175000	5249999	5212500	348	2	0.0025273821422622	0.437053243320501	0.000408079983676802	0.00238410667100025
groupI	5250000	5324999	5287500	121	0	0	NA	0	0
groupI	5325000	5399999	5362500	117	3	0.0142154588842623	0.423345996318979	0.00375	0.0124029815740618
groupI	5400000	5474999	5437500	440	1	0.000712121212121211	0.012891615829566	0.000547272727272727	0.000830839256765182
groupI	5475000	5549999	5512500	749	6	0.00360521848060789	0.352577745059963	0.00178015131286159	0.00280527443083691
groupI	5550000	5624999	5587500	478	3	0.00354738948517373	0.589344912314485	0	0.00297790889892511
