"lg" "pos1" "pos2" "ensembl_gene_id"
16 11364 19816 "ENSGACG00000001417"
16 25886 40821 "ENSGACG00000001422"
16 45771 57172 "ENSGACG00000001424"
16 83746 92475 "ENSGACG00000001427"
16 88089 88568 "ENSGACG00000001430"
16 97359 105500 "ENSGACG00000001431"
16 117795 121078 "ENSGACG00000001436"
16 125393 139423 "ENSGACG00000001438"
16 143990 172020 "ENSGACG00000001446"
16 177572 219433 "ENSGACG00000001450"
16 221767 235062 "ENSGACG00000001454"
16 235179 241138 "ENSGACG00000001455"
16 256280 265122 "ENSGACG00000001456"
16 266049 279993 "ENSGACG00000001457"
16 288127 289921 "ENSGACG00000001462"
16 293128 308908 "ENSGACG00000001463"
16 310276 312498 "ENSGACG00000001488"
16 318158 324426 "ENSGACG00000001491"
16 387988 390399 "ENSGACG00000001508"
16 403151 408474 "ENSGACG00000001509"
16 412298 416970 "ENSGACG00000001512"
16 419610 424761 "ENSGACG00000001517"
16 427012 442506 "ENSGACG00000001519"
16 448368 456028 "ENSGACG00000001530"
16 456999 462522 "ENSGACG00000001531"
16 464741 476135 "ENSGACG00000001532"
16 479033 480249 "ENSGACG00000001533"
16 495659 497657 "ENSGACG00000001535"
16 504580 510768 "ENSGACG00000001536"
16 513062 514874 "ENSGACG00000001537"
16 616969 622777 "ENSGACG00000001538"
16 626553 645229 "ENSGACG00000001539"
16 1390445 1396920 "ENSGACG00000001542"
16 1397966 1398791 "ENSGACG00000001543"
16 1402328 1405973 "ENSGACG00000001545"
16 1435482 1436195 "ENSGACG00000001546"
16 1560088 1588007 "ENSGACG00000001547"
16 1606063 1610800 "ENSGACG00000001548"
16 1617312 1626172 "ENSGACG00000001549"
16 1629127 1672664 "ENSGACG00000001550"
16 1674813 1678234 "ENSGACG00000001551"
16 1679006 1685126 "ENSGACG00000001556"
16 1685689 1700318 "ENSGACG00000001559"
16 1700437 1705166 "ENSGACG00000001563"
16 1707019 1718011 "ENSGACG00000001577"
16 1859426 1918102 "ENSGACG00000001590"
16 1923394 1963166 "ENSGACG00000001595"
16 2043747 2051139 "ENSGACG00000001602"
16 2047240 2048305 "ENSGACG00000001607"
16 2063216 2097073 "ENSGACG00000001609"
16 2173129 2210140 "ENSGACG00000001620"
16 2221675 2225191 "ENSGACG00000001638"
16 2228340 2233472 "ENSGACG00000001640"
21 13473 14259 "ENSGACG00000001645"
21 47445 48785 "ENSGACG00000001646"
21 89383 89938 "ENSGACG00000001650"
21 125156 125948 "ENSGACG00000001651"
21 240732 252486 "ENSGACG00000001652"
21 280690 284889 "ENSGACG00000001655"
21 302676 307552 "ENSGACG00000001656"
21 308111 318180 "ENSGACG00000001658"
16 2234979 2237625 "ENSGACG00000001659"
16 2238010 2241547 "ENSGACG00000001661"
21 547335 550753 "ENSGACG00000001662"
16 2241831 2252180 "ENSGACG00000001664"
21 557603 579035 "ENSGACG00000001666"
16 2264112 2284440 "ENSGACG00000001668"
16 2287896 2293322 "ENSGACG00000001676"
21 614128 678875 "ENSGACG00000001679"
16 2296514 2300638 "ENSGACG00000001680"
16 2305881 2311046 "ENSGACG00000001684"
21 698931 733565 "ENSGACG00000001687"
21 745391 763846 "ENSGACG00000001691"
21 786254 793940 "ENSGACG00000001694"
16 2321363 2341020 "ENSGACG00000001696"
21 795606 806190 "ENSGACG00000001700"
16 2373551 2374045 "ENSGACG00000001701"
16 2382385 2392869 "ENSGACG00000001702"
21 825116 873964 "ENSGACG00000001712"
21 1011517 1205957 "ENSGACG00000001718"
16 2395044 2400729 "ENSGACG00000001719"
21 1294431 1304295 "ENSGACG00000001722"
16 2402132 2403774 "ENSGACG00000001725"
16 2405778 2407622 "ENSGACG00000001734"
16 2409635 2419515 "ENSGACG00000001735"
16 2420506 2423117 "ENSGACG00000001743"
16 2430228 2483423 "ENSGACG00000001746"
21 1312339 1337369 "ENSGACG00000001760"
21 1351882 1352598 "ENSGACG00000001776"
21 1563702 1567341 "ENSGACG00000001778"
21 1630220 1647329 "ENSGACG00000001786"
16 2484778 2488362 "ENSGACG00000001792"
21 1809310 1861897 "ENSGACG00000001798"
16 2490656 2493027 "ENSGACG00000001800"
16 2493073 2495236 "ENSGACG00000001804"
21 1869980 1883186 "ENSGACG00000001809"
16 2493568 2494757 "ENSGACG00000001813"
21 1882993 1886149 "ENSGACG00000001814"
16 2495273 2497944 "ENSGACG00000001816"
16 2499699 2500577 "ENSGACG00000001829"
