"lg" "pos1" "pos2" "ld_r2_atl"
"1" 1 0 9999 0.237826042
"2" 1 10000 19999 0.291142282
"3" 1 20000 29999 0.37481805
"4" 1 30000 39999 0.32587588
"5" 1 40000 49999 0.275522786
"6" 1 50000 59999 0.293665983
"7" 1 60000 69999 0.301097432
"8" 1 70000 79999 0.229733955
"9" 1 80000 89999 0.290536953
"10" 1 90000 99999 0.260867553
"11" 1 1e+05 109999 0.333357827
"12" 1 110000 119999 0.190268415
"13" 1 120000 129999 0.313392489
"14" 1 130000 139999 0.303196486
"15" 1 140000 149999 0.262151104
"16" 1 150000 159999 0.30310499
"17" 1 160000 169999 0.267488949
"18" 1 170000 179999 0.231346084
"19" 1 180000 189999 0.262121602
"20" 1 190000 199999 0.253238331
"21" 1 2e+05 209999 0.232215891
"22" 1 210000 219999 0.272941329
"23" 1 220000 229999 0.278298382
"24" 1 230000 239999 0.255302641
"25" 1 240000 249999 0.273652893
"26" 1 250000 259999 0.243480574
"27" 1 260000 269999 0.290337789
"28" 1 270000 279999 0.247237978
"29" 1 280000 289999 0.453968238
"30" 1 290000 299999 0.518315685
"31" 1 3e+05 309999 0.782490059
"32" 1 310000 319999 0.286139837
"33" 1 320000 329999 0.238311481
"34" 1 330000 339999 0.224821441
"35" 1 340000 349999 0.284668397
"36" 1 350000 359999 0.300073702
"37" 1 360000 369999 0.349841452
"38" 1 370000 379999 0.307255447
"39" 1 380000 389999 0.321878008
"40" 1 390000 399999 0.315959412
"41" 1 4e+05 409999 0.290166771
"42" 1 410000 419999 0.320907921
"43" 1 420000 429999 0.313560641
"44" 1 430000 439999 0.317877024
"45" 1 440000 449999 0.333248724
"46" 1 450000 459999 0.241537844
"47" 1 460000 469999 0.268238472
"48" 1 470000 479999 0.23745161
"49" 1 480000 489999 0.271328433
"50" 1 490000 499999 0.234001929
"51" 1 5e+05 509999 0.315209691
"52" 1 510000 519999 0.281866026
"53" 1 520000 529999 0.346262327
"54" 1 530000 539999 0.270129361
"55" 1 540000 549999 0.231834829
"56" 1 550000 559999 0.269279168
"57" 1 560000 569999 0.271204057
"58" 1 570000 579999 0.292132112
"59" 1 580000 589999 0.305643732
"60" 1 590000 599999 0.348491285
"61" 1 6e+05 609999 0.217365891
"62" 1 610000 619999 0.245877
"63" 1 620000 629999 0.256119909
"64" 1 630000 639999 0.223137972
"65" 1 640000 649999 0.309680733
"66" 1 650000 659999 0.40047391
"67" 1 660000 669999 0.321636787
"68" 1 670000 679999 0.267656772
"69" 1 680000 689999 0.261708959
"70" 1 690000 699999 0.277672172
"71" 1 7e+05 709999 0.225998251
"72" 1 710000 719999 0.217615568
"73" 1 720000 729999 0.235593402
"74" 1 730000 739999 0.257337093
"75" 1 740000 749999 0.295433792
"76" 1 750000 759999 0.317034966
"77" 1 760000 769999 0.343626155
"78" 1 770000 779999 0.308646599
"79" 1 780000 789999 0.25488803
"80" 1 790000 799999 0.286501514
"81" 1 8e+05 809999 0.252805316
"82" 1 810000 819999 0.361015642
"83" 1 820000 829999 0.254998523
"84" 1 830000 839999 0.217549696
"85" 1 840000 849999 0.275285631
"86" 1 850000 859999 0.295941614
"87" 1 860000 869999 0.271747507
"88" 1 870000 879999 0.301268205
"89" 1 880000 889999 0.25080965
"90" 1 890000 899999 0.236336267
"91" 1 9e+05 909999 0.216479488
"92" 1 910000 919999 0.252797333
"93" 1 920000 929999 0.235581439
"94" 1 930000 939999 0.241992853
"95" 1 940000 949999 0.239462123
"96" 1 950000 959999 0.242947343
"97" 1 960000 969999 0.282514764
"98" 1 970000 979999 0.237434072
"99" 1 980000 989999 0.288205313
"100" 1 990000 999999 0.301710167
"101" 1 1e+06 1009999 0.247033626
"102" 1 1010000 1019999 0.338467159
"103" 1 1020000 1029999 0.237873786
"104" 1 1030000 1039999 0.358976061
"105" 1 1040000 1049999 0.290388336
"106" 1 1050000 1059999 0.240215774
"107" 1 1060000 1069999 0.3148545
"108" 1 1070000 1079999 0.249531269
"109" 1 1080000 1089999 0.310887556
"110" 1 1090000 1099999 0.308381739
"111" 1 1100000 1109999 0.281817306
"112" 1 1110000 1119999 0.32098988
"113" 1 1120000 1129999 NA
"114" 1 1130000 1139999 0.28180659
"115" 1 1140000 1149999 0.30270056
"116" 1 1150000 1159999 0.273863935
"117" 1 1160000 1169999 NA
"118" 1 1170000 1179999 0.221790252
"119" 1 1180000 1189999 0.223373689
"120" 1 1190000 1199999 0.241462104
"121" 1 1200000 1209999 0.262858289
"122" 1 1210000 1219999 0.227592531
"123" 1 1220000 1229999 0.276324998
"124" 1 1230000 1239999 0.244483608
"125" 1 1240000 1249999 0.286542724
"126" 1 1250000 1259999 0.232598476
"127" 1 1260000 1269999 0.247661496
"128" 1 1270000 1279999 0.228213874
"129" 1 1280000 1289999 0.243109517
"130" 1 1290000 1299999 0.205473702
"131" 1 1300000 1309999 0.262091194
"132" 1 1310000 1319999 0.263647046
"133" 1 1320000 1329999 0.243960879
"134" 1 1330000 1339999 0.258192946
"135" 1 1340000 1349999 0.250440664
"136" 1 1350000 1359999 0.300244118
"137" 1 1360000 1369999 0.260643549
"138" 1 1370000 1379999 0.253393146
"139" 1 1380000 1389999 0.221929246
"140" 1 1390000 1399999 0.221473495
"141" 1 1400000 1409999 0.237375448
"142" 1 1410000 1419999 0.264894697
"143" 1 1420000 1429999 0.291216327
"144" 1 1430000 1439999 0.334788164
"145" 1 1440000 1449999 0.297064586
"146" 1 1450000 1459999 0.205859068
"147" 1 1460000 1469999 0.222401376
"148" 1 1470000 1479999 0.232089957
"149" 1 1480000 1489999 0.272010188
"150" 1 1490000 1499999 0.286313899
"151" 1 1500000 1509999 0.272129171
"152" 1 1510000 1519999 0.233722444
"153" 1 1520000 1529999 0.29009727
"154" 1 1530000 1539999 0.219436652
"155" 1 1540000 1549999 0.328952995
"156" 1 1550000 1559999 0.266751972
"157" 1 1560000 1569999 0.251096142
"158" 1 1570000 1579999 0.308860835
"159" 1 1580000 1589999 0.360670002
"160" 1 1590000 1599999 0.411463251
"161" 1 1600000 1609999 0.35427339
"162" 1 1610000 1619999 0.257730676
"163" 1 1620000 1629999 0.218506148
"164" 1 1630000 1639999 0.283926955
"165" 1 1640000 1649999 0.310405659
"166" 1 1650000 1659999 0.274006945
"167" 1 1660000 1669999 0.324587747
"168" 1 1670000 1679999 0.292502881
"169" 1 1680000 1689999 0.256565133
"170" 1 1690000 1699999 0.240090632
"171" 1 1700000 1709999 0.226338639
"172" 1 1710000 1719999 0.209476545
"173" 1 1720000 1729999 0.239791192
"174" 1 1730000 1739999 0.227945144
"175" 1 1740000 1749999 0.31265837
"176" 1 1750000 1759999 0.311758235
"177" 1 1760000 1769999 0.234961076
"178" 1 1770000 1779999 0.26660254
"179" 1 1780000 1789999 0.224850707
"180" 1 1790000 1799999 0.239546227
"181" 1 1800000 1809999 0.247594489
"182" 1 1810000 1819999 0.220645507
"183" 1 1820000 1829999 0.290161739
"184" 1 1830000 1839999 0.305995671
"185" 1 1840000 1849999 0.247279467
"186" 1 1850000 1859999 0.305957126
"187" 1 1860000 1869999 0.284102045
"188" 1 1870000 1879999 0.24841215
"189" 1 1880000 1889999 0.239816581
"190" 1 1890000 1899999 0.242295403
"191" 1 1900000 1909999 0.217825235
"192" 1 1910000 1919999 0.20914612
"193" 1 1920000 1929999 0.210549063
"194" 1 1930000 1939999 0.232038123
"195" 1 1940000 1949999 0.296758414
"196" 1 1950000 1959999 0.303580272
"197" 1 1960000 1969999 0.260384113
"198" 1 1970000 1979999 0.237826279
"199" 1 1980000 1989999 0.24453514
"200" 1 1990000 1999999 0.307618241
"201" 1 2e+06 2009999 0.214216166
"202" 1 2010000 2019999 0.245783019
"203" 1 2020000 2029999 0.277090422
"204" 1 2030000 2039999 0.238351743
"205" 1 2040000 2049999 0.25261318
"206" 1 2050000 2059999 0.271484645
"207" 1 2060000 2069999 0.2114697
"208" 1 2070000 2079999 0.248266297
"209" 1 2080000 2089999 0.232644898
"210" 1 2090000 2099999 0.213400299
"211" 1 2100000 2109999 0.214639851
"212" 1 2110000 2119999 0.263497161
"213" 1 2120000 2129999 0.247765619
"214" 1 2130000 2139999 0.251590027
"215" 1 2140000 2149999 0.214193736
"216" 1 2150000 2159999 0.198810866
"217" 1 2160000 2169999 0.216590171
"218" 1 2170000 2179999 0.213425576
"219" 1 2180000 2189999 0.212859037
"220" 1 2190000 2199999 0.205696382
"221" 1 2200000 2209999 0.21517534
"222" 1 2210000 2219999 0.183949222
"223" 1 2220000 2229999 0.229651548
"224" 1 2230000 2239999 0.220547926
"225" 1 2240000 2249999 0.226150093
"226" 1 2250000 2259999 0.213540704
"227" 1 2260000 2269999 0.263400499
"228" 1 2270000 2279999 0.250248221
"229" 1 2280000 2289999 0.253583152
"230" 1 2290000 2299999 0.239830014
"231" 1 2300000 2309999 0.236174587
"232" 1 2310000 2319999 0.249307277
"233" 1 2320000 2329999 0.223018007
"234" 1 2330000 2339999 0.265995189
"235" 1 2340000 2349999 0.202250745
"236" 1 2350000 2359999 0.20267009
"237" 1 2360000 2369999 0.243889015
"238" 1 2370000 2379999 0.208282105
"239" 1 2380000 2389999 0.200935856
"240" 1 2390000 2399999 0.20538707
"241" 1 2400000 2409999 0.202224338
"242" 1 2410000 2419999 0.242209808
"243" 1 2420000 2429999 0.268387942
"244" 1 2430000 2439999 0.256231173
"245" 1 2440000 2449999 0.22239725
"246" 1 2450000 2459999 0.266583236
"247" 1 2460000 2469999 0.26611497
"248" 1 2470000 2479999 0.26689468
"249" 1 2480000 2489999 0.247431651
"250" 1 2490000 2499999 0.251718179
"251" 1 2500000 2509999 0.277229784
"252" 1 2510000 2519999 0.21106592
"253" 1 2520000 2529999 0.228742125
"254" 1 2530000 2539999 0.229291378
"255" 1 2540000 2549999 0.21581226
"256" 1 2550000 2559999 0.202403438
"257" 1 2560000 2569999 0.218850724
"258" 1 2570000 2579999 0.287676434
"259" 1 2580000 2589999 0.277993624
"260" 1 2590000 2599999 0.199047502
"261" 1 2600000 2609999 0.210590052
"262" 1 2610000 2619999 0.238465926
"263" 1 2620000 2629999 0.24735731
"264" 1 2630000 2639999 0.252133631
"265" 1 2640000 2649999 0.234716597
"266" 1 2650000 2659999 0.237954577
"267" 1 2660000 2669999 0.233732637
"268" 1 2670000 2679999 0.19086011
"269" 1 2680000 2689999 0.21283729
"270" 1 2690000 2699999 0.254643596
"271" 1 2700000 2709999 0.241015599
"272" 1 2710000 2719999 0.248547657
"273" 1 2720000 2729999 0.293089474
"274" 1 2730000 2739999 0.231773245
"275" 1 2740000 2749999 0.276297587
"276" 1 2750000 2759999 0.289575991
"277" 1 2760000 2769999 0.357205717
"278" 1 2770000 2779999 0.234784398
"279" 1 2780000 2789999 0.200674706
"280" 1 2790000 2799999 0.237302702
"281" 1 2800000 2809999 0.264689536
"282" 1 2810000 2819999 0.250784005
"283" 1 2820000 2829999 0.221663904
"284" 1 2830000 2839999 0.232206311
"285" 1 2840000 2849999 0.186160277
"286" 1 2850000 2859999 0.195836877
"287" 1 2860000 2869999 0.217521475
"288" 1 2870000 2879999 0.213537892
"289" 1 2880000 2889999 0.291233889
"290" 1 2890000 2899999 0.448556742
"291" 1 2900000 2909999 0.556424254
"292" 1 2910000 2919999 0.594232858
"293" 1 2920000 2929999 0.31996167
"294" 1 2930000 2939999 0.320118467
"295" 1 2940000 2949999 0.502651028
"296" 1 2950000 2959999 0.391809092
"297" 1 2960000 2969999 0.418623167
"298" 1 2970000 2979999 0.626703613
"299" 1 2980000 2989999 0.250238203
"300" 1 2990000 2999999 0.241446448
"301" 1 3e+06 3009999 0.25125298
"302" 1 3010000 3019999 0.308174682
"303" 1 3020000 3029999 0.238860739
"304" 1 3030000 3039999 0.207011278
"305" 1 3040000 3049999 0.201209027
"306" 1 3050000 3059999 0.203901436
"307" 1 3060000 3069999 0.261241404
"308" 1 3070000 3079999 0.205311511
"309" 1 3080000 3089999 0.218635719
"310" 1 3090000 3099999 0.225512679
"311" 1 3100000 3109999 0.204176023
"312" 1 3110000 3119999 0.181251049
"313" 1 3120000 3129999 0.18814164
"314" 1 3130000 3139999 0.218031882
"315" 1 3140000 3149999 0.23325195
"316" 1 3150000 3159999 0.204957817
"317" 1 3160000 3169999 0.238856572
"318" 1 3170000 3179999 0.216566452
"319" 1 3180000 3189999 0.249418965
"320" 1 3190000 3199999 0.224002479
"321" 1 3200000 3209999 0.22723618
"322" 1 3210000 3219999 0.212628896
"323" 1 3220000 3229999 0.193364282
"324" 1 3230000 3239999 0.187690574
"325" 1 3240000 3249999 0.190417783
"326" 1 3250000 3259999 0.189906896
"327" 1 3260000 3269999 0.22476375
"328" 1 3270000 3279999 0.208082466
"329" 1 3280000 3289999 0.204652233
"330" 1 3290000 3299999 0.20333545
"331" 1 3300000 3309999 0.210880988
"332" 1 3310000 3319999 0.1877631
"333" 1 3320000 3329999 0.192429661
"334" 1 3330000 3339999 0.191979199
"335" 1 3340000 3349999 0.213076515
"336" 1 3350000 3359999 0.237567996
"337" 1 3360000 3369999 0.245306678
"338" 1 3370000 3379999 0.259113499
"339" 1 3380000 3389999 0.271503123
"340" 1 3390000 3399999 0.215105305
"341" 1 3400000 3409999 0.194255603
"342" 1 3410000 3419999 0.208959189
"343" 1 3420000 3429999 0.178292808
"344" 1 3430000 3439999 0.202319327
"345" 1 3440000 3449999 0.218525004
"346" 1 3450000 3459999 0.218264471
"347" 1 3460000 3469999 0.192482266
"348" 1 3470000 3479999 0.205819877
"349" 1 3480000 3489999 0.200968772
"350" 1 3490000 3499999 0.205856823
"351" 1 3500000 3509999 0.20368525
"352" 1 3510000 3519999 0.200630594
"353" 1 3520000 3529999 0.217284679
"354" 1 3530000 3539999 0.232488997
"355" 1 3540000 3549999 0.231420236
"356" 1 3550000 3559999 0.251058753
"357" 1 3560000 3569999 0.245910597
"358" 1 3570000 3579999 0.247271698
"359" 1 3580000 3589999 0.215780175
"360" 1 3590000 3599999 0.209120065
"361" 1 3600000 3609999 0.274919506
"362" 1 3610000 3619999 0.312657748
"363" 1 3620000 3629999 0.329417742
"364" 1 3630000 3639999 0.270689412
"365" 1 3640000 3649999 0.247726308
"366" 1 3650000 3659999 0.225129111
"367" 1 3660000 3669999 0.197501304
"368" 1 3670000 3679999 0.171017911
"369" 1 3680000 3689999 0.199932201
"370" 1 3690000 3699999 0.219214742
"371" 1 3700000 3709999 0.226389207
"372" 1 3710000 3719999 0.229278384
"373" 1 3720000 3729999 0.261852929
"374" 1 3730000 3739999 0.192947864
"375" 1 3740000 3749999 0.222189118
"376" 1 3750000 3759999 0.22628477
"377" 1 3760000 3769999 0.231304118
"378" 1 3770000 3779999 0.22384089
"379" 1 3780000 3789999 0.273459054
"380" 1 3790000 3799999 0.251697058
"381" 1 3800000 3809999 0.226902005
"382" 1 3810000 3819999 0.232436968
"383" 1 3820000 3829999 0.193844002
"384" 1 3830000 3839999 0.204515884
"385" 1 3840000 3849999 0.220735848
"386" 1 3850000 3859999 0.217563228
"387" 1 3860000 3869999 0.255026934
"388" 1 3870000 3879999 0.202893388
"389" 1 3880000 3889999 0.214936058
"390" 1 3890000 3899999 0.232825406
"391" 1 3900000 3909999 0.222471775
"392" 1 3910000 3919999 0.225426202
"393" 1 3920000 3929999 0.199827078
"394" 1 3930000 3939999 0.225067045
"395" 1 3940000 3949999 0.25237753
"396" 1 3950000 3959999 0.239223084
"397" 1 3960000 3969999 0.228137028
"398" 1 3970000 3979999 0.226592695
"399" 1 3980000 3989999 0.212538973
"400" 1 3990000 3999999 0.215449386
"401" 1 4e+06 4009999 0.239505702
"402" 1 4010000 4019999 0.281246056
"403" 1 4020000 4029999 0.244625125
"404" 1 4030000 4039999 0.266054592
"405" 1 4040000 4049999 0.289000585
"406" 1 4050000 4059999 0.260579602
"407" 1 4060000 4069999 0.229442109
"408" 1 4070000 4079999 0.300825566
"409" 1 4080000 4089999 0.240072692
