"lg" "pos1" "pos2" "study" "fst.outlier" "dxy.outlier"
"1" 1 6375000 6449999 "benlim" FALSE TRUE
"2" 1 6825000 6899999 "benlim" FALSE TRUE
"3" 1 7350000 7424999 "benlim" TRUE FALSE
"4" 1 7500000 7574999 "benlim" FALSE TRUE
"5" 1 7650000 7724999 "benlim" FALSE TRUE
"6" 1 7875000 7949999 "benlim" TRUE TRUE
"7" 1 8700000 8774999 "benlim" TRUE FALSE
"8" 1 9000000 9074999 "benlim" TRUE FALSE
"9" 1 9825000 9899999 "benlim" FALSE TRUE
"10" 1 10350000 10424999 "benlim" FALSE TRUE
"11" 1 10500000 10574999 "benlim" TRUE FALSE
"12" 1 11550000 11624999 "benlim" TRUE FALSE
"13" 1 11625000 11699999 "benlim" TRUE TRUE
"14" 1 12675000 12749999 "benlim" FALSE TRUE
"15" 1 13725000 13799999 "benlim" TRUE FALSE
"16" 1 15600000 15674999 "benlim" FALSE TRUE
"17" 1 16200000 16274999 "benlim" FALSE TRUE
"18" 1 16350000 16424999 "benlim" FALSE TRUE
"19" 1 16425000 16499999 "benlim" FALSE TRUE
"20" 1 17850000 17924999 "benlim" FALSE TRUE
"21" 1 18000000 18074999 "benlim" FALSE TRUE
"22" 1 22125000 22199999 "benlim" NA TRUE
"23" 1 22275000 22349999 "benlim" FALSE TRUE
"24" 1 24300000 24374999 "benlim" FALSE TRUE
"25" 2 2175000 2249999 "benlim" FALSE TRUE
"26" 2 2475000 2549999 "benlim" FALSE TRUE
"27" 2 3450000 3524999 "benlim" FALSE TRUE
"28" 2 7200000 7274999 "benlim" FALSE TRUE
"29" 2 7725000 7799999 "benlim" TRUE FALSE
"30" 2 10050000 10124999 "benlim" TRUE FALSE
"31" 2 10350000 10424999 "benlim" TRUE FALSE
"32" 2 10425000 10499999 "benlim" TRUE FALSE
"33" 2 11475000 11549999 "benlim" TRUE FALSE
"34" 2 12225000 12299999 "benlim" TRUE TRUE
"35" 2 12450000 12524999 "benlim" TRUE FALSE
"36" 2 13350000 13424999 "benlim" FALSE TRUE
"37" 2 20400000 20474999 "benlim" NA TRUE
"38" 2 21000000 21074999 "benlim" NA TRUE
"39" 2 21300000 21374999 "benlim" FALSE TRUE
"40" 3 900000 974999 "benlim" FALSE TRUE
"41" 3 4350000 4424999 "benlim" FALSE TRUE
"42" 3 8325000 8399999 "benlim" FALSE TRUE
"43" 3 8475000 8549999 "benlim" TRUE FALSE
"44" 3 9075000 9149999 "benlim" TRUE FALSE
"45" 3 12675000 12749999 "benlim" FALSE TRUE
"46" 3 14325000 14399999 "benlim" FALSE TRUE
"47" 3 15525000 15599999 "benlim" FALSE TRUE
"48" 4 6750000 6824999 "benlim" FALSE TRUE
"49" 4 7275000 7349999 "benlim" FALSE TRUE
"50" 4 8100000 8174999 "benlim" TRUE TRUE
"51" 4 8175000 8249999 "benlim" FALSE TRUE
"52" 4 8250000 8324999 "benlim" TRUE FALSE
"53" 4 9300000 9374999 "benlim" FALSE TRUE
"54" 4 10950000 11024999 "benlim" TRUE TRUE
"55" 4 11025000 11099999 "benlim" TRUE FALSE
"56" 4 11325000 11399999 "benlim" TRUE FALSE
"57" 4 11400000 11474999 "benlim" TRUE TRUE
"58" 4 11850000 11924999 "benlim" FALSE TRUE
"59" 4 11925000 11999999 "benlim" TRUE TRUE
"60" 4 12300000 12374999 "benlim" TRUE TRUE
"61" 4 12450000 12524999 "benlim" TRUE FALSE
"62" 4 12825000 12899999 "benlim" TRUE FALSE
"63" 4 12900000 12974999 "benlim" FALSE TRUE
"64" 4 12975000 13049999 "benlim" TRUE FALSE
"65" 4 13125000 13199999 "benlim" TRUE FALSE
"66" 4 13275000 13349999 "benlim" TRUE FALSE
"67" 4 13350000 13424999 "benlim" TRUE TRUE
"68" 4 14175000 14249999 "benlim" TRUE FALSE
"69" 4 15150000 15224999 "benlim" TRUE FALSE
"70" 4 15750000 15824999 "benlim" FALSE TRUE
"71" 4 16200000 16274999 "benlim" TRUE TRUE
"72" 4 16350000 16424999 "benlim" TRUE FALSE
"73" 4 16950000 17024999 "benlim" TRUE FALSE
"74" 4 17175000 17249999 "benlim" TRUE FALSE
"75" 4 17325000 17399999 "benlim" TRUE FALSE
"76" 4 17475000 17549999 "benlim" FALSE TRUE
"77" 4 18375000 18449999 "benlim" FALSE TRUE
"78" 4 20100000 20174999 "benlim" TRUE FALSE
"79" 4 20475000 20549999 "benlim" FALSE TRUE
"80" 4 20925000 20999999 "benlim" FALSE TRUE
"81" 4 21225000 21299999 "benlim" FALSE TRUE
"82" 4 21525000 21599999 "benlim" FALSE TRUE
"83" 4 21600000 21674999 "benlim" FALSE TRUE
"84" 4 21675000 21749999 "benlim" FALSE TRUE
"85" 4 24150000 24224999 "benlim" FALSE TRUE
"86" 4 24375000 24449999 "benlim" FALSE TRUE
"87" 4 24450000 24524999 "benlim" TRUE TRUE
"88" 4 24525000 24599999 "benlim" TRUE FALSE
"89" 4 24600000 24674999 "benlim" TRUE FALSE
"90" 4 24675000 24749999 "benlim" TRUE TRUE
"91" 4 24750000 24824999 "benlim" TRUE FALSE
"92" 4 24825000 24899999 "benlim" TRUE FALSE
"93" 4 24975000 25049999 "benlim" TRUE FALSE
"94" 4 25050000 25124999 "benlim" TRUE FALSE
"95" 4 25275000 25349999 "benlim" TRUE TRUE
"96" 4 25725000 25799999 "benlim" TRUE TRUE
"97" 4 25800000 25874999 "benlim" FALSE TRUE
"98" 4 26400000 26474999 "benlim" TRUE FALSE
"99" 4 27525000 27599999 "benlim" TRUE FALSE
"100" 4 27975000 28049999 "benlim" TRUE FALSE
"101" 4 31050000 31124999 "benlim" NA TRUE
"102" 4 31575000 31649999 "benlim" NA TRUE
"103" 5 4125000 4199999 "benlim" FALSE TRUE
"104" 5 6900000 6974999 "benlim" FALSE TRUE
"105" 6 750000 824999 "benlim" FALSE TRUE
"106" 6 10575000 10649999 "benlim" FALSE TRUE
"107" 6 12375000 12449999 "benlim" FALSE TRUE
"108" 6 15375000 15449999 "benlim" NA TRUE
"109" 6 15825000 15899999 "benlim" NA TRUE
"110" 7 900000 974999 "benlim" FALSE TRUE
"111" 7 975000 1049999 "benlim" NA TRUE
"112" 7 1875000 1949999 "benlim" FALSE TRUE
"113" 7 3375000 3449999 "benlim" FALSE TRUE
"114" 7 4800000 4874999 "benlim" FALSE TRUE
"115" 7 6375000 6449999 "benlim" FALSE TRUE
"116" 7 6525000 6599999 "benlim" TRUE FALSE
"117" 7 6675000 6749999 "benlim" TRUE TRUE
"118" 7 6750000 6824999 "benlim" TRUE TRUE
"119" 7 8175000 8249999 "benlim" TRUE TRUE
"120" 7 8625000 8699999 "benlim" TRUE TRUE
"121" 7 8775000 8849999 "benlim" TRUE TRUE
"122" 7 8925000 8999999 "benlim" TRUE TRUE
"123" 7 9000000 9074999 "benlim" TRUE TRUE
"124" 7 9375000 9449999 "benlim" TRUE TRUE
"125" 7 9525000 9599999 "benlim" FALSE TRUE
"126" 7 9750000 9824999 "benlim" TRUE TRUE
"127" 7 9825000 9899999 "benlim" TRUE FALSE
"128" 7 9900000 9974999 "benlim" TRUE TRUE
"129" 7 12150000 12224999 "benlim" TRUE FALSE
"130" 7 12375000 12449999 "benlim" TRUE FALSE
"131" 7 12450000 12524999 "benlim" TRUE TRUE
"132" 7 12675000 12749999 "benlim" TRUE FALSE
"133" 7 13275000 13349999 "benlim" TRUE TRUE
"134" 7 13350000 13424999 "benlim" TRUE TRUE
"135" 7 13500000 13574999 "benlim" TRUE FALSE
"136" 7 13575000 13649999 "benlim" FALSE TRUE
"137" 7 13725000 13799999 "benlim" TRUE FALSE
"138" 7 14175000 14249999 "benlim" TRUE FALSE
"139" 7 14325000 14399999 "benlim" TRUE TRUE
"140" 7 14625000 14699999 "benlim" TRUE TRUE
"141" 7 14700000 14774999 "benlim" TRUE TRUE
"142" 7 14775000 14849999 "benlim" TRUE TRUE
"143" 7 14925000 14999999 "benlim" TRUE FALSE
"144" 7 15150000 15224999 "benlim" FALSE TRUE
"145" 7 15225000 15299999 "benlim" FALSE TRUE
"146" 7 15300000 15374999 "benlim" TRUE TRUE
"147" 7 15450000 15524999 "benlim" TRUE FALSE
"148" 7 17175000 17249999 "benlim" TRUE TRUE
"149" 7 17325000 17399999 "benlim" TRUE FALSE
"150" 7 17400000 17474999 "benlim" FALSE TRUE
"151" 7 17475000 17549999 "benlim" FALSE TRUE
"152" 7 17550000 17624999 "benlim" TRUE FALSE
"153" 7 17850000 17924999 "benlim" TRUE FALSE
"154" 7 18075000 18149999 "benlim" FALSE TRUE
"155" 7 18225000 18299999 "benlim" TRUE FALSE
"156" 7 18300000 18374999 "benlim" TRUE FALSE
"157" 7 18450000 18524999 "benlim" TRUE FALSE
"158" 7 18600000 18674999 "benlim" FALSE TRUE
"159" 7 19650000 19724999 "benlim" TRUE FALSE
"160" 7 19875000 19949999 "benlim" FALSE TRUE
"161" 7 20025000 20099999 "benlim" FALSE TRUE
"162" 7 20250000 20324999 "benlim" FALSE TRUE
"163" 7 20775000 20849999 "benlim" FALSE TRUE
"164" 7 21075000 21149999 "benlim" TRUE FALSE
"165" 7 21150000 21224999 "benlim" TRUE FALSE
"166" 7 22200000 22274999 "benlim" NA TRUE
"167" 7 24525000 24599999 "benlim" FALSE TRUE
"168" 7 26325000 26399999 "benlim" FALSE TRUE
"169" 8 7125000 7199999 "benlim" TRUE TRUE
"170" 8 8100000 8174999 "benlim" TRUE TRUE
"171" 8 9600000 9674999 "benlim" FALSE TRUE
"172" 8 9900000 9974999 "benlim" FALSE TRUE
"173" 8 10275000 10349999 "benlim" TRUE FALSE
"174" 8 10350000 10424999 "benlim" TRUE FALSE
"175" 8 10575000 10649999 "benlim" FALSE TRUE
"176" 8 11250000 11324999 "benlim" FALSE TRUE
"177" 8 12750000 12824999 "benlim" TRUE FALSE
"178" 8 14925000 14999999 "benlim" FALSE TRUE
"179" 8 16950000 17024999 "benlim" NA TRUE
"180" 8 17700000 17774999 "benlim" FALSE TRUE
"181" 9 1350000 1424999 "benlim" NA TRUE
"182" 9 8475000 8549999 "benlim" TRUE FALSE
"183" 9 8550000 8624999 "benlim" TRUE FALSE
"184" 9 10500000 10574999 "benlim" TRUE FALSE
"185" 9 10575000 10649999 "benlim" FALSE TRUE
"186" 9 13275000 13349999 "benlim" TRUE FALSE
