Chr	StartPos	EndPos	MidPos	TotalSites	VariableSites	Dxy	Fst	Hexp1	Hexp2
groupIII	0	75000	37500	27452	576	0.00417425567050366	0.134859282961239	0.00166208290834912	0.00194923563553354
groupIII	75000	150000	112500	20000	454	0.00394729166666666	0.0792895972977254	0.001610875	0.0020234375
groupIII	150000	225000	187500	23196	437	0.00328540840374777	0.114103335155823	0.00151728746335575	0.00139324488417544
groupIII	225000	300000	262500	26644	640	0.00416244432767853	0.0813364892111551	0.00192904593904819	0.00189483978048008
groupIII	300000	375000	337500	20616	479	0.00378468180054327	0.106036170742995	0.0016494470314319	0.00173392160350106
groupIII	375000	450000	412500	19810	478	0.00437089853609289	0.104929984120109	0.0018907117617365	0.00202154846037356
groupIII	450000	525000	487500	23239	459	0.00369942051436521	0.110434740464305	0.00156783854726968	0.0017230374227233
groupIII	525000	600000	562500	28057	541	0.00371832341305201	0.0862835157227676	0.00174002922621806	0.00165746417016154
groupIII	600000	675000	637500	20049	414	0.00360013799524499	0.0998576074198076	0.00180370592049479	0.00143693090816389
groupIII	675000	750000	712500	19834	397	0.00367865786024	0.0894580549368963	0.00161276091559948	0.00173681136768513
groupIII	750000	825000	787500	20361	407	0.00397757968665586	0.132402119668673	0.00178466185354354	0.00166627785144803
groupIII	825000	900000	862500	18473	334	0.00445424854291849	0.141635439875768	0.00186677854165539	0.00195659054957085
groupIII	900000	975000	937500	18180	412	0.00437454162082874	0.104301356944517	0.00203204070407041	0.00188623028969564
groupIII	975000	1050000	1012500	20159	388	0.00350319129586454	0.0916160245442207	0.00167753856838137	0.00150470426773815
groupIII	1050000	1125000	1087500	22526	579	0.00480500310752021	0.0885719418459914	0.00224407351504928	0.00213534113666184
groupIII	1125000	1200000	1162500	25425	507	0.00331366764995084	0.0867375535773156	0.00133923303834808	0.00168701518627773
groupIII	1200000	1275000	1237500	25208	406	0.00251160345921929	0.0937940111878908	0.00104460885433196	0.00123142124193378
groupIII	1275000	1350000	1312500	22037	427	0.00416817927425087	0.0815785892492629	0.00192131415346917	0.00190683093585031
groupIII	1350000	1425000	1387500	18406	394	0.00417662718678692	0.0700243902439023	0.00183744431163751	0.00204671710311855
groupIII	1425000	1500000	1462500	23599	555	0.00478198228738507	0.0937404617732481	0.00204224755286241	0.00229146950671168
groupIII	1500000	1575000	1537500	28690	693	0.00491140931799698	0.0681032783330373	0.00232554897176717	0.00225137727043879
groupIII	1575000	1650000	1612500	18352	267	0.00357590453356582	0.0915989417989418	0.00166861922406277	0.00157973623825439
groupIII	1650000	1725000	1687500	26491	670	0.00561039598354155	0.097522661433511	0.002652976482579	0.00241027875295174
groupIII	1725000	1800000	1762500	16756	587	0.00638950226784436	0.0719102289680221	0.00265964430651707	0.0032703873902549
groupIII	1800000	1875000	1837500	21425	546	0.00474970828471412	0.0807524328160607	0.00202473745624271	0.00234142032931415
groupIII	1875000	1950000	1912500	19654	497	0.0046379447779926	0.0659924425957246	0.00203864353312303	0.00229323194034576
groupIII	1950000	2025000	1987500	19861	525	0.0044043603041136	0.0731462957670439	0.00208725643220381	0.00199494123044046
groupIII	2025000	2100000	2062500	19347	702	0.00527256594476317	0.0669444217520357	0.00221856101721197	0.00270103604922957
groupIII	2100000	2175000	2137500	19844	446	0.00357013874890815	0.0679811405830345	0.00147802862326144	0.00184940802145625
groupIII	2175000	2250000	2212500	19750	486	0.00371097046413501	0.0705249194618154	0.00164088607594937	0.00180836849507737
groupIII	2250000	2325000	2287500	22692	388	0.00245773106527998	0.0859033744241065	0.000909020800282037	0.00133758287306344
groupIII	2325000	2400000	2362500	24676	385	0.00264004836007997	0.0955665707280673	0.00113055195331496	0.00125719603843591
groupIII	2400000	2475000	2437500	25906	538	0.00311140919735453	0.103212716464202	0.00129950590596773	0.00149076629609615
groupIII	2475000	2550000	2512500	22254	434	0.00321796081603307	0.0814540059347179	0.00153264581648243	0.0014231992001438
groupIII	2550000	2625000	2587500	19761	426	0.00319927297876287	0.0879951229157055	0.00142464956226912	0.00149310299748664
groupIII	2625000	2700000	2662500	20775	299	0.00301002807862013	0.0724813432835821	0.00141901323706378	0.00137284396309667
groupIII	2700000	2775000	2737500	19439	318	0.0025237066378586	0.0723670800067946	0.0012310304027985	0.00111004295488451
groupIII	2775000	2850000	2812500	19419	534	0.00457799062773573	0.0768505499312581	0.00210348112673155	0.00212268840368254
groupIII	2850000	2925000	2887500	23783	425	0.00267382864511065	0.0598359760625521	0.00113862843207333	0.00137520906623312
groupIII	2925000	3000000	2962500	21782	363	0.00215334526979463	0.0908101625655147	0.000761523276099531	0.00119627635968537
groupIII	3000000	3075000	3037500	20460	347	0.00239084392310199	0.0907580919931857	0.000979960899315737	0.00119389459107201
groupIII	3075000	3150000	3112500	19318	393	0.00282875211374538	0.0615008260261787	0.00111683404079097	0.00153794748133578
groupIII	3150000	3225000	3187500	18656	302	0.00224369282447112	0.0793251045192119	0.000755253001715266	0.00131045865494569
groupIII	3225000	3300000	3262500	12578	413	0.00441246621084433	0.0665778278278277	0.00228692955954842	0.00183176423561422
groupIII	3300000	3375000	3337500	9346	583	0.0105111812540124	0.0887468012611157	0.00442221271132035	0.00515613482892266
groupIII	3375000	3450000	3412500	9864	323	0.00492405041903217	0.0404935518000629	0.00241864355231143	0.00230601457601154
groupIII	3450000	3525000	3487500	12071	161	0.00161199016927623	0.309950035688792	0.000410487946317621	0.000701865812461454
groupIII	3525000	3600000	3562500	14439	499	0.00412424683149802	0.0719819945890475	0.00175375718540065	0.0020736181329886
groupIII	3600000	3675000	3637500	15012	398	0.00304672928324007	0.0714281376210867	0.00132244204636291	0.0015066650383397
groupIII	3675000	3750000	3712500	14231	355	0.0035421497669407	0.147465145754119	0.00129699248120301	0.00172281365407289
groupIII	3750000	3825000	3787500	18125	339	0.00253655172413793	0.0622016796568185	0.000922068965517241	0.00145670498084292
groupIII	3825000	3900000	3862500	20913	318	0.00239563907617272	0.151903138168108	0.00109871850045426	0.00093301548212967
groupIII	3900000	3975000	3937500	17020	303	0.00241015471993733	0.100599288979177	0.00112970035252644	0.00103799451625539
groupIII	3975000	4050000	4012500	20128	340	0.00203592839162692	0.0641975936281986	0.000900114268680444	0.0010051124194047
groupIII	4050000	4125000	4087500	18513	393	0.00284732350240371	0.0840276131004137	0.00128261221844109	0.00132545748633093
groupIII	4125000	4200000	4162500	17738	752	0.00731104596534747	0.0574556612260634	0.00318454729958282	0.00370643768557148
groupIII	4200000	4275000	4237500	15952	380	0.00344000752256769	0.0713781321184513	0.00131676278836509	0.00187770342276832
groupIII	4275000	4350000	4312500	14849	686	0.00698840550429883	0.0937462356956432	0.00309195905448179	0.00324130974027432
groupIII	4350000	4425000	4387500	21005	513	0.00474648893120687	0.086040064638359	0.00208152820756963	0.00225657250919094
groupIII	4425000	4500000	4462500	19727	449	0.0039315827714976	0.073547688120053	0.0018323870836924	0.00181003686430894
groupIII	4500000	4575000	4537500	12712	570	0.00774956733794841	0.076747169704916	0.00310297356828194	0.00405183641004125
groupIII	4575000	4650000	4612500	16992	359	0.00343176200564972	0.130659759437894	0.00140286605461394	0.00158050275292949
groupIII	4650000	4725000	4687500	13586	429	0.0042240173708229	0.0888005518042547	0.0018312969233034	0.00201762537415968
groupIII	4725000	4800000	4762500	15056	471	0.00426297378675167	0.0774052194235267	0.00234690488841658	0.00158609247697486
groupIII	4800000	4875000	4837500	19401	679	0.00532425304537566	0.0927406451265915	0.00216702747281068	0.00266345091031963
groupIII	4875000	4950000	4912500	21530	555	0.00507721783557828	0.0701308684327549	0.00240211333023688	0.00231903480931001
groupIII	4950000	5025000	4987500	17599	412	0.00453127071613917	0.0854642353309995	0.00201971702937667	0.00212429209992992
groupIII	5025000	5100000	5062500	12997	531	0.00555480751968402	0.0666339624093421	0.00277679464491805	0.00240787403930823
groupIII	5100000	5175000	5137500	20632	740	0.00489248093576319	0.0805752772503372	0.00214460546723537	0.00235366246068674
groupIII	5175000	5250000	5212500	22925	593	0.00372573609596509	0.108067060181797	0.00176761177753544	0.00155549497152551
groupIII	5250000	5325000	5287500	16727	465	0.0036697156294215	0.08257874015748	0.00169740539247923	0.00166926974352843
groupIII	5325000	5400000	5362500	24438	725	0.00443827236271383	0.106739400458427	0.00182533349701285	0.00213920033463368
groupIII	5400000	5475000	5437500	24562	737	0.00467371685259073	0.0727801773680322	0.00210436853676411	0.00222919437432711
groupIII	5475000	5550000	5512500	11418	419	0.00425497752087346	0.0914108061749571	0.00188496234016465	0.00198106425526946
groupIII	5550000	5625000	5587500	16094	506	0.00470646410670643	0.105615453728661	0.00189993165154716	0.00230945711307183
groupIII	5625000	5700000	5662500	17562	675	0.00446038795885057	0.0753404255319138	0.00207564628174468	0.00204869415024866
