Chr	StartPos	EndPos	MidPos	TotalSites	VariableSites	Dxy	Fst	Hexp1	Hexp2
groupIV	0	74999	37500	1314	4	0.00108325812250319	0.0296944265787893	0.00100229660246759	0.00108060725020754
groupIV	75000	149999	112500	514	1	0.000447470817120623	-0.0341790485656658	0.000425583657587549	0.000468482490272374
groupIV	150000	224999	187500	1880	5	0.000467768921144952	0.00790703750804482	0.000342371544362426	0.000569207274746633
groupIV	225000	299999	262500	2421	10	0.00119764541972162	0.0679307134151233	0.000829459235785469	0.00134427786996736
groupIV	300000	374999	337500	1445	8	0.00182410944687459	0.0128678012835921	0.00184291456643998	0.00173341863067548
groupIV	375000	449999	412500	816	4	0.00195487855768654	0.0738389268059105	0.00190880467025018	0.00169092457684198
groupIV	450000	524999	487500	667	1	0.00075065915318203	-0.00891847421880057	0.000748733837599631	0.000748425787106447
groupIV	525000	599999	562500	818	7	0.00235542277049817	-0.00722428271418078	0.00229049837992913	0.00239532449949883
groupIV	600000	674999	637500	1841	5	0.000919523241495331	-0.00601962820817031	0.000929619047147454	0.000887370031426339
groupIV	675000	749999	712500	2603	15	0.0020549730682327	0.044215580162865	0.00184066155375844	0.00202677129868762
groupIV	750000	824999	787500	2994	18	0.00182615068947096	0.0146117227697218	0.00178262777629023	0.00177258119261422
groupIV	825000	899999	862500	2463	18	0.0022462652679467	-0.0188076195991012	0.00208520303177492	0.00233691466946034
groupIV	900000	974999	937500	1704	12	0.00276839342704851	0.0477988758051743	0.00238096754363098	0.00278977926994227
groupIV	975000	1049999	1012500	3176	24	0.00242081246810453	0.00261839326756031	0.00235487606939603	0.00233734277284908
groupIV	1050000	1124999	1087500	946	2	0.000655768649954697	0.039268017332907	0.000777722313575027	0.000465716011563188
groupIV	1125000	1199999	1162500	170	0	0	NA	0	0
groupIV	1200000	1274999	1237500	2488	11	0.001703608878572	0.0040778949537403	0.00168881668863014	0.00160959354780235
groupIV	1275000	1349999	1312500	2638	24	0.00314304537560449	-0.0113688317920931	0.00315650699003286	0.00307225108147612
groupIV	1350000	1424999	1387500	1387	10	0.00248376973170959	-0.0134604273652327	0.00237769641052678	0.00249066895647843
groupIV	1425000	1499999	1462500	2716	11	0.00135166198800298	0.011601085703872	0.00131085164055797	0.00132951318978572
groupIV	1500000	1574999	1537500	3174	18	0.00177304314396296	0.0459943107503969	0.0015794025283218	0.00175323047330651
groupIV	1575000	1649999	1612500	2990	24	0.00276625710638132	0.0410344500447505	0.0024022330123183	0.00284000806267666
groupIV	1650000	1724999	1687500	1105	16	0.00533588495190627	0.02830740128857	0.00493580835217201	0.0053004739259355
groupIV	1725000	1799999	1762500	2070	11	0.00157588471723996	-0.00857888408088832	0.00156798443838182	0.00154913840656559
groupIV	1800000	1874999	1837500	1024	4	0.00145287056690289	-0.00109232305012618	0.00132205193275227	0.00150223007403488
groupIV	1875000	1949999	1912500	1220	3	0.000779624047816771	0.0031238146422178	0.000830601092896175	0.000688153221412063
groupIV	1950000	2024999	1987500	1448	9	0.00212604401814002	0.00390458627254235	0.00205651252488508	0.00205669106658179
groupIV	2025000	2099999	2062500	1702	15	0.0020898572250484	0.00793624727795772	0.00245665477802188	0.00158792660320231
groupIV	2100000	2174999	2137500	2513	15	0.00185749587926758	0.0210947345826072	0.00179612138225632	0.00181524939676555
groupIV	2175000	2249999	2212500	1591	11	0.00259256820811141	0.00485756326749341	0.0024465973323596	0.00266750613730447
groupIV	2250000	2324999	2287500	926	5	0.00147255021550763	0.0458492532208954	0.00145429398152997	0.00130293126926681
groupIV	2325000	2399999	2362500	1314	16	0.00382895198626951	0.0142091879286944	0.00332711100676883	0.00409916578901897
groupIV	2400000	2474999	2437500	2054	27	0.00441237493746324	0.00798637699827323	0.00440921501050806	0.00424177480644959
groupIV	2475000	2549999	2512500	1871	2	0.000233552508918251	0.0170001048709292	0.000233832175307322	0.000217952818907125
groupIV	2550000	2624999	2587500	1387	14	0.00373248240091397	0.000133926435741154	0.00374014549723205	0.00360174658898111
groupIV	2625000	2699999	2662500	1367	14	0.0038216363451451	-0.00999976830871401	0.0036432990119214	0.00385040120272427
groupIV	2700000	2774999	2737500	870	11	0.0028178067035417	0.0125502596016767	0.0026361708425542	0.00272944792611886
groupIV	2775000	2849999	2812500	4196	39	0.00330349139776038	0.00551388489087861	0.00320538695534776	0.00325141369981197
groupIV	2850000	2924999	2887500	1225	6	0.00172140746137237	-0.00895304598880402	0.00181950891575878	0.00158861150045211
groupIV	2925000	2999999	2962500	2789	25	0.00295154367308179	-0.00070797293286557	0.00294904968525463	0.0028851439879927
groupIV	3000000	3074999	3037500	2049	17	0.00266248016469028	0.0266885597938419	0.00250132982652164	0.00261874548705208
groupIV	3075000	3149999	3112500	817	7	0.00259442511631794	0.00470097915954541	0.00267936563080964	0.00240588114040513
groupIV	3150000	3224999	3187500	1488	7	0.00127442546699194	-0.00337354574199449	0.00129515673723893	0.00124432524840386
groupIV	3225000	3299999	3262500	995	6	0.00125697333163234	-0.0108935906374661	0.00096636221247916	0.00145934148069504
groupIV	3300000	3374999	3337500	1610	12	0.00265581665724427	0.00150827442043298	0.00260257176900631	0.00261619333861278
groupIV	3375000	3449999	3412500	855	13	0.00707225295471603	-0.00630797257312233	0.0069316707668238	0.00705539709329802
groupIV	3450000	3524999	3487500	3270	40	0.00418145693271888	0.00259216199738148	0.00409108830385011	0.00411850886005861
groupIV	3525000	3599999	3562500	2962	26	0.00336581056012879	0.000167261584616123	0.00324839899338679	0.00341669242343607
groupIV	3600000	3674999	3637500	1656	9	0.00179221249084452	-0.00537767110048916	0.00171725697967658	0.0018400929456011
groupIV	3675000	3749999	3712500	1267	4	0.00112495427966985	-0.0162293377455533	0.00116624557011197	0.00105011219637459
groupIV	3750000	3824999	3787500	1639	18	0.00339209604254887	0.00909081585207623	0.00302779324003385	0.00358375489379297
groupIV	3825000	3899999	3862500	3779	31	0.00293853290643924	0.00538901639321946	0.00288936341051152	0.00286143574507826
groupIV	3900000	3974999	3937500	3694	34	0.00293948373656929	-0.00508440716389772	0.00280538122195569	0.0029646902285002
groupIV	3975000	4049999	4012500	2193	15	0.00272276881821627	-0.00325127509595149	0.00260493601892398	0.00270778832971957
groupIV	4050000	4124999	4087500	3165	30	0.00352491678550099	0.0198140917593634	0.00330958646583427	0.00349302876982463
groupIV	4125000	4199999	4162500	1711	17	0.00304052012852471	0.00844639083446515	0.00294027953662085	0.00300898740843451
groupIV	4200000	4274999	4237500	191	1	0.00238035877527276	0.0105731055472273	0.00210070454398552	0.0025087714324965
groupIV	4275000	4349999	4312500	423	3	0.00145877894104844	-0.00994965305476968	0.00137159320430738	0.00150835256476266
groupIV	4350000	4424999	4387500	1970	25	0.00447865424637587	0.0278193544060637	0.00405281446303991	0.00448316427832897
groupIV	4425000	4499999	4462500	2297	12	0.00184128142680658	0.114768178467407	0.0014604573366143	0.00169774852137014
groupIV	4500000	4574999	4537500	2371	11	0.00153832653399118	0.0303573076813642	0.00154559487429276	0.00137323572033864
groupIV	4575000	4649999	4612500	1937	19	0.00358903700163796	-0.00252987134603994	0.00351597867448692	0.00350557083828622
groupIV	4650000	4724999	4687500	2284	14	0.00207380355563896	0.0275733905333336	0.00191235424226373	0.00206351226882285
groupIV	4725000	4799999	4762500	1687	4	0.000782431557435258	-0.0128312726572874	0.000731668683385016	0.00082367847439162
groupIV	4800000	4874999	4837500	2189	8	0.000852277994658927	-0.0121998730683815	0.000793721643111254	0.00088834159958909
groupIV	4875000	4949999	4912500	2297	14	0.00168344312267961	-0.0221880155298578	0.00167202924770017	0.00167104706035954
groupIV	4950000	5024999	4987500	1037	0	0	NA	0	0
groupIV	5025000	5099999	5062500	3359	14	0.00122043409890625	0.00696673497973447	0.0011622215498438	0.00122609372149189
groupIV	5100000	5174999	5137500	1220	10	0.0024468451765807	-0.000557020472159512	0.00219789806006229	0.00263203239037565
groupIV	5175000	5249999	5212500	1539	15	0.00278351313074941	-0.00142322242991514	0.00268665000180155	0.00279943821757587
groupIV	5250000	5324999	5287500	1774	9	0.00155806156901659	0.00120659439696946	0.00150812275568498	0.00154826952856431
groupIV	5325000	5399999	5362500	4313	25	0.00191412016842762	0.0124019583227564	0.00177314271622308	0.00192573739161492
groupIV	5400000	5474999	5437500	852	9	0.00391317061353842	-0.00830495151136049	0.00405309175810363	0.00370863775867281
groupIV	5475000	5549999	5512500	1736	11	0.00202753693818809	0.0200719478317627	0.00187629908210413	0.00201995294887783
groupIV	5550000	5624999	5587500	1549	9	0.00152707298545223	0.00376171523443786	0.00144978046875916	0.00154089477889173
