Chr	StartPos	EndPos	MidPos	TotalSites	VariableSites	Dxy	Fst	Hexp1	Hexp2
groupI	0	74999	37500	488	0	0	NA	0	0
groupI	75000	149999	112500	520	1	0.000847069597069596	0.0768127027181946	0.000593057735914879	0.000925978607191625
groupI	150000	224999	187500	743	0	0	NA	0	0
groupI	225000	299999	262500	126	0	0	NA	0	0
groupI	300000	374999	337500	202	1	0.000900090009000901	0.160714285714286	0.00147287456018329	0
groupI	375000	449999	412500	748	1	0.000516427306708636	0.0962168625716165	0.00030326617672331	0.000605164066702528
groupI	450000	524999	487500	664	0	0	NA	0	0
groupI	525000	599999	562500	686	0	0	NA	0	0
groupI	600000	674999	637500	387	2	0.00446323702137656	0.888746794875811	0.00119589125931621	0
groupI	675000	749999	712500	596	1	0.0013183125599233	0.800718870760415	0.000564991097109985	0
groupI	750000	824999	787500	346	0	0	NA	0	0
groupI	825000	899999	862500	74	0	0	NA	0	0
groupI	900000	974999	937500	719	2	0.00124222864139415	0.597346208220055	0	0.000764702398025033
groupI	975000	1049999	1012500	440	1	0.000538277511961723	0.148667164027547	0.000821581465625786	0
groupI	1050000	1124999	1087500	178	1	0.00114440282979609	0.164095315757383	0	0.00182256746967525
groupI	1125000	1199999	1162500	241	1	0.00158357888828753	0.255462097551029	0.000345127814948741	0.00193523783503805
groupI	1200000	1274999	1237500	605	1	0.000413223140495868	0.244749389463892	0.000619834710743802	0
groupI	1275000	1349999	1312500	466	2	0.00249334065500017	0.689024984840194	0.00156042477053012	7.80067939502052e-05
groupI	1350000	1424999	1387500	390	0	0	NA	0	0
groupI	1425000	1499999	1462500	357	1	0.00133322559793148	0.00911097470551081	0.00115740740740741	0.00138191371223045
groupI	1500000	1574999	1537500	242	1	0.00076120052196607	0.19649571553399	0.0012419587463657	0
groupI	1575000	1649999	1612500	471	0	0	NA	0	0
groupI	1650000	1724999	1687500	277	1	0.00256551678031822	0.72940743497625	0.00145955550541516	0.000131231646140056
groupI	1725000	1799999	1762500	515	2	0.000622625580413676	0.114997510167853	0	0.00103591223594619
groupI	1800000	1874999	1837500	181	1	0.00335269396042877	0.612935428594529	0.00261531923240381	0.000394091656624908
groupI	1875000	1949999	1912500	756	3	0.00194340339016265	0.192618071298038	0.00148074661963551	0.00158912456634079
groupI	1950000	2024999	1987500	580	10	0.00863573365085767	0.188836788821197	0.00662328371683256	0.00715841256326569
groupI	2025000	2099999	2062500	338	1	0.000456570969391482	-0.00153846153846152	0.000310468259186207	0.000584410840821098
groupI	2100000	2174999	2137500	304	3	0.00389499091984472	0.0807384855845667	0.00373865541291317	0.00332557216085481
groupI	2175000	2249999	2212500	109	0	0	NA	0	0
groupI	2250000	2324999	2287500	759	4	0.00146701473956235	0.0948107780642894	0.00173640827970688	0.000878159665888735
groupI	2325000	2399999	2362500	513	1	0.00141200579797071	0.625811157750373	0.000650253180617554	0.000385050417539047
groupI	2400000	2474999	2437500	289	6	0.00847196858046051	0.209410858135616	0.00863783694305609	0.00476130826937408
groupI	2475000	2549999	2512500	338	2	0.002465483234714	0.299441368171333	0.000821827744904669	0.00279421433267587
groupI	2550000	2624999	2587500	450	4	0.00368872856345623	0.299124229621624	0.0035581281793403	0.00148569937884753
groupI	2625000	2699999	2662500	821	3	0.000664655282409814	0.0576837290866808	0.000975290463265867	0.000238544482313299
groupI	2700000	2774999	2737500	622	1	0.000491246873883531	0.0381854747721608	0.000602893890675241	0.000317573736651979
groupI	2775000	2849999	2812500	0	0	NA	NA	NA	NA
groupI	2850000	2924999	2887500	351	2	0.00227533326298758	-0.0140728512206391	0.00241707818930041	0.00208301580043692
groupI	2925000	2999999	2962500	123	0	0	NA	0	0
groupI	3000000	3074999	3037500	270	1	0.000851851851851852	-0.00607697501688069	0.000351851851851852	0.00118518518518519
groupI	3075000	3149999	3112500	729	6	0.00351094351723721	0.247267048716529	0.00317085125623956	0.0020375311093165
groupI	3150000	3224999	3187500	466	1	0.000362069270033028	-0.0131332082551595	0.000423885974672813	0.000294365260189453
groupI	3225000	3299999	3262500	338	3	0.00224632916940609	0.116934755715896	0.00240384615384615	0.00147726073652
groupI	3300000	3374999	3337500	504	4	0.000863462669018227	-0.00304962035466417	0.000993782568688052	0.000696757898403988
groupI	3375000	3449999	3412500	324	1	0.000949667616334284	0.284112152950693	0	0.00131492439184747
groupI	3450000	3524999	3487500	696	1	0.000886902227898397	0.427146718936791	0.000638569604086845	0.000362644466518455
groupI	3525000	3599999	3562500	294	4	0.00962459057697153	0.608673215828448	0.00461304803050315	0.00282734152645969
groupI	3600000	3674999	3637500	0	0	NA	NA	NA	NA
groupI	3675000	3749999	3712500	226	0	0	NA	0	0
groupI	3750000	3824999	3787500	449	4	0.00399620767475259	0.244051276765924	0.00311370464572452	0.00281176200121593
groupI	3825000	3899999	3862500	589	3	0.00266591770137161	0.279902687951823	0.00224390165533906	0.00150373857983453
groupI	3900000	3974999	3937500	347	1	0.0017734426956329	0.382726367691063	0.00080051232788985	0.0012682673123817
groupI	3975000	4049999	4012500	324	1	0.00135424540186445	-0.0852713178294574	0.0014172335600907	0.00125976316452507
