"lg" "pos1" "pos2" "ds"
1 2098 9910 0.745894
1 18791 22890 0.547411
1 36880 38991 1.063999
1 42006 46064 0.324855
1 65279 68049 0.09654
1 69460 74583 0.076452
1 69460 74583 0.415374
1 77722 105198 0.431504
1 117583 141390 0.456045
1 117583 141390 0.545805
1 150455 155401 2e-05
1 169269 179484 0.63038
1 184803 198423 0.106397
1 199995 206700 0.341468
1 199995 206700 0.375539
1 199995 206700 0.356667
1 208356 211604 0.262878
1 217115 219753 0.419023
1 229192 236148 0.165743
1 229192 236148 0.566545
1 244666 253839 0.730976
1 257080 258329 0.379742
1 356280 359332 0.090498
1 356280 359332 0.863603
1 363799 365223 0.658531
1 369110 371418 0.458609
1 372834 374001 0.845248
1 380274 381945 0.336856
1 382188 383538 0.635182
1 384897 395887 0.39458
1 384897 395887 0.389683
1 399228 409825 0.279637
1 422752 424954 0.098264
1 427703 435209 0.603878
1 436490 448294 0.377822
1 452299 459852 1.112221
1 462140 471296 0.393311
1 471859 472790 3e-05
1 474993 481036 0.53897
1 474993 481036 0.513689
1 483523 484997 0.41282
1 493880 500134 0.568581
1 493880 500134 0.823372
1 500828 510359 0.843557
1 511973 512935 0.013043
1 514072 517686 2.5e-05
1 518206 536065 0.099445
1 518206 536065 0.179167
1 548083 553305 0.044233
1 555946 557500 0.732219
1 559077 566856 0.450457
1 568151 571571 0.339518
1 572635 578245 0.803656
1 572635 578245 0.692017
1 620253 626394 0.48886
1 696149 703429 0.711812
1 725635 725859 0.857273
1 726932 740276 0.44201
1 726932 740276 0.45561
1 746199 747195 0.938402
1 749956 783492 0.106348
1 785833 786012 0.191779
1 790618 796261 0.577568
1 798707 805841 0.680033
1 807405 813257 0.49295
1 814526 818691 0.704049
1 825335 835930 0.323261
1 845685 851086 0.726015
1 845685 851086 0.934424
1 853151 864471 0.00864
1 871940 888344 0.05414
1 898273 903775 0.296438
1 903985 905957 1.086013
1 906629 913276 0.415249
1 913769 925638 0.612019
1 931955 937054 0.234457
1 940637 945583 0.052285
1 959004 989717 0.480315
1 992281 1011125 0.084931
1 992281 1011125 0.43428
1 1053880 1057246 1.306773
1 1076088 1085084 0.359638
1 1175505 1181937 0.739492
1 1184288 1184688 0.878534
1 1185206 1186192 0.757663
1 1187874 1192146 0.641284
1 1193449 1230766 0.554994
1 1234077 1236193 0.748424
1 1234077 1236193 0.77251
1 1234077 1236193 0.784128
1 1236297 1242154 0.521354
1 1242776 1245714 1.118535
1 1242776 1245714 0.996186
1 1260571 1274267 0.419954
1 1276013 1277115 0.246923
1 1279295 1282121 0.565311
1 1282804 1288222 0.112649
1 1290624 1310251 0.46566
1 1315175 1318264 0.612641
1 1321632 1328761 0.2266
1 1352913 1364832 0.503865
1 1369446 1383127 0.420294
1 1385915 1393786 0.516186
1 1385915 1393786 0.516178
1 1394892 1401575 0.793576
1 1394892 1401575 0.099742
1 1410016 1438823 0.681898
1 1508261 1535124 0.616745
1 1545588 1554821 0.45314
1 1560251 1568736 0.322702
1 1594281 1664168 0.567779
1 1730484 1731398 0.410124
1 1751568 1753282 0.599306
1 1755126 1762297 0.356673
1 1762413 1764918 0.611843
1 1811639 1812559 0.534525
1 1835798 1849578 0.400826
1 1855721 1863275 0.518704
1 1875460 1882519 0.188254
1 1885131 1888093 4e-06
1 1890918 1895272 0.319595
1 1899975 1907740 0.300928
1 1899975 1907740 0.281447
1 1912692 1913706 0.535094
1 1919945 1923826 0.307519
1 1919945 1923826 0.355801
1 1924903 1926389 0.444519
1 1946323 1961483 6e-06
1 1964741 1970521 0.139235
1 1971192 1973857 0.724436
1 1988336 1991038 0.17588
1 2001693 2004602 0.412344
1 2001693 2004602 0.368531
1 2004856 2007949 0.325512
1 2009479 2010527 1.691272
1 2013835 2018817 0.434346
1 2024413 2029617 0.370742
1 2031473 2034226 0.9013
1 2041834 2047281 0.548553
1 2041834 2047281 0.461324
1 2075764 2085083 0.462892
1 2096706 2098851 0.413846
1 2110211 2128414 0.170322
1 2139386 2140819 0.416108
1 2149070 2156200 0.380359
1 2149070 2156200 0.403281
1 2149070 2156200 0.377113
1 2156320 2161808 0.371921
1 2161683 2166868 0.456039
1 2161683 2166868 0.467488
1 2167369 2171903 0.442296
1 2172113 2173949 0.481628
1 2175787 2179611 0.486941
1 2175787 2179611 0.415518
1 2175787 2179611 0.500619
1 2180844 2181239 0.838945
1 2189867 2195389 0.247232
1 2189867 2195389 0.27114
1 2197855 2203483 0.522134
1 2206772 2213401 0.379124
1 2218130 2220146 0.047794
1 2218130 2220146 0.419645
1 2225187 2236863 0.479845
1 2225187 2236863 0.503522
1 2237067 2245543 0.508476
1 2237067 2245543 0.501248
1 2247753 2267649 0.342599
1 2271244 2274912 0.369254
1 2277256 2278122 1.685331
1 2281697 2283639 0.5633
1 2293356 2295366 0.41391
1 2301708 2308184 1.044646
1 2330169 2365007 0.374282
1 2636733 2646924 0.429663
1 2717130 2718198 0.522282
1 2735505 2755528 0.429486
1 2782049 2790640 0.277301
1 2798666 2813268 0.446305
1 2798666 2813268 0.455831
1 2824077 2830150 0.212423
1 2898939 2945757 0.351959
1 2988172 2992797 0.526581
1 2995003 2999589 0.269712
1 3032666 3033857 0.7341
1 3039163 3045850 0.255728
1 3047218 3052489 0.357448
1 3047218 3052489 0.3512
1 3080902 3085572 0.410088
1 3080902 3085572 0.414019
1 3086853 3088913 0.33818
1 3091076 3108409 0.423658
1 3091076 3108409 0.393154
1 3124210 3127693 0.366459
1 3129406 3136785 0.346379
1 3145697 3149203 0.516556
1 3154035 3156749 0.490085
1 3163025 3169107 0.511113
1 3175899 3178064 0.395218
1 3273500 3300395 0.242289
1 3303968 3318945 0.341116
1 3325760 3330237 0.071282
1 3325760 3330237 0.485555
1 3332783 3338589 0.415361
1 3340594 3345546 0.05447
1 3347259 3347414 1.055428
1 3352438 3368132 0.045122
1 3390561 3407147 0.406387
1 3414389 3416002 0.423581
1 3421423 3436453 0.297094
1 3486252 3490154 0.140696
1 3537920 3541210 0.509346
1 3537920 3541210 0.445054
1 3727950 3776112 0.378743
1 3837246 3845416 0.479348
1 3848030 3851119 0.345564
1 3935093 3946002 0.261858
1 3984198 4032562 0.324878
1 3984198 4032562 0.364559
1 4043118 4044679 0.24233
1 4046937 4048548 0.499592
1 4046937 4048548 0.469152
1 4056681 4058563 0.146714
1 4062043 4063888 0.377935
1 4066933 4068501 0.411994
1 4084568 4091343 1.1e-05
1 4093568 4112992 0.27296
1 4114283 4117189 0.944548
1 4118509 4121716 0.047529
1 4122097 4123446 0.313647
1 4123737 4126346 0.03725
1 4128096 4137512 0.21849
1 4128096 4137512 0.214489
1 4128096 4137512 0.212081
1 4139700 4159247 0.065144
1 4165526 4175090 0.267646
1 4176012 4177785 0.350504
1 4178468 4194469 0.412511
1 4220184 4222102 0.304323
1 4226568 4230446 4e-05
