"lg" "pos1" "pos2" "ld_r2_pac"
"1" 1 0 9999 0.299590216319283
"2" 1 10000 19999 0.264936793658973
"3" 1 20000 29999 0.351196256742
"4" 1 30000 39999 0.393394380478932
"5" 1 40000 49999 0.2995644188761
"6" 1 50000 59999 0.314493065935195
"7" 1 60000 69999 0.276867728437911
"8" 1 70000 79999 0.28615047652305
"9" 1 80000 89999 0.379026756962488
"10" 1 90000 99999 0.359533094469672
"11" 1 1e+05 109999 0.389284814380992
"12" 1 110000 119999 0.241084126703766
"13" 1 120000 129999 0.246445736937911
"14" 1 130000 139999 0.241305639426348
"15" 1 140000 149999 0.266461572469854
"16" 1 150000 159999 0.376611415324133
"17" 1 160000 169999 0.294583919190621
"18" 1 170000 179999 0.286145028768148
"19" 1 180000 189999 0.298590737133087
"20" 1 190000 199999 0.239869551509924
"21" 1 2e+05 209999 0.257682322157358
"22" 1 210000 219999 0.278088873661781
"23" 1 220000 229999 0.272005948754218
"24" 1 230000 239999 0.324550957478529
"25" 1 240000 249999 0.374329488333974
"26" 1 250000 259999 0.302731090755433
"27" 1 260000 269999 0.465517312504383
"28" 1 270000 279999 0.323604789479593
"29" 1 280000 289999 0.258437277797619
"30" 1 290000 299999 0.476411966853923
"31" 1 3e+05 309999 1
"32" 1 310000 319999 0.432420789005279
"33" 1 320000 329999 0.286857154639076
"34" 1 330000 339999 0.240752912446914
"35" 1 340000 349999 0.385708799072497
"36" 1 350000 359999 0.378752470676328
"37" 1 360000 369999 0.331438657231563
"38" 1 370000 379999 0.323242642947016
"39" 1 380000 389999 0.351514984461219
"40" 1 390000 399999 0.423019569400767
"41" 1 4e+05 409999 0.248442818782435
"42" 1 410000 419999 0.410560351992802
"43" 1 420000 429999 0.355875811086544
"44" 1 430000 439999 0.373994356104217
"45" 1 440000 449999 0.285995527006142
"46" 1 450000 459999 0.300269221367767
"47" 1 460000 469999 0.237481273145981
"48" 1 470000 479999 0.381019746012605
"49" 1 480000 489999 0.282637490020797
"50" 1 490000 499999 0.319150536918216
"51" 1 5e+05 509999 0.394666344782949
"52" 1 510000 519999 0.469300266605451
"53" 1 520000 529999 0.366237027785499
"54" 1 530000 539999 0.319808711002864
"55" 1 540000 549999 0.283969000894299
"56" 1 550000 559999 0.26065955030742
