"lg" "pos1" "pos2" "ka"
1 65279 68049 0.0379
1 356280 359332 0.0047
1 422752 424954 0
1 452299 459852 0.0373
1 471859 472790 0.0817
1 511973 512935 0.0754
1 514072 517686 0.0256
1 548083 553305 0
1 853151 864471 0.0476
1 871940 888344 0.0624
1 940637 945583 0
1 992281 1011125 0.0966
1 1282804 1288222 0.0413
1 1885131 1888093 0.0363
1 1946323 1961483 0.0084
1 1971192 1973857 0.0031
1 2031473 2034226 0.3854
1 2218130 2220146 0.0604
1 3325760 3330237 0.0239
1 3340594 3345546 0
1 3352438 3368132 0.0693
1 4084568 4091343 0.0211
1 4118509 4121716 0.0152
1 4123737 4126346 0
1 4139700 4159247 0
1 4176012 4177785 0.047
1 4586161 4587852 0
1 4586161 4587852 0
1 4706529 4713986 0.0086
1 4792948 4798955 0.0093
1 5694625 5711351 0.0518
1 5731414 5748914 0.011
1 5944178 5955498 0.0234
1 6000726 6022255 0.0036
1 6368016 6374543 0.07
1 6642138 6717755 0.1309
1 7453665 7477359 0.0013
1 7534359 7547904 0.0031
1 7562563 7566990 0.0484
1 8397728 8403362 0.0215
1 8598220 8599405 0.0748
1 8655427 8664547 0
1 9246964 9263588 0.0107
1 9296870 9301292 0
1 9400751 9406312 0
1 9508614 9534420 0.0939
1 9560771 9569667 0.0045
1 9749862 9760409 0.0361
1 9998415 10002459 0.0263
1 10069916 10078479 0
1 10314860 10320421 0.0343
1 10510081 10530432 0.0205
1 10860067 10863090 0.8
1 10867279 10871441 0.0025
1 10989308 10993656 0
1 11344900 11377049 0.0092
1 11927310 11930245 0.051
1 12142333 12144354 0
1 12349179 12353000 0.0017
1 12409078 12411083 0.0171
1 12734935 12836723 0.0074
1 13228998 13231622 0.0124
1 13316994 13352960 0.0253
1 14115348 14175530 0.0108
1 14219642 14237938 0.017
1 14364430 14399824 0.0116
1 14464975 14465613 0.0111
1 14826603 14868822 0.0055
1 15021862 15023385 0.0521
1 15385521 15392799 0.0081
1 15672536 15680581 0.0181
1 15681236 15690867 0.0171
1 15879237 15887904 0
1 16588424 16592719 0.027
1 16588424 16592719 0.0336
1 16701544 16718918 0
1 16735802 16742699 0.0731
1 16773334 16777671 0.0079
1 16837280 16849253 0.4798
1 16852894 16897265 0.0236
1 16852894 16897265 0.0227
1 16949343 16985285 0.0095
1 17010466 17013973 0.0083
1 17445282 17450622 0.0018
1 18392058 18423914 0
1 18427135 18428284 0.0151
1 19014979 19017050 0.0623
1 19545312 19555426 0.1367
1 19754526 19779359 0.021
1 19897417 19919880 0.0308
1 20045431 20049670 0.0182
1 20075159 20084895 0.025
1 20161038 20166961 0.0858
1 20168495 20203699 0.0394
1 20584818 20596751 0.0065
1 20602952 20606237 0.0259
1 20605741 20608909 0
1 20820542 20824484 0.0497
1 20820542 20824484 0.1089
1 20921581 20927516 0.0296
1 21063176 21092565 0.0245
1 21099552 21104133 0.0212
1 21543442 21565537 0.0092
1 21589378 21596657 0.302
1 21699651 21730178 0.0177
1 21699651 21730178 0.0158
1 21699651 21730178 0.0045
1 21961734 21977124 0.0406
1 22023622 22036587 0.2904
1 22168200 22171306 0.0079
1 22177916 22183240 0.0063
1 22177916 22183240 0
1 22234348 22240770 0
1 22403687 22410614 0.0181
1 22403687 22410614 0.0059
1 22854032 22861463 0.0039
1 23118497 23122875 0.0335
1 23258559 23274380 0.006
1 23675848 23692437 0.1665
1 23730610 23734360 0.0111
1 24949671 24977691 0
1 25188783 25201127 0.0071
1 25484367 25487072 0.0581
1 25484367 25487072 0.058
1 25545113 25550186 0.0187
1 25562179 25563867 0
1 25571569 25595585 0
1 26724253 26735419 0.0098
1 26943450 26948639 0.0147
1 26943450 26948639 0.2355
1 26979595 26986537 0.0074
1 27174346 27200895 0.0541
1 27301630 27312271 0.0041
1 27336601 27339295 0.0082
1 27354000 27356848 0.0145
1 27446960 27451949 0.0517
1 27446960 27451949 0.0485
1 27452167 27468393 0.0379
1 27507092 27513914 0.3353
1 27514141 27518203 0.0441
1 27519218 27524787 0.0278
1 28148095 28157143 0.0109
2 197614 208944 0.0358
2 197614 208944 0.0101
2 208404 212181 0.0315
2 555934 560524 0.0493
2 909776 918786 0.0059
2 2319783 2325710 0
2 3432353 3465628 0.0071
2 4151913 4163692 0.0166
2 4499953 4527479 0
2 4687644 4712645 0.1859
2 5095509 5111066 0.0068
2 5274053 5289474 0.1506
2 5401930 5409409 0.006
2 5427953 5521857 0.0023
2 5663181 5664050 0.0404
2 5669451 5670158 0.0291
2 5753311 5760689 0.0329
2 5837267 5852720 0.0038
2 5868958 5878298 0.0058
2 6218344 6221725 0.0444
2 6248379 6254075 0.0134
2 6248379 6254075 0.0189
2 6254142 6263583 0.0494
2 6502186 6507763 0.0081
2 7374750 7417719 0.0161
2 7709432 7715812 0.0355
2 8546800 8561289 0.0368
