"lg","pos1","pos2","comparison","outlier","ecotype"
"1",1,74999,"lq",NA,"ben.lim"
"1",75000,149999,"lq",NA,"ben.lim"
"1",150000,224999,"lq","FALSE","ben.lim"
"1",225000,299999,"lq",NA,"ben.lim"
"1",3e+05,374999,"lq",NA,"ben.lim"
"1",375000,449999,"lq","FALSE","ben.lim"
"1",450000,524999,"lq","FALSE","ben.lim"
"1",525000,599999,"lq","FALSE","ben.lim"
"1",6e+05,674999,"lq",NA,"ben.lim"
"1",675000,749999,"lq","FALSE","ben.lim"
"1",750000,824999,"lq","FALSE","ben.lim"
"1",825000,899999,"lq",NA,"ben.lim"
"1",9e+05,974999,"lq","FALSE","ben.lim"
"1",975000,1049999,"lq",NA,"ben.lim"
"1",1050000,1124999,"lq","FALSE","ben.lim"
"1",1125000,1199999,"lq","FALSE","ben.lim"
"1",1200000,1274999,"lq","FALSE","ben.lim"
"1",1275000,1349999,"lq","FALSE","ben.lim"
"1",1350000,1424999,"lq","FALSE","ben.lim"
"1",1425000,1499999,"lq","FALSE","ben.lim"
"1",1500000,1574999,"lq","FALSE","ben.lim"
"1",1575000,1649999,"lq","FALSE","ben.lim"
"1",1650000,1724999,"lq","FALSE","ben.lim"
"1",1725000,1799999,"lq","FALSE","ben.lim"
"1",1800000,1874999,"lq","FALSE","ben.lim"
"1",1875000,1949999,"lq","FALSE","ben.lim"
"1",1950000,2024999,"lq","FALSE","ben.lim"
"1",2025000,2099999,"lq","FALSE","ben.lim"
"1",2100000,2174999,"lq","FALSE","ben.lim"
"1",2175000,2249999,"lq","FALSE","ben.lim"
"1",2250000,2324999,"lq","FALSE","ben.lim"
"1",2325000,2399999,"lq","FALSE","ben.lim"
"1",2400000,2474999,"lq","FALSE","ben.lim"
"1",2475000,2549999,"lq","FALSE","ben.lim"
"1",2550000,2624999,"lq","FALSE","ben.lim"
"1",2625000,2699999,"lq","FALSE","ben.lim"
"1",2700000,2774999,"lq","FALSE","ben.lim"
"1",2775000,2849999,"lq","FALSE","ben.lim"
"1",2850000,2924999,"lq","FALSE","ben.lim"
"1",2925000,2999999,"lq",NA,"ben.lim"
"1",3e+06,3074999,"lq","FALSE","ben.lim"
"1",3075000,3149999,"lq","FALSE","ben.lim"
"1",3150000,3224999,"lq","FALSE","ben.lim"
"1",3225000,3299999,"lq","FALSE","ben.lim"
"1",3300000,3374999,"lq","FALSE","ben.lim"
"1",3375000,3449999,"lq","FALSE","ben.lim"
"1",3450000,3524999,"lq",NA,"ben.lim"
"1",3525000,3599999,"lq","FALSE","ben.lim"
"1",3600000,3674999,"lq",NA,"ben.lim"
"1",3675000,3749999,"lq","FALSE","ben.lim"
"1",3750000,3824999,"lq","FALSE","ben.lim"
"1",3825000,3899999,"lq","FALSE","ben.lim"
"1",3900000,3974999,"lq","FALSE","ben.lim"
"1",3975000,4049999,"lq",NA,"ben.lim"
"1",4050000,4124999,"lq","FALSE","ben.lim"
"1",4125000,4199999,"lq","FALSE","ben.lim"
"1",4200000,4274999,"lq","FALSE","ben.lim"
"1",4275000,4349999,"lq","FALSE","ben.lim"
"1",4350000,4424999,"lq",NA,"ben.lim"
"1",4425000,4499999,"lq","FALSE","ben.lim"
"1",4500000,4574999,"lq","FALSE","ben.lim"
"1",4575000,4649999,"lq",NA,"ben.lim"
"1",4650000,4724999,"lq",NA,"ben.lim"
"1",4725000,4799999,"lq","FALSE","ben.lim"
"1",4800000,4874999,"lq",NA,"ben.lim"
"1",4875000,4949999,"lq","FALSE","ben.lim"
"1",4950000,5024999,"lq",NA,"ben.lim"
"1",5025000,5099999,"lq","FALSE","ben.lim"
"1",5100000,5174999,"lq",NA,"ben.lim"
"1",5175000,5249999,"lq",NA,"ben.lim"
"1",5250000,5324999,"lq","FALSE","ben.lim"
"1",5325000,5399999,"lq",NA,"ben.lim"
"1",5400000,5474999,"lq",NA,"ben.lim"
"1",5475000,5549999,"lq","FALSE","ben.lim"
"1",5550000,5624999,"lq",NA,"ben.lim"
"1",5625000,5699999,"lq","FALSE","ben.lim"
"1",5700000,5774999,"lq","FALSE","ben.lim"
"1",5775000,5849999,"lq","FALSE","ben.lim"
"1",5850000,5924999,"lq",NA,"ben.lim"
"1",5925000,5999999,"lq","FALSE","ben.lim"
"1",6e+06,6074999,"lq"," TRUE","ben.lim"
"1",6075000,6149999,"lq","FALSE","ben.lim"
"1",6150000,6224999,"lq","FALSE","ben.lim"
"1",6225000,6299999,"lq","FALSE","ben.lim"
"1",6300000,6374999,"lq","FALSE","ben.lim"
"1",6375000,6449999,"lq","FALSE","ben.lim"
"1",6450000,6524999,"lq"," TRUE","ben.lim"
"1",6525000,6599999,"lq","FALSE","ben.lim"
"1",6600000,6674999,"lq",NA,"ben.lim"
"1",6675000,6749999,"lq","FALSE","ben.lim"
"1",6750000,6824999,"lq","FALSE","ben.lim"
"1",6825000,6899999,"lq"," TRUE","ben.lim"
"1",6900000,6974999,"lq",NA,"ben.lim"
"1",6975000,7049999,"lq","FALSE","ben.lim"
"1",7050000,7124999,"lq"," TRUE","ben.lim"
"1",7125000,7199999,"lq","FALSE","ben.lim"
"1",7200000,7274999,"lq",NA,"ben.lim"
"1",7275000,7349999,"lq"," TRUE","ben.lim"
"1",7350000,7424999,"lq",NA,"ben.lim"
"1",7425000,7499999,"lq","FALSE","ben.lim"
"1",7500000,7574999,"lq"," TRUE","ben.lim"
"1",7575000,7649999,"lq","FALSE","ben.lim"
"1",7650000,7724999,"lq","FALSE","ben.lim"
"1",7725000,7799999,"lq",NA,"ben.lim"
"1",7800000,7874999,"lq","FALSE","ben.lim"
"1",7875000,7949999,"lq"," TRUE","ben.lim"
"1",7950000,8024999,"lq",NA,"ben.lim"
"1",8025000,8099999,"lq","FALSE","ben.lim"
"1",8100000,8174999,"lq","FALSE","ben.lim"
"1",8175000,8249999,"lq","FALSE","ben.lim"
