Chr	StartPos	EndPos	MidPos	TotalSites	VariableSites	Dxy	Fst	Hexp1	Hexp2
groupIV	0	74999	37500	597	0	0	NA	0	0
groupIV	75000	149999	112500	455	1	0.000808015513897866	-0.0358009143955706	0.000824175824175824	0.000790904597132971
groupIV	150000	224999	187500	210	0	0	NA	0	0
groupIV	225000	299999	262500	572	0	0	NA	0	0
groupIV	300000	374999	337500	559	1	0.000758930991489131	-0.0530996004959362	0.000709649758275551	0.000795070562512422
groupIV	375000	449999	412500	243	1	0.000761316872427984	0.00970581588968439	0.000482253086419753	0.000990946502057613
groupIV	450000	524999	487500	113	1	0.00350294985250737	-0.0526315789473685	0.00331858407079646	0.00365658800393313
groupIV	525000	599999	562500	753	1	0.00062335691248611	-0.0720720720720721	0.000542049489118356	0.000650459386942028
groupIV	600000	674999	637500	380	2	0.00202732374414297	0.0500428384724054	0.00158577873254565	0.00215369929332626
groupIV	675000	749999	712500	314	0	0	NA	0	0
groupIV	750000	824999	787500	330	2	0.00280369835925392	0.0664546579996223	0.00200563457706315	0.002947421642307
groupIV	825000	899999	862500	438	1	0.000233499377334993	-0.0654015464270236	0.000198120683799389	0.000267551369863014
groupIV	900000	974999	937500	552	0	0	NA	0	0
groupIV	975000	1049999	1012500	456	0	0	NA	0	0
groupIV	1050000	1124999	1087500	354	1	0.00139281230382925	-0.109785818206374	0.00139499197879612	0.00139036016949153
groupIV	1125000	1199999	1162500	0	0	NA	NA	NA	NA
groupIV	1200000	1274999	1237500	382	4	0.00505176461661377	0.0130366982022398	0.00494942163807315	0.00473936142980604
groupIV	1275000	1349999	1312500	183	0	0	NA	0	0
groupIV	1350000	1424999	1387500	874	6	0.00184025451245612	0.0657099569126504	0.00187230335111773	0.00146990065375996
groupIV	1425000	1499999	1462500	82	1	0.00570356472795498	-0.0198110923918876	0.0056555780054842	0.00574634146341463
groupIV	1500000	1574999	1537500	115	0	0	NA	0	0
groupIV	1575000	1649999	1612500	595	3	0.00128851540616247	0.041159413969825	0.00078781512605042	0.00160130718954248
groupIV	1650000	1724999	1687500	784	3	0.000960421549002376	0.0580370760142783	0.000618932468820861	0.00112684775382189
groupIV	1725000	1799999	1762500	339	1	0.00158219361759185	0.134161378935081	0.00123893805309735	0.00142616836100344
groupIV	1800000	1874999	1837500	341	1	0.000389196625755765	0.00273597811217516	0.000579269396473698	0.000158393975598277
groupIV	1875000	1949999	1912500	768	3	0.00122696314102564	-0.0164973955249127	0.00113185866617357	0.00125856481481482
groupIV	1950000	2024999	1987500	837	2	0.000979779877629341	-0.0132402942135663	0.000879703683955883	0.00104588783945071
groupIV	2025000	2099999	2062500	240	0	0	NA	0	0
groupIV	2100000	2174999	2137500	199	0	0	NA	0	0
groupIV	2175000	2249999	2212500	489	2	0.00166207284905604	0.0368365053400499	0.00156454214951147	0.00154244030292136
groupIV	2250000	2324999	2287500	814	5	0.00271517271517272	0.190602943405578	0.0019633694300361	0.00226359119159028
groupIV	2325000	2399999	2362500	357	2	0.00211212774583518	0.0330642145695953	0.00159274821039527	0.00232305742587894
groupIV	2400000	2474999	2437500	182	2	0.00169641435169385	0.118096476729225	0.000933636675824176	0.00198478056199595
groupIV	2475000	2549999	2512500	478	2	0.0018610615353827	-0.0466516109874739	0.0018738449609726	0.00184201172469972
groupIV	2550000	2624999	2587500	227	2	0.001812734287356	0.123982829099826	0.00281167900346629	0.000187370402138521
groupIV	2625000	2699999	2662500	0	0	NA	NA	NA	NA
groupIV	2700000	2774999	2737500	224	0	0	NA	0	0
groupIV	2775000	2849999	2812500	169	0	0	NA	0	0
groupIV	2850000	2924999	2887500	987	6	0.00262439491162895	-0.027542530648781	0.00259621608690758	0.00255795867823658
groupIV	2925000	2999999	2962500	477	2	0.00137555629114716	-0.0294858435173792	0.00146634055439087	0.00125372541392731
groupIV	3000000	3074999	3037500	293	0	0	NA	0	0
groupIV	3075000	3149999	3112500	109	0	0	NA	0	0
groupIV	3150000	3224999	3187500	493	0	0	NA	0	0
groupIV	3225000	3299999	3262500	361	1	0.00138504155124654	0.00592885375494072	0.00129078541543392	0.00138504155124654
groupIV	3300000	3374999	3337500	429	3	0.00253990610735315	-0.00221459087553244	0.00270343344860837	0.00224479662349485
groupIV	3375000	3449999	3412500	95	0	0	NA	0	0
groupIV	3450000	3524999	3487500	226	4	0.00614237450520637	0.211500775889773	0.00493690593248116	0.00415386651771948
groupIV	3525000	3599999	3562500	241	2	0.00233402489626556	0.0308744391797983	0.00264522821576763	0.00172747848153356
groupIV	3600000	3674999	3637500	276	0	0	NA	0	0
groupIV	3675000	3749999	3712500	345	3	0.00296302868973677	0.0709427601848047	0.00247981070689145	0.00276545400769003
groupIV	3750000	3824999	3787500	449	3	0.00180862469691447	0.0448019722058048	0.00140896193200949	0.00191795094053267
groupIV	3825000	3899999	3862500	761	0	0	NA	0	0
groupIV	3900000	3974999	3937500	544	2	0.00193972760508886	0.0880035604940822	0.00174540185866013	0.00169532129526121
groupIV	3975000	4049999	4012500	1118	3	0.00108967625511743	0.0333463451375757	0.000900804699444758	0.00112494102254796
groupIV	4050000	4124999	4087500	271	0	0	NA	0	0
groupIV	4125000	4199999	4162500	456	4	0.00308046158981062	0.084226067023073	0.00227369670199045	0.00314221667843443
groupIV	4200000	4274999	4237500	453	0	0	NA	0	0
groupIV	4275000	4349999	4312500	405	0	0	NA	0	0
groupIV	4350000	4424999	4387500	808	2	0.00117317323837647	0.138810834972662	0.0010229304180418	0.000895446885408763
groupIV	4425000	4499999	4462500	356	4	0.00561367081732251	0.0507049202294644	0.00502663533638221	0.00509337109791898
groupIV	4500000	4574999	4537500	466	1	0.000482055109784163	0.0687500659488369	0.000675418028996324	0.000194641518982414
groupIV	4575000	4649999	4612500	174	1	0.00223499361430396	-0.0143735571730122	0.00198666099049241	0.00241379310344828
groupIV	4650000	4724999	4687500	309	0	0	NA	0	0
groupIV	4725000	4799999	4762500	347	0	0	NA	0	0
groupIV	4800000	4874999	4837500	694	3	0.00135094930546628	0.0396103627501425	0.00104250802146027	0.00146816706536434
groupIV	4875000	4949999	4912500	965	9	0.00431377109106941	0.0907806162953543	0.00363070111912138	0.00382230340538948
groupIV	4950000	5024999	4987500	443	0	0	NA	0	0
groupIV	5025000	5099999	5062500	738	0	0	NA	0	0
groupIV	5100000	5174999	5137500	435	1	0.000234045872991106	-0.00972525766605998	0.000131249254265601	0.000326463986941441
