Chr	StartPos	EndPos	MidPos	TotalSites	VariableSites	Dxy	Fst	Hexp1	Hexp2
groupIV	0	74999	37500	608	0	0	NA	0	0
groupIV	75000	149999	112500	228	0	0	NA	0	0
groupIV	150000	224999	187500	1101	4	0.000982872713117945	0.13810399614484	0.000324830961751943	0.0012420655516218
groupIV	225000	299999	262500	1192	2	0.000361076283895075	0.033766422934374	0.000421121995122659	0.00023303504847129
groupIV	300000	374999	337500	927	2	0.000723161133085621	-0.0471885649375236	0.000779096248351912	0.000631001371742112
groupIV	375000	449999	412500	632	1	0.000454085836266946	-0.0274914089347079	0.000491536214515767	0.000411954160737024
groupIV	450000	524999	487500	530	0	0	NA	0	0
groupIV	525000	599999	562500	515	5	0.00169331562663193	-0.00733897981917885	0.00170651238469193	0.00159047363506133
groupIV	600000	674999	637500	1358	6	0.0019416549331866	0.0885862680105402	0.00191923666699803	0.00143473480593896
groupIV	675000	749999	712500	1903	8	0.00145667450419447	-0.00811308608562157	0.00138096473548108	0.00141520002207016
groupIV	750000	824999	787500	1320	11	0.00388645475891289	0.0866140715875003	0.00305024241400074	0.00337174685418616
groupIV	825000	899999	862500	1140	13	0.00385177934810288	-0.0228357162003136	0.00355542580730757	0.0038560803664431
groupIV	900000	974999	937500	1750	23	0.00495100227675416	0.165867893008451	0.00438727490529962	0.00345706086602291
groupIV	975000	1049999	1012500	1904	18	0.00278740191601389	0.0591878830217074	0.00263045890165341	0.00219804862189106
groupIV	1050000	1124999	1087500	1219	6	0.00184870811024421	-0.024797741996802	0.0017639771058972	0.0017632062349094
groupIV	1125000	1199999	1162500	0	0	NA	NA	NA	NA
groupIV	1200000	1274999	1237500	1398	7	0.00185474198349735	0.130845767683289	0.00180694643140995	0.00113596177304614
groupIV	1275000	1349999	1312500	2178	21	0.00307469867768459	-0.00881418678893527	0.00308700302840249	0.00278702246742595
groupIV	1350000	1424999	1387500	1425	9	0.00170294325557484	-0.0371292394219464	0.00187830017604775	0.00138407786441412
groupIV	1425000	1499999	1462500	1411	26	0.00600638692912633	0.024168138130638	0.00587825067707976	0.00528701278145061
groupIV	1500000	1574999	1537500	2069	16	0.00265363635535682	0.0107477990618925	0.00262038421467436	0.00237811587584955
groupIV	1575000	1649999	1612500	2121	13	0.00194309567807872	-0.0342828294454951	0.00168571582526023	0.0020253767458138
groupIV	1650000	1724999	1687500	702	10	0.00482233578387425	0.0999019815134859	0.00386805984842564	0.00423410515810207
groupIV	1725000	1799999	1762500	1279	11	0.00264723792626451	0.00536230606336461	0.00289560685616356	0.00197528943526561
groupIV	1800000	1874999	1837500	894	9	0.00376867461105519	0.0875132236403794	0.002637059132212	0.00356625893347391
groupIV	1875000	1949999	1912500	320	0	0	NA	0	0
groupIV	1950000	2024999	1987500	655	4	0.00144974020142408	0.00701522696752761	0.0016829918990497	0.00100782117966181
groupIV	2025000	2099999	2062500	924	5	0.00167598605098605	-0.021742522852711	0.00165343915343915	0.00152160556457431
groupIV	2100000	2174999	2137500	1751	8	0.00136614161894718	0.0523707378980428	0.00135100169444223	0.00109646510370042
groupIV	2175000	2249999	2212500	1228	7	0.0019574250396726	0.0726088493607416	0.00166638391241404	0.00165787551906319
groupIV	2250000	2324999	2287500	683	3	0.00136652025378233	-0.0899918495955816	0.00105064616812508	0.00159234801778203
groupIV	2325000	2399999	2362500	939	5	0.0018349547742519	-0.00260900948438369	0.00197231618151309	0.00122127461076052
groupIV	2400000	2474999	2437500	1398	14	0.00287691169428129	0.0253451940582679	0.0025753591392464	0.00265641247753318
groupIV	2475000	2549999	2512500	1251	10	0.00288414900225452	0.0382414524177747	0.00250443406245105	0.00266487603567939
groupIV	2550000	2624999	2587500	940	11	0.00397336859914216	-0.0259321360220906	0.0036715300342917	0.00402712933980317
groupIV	2625000	2699999	2662500	459	4	0.00192541663129898	0.0243282434010231	0.000816993464052288	0.00264368741068512
groupIV	2700000	2774999	2737500	377	0	0	NA	0	0
groupIV	2775000	2849999	2812500	1920	21	0.00332197633176184	-0.01398141173636	0.00331004910096794	0.00305925618557231
groupIV	2850000	2924999	2887500	709	5	0.00229227533749748	0.00158977002923488	0.00250109740652255	0.00162415265824242
groupIV	2925000	2999999	2962500	1750	18	0.00379146782383873	0.0222746523453104	0.00349849935050819	0.00359219203558766
groupIV	3000000	3074999	3037500	1696	17	0.00337470484722921	0.0632651502060154	0.0031281483742114	0.00282861035519417
groupIV	3075000	3149999	3112500	355	3	0.00263519387932534	-0.043189938235823	0.00300539036689272	0.00207403060337333
groupIV	3150000	3224999	3187500	557	2	0.00126155891408449	0.0514926347958975	0.00086971106955825	0.00144296314604857
groupIV	3225000	3299999	3262500	590	2	0.000635755072445002	-0.0454235960894099	0.000695645489834353	0.000572274426113977
groupIV	3300000	3374999	3337500	1197	6	0.00180511376976805	0.0297792396638247	0.00177280642260016	0.00159693763240192
groupIV	3375000	3449999	3412500	661	7	0.00298546416469818	0.0122880892465278	0.00250305006115126	0.0030564732196459
groupIV	3450000	3524999	3487500	2378	24	0.00300076048945979	0.0709444842890934	0.00328684604053892	0.00204477321942766
groupIV	3525000	3599999	3562500	1692	14	0.0031709859550044	0.209075060580185	0.00224640746283809	0.00256176621704107
groupIV	3600000	3674999	3637500	1182	7	0.00286726580975846	0.047970768025823	0.00271265426456871	0.00247336265693217
groupIV	3675000	3749999	3712500	856	7	0.00248187365593908	0.0745963037446914	0.00288574766117412	0.00140297993125802
groupIV	3750000	3824999	3787500	1197	8	0.00240276717929182	0.0283351906295674	0.00254580297886164	0.00171867267901003
groupIV	3825000	3899999	3862500	2779	10	0.0015472955635784	0.0587031160546453	0.00139539129138692	0.00133948439437644
