Chr	StartPos	EndPos	MidPos	TotalSites	VariableSites	Dxy	Fst	Hexp1	Hexp2
groupIV	0	74999	37500	606	0	0	NA	0	0
groupIV	75000	149999	112500	440	0	0	NA	0	0
groupIV	150000	224999	187500	212	0	0	NA	0	0
groupIV	225000	299999	262500	581	0	0	NA	0	0
groupIV	300000	374999	337500	513	0	0	NA	0	0
groupIV	375000	449999	412500	243	0	0	NA	0	0
groupIV	450000	524999	487500	175	2	0.00471665589312648	-0.0116338586282766	0.0049647266313933	0.00436588697435118
groupIV	525000	599999	562500	760	0	0	NA	0	0
groupIV	600000	674999	637500	387	1	0.00031369296370732	-0.014993481095176	0.000354455326222959	0.000271158324560563
groupIV	675000	749999	712500	254	1	0.000540055949796398	-0.0176923076923077	0.000540055949796398	0.000540055949796398
groupIV	750000	824999	787500	326	0	0	NA	0	0
groupIV	825000	899999	862500	369	1	0.000282294489611564	-0.0144175887984902	0.000344352617079889	0.000216425775368865
groupIV	900000	974999	937500	520	0	0	NA	0	0
groupIV	975000	1049999	1012500	462	0	0	NA	0	0
groupIV	1050000	1124999	1087500	355	0	0	NA	0	0
groupIV	1125000	1199999	1162500	0	0	NA	NA	NA	NA
groupIV	1200000	1274999	1237500	426	2	0.0012105737791552	-0.0257755002750184	0.0011655581637976	0.00124889546091455
groupIV	1275000	1349999	1312500	114	0	0	NA	0	0
groupIV	1350000	1424999	1387500	954	4	0.0010175679881713	0.0012658172170439	0.00117968282711365	0.00081776995568439
groupIV	1425000	1499999	1462500	150	0	0	NA	0	0
groupIV	1500000	1574999	1537500	116	0	0	NA	0	0
groupIV	1575000	1649999	1612500	537	3	0.00201241880134277	-0.0182708882866193	0.00198022637193203	0.00203471620772867
groupIV	1650000	1724999	1687500	803	1	0.000618152940964138	-0.0225399566730106	0.000617956764213594	0.00061834094368341
groupIV	1725000	1799999	1762500	344	0	0	NA	0	0
groupIV	1800000	1874999	1837500	313	1	0.00138050723780223	-0.0137362637362637	0.00141995030173944	0.00133229904854565
groupIV	1875000	1949999	1912500	782	4	0.00230670188991682	-0.00410938871014916	0.00214444339195689	0.00240230284276888
groupIV	1950000	2024999	1987500	765	1	0.000555834869560359	0.0404700699692777	0.000436052132884712	0.00060966316110349
groupIV	2025000	2099999	2062500	242	0	0	NA	0	0
groupIV	2100000	2174999	2137500	233	0	0	NA	0	0
groupIV	2175000	2249999	2212500	483	2	0.00131931049805446	-0.0102296317966735	0.00122795849291576	0.00139304245584439
groupIV	2250000	2324999	2287500	826	5	0.00187357711260362	-0.0087109669915803	0.00189821867896618	0.00178833972734337
groupIV	2325000	2399999	2362500	359	3	0.00389473944100994	-0.00447114604694464	0.0039958610834088	0.00368031811321576
groupIV	2400000	2474999	2437500	205	0	0	NA	0	0
groupIV	2475000	2549999	2512500	399	1	0.00105201274791918	-0.00452488687782804	0.00111389585073795	0.000962626043847617
groupIV	2550000	2624999	2587500	292	2	0.00300186030779638	0.0130643915351654	0.00318037469229757	0.0026179604261796
groupIV	2625000	2699999	2662500	0	0	NA	NA	NA	NA
groupIV	2700000	2774999	2737500	226	1	0.000901343821697805	0.0419580419580419	0.0012291052114061	0.00046432863542008
groupIV	2775000	2849999	2812500	286	0	0	NA	0	0
groupIV	2850000	2924999	2887500	982	1	0.00019235121068115	-0.0238980431902503	0.000183299389002037	0.000201151592869176
groupIV	2925000	2999999	2962500	472	2	0.00077177260557675	-0.017433762349937	0.000784242324001606	0.000757073771825811
groupIV	3000000	3074999	3037500	299	0	0	NA	0	0
groupIV	3075000	3149999	3112500	113	1	0.00264030008376125	0.0331564986737401	0.00174806074511089	0.00323512630952814
groupIV	3150000	3224999	3187500	588	3	0.00196595732310018	-0.00223575093122093	0.00188559151471239	0.00199966115712807
groupIV	3225000	3299999	3262500	364	0	0	NA	0	0
groupIV	3300000	3374999	3337500	429	3	0.00166987009092272	0.0177006148887552	0.0011591060973777	0.00206502684188126
groupIV	3375000	3449999	3412500	102	0	0	NA	0	0
groupIV	3450000	3524999	3487500	230	5	0.00662773417635303	0.022669596192921	0.00495334065258505	0.00776692947509249
groupIV	3525000	3599999	3562500	241	1	0.00213160755653456	0.0835472938276679	0.0017900949974102	0.00206330504470968
groupIV	3600000	3674999	3637500	276	0	0	NA	0	0
groupIV	3675000	3749999	3712500	303	1	0.000803926546500805	-0.00531682517903433	0.000916758342500918	0.000673736012654521
groupIV	3750000	3824999	3787500	513	2	0.00118654123230782	-0.00854986394943369	0.000973321888779257	0.00134312718896772
groupIV	3825000	3899999	3862500	691	2	0.000358702240033644	-0.0144274063149665	0.000411032805555794	0.000303728716656839
groupIV	3900000	3974999	3937500	552	2	0.000836980607512009	0.00702762411098076	0.00060883481441721	0.00102177605313057
groupIV	3975000	4049999	4012500	988	6	0.00221556683961783	0.00272014403588063	0.00197446463908262	0.00234831277544595
groupIV	4050000	4124999	4087500	274	1	0.00160583941605839	-0.0114045875268051	0.00158832116788321	0.0016220600162206
groupIV	4125000	4199999	4162500	575	1	0.000526033279656468	-0.0149136577708006	0.000564203494960339	0.000483091787439614
groupIV	4200000	4274999	4237500	365	0	0	NA	0	0
groupIV	4275000	4349999	4312500	457	1	0.000913994471008816	-0.00947328533535435	0.000877974984466597	0.000944010709793998
groupIV	4350000	4424999	4387500	873	1	0.000385796105383734	0.00534441805225652	0.00044077892325315	0.000307903780068729
groupIV	4425000	4499999	4462500	436	3	0.00295114788763342	-0.019519058604538	0.00293501127770282	0.00296644944779207
groupIV	4500000	4574999	4537500	405	1	0.000559012345679012	-0.0159010600706714	0.000594567901234568	0.000521481481481481
groupIV	4575000	4649999	4612500	241	1	0.00204011065006916	-0.0145102781136639	0.00205394190871369	0.00201705855232826
groupIV	4650000	4724999	4687500	243	0	0	NA	0	0
groupIV	4725000	4799999	4762500	347	0	0	NA	0	0
groupIV	4800000	4874999	4837500	631	2	0.000863666473809105	-0.0246071261640928	0.000914576078714634	0.000802175656903602
groupIV	4875000	4949999	4912500	1021	5	0.00212928914862386	0.0555368261588121	0.00230474445534896	0.00164607589290892
groupIV	4950000	5024999	4987500	550	0	0	NA	0	0
groupIV	5025000	5099999	5062500	808	0	0	NA	0	0
groupIV	5100000	5174999	5137500	437	1	0.0011441647597254	0.0338920421848404	0.0011441647597254	0.00105076355484986
groupIV	5175000	5249999	5212500	113	0	0	NA	0	0
groupIV	5250000	5324999	5287500	682	0	0	NA	0	0
groupIV	5325000	5399999	5362500	708	1	0.000152092875465966	0.0342969132778049	5.1343454775135e-05	0.000237342385281285
groupIV	5400000	5474999	5437500	336	3	0.00115316781983449	-0.0138560140206881	0.00102880658436214	0.00126796280642435
groupIV	5475000	5549999	5512500	179	0	0	NA	0	0
groupIV	5550000	5624999	5587500	263	0	0	NA	0	0
groupIV	5625000	5699999	5662500	302	2	0.00262084502947883	-0.00209590357857455	0.00248294545790954	0.00272985764768939
groupIV	5700000	5774999	5737500	113	0	0	NA	0	0
groupIV	5775000	5849999	5812500	246	0	0	NA	0	0
groupIV	5850000	5924999	5887500	628	1	0.000723798494499132	-0.0142094031366833	0.000690898562930989	0.000746417197452229
groupIV	5925000	5999999	5962500	234	0	0	NA	0	0
groupIV	6000000	6074999	6037500	179	0	0	NA	0	0
groupIV	6075000	6149999	6112500	233	2	0.00385055948389358	-0.00318368270070368	0.0035824495442131	0.00400776494005666
groupIV	6150000	6224999	6187500	233	0	0	NA	0	0
groupIV	6225000	6299999	6262500	516	1	0.00102216054699546	0.108732619785936	0.000947724928488638	0.000836071500728405
groupIV	6300000	6374999	6337500	282	4	0.00594690761218365	0.0321289985336411	0.00600860404582753	0.00533689786323116
groupIV	6375000	6449999	6412500	702	2	0.00110820709427864	0.0290382800541143	0.00118281798828223	0.000920960297640682
groupIV	6450000	6524999	6487500	465	1	0.000426272548932843	-0.0133084908171413	0.000361372922105699	0.000485272209684794
groupIV	6525000	6599999	6562500	241	0	0	NA	0	0
groupIV	6600000	6674999	6637500	630	1	0.000793650793650794	0.0371470567073359	0.000793650793650794	0.000705467372134038
groupIV	6675000	6749999	6712500	363	0	0	NA	0	0
groupIV	6750000	6824999	6787500	182	0	0	NA	0	0
groupIV	6825000	6899999	6862500	536	0	0	NA	0	0
groupIV	6900000	6974999	6937500	0	0	NA	NA	NA	NA
groupIV	6975000	7049999	7012500	123	0	0	NA	0	0
groupIV	7050000	7124999	7087500	527	0	0	NA	0	0
groupIV	7125000	7199999	7162500	120	1	0.00401234567901234	0.00443786982248517	0.00411522633744856	0.0037037037037037
groupIV	7200000	7274999	7237500	210	0	0	NA	0	0
groupIV	7275000	7349999	7312500	119	0	0	NA	0	0
groupIV	7350000	7424999	7387500	441	4	0.00343026180169037	-0.0141037031403089	0.00359319727891156	0.00322440359063736
groupIV	7425000	7499999	7462500	227	0	0	NA	0	0
groupIV	7500000	7574999	7537500	705	1	0.000709219858156028	-0.00449928420478562	0.000694745983499783	0.000709219858156028
groupIV	7575000	7649999	7612500	234	0	0	NA	0	0
groupIV	7650000	7724999	7687500	121	0	0	NA	0	0
groupIV	7725000	7799999	7762500	119	1	0.00234579428479211	0.0814590814590816	0.0011527244642713	0.00307201069728303
groupIV	7800000	7874999	7837500	65	0	0	NA	0	0
groupIV	7875000	7949999	7912500	115	0	0	NA	0	0
groupIV	7950000	8024999	7987500	295	1	0.000539291217257319	-0.0120074412311855	0.000294158845776719	0.000741525423728814
groupIV	8025000	8099999	8062500	0	0	NA	NA	NA	NA
groupIV	8100000	8174999	8137500	286	1	0.00154758285193068	0.00728591807080774	0.00140979020979021	0.00162927809430645
groupIV	8175000	8249999	8212500	322	8	0.0124198597733569	-0.000180807724192863	0.0124164895678005	0.0124202302141111
groupIV	8250000	8324999	8287500	105	1	0.00459259259259259	-0.00230414746543778	0.00467724867724868	0.00442328042328042
groupIV	8325000	8399999	8362500	590	4	0.0025620011338781	-0.000755900853893684	0.00233837078143901	0.00268419706586687
groupIV	8400000	8474999	8437500	453	3	0.0025898220391075	0.0036980726778679	0.00227064017660044	0.0027877262468195
groupIV	8475000	8549999	8512500	228	0	0	NA	0	0
groupIV	8550000	8624999	8587500	116	0	0	NA	0	0
groupIV	8625000	8699999	8662500	177	0	0	NA	0	0
groupIV	8700000	8774999	8737500	0	0	NA	NA	NA	NA
groupIV	8775000	8849999	8812500	244	1	0.00192074167484004	0.0246822804584456	0.00200420517663991	0.00168238917450771
groupIV	8850000	8924999	8887500	123	0	0	NA	0	0
groupIV	8925000	8999999	8962500	225	0	0	NA	0	0
groupIV	9000000	9074999	9037500	202	0	0	NA	0	0
groupIV	9075000	9149999	9112500	461	1	0.000370459637752961	0.0115848007414272	0.000227631825607241	0.000489482814541061
groupIV	9150000	9224999	9187500	663	0	0	NA	0	0
groupIV	9225000	9299999	9262500	290	1	0.0016663916845405	0.014966411132912	0.00170503390963798	0.0015495867768595
groupIV	9300000	9374999	9337500	346	3	0.00225415304226051	-0.0119966101342564	0.0022054867702213	0.00224325310680564
groupIV	9375000	9449999	9412500	217	0	0	NA	0	0
groupIV	9450000	9524999	9487500	238	1	0.00219305829327616	0.200343677347619	0.00208931309149174	0.00136309667900082
groupIV	9525000	9599999	9562500	351	4	0.00262311483161963	0.0185936917395716	0.00228623685413809	0.00276959031417193
groupIV	9600000	9674999	9637500	534	2	0.00147706313610045	-0.00505016722408027	0.00156183371608534	0.00136660450157468
groupIV	9675000	9749999	9712500	166	0	0	NA	0	0
groupIV	9750000	9824999	9787500	468	1	0.000557138334916113	-0.0187919530441176	0.000539317411745395	0.000574358974358974
groupIV	9825000	9899999	9862500	0	0	NA	NA	NA	NA
groupIV	9900000	9974999	9937500	0	0	NA	NA	NA	NA
groupIV	9975000	10049999	10012500	114	1	0.00439221272554606	-0.0177939643605756	0.00437947679850514	0.00437994849950666
groupIV	10050000	10124999	10087500	119	0	0	NA	0	0
groupIV	10125000	10199999	10162500	0	0	NA	NA	NA	NA
groupIV	10200000	10274999	10237500	248	3	0.00545101553166069	0.0131717597471022	0.00573310765963096	0.0048536439665472
groupIV	10275000	10349999	10312500	470	0	0	NA	0	0
groupIV	10350000	10424999	10387500	409	2	0.00173899336264635	0.0676878569839033	0.00139689630769953	0.0017976864848186
groupIV	10425000	10499999	10462500	443	0	0	NA	0	0
groupIV	10500000	10574999	10537500	178	0	0	NA	0	0
groupIV	10575000	10649999	10612500	667	2	0.000370541225113939	-0.0152096089477982	0.000418569783459988	0.000320338953906786
groupIV	10650000	10724999	10687500	179	0	0	NA	0	0
groupIV	10725000	10799999	10762500	0	0	NA	NA	NA	NA
groupIV	10800000	10874999	10837500	128	0	0	NA	0	0
groupIV	10875000	10949999	10912500	855	12	0.0044280882860339	0.0123387167293702	0.00439901084474564	0.00414762921058793
groupIV	10950000	11024999	10987500	344	0	0	NA	0	0
groupIV	11025000	11099999	11062500	532	4	0.00247350431317293	0.0330801038194443	0.00213160215353198	0.00253323844285757
groupIV	11100000	11174999	11137500	104	0	0	NA	0	0
groupIV	11175000	11249999	11212500	715	0	0	NA	0	0
groupIV	11250000	11324999	11287500	135	0	0	NA	0	0
groupIV	11325000	11399999	11362500	324	1	0.000937780487391827	0.0764021531515889	0.00118545614659012	0.000518637064133179
groupIV	11400000	11474999	11437500	473	0	0	NA	0	0
groupIV	11475000	11549999	11512500	598	3	0.00205775653641998	0.122092283414449	0.00191695153827803	0.00165223814177115
groupIV	11550000	11624999	11587500	124	0	0	NA	0	0
groupIV	11625000	11699999	11662500	533	0	0	NA	0	0
