"lg" "pos1" "pos2" "pi"
3 0 74999 0.00280695472624602
3 75000 149999 0.00267043408657103
3 150000 224999 0.00201715292290619
3 225000 299999 0.00248743597720299
3 300000 374999 0.00310218592295118
3 375000 449999 0.00358018242352657
3 450000 524999 0.00322389047900102
3 525000 599999 0.00307770225733114
3 600000 674999 0.00288876572287597
3 675000 749999 0.0027596726231459
3 750000 824999 0.00283369873814329
3 825000 899999 0.00333839543116942
3 900000 974999 0.00268537364992262
3 975000 1049999 0.00238370248422156
3 1050000 1124999 0.00328916989662573
3 1125000 1199999 0.00288865705994072
3 1200000 1274999 0.00214279802572873
3 1275000 1349999 0.00375867696335799
3 1350000 1424999 0.00339712874609416
3 1425000 1499999 0.00394820678205754
3 1500000 1574999 0.00401605236981574
3 1575000 1649999 0.00325396854294684
3 1650000 1724999 0.00362211864757371
3 1725000 1799999 0.00436812046997846
3 1800000 1874999 0.00387153727357353
3 1875000 1949999 0.00352976226671087
3 1950000 2024999 0.00409160543196257
3 2025000 2099999 0.00324210326397826
3 2100000 2174999 0.0025244959094749
3 2175000 2249999 0.00279365489552014
3 2250000 2324999 0.00218132562306637
3 2325000 2399999 0.00244534515588139
3 2400000 2474999 0.00254986225453258
3 2475000 2549999 0.00253221205828805
3 2550000 2624999 0.00228219937686374
3 2625000 2699999 0.00244306960233405
3 2700000 2774999 0.00205099281827888
3 2775000 2849999 0.00196044416914189
3 2850000 2924999 0.00142231327906778
3 2925000 2999999 0.00177144938054574
3 3000000 3074999 0.00171046218974578
3 3075000 3149999 0.00149188057098232
3 3150000 3224999 0.00169205727834721
3 3225000 3299999 0.00141489480845989
3 3300000 3374999 0.00254750330995354
3 3375000 3449999 0.00125751261770337
3 3450000 3524999 0.00107138709456816
3 3525000 3599999 0.00140123012873268
3 3600000 3674999 0.00148166041926975
3 3675000 3749999 0.00203435547629199
3 3750000 3824999 0.00207909923416488
3 3825000 3899999 0.00132506670277953
3 3900000 3974999 0.00165168809439862
3 3975000 4049999 0.001528240120776
3 4050000 4124999 0.00148254202943397
3 4125000 4199999 0.00218378347566231
3 4200000 4274999 0.00222908631220003
3 4275000 4349999 0.00348294610855866
3 4350000 4424999 0.00266374356249124
3 4425000 4499999 0.00203093688357001
3 4500000 4574999 0.00447027429343657
3 4575000 4649999 0.00251401671087205
3 4650000 4724999 0.00293781855635094
3 4725000 4799999 0.00293602290750108
3 4800000 4874999 0.00358812866241876
3 4875000 4949999 0.00328183108131553
3 4950000 5024999 0.00222900793229902
3 5025000 5099999 0.00345610748076616
3 5100000 5174999 0.00278853948770729
3 5175000 5249999 0.00290090365464537
3 5250000 5324999 0.00192864285513053
3 5325000 5399999 0.00299847773485349
3 5400000 5474999 0.00256854226860024
3 5475000 5549999 0.00233525223679922
3 5550000 5624999 0.00333877230848344
3 5625000 5699999 0.00206485425739225
3 5700000 5774999 0.00142209891236112
3 5775000 5849999 0.0014148957531564
3 5850000 5924999 0.00479938424761766
3 5925000 5999999 0.00342837862280749
3 6000000 6074999 0.0037405527771522
3 6075000 6149999 0.0019254461082773
3 6150000 6224999 0.00321196013602196
3 6225000 6299999 0.00234907084939571
