"lg" "pos1" "ben.lim_num.obs" "ben.lim_num.outlier" "ben.lim_prop" "lake.stream_num.obs" "lake.stream_num.outlier" "lake.stream_prop" "marine.fresh_num.obs" "marine.fresh_num.outlier" "marine.fresh_prop" "dn" "ds" "exon" "gene_count" "gene_density" "gene_id" "ka" "ks" "phastcons" "pi_atl_10k" "pi_atl_75k" "pi_pac_10k" "pi_pac_75k" "recomb_rate" "utr3" "utr5" "in.a.gene" "num.obs.all" "num.outlier.all" "prop.outlier.all" "prop.outlier.scale" "outlier.any" "para.fact" "para.cat"
1 1 0 0 NA 6 0 0 4 0 0 0.0658416564532892 0.473346150467685 1 6 0.346306666666667 NA 0.0379 0.0748 0.253449465307138 0.00260348073293791 0.00267446983533978 0.00364445335518273 0.0037387124026234 NA NA 1 0 10 0 0 NA NA NA 0
1 75000 1 0 0 5 0 0 4 0 0 0.0895912245685873 0.422862018718924 1 2 0.683773333333333 NA NA NA 0.177779971918203 0.00201201949421498 0.00196030550685323 0.00360313113856122 0.00358590372977646 NA NA NA 0 10 0 0 0 FALSE NA 0
1 150000 3 0 0 5 0 0 4 0 0 0.0498936265165064 0.321581930011117 1 8 0.58364 NA NA NA 0.261211488367915 0.00235931861653011 0.0023103521844497 0.00314811422889586 0.00307004991091437 NA NA 1 0 12 0 0 0 FALSE NA 0
1 225000 1 0 0 1 0 0 4 0 0 0.0449706267188309 0.357475713767907 1 5 0.315866666666667 NA NA NA 0.171855171760546 0.00307641210114772 0.00325513551785061 0.00344949964805055 0.00360366189281593 NA NA 1 0 6 0 0 0 FALSE NA 0
1 3e+05 2 0 0 1 0 0 4 0 0 0.0438813604022627 0.462274464739158 1 8 0.19656 NA 0.0047 0.2542 0.150012437128487 0.00312735383012993 0.00296432730213568 0.00287691297350408 0.00316174564353356 NA NA 1 0 7 0 0 0 FALSE NA 0
1 375000 3 0 0 6 0 0 4 0 0 0.0431887362065601 0.619167536930648 1 8 0.625413333333333 NA 0 0.1664 0.250474622721454 0.00211058847931459 0.00221203430517757 0.00236541729863393 0.00251092562291584 NA NA 1 0 13 0 0 0 FALSE NA 0
1 450000 3 0 0 5 0 0 4 0 0 0.0427951097264961 0.391455285143633 1 11 0.69748 NA 0.0400384874464176 NA 0.260252492442876 0.00206209571854128 0.00202134571586378 0.00192254903561041 0.00191681981432091 NA NA 1 0 12 0 0 0 FALSE NA 0
1 525000 3 0 0 4 1 0.25 4 0 0 0.0688066983206371 0.386396415570175 1 5 0.462 NA 0 0.3958 0.281234584013051 0.0021239858256293 0.00240070421576259 0.00353079877449545 0.00368916721054966 NA NA 1 0 11 1 0.0909090909090909 0.0833333333333333 TRUE "(0,0.1]" 1
1 6e+05 2 0 0 6 0 0 4 0 0 8.4e-05 0.843557 1 3 0.178306666666667 NA NA NA 0.231078289343124 0.00538159188466889 0.0032943897143427 0.00545343730551534 0.00507584641289313 NA NA NA 0 12 0 0 0 FALSE NA 0
1 675000 3 0 0 6 1 0.166666666666667 4 0 0 0.00026705659601681 0.0732066957792801 1 6 0.31056 NA NA NA 0.269053887789927 0.00432499822768909 0.00428804243776143 0.00525514610621894 0.00532187421911358 2.660815301 NA 1 0 13 1 0.0769230769230769 0.0555555555555556 TRUE "(0,0.1]" 1
1 750000 3 0 0 2 0 0 4 0 0 0.0137830728869685 0.250834533070071 1 5 0.752866666666667 NA NA NA 0.325245645599663 0.00261570165174459 0.002598127078822 0.00475626537870979 0.00472967052225727 2.660815301 NA 1 0 9 0 0 0 FALSE NA 0
1 825000 2 0 0 0 0 NA 3 0 0 0.0180679726738686 0.588950059118611 1 5 0.605946666666667 NA 0.0563569068744139 0.119492097670057 0.195387377584331 0.0038764098017109 0.0040932130226369 0.00730828557920206 0.00768655824462857 2.660815301 NA 1 0 5 0 0 NA NA NA 0
1 9e+05 3 0 0 5 0 0 4 0 0 0.0715041203935599 0.41244716738223 1 6 0.670706666666667 NA 0 0.1158 0.311508370405057 0.00410537295750726 0.00402147138223865 0.0054418074020297 0.00542452591602646 2.660815301 NA 1 0 12 0 0 0 FALSE NA 0
1 975000 2 0 0 6 0 0 4 0 0 0.0863575438429223 0.611478160623306 1 3 0.50904 NA 0.0966 0.2547 0.252768505485175 0.00331870781566104 0.00346221680381174 0.0051115864283822 0.00536764815703846 3.64659862176424 NA 1 0 12 0 0 0 FALSE NA 0
1 1050000 3 0 0 2 0 0 2 0 0 0.0475311244742802 0.61633587366548 1 2 0.164826666666667 NA NA NA 0.311414340192834 0.0033955155682953 0.00341790082462902 0.00530491634647399 0.00532369397473619 3.769782723 NA NA 0 7 0 0 0 FALSE NA 0
1 1125000 3 0 0 1 0 0 4 0 0 0.0384498864038616 0.774963858889783 1 5 0.248533333333333 NA NA NA 0.261088599555414 0.00362357303013409 0.00371573223859767 0.00493042904633915 0.00503102738380441 3.769782723 NA 1 0 8 0 0 0 FALSE NA 0
1 1200000 3 0 0 6 0 0 4 0 0 0.0159984306222688 0.709358737657554 1 4 0.738306666666667 NA NA NA 0.273905905163811 0.00370360823196532 0.00362471792630778 0.00589460731399054 0.00594400973286019 4.55493133114483 NA 1 0 13 0 0 0 FALSE NA 0
1 1275000 3 0 0 5 0 0 4 1 0.25 0.0420748393244381 0.896916869301222 1 6 0.522546666666667 NA 0.0413 0.0648 0.279087288774082 0.00463200752050631 0.00474415169036524 0.00567322269589373 0.00572692100714262 9.22251234747208 NA 1 0 12 1 0.0833333333333333 0.0833333333333333 TRUE "(0,0.1]" 1
1 1350000 3 0 0 5 0 0 4 1 0.25 0.0506304631315513 0.740100526023721 1 5 0.73516 NA NA NA 0.254738038385295 0.00461360948093945 0.00459369858183514 0.00574585725661918 0.00586837560541702 12.5841815441653 NA 1 0 12 1 0.0833333333333333 0.0833333333333333 TRUE "(0,0.1]" 1
1 1425000 3 0 0 4 0 0 4 0 0 0.083259 0.748424 1 1 0.185346666666667 NA NA NA 0.262577372199637 0.00429112190408421 0.00432599880393771 0.00588489867442527 0.00615276570398274 10.991282894832 NA NA 0 11 0 0 0 FALSE NA 0
1 1500000 3 0 0 4 0 0 4 0 0 0.0891652639063341 0.727111892966087 1 3 0.594413333333333 NA NA NA 0.235983515176235 0.0036105132312985 0.00332796058650366 0.00611141794739129 0.00601916098990457 19.6858791 NA 1 0 11 0 0 0 FALSE NA 0
1 1575000 3 0 0 5 0 0 4 1 0.25 0.144373 NA 1 2 0.75216 NA NA NA 0.237284697508897 0.00360863414124562 0.00364911812410168 0.00604139813428721 0.0060322113625489 19.6858791 NA NA 0 12 1 0.0833333333333333 0.0833333333333333 TRUE "(0,0.1]" 1
1 1650000 3 0 0 0 0 NA 4 0 0 0.144373 NA 1 NA NA NA NA NA 0.200534096162737 0.00366810294590342 0.003802124663757 0.00544259625025024 0.00557616431908714 19.6858791 NA NA 0 7 0 0 NA NA NA 0
1 1725000 3 0 0 5 1 0.2 4 0 0 0.0516627305817355 0.391560970263243 1 4 0.164053333333333 NA NA NA 0.316862733109141 0.00387903294842366 0.00375498993019332 0.00588113798165987 0.00607946947075311 19.6858791 NA 1 0 12 1 0.0833333333333333 0.0666666666666667 TRUE "(0,0.1]" 1
1 1800000 3 0 0 4 0 0 3 0 0 0.0213862773060161 0.500944104955744 1 4 0.3792 NA NA NA 0.281389607155457 0.00351185535814994 0.00344146390061066 0.00545057746246857 0.00542887846263581 19.6858791 NA NA 0 10 0 0 0 FALSE NA 0
1 1875000 3 0 0 6 0 0 4 0 0 0.0435672538736221 0.471730068095016 1 9 0.440533333333333 NA 0.0208499548192771 0.328528825301205 0.280337725014254 0.00317894980001047 0.00312490382242411 0.00543365711679567 0.00544600942060305 20.5266733405969 1 1 0 13 0 0 0 FALSE NA 0
1 1950000 3 0 0 6 1 0.166666666666667 4 0 0 0.029103155373401 0.54352157480784 1 8 0.469973333333333 NA 0.00740142756183746 0.605557342756184 0.289335748553829 0.00280063088539697 0.00285560195138864 0.00539793212198348 0.0052735349111892 8.803703745 NA 1 0 13 1 0.0769230769230769 0.0555555555555556 TRUE "(0,0.1]" 1
1 2025000 3 0 0 6 0 0 4 0 0 0.0444327921436218 0.482565561887507 1 4 0.323746666666667 NA 0.3854 NA 0.273016240262228 0.00303761461118249 0.00306329224365081 0.00487177672827433 0.00495570142884633 10.1706776424443 NA 1 0 13 0 0 0 FALSE NA 0
1 2100000 3 0 0 6 0 0 4 0 0 0.0120090720759899 0.196036569237812 1 7 0.582453333333333 NA NA NA 0.258329437878242 0.00381652455399959 0.00399317849192692 0.00696258659571476 0.00739977965857079 20.9830431056224 NA 1 0 13 0 0 0 FALSE NA 0
1 2175000 3 0 0 0 0 NA 2 1 0.5 0.0261622057904828 0.347879614420198 1 9 0.618826666666667 NA 0.0604 0.8886 0.26289733436902 0.00357253834750701 0.00361266721905923 0.00505687352127553 0.00507229077013005 11.6336198 NA 1 0 5 1 0.2 NA NA NA 1
1 2250000 3 0 0 6 0 0 4 0 0 0.0398507035594935 0.564521125088144 1 7 0.572066666666667 NA NA NA 0.265386849255516 0.00436576750321169 0.00437206189071629 0.00646275752448825 0.00648797872395956 11.6336198 NA 1 0 13 0 0 0 FALSE NA 0
1 2325000 3 0 0 5 0 0 4 0 0 0.04198 0.461324 1 1 0.464506666666667 NA NA NA 0.225169402130539 0.00448477348190707 0.00453623189616384 0.00670164742953907 0.00672882852381341 13.234310730656 NA NA 0 12 0 0 0 FALSE NA 0
1 2400000 3 0 0 6 0 0 4 0 0 NA NA NA NA NA NA NA NA 0.200460982602207 0.00398793001963793 0.0039765994825232 0.00643154801867641 0.00649839968854199 14.93537502 NA NA 0 13 0 0 0 FALSE NA 0
1 2475000 3 0 0 5 0 0 4 0 0 NA NA NA NA NA NA NA NA 0.222202220623008 0.00411913269253341 0.00413574569431007 0.00605199113336447 0.00601307410863291 17.4575854251067 NA NA 0 12 0 0 0 FALSE NA 0
1 2550000 3 0 0 6 0 0 4 0 0 NA NA NA NA NA NA NA NA 0.222365450466407 0.00361464262978383 0.00361102536808107 0.00658875170920384 0.00655861600817836 15.9044105611198 NA NA 0 13 0 0 0 FALSE NA 0
1 2625000 3 0 0 6 0 0 4 0 0 4.6e-05 0.462892 1 2 0.14808 NA NA NA 0.23736537140895 0.00378989723008896 0.00379195941001982 0.00520552032587719 0.00525502438001095 13.8305876290209 NA 1 0 13 0 0 0 FALSE NA 0
1 2700000 3 0 0 5 0 0 4 0 0 0.00557106248518466 0.182663874365903 1 5 0.383 NA NA NA 0.240423921144368 0.0038045719775867 0.00389980520058011 0.00519842702639416 0.00530116429140237 7.449717082 NA 1 0 12 0 0 0 FALSE NA 0
1 2775000 3 0 0 0 0 NA 1 0 0 0.0557947441320168 0.395610072329085 1 3 0.390213333333333 NA NA NA 0.254356230466096 0.00328626704300297 0.00327217762890231 0.00514579297047248 0.00511636097925111 7.449717082 NA 1 0 4 0 0 NA NA NA 0
1 2850000 3 0 0 3 0 0 4 0 0 0.078143 0.377113 1 2 0.50004 NA NA NA 0.217849062230764 0.0052977617079839 0.00448070220929515 0.00543977066173924 0.00585238345806048 7.449717082 NA NA 0 10 0 0 0 FALSE NA 0
1 2925000 2 0 0 2 0 0 3 0 0 0.0756798474525375 0.388391081145107 1 3 0.568346666666667 NA NA NA 0.232461276295687 0.00504764681403237 0.00353278637696069 0.00624611022559931 0.00733667776808589 7.449717082 NA 1 0 7 0 0 0 FALSE NA 0
1 3e+06 3 0 0 5 0 0 4 0 0 0.048452799270073 0.460345510948905 1 7 0.329533333333333 NA NA NA 0.228070772201438 0.00386659834014075 0.00398512566961245 0.00697079582295091 0.00674484532597401 5.2594562736608 NA 1 0 12 0 0 0 FALSE NA 0
1 3075000 3 0 0 6 0 0 4 0 0 0.0959794136118844 0.455471505970809 1 6 0.512413333333333 NA NA NA 0.251717210885962 0.00307836559641183 0.00297509058300245 0.00464725649851223 0.00462385629445187 3.090121524 NA 1 0 13 0 0 0 FALSE NA 0
1 3150000 3 0 0 6 1 0.166666666666667 4 0 0 0.0117327339474644 0.349081257387815 1 5 0.255546666666667 NA NA NA 0.239089108080921 0.0041874654104607 0.00419914020246845 0.00587539577973172 0.00591335838067471 6.96595060469336 NA 1 0 13 1 0.0769230769230769 0.0555555555555556 TRUE "(0,0.1]" 1
1 3225000 3 0 0 6 0 0 3 0 0 0.138405 0.419645 1 1 0.35332 NA NA NA 0.216263609006395 0.00324596852029991 0.00321452350909175 0.00522582622288539 0.00519135071252512 7.087305098 NA 1 0 12 0 0 0 FALSE NA 0
