lg pos1 pos2 dn
1 2098 9910 0.304513
1 18791 22890 0.0976276666666667
1 36880 38991 0.034342
1 42006 46064 0.0798533333333333
1 69460 74583 0.0958093333333333
1 77722 105198 0.513532333333333
1 117583 141390 0.3177935
1 150455 155401 0.127737333333333
1 169269 179484 0.0454743333333333
1 184803 198423 0.10194
1 199995 206700 0.0836582222222222
1 208356 211604 0.111181333333333
1 217115 219753 0.137532666666667
1 229192 236148 0.124239
1 244666 253839 0.0215213333333333
1 257080 258329 0.215260333333333
1 356280 359332 0.0759883333333333
1 363799 365223 0.0969876666666667
1 369110 371418 0.139978
1 372834 374001 0.208904
1 380274 381945 0.024175
1 382188 383538 0.219311
1 384897 395887 0.0616391666666667
1 399228 409825 0.0957293333333333
1 427703 435209 0.0585033333333333
1 436490 448294 0.065483
1 462140 471296 0.055189
1 474993 481036 0.118858
1 483523 484997 0.200854333333333
1 493880 500134 0.148693333333333
1 500828 510359 0.653214666666667
1 518206 536065 0.0622571666666667
1 555946 557500 0.153324
1 559077 566856 0.119564
1 568151 571571 0.126597666666667
1 572635 578245 0.0508086666666667
1 620253 626394 0.0305506666666667
1 638917 644877 0.282017333333333
1 696149 703429 0.062329
1 725635 725859 0.0479576666666667
1 726932 740276 0.0215055
1 746199 747195 0.1920695
1 749956 783492 0.0272813333333333
1 785833 786012 0.050756
1 790618 796261 0.0377926666666667
1 798707 805841 0.168404
1 807405 813257 0.380696333333333
1 814526 818691 0.0949043333333333
1 825335 835930 0.02714
1 845685 851086 0.115770833333333
1 898273 903775 0.0837563333333333
1 903985 905957 0.04261
1 906629 913276 0.0566336666666667
1 913769 925638 0.086494
1 931955 937054 0.106696
1 959004 989717 0.0604543333333333
1 992281 1011125 0.235156
1 1053880 1057246 0.108354
1 1076088 1085084 0.0500766666666667
1 1175505 1181937 0.073233
1 1184288 1184688 0.0830235
1 1185206 1186192 0.0226786666666667
1 1187874 1192146 0.0935756666666667
1 1193449 1230766 0.047049
1 1234077 1236193 0.240777444444444
1 1236297 1242154 0.258785
1 1242776 1245714 0.25211125
1 1260571 1274267 0.161956
1 1276013 1277115 0.0853525
1 1279295 1282121 0.137861666666667
1 1290624 1310251 0.040333
1 1315175 1318264 0.0619836666666667
1 1321632 1328761 0.108229333333333
1 1352913 1364832 0.0533276666666667
1 1369446 1383127 0.066327
1 1385915 1393786 0.1984395
1 1394892 1401575 0.142360666666667
1 1410016 1438823 0.0569755
1 1508261 1535124 0.144314333333333
1 1545588 1554821 0.109521666666667
1 1560251 1568736 0.0389486666666667
1 1594281 1664168 0.028128
1 1751568 1753282 0.0778503333333333
1 1755126 1762297 0.0956373333333333
1 1762413 1764918 0.104993666666667
1 1811639 1812559 0.04069
1 1835798 1849578 0.0514863333333333
1 1855721 1863275 0.106971
1 1875460 1882519 0.00801833333333333
1 1890918 1895272 0.166442333333333
1 1899975 1907740 0.0328713333333333
1 1912692 1913706 0.090362
1 1919945 1923826 0.132396333333333
1 1924903 1926389 0.228948
1 1964741 1970521 0.196522333333333
1 1988336 1991038 0.0286873333333333
1 2001693 2004602 0.0706105
1 2004856 2007949 0.139754
1 2009479 2010527 0.161237
1 2013835 2018817 0.0787263333333333
1 2024413 2029617 0.08804
1 2041834 2047281 0.0725195
1 2075764 2085083 0.0924636666666667
1 2096706 2098851 0.0686373333333333
1 2110211 2128414 0.0113603333333333
1 2139386 2140819 0.1168425
1 2149070 2156200 0.17654825
1 2156320 2161808 0.103529
1 2161683 2166868 0.250743666666667
1 2167369 2171903 0.077594
1 2172113 2173949 0.09641
1 2175787 2179611 0.259662666666667
1 2180844 2181239 0.3471115
1 2189867 2195389 0.0532392222222222
1 2197855 2203483 0.0497703333333333
1 2206772 2213401 0.0131193333333333
1 2218130 2220146 0.283711666666667
1 2225187 2236863 0.078336
1 2237067 2245543 0.0586258333333333
1 2247753 2267649 0.0590686666666667
1 2271244 2274912 0.0815096666666667
1 2277256 2278122 0.387018333333333
1 2293356 2295366 0.1872535
1 2301708 2308184 0.182261
1 2330169 2365007 0.0709486666666667
1 2636733 2646924 0.050886
1 2717130 2718198 0.12169
1 2735505 2755528 0.0412116666666667
1 2782049 2790640 0.040879
1 2798666 2813268 0.0375601666666667
1 2824077 2830150 0.048229
1 2898939 2945757 0.20457
1 2988172 2992797 0.145212333333333
1 2995003 2999589 0.0919555
1 3032666 3033857 0.143803666666667
1 3039163 3045850 0.031146
1 3047218 3052489 0.0787213333333333
1 3080902 3085572 0.0567371666666667
1 3086853 3088913 0.0746916666666667
1 3091076 3108409 0.131076833333333
1 3124210 3127693 0.074252
1 3129406 3136785 0.088312
1 3145697 3149203 0.14468
1 3154035 3156749 0.184542
1 3163025 3169107 0.362889666666667
1 3175899 3178064 0.105758
1 3273500 3300395 0.0263165
1 3303968 3318945 0.115886666666667
1 3325760 3330237 0.0556063333333333
1 3332783 3338589 0.00784466666666667
1 3347259 3347414 0.140869333333333
1 3390561 3407147 0.043052
1 3414389 3416002 0.141512333333333
1 3421423 3436453 0.03058
1 3486252 3490154 0.025722
1 3537920 3541210 0.173104666666667
1 3727950 3776112 0.0257475
1 3837246 3845416 0.0549243333333333
1 3848030 3851119 0.140177
1 3935093 3946002 0.0485743333333333
1 3984198 4032562 0.0464716666666667
1 4043118 4044679 0.183908
1 4046937 4048548 0.19176325
1 4056681 4058563 0.013875
1 4062043 4063888 0.0440896666666667
1 4066933 4068501 0.00461966666666667
1 4093568 4112992 0.00681766666666667
1 4114283 4117189 0.400116666666667
1 4122097 4123446 0.0311963333333333
1 4123737 4126346 0.972528666666667
1 4128096 4137512 0.0982017777777778
1 4165526 4175090 0.0166703333333333
1 4178468 4194469 0.0880623333333333
1 4220184 4222102 0.0415893333333333
1 4226568 4230446 0.174196333333333
1 4236565 4248993 0.401204
1 4322322 4397568 0.017007
1 4425525 4435391 0.110132
1 4470998 4481907 0.0647693333333333
1 4482490 4485218 0.101451166666667
1 4485819 4491775 0.0575138333333333
1 4494513 4498339 0.0852256666666667
1 4499549 4509058 0.0570393333333333
1 4511274 4515926 0.098752
1 4543685 4582641 0.0176676666666667
1 4607682 4609548 0.186423
1 4617503 4623965 0.022485
1 4716822 4758126 0.092504
1 4743905 4749468 0.157858
1 4766643 4768983 0.072228
1 4772115 4783409 0.129341666666667
1 4807095 4815196 0.121421
1 4818207 4825298 0.3394655
1 5065629 5116913 0.124893
1 5136823 5139540 0.0438393333333333
1 5186778 5192211 0.280751666666667
1 5335913 5344736 0.157660333333333
1 5357524 5359129 0.152052666666667
1 5408524 5408916 0.315771
1 5465852 5488747 0.042042
1 5496803 5535584 0.165151333333333
1 5512892 5515273 0.078671
1 5537599 5542661 0.126207333333333
1 5543009 5544661 0.202324666666667
1 5544654 5547177 0.091325
1 5548344 5562595 0.0934243333333333
1 5562826 5565056 0.098213
1 5570060 5575752 0.0809995
1 5577318 5597550 0.115854
1 5674998 5692007 0.049696
1 5759769 5763212 0.173863
1 5766408 5786885 0.0536716666666667
1 5794328 5802345 0.156159333333333
