Chr	StartPos	EndPos	MidPos	TotalSites	VariableSites	Dxy	Fst	Hexp1	Hexp2
groupI	0	74999	37500	0	0	0	NA	0	0
groupI	75000	149999	112500	581	0	0	NA	0	0
groupI	150000	224999	187500	1360	6	0.00183322192513369	0.276138002372699	0.00133334946314002	0.00106975081699346
groupI	225000	299999	262500	268	0	0	NA	0	0
groupI	300000	374999	337500	174	0	0	NA	0	0
groupI	375000	449999	412500	2124	6	0.000479132188171736	0.0940750162576393	0.000765513257131416	0
groupI	450000	524999	487500	901	2	0.000800345295350845	0.25838242743163	0.000489099902714405	0.000604266863978295
groupI	525000	599999	562500	997	5	0.00206281263729926	0.242140770705284	0.00138532882598413	0.00153728630273673
groupI	600000	674999	637500	656	5	0.00286503702090592	0.232860717727412	0.00216632791327913	0.00196991035997732
groupI	675000	749999	712500	664	4	0.00197561077643909	0.395425859671062	0.00144796634454485	0.000827383608508105
groupI	750000	824999	787500	1484	21	0.00519149772011527	0.193854654432273	0.00456294357051819	0.00340812522468826
groupI	825000	899999	862500	341	1	0.000943877853894833	0.0919458025238087	0.00120632651237602	0.000416456992139375
groupI	900000	974999	937500	930	11	0.00418490559619592	0.26866143275054	0.0037781816064773	0.00191928016726404
groupI	975000	1049999	1012500	1171	9	0.00661973475807806	0.914139241947086	0.000994652216597081	0
groupI	1050000	1124999	1087500	737	11	0.00437953471755052	0.112243832783448	0.00344687055685634	0.00394602777275675
groupI	1125000	1199999	1162500	1092	4	0.00122226492406917	0.0440437895528716	0.00113210797318999	0.00113280606360191
groupI	1200000	1274999	1237500	665	2	0.000351528171077043	0.00908321396015115	0.000616822880273714	0
groupI	1275000	1349999	1312500	650	2	0.000384615384615385	0.0190079743216812	0.000427350427350428	0.000235042735042735
groupI	1350000	1424999	1387500	1200	10	0.0030527885180663	0.0815970391534852	0.0028528284975324	0.0023925379372428
groupI	1425000	1499999	1462500	682	6	0.00258549534183175	0.247252362435016	0.00186443101189645	0.00176498958270992
groupI	1500000	1574999	1537500	465	5	0.00328725038402458	0.123673156947159	0.00249074074074074	0.00295683685660644
groupI	1575000	1649999	1612500	467	5	0.00342936863279476	0.326024063342407	0.0013469324351162	0.00327266238401142
groupI	1650000	1724999	1687500	389	4	0.00381603844509532	0.0540954825095442	0.00318346113735888	0.00381357517305298
groupI	1725000	1799999	1762500	864	9	0.00469913531256124	0.282872662988486	0.00261693744284408	0.00398191871698954
groupI	1800000	1874999	1837500	559	7	0.00550360223186591	0.235072721601705	0.00428270575469383	0.00380184428947421
groupI	1875000	1949999	1912500	1141	8	0.00171596781218996	0.0706013400541369	0.00188808478201053	0.00100363982698417
groupI	1950000	2024999	1987500	1111	8	0.0017878201112701	0.130405773624197	0.00120879770692474	0.00173627566838316
groupI	2025000	2099999	2062500	1078	19	0.00599410491763019	0.111665929990202	0.00530235745004034	0.00459611560177955
