Chr	StartPos	EndPos	MidPos	TotalSites	VariableSites	Dxy	Fst	Hexp1	Hexp2
groupIV	0	74999	37500	544	1	0.000356226070309781	0.0298584400650302	0.00047859380438566	0.000199867298990603
groupIV	75000	149999	112500	458	0	0	NA	0	0
groupIV	150000	224999	187500	212	0	0	NA	0	0
groupIV	225000	299999	262500	519	0	0	NA	0	0
groupIV	300000	374999	337500	375	0	0	NA	0	0
groupIV	375000	449999	412500	243	0	0	NA	0	0
groupIV	450000	524999	487500	115	0	0	NA	0	0
groupIV	525000	599999	562500	699	1	0.00111547965625219	0.716796966008411	0.000336963075940837	0.000292048657845951
groupIV	600000	674999	637500	381	1	0.000207210940737671	0.00183067797851313	0	0.000381704364516761
groupIV	675000	749999	712500	301	3	0.00316892409915666	0.341319891858596	0.00392144528101594	0.000643726959285057
groupIV	750000	824999	787500	319	0	0	NA	0	0
groupIV	825000	899999	862500	358	2	0.00295291300877893	0.367665107149565	0.00131113898073196	0.00207751396648045
groupIV	900000	974999	937500	514	4	0.00318063068390847	0.336816567359016	0.0014557213158709	0.00240185966771405
groupIV	975000	1049999	1012500	521	2	0.00146659183459715	-0.0260788305005158	0.00144931925531364	0.00146744954829445
groupIV	1050000	1124999	1087500	375	1	0.00137529137529138	0.0605877235042819	0.00132231404958678	0.00117357001972387
groupIV	1125000	1199999	1162500	0	0	NA	NA	NA	NA
groupIV	1200000	1274999	1237500	385	4	0.00361860361860362	0.0437854482492062	0.00234487734487735	0.00430781825012594
groupIV	1275000	1349999	1312500	113	1	0.00210176991150442	0.00622102638366417	0.00103705752212389	0.00283185840707965
groupIV	1350000	1424999	1387500	953	6	0.00208809420396888	0.0404103068488687	0.00164841150073476	0.00218939741203918
groupIV	1425000	1499999	1462500	111	0	0	NA	0	0
groupIV	1500000	1574999	1537500	115	0	0	NA	0	0
groupIV	1575000	1649999	1612500	510	1	0.000705882352941176	0.253768167101272	0	0.000903529411764706
groupIV	1650000	1724999	1687500	758	4	0.00110683167927633	0.174093316986375	0.000654179114241479	0.00106449730999154
groupIV	1725000	1799999	1762500	342	3	0.00498070867504066	0.357880752236532	0.00349438994428873	0.00262065728917956
groupIV	1800000	1874999	1837500	260	3	0.00481438127090301	0.264933409270815	0.00311109345200254	0.0037168300130871
groupIV	1875000	1949999	1912500	717	6	0.00290420295650421	-0.00694403650271552	0.00245804048508129	0.00320012315882751
groupIV	1950000	2024999	1987500	615	8	0.0034363048875244	0.043662184188828	0.00348915989159891	0.00287535631575201
groupIV	2025000	2099999	2062500	241	1	0.00190179806362379	0.0362086821708201	0.00201705855232826	0.00155601659751037
groupIV	2100000	2174999	2137500	174	1	0.00294670846394984	0.0302006352580003	0.00284981476204047	0.00264827586206897
groupIV	2175000	2249999	2212500	478	1	0.000816129477217343	0.0735648225500505	0.000512338826744086	0.000946993142036592
groupIV	2250000	2324999	2287500	509	3	0.00286187017522971	-0.000259360642034211	0.00280493410218956	0.00268595830604672
groupIV	2325000	2399999	2362500	356	1	0.001085291113381	-0.0413254276513487	0.00105337078651685	0.00111430959234841
groupIV	2400000	2474999	2437500	197	1	0.00248600806976442	-0.0399998247238694	0.00249294980259447	0.00247799837803743
groupIV	2475000	2549999	2512500	394	5	0.00397945440644754	0.203180659173792	0.00422742665550542	0.00206378550277241
groupIV	2550000	2624999	2587500	355	2	0.00210617551462622	0.0459636282815798	0.00148345695474623	0.00237295774647887
groupIV	2625000	2699999	2662500	0	0	NA	NA	NA	NA
groupIV	2700000	2774999	2737500	226	1	0.00227316930856754	0.0638845109018477	0.00193019685750406	0.00219929831910771
groupIV	2775000	2849999	2812500	284	2	0.00211737089201878	0.0200982985523853	0.00144757433489828	0.00256901408450704
groupIV	2850000	2924999	2887500	923	3	0.00175469483568075	0.33197827163884	0.00121885157096425	0.00106522059708679
groupIV	2925000	2999999	2962500	594	3	0.00287231287231287	0.249250633078238	0.00223443065323407	0.001972697388082
groupIV	3000000	3074999	3037500	297	3	0.0038509571236844	0.167934524355048	0.00418174706971768	0.00216871276871277
groupIV	3075000	3149999	3112500	114	3	0.0120726102507479	0.11192245607565	0.00968455541514062	0.0110619744627842
groupIV	3150000	3224999	3187500	493	7	0.00279788838612368	0.000793792673597493	0.00188556457065585	0.00346164168176963
groupIV	3225000	3299999	3262500	356	1	0.00141799913569576	0.0146181495783329	0.00131671348314607	0.0014024167276112
groupIV	3300000	3374999	3337500	427	0	0	NA	0	0
groupIV	3375000	3449999	3412500	142	0	0	NA	0	0
groupIV	3450000	3524999	3487500	224	4	0.00787454212454213	0.0707838570641949	0.00619977678571429	0.00787579247675402
groupIV	3525000	3599999	3562500	241	3	0.00292342512259525	-0.0238560813453266	0.00190179806362379	0.00370357669490073
groupIV	3600000	3674999	3637500	342	0	0	NA	0	0
