"lg" "pos1" "pos2" "ks"
1 65279 68049 0.0748
1 356280 359332 0.2542
1 422752 424954 0.1664
1 452299 459852 2.6353
1 471859 472790 0.1492
1 511973 512935 0.0378
1 514072 517686 0.0933
1 548083 553305 0.3958
1 853151 864471 0.0734
1 871940 888344 0.1513
1 940637 945583 0.1158
1 992281 1011125 0.2547
1 1282804 1288222 0.0648
1 1885131 1888093 0.0316
1 1946323 1961483 0.5678
1 1971192 1973857 0.7682
1 2031473 2034226 3.0106
1 2218130 2220146 0.8886
1 3325760 3330237 0.259
1 3340594 3345546 0.2088
1 3352438 3368132 0.3827
1 4084568 4091343 0.1508
1 4118509 4121716 0.0807
1 4123737 4126346 0.1312
1 4139700 4159247 0.1325
1 4176012 4177785 0.4467
1 4586161 4587852 0.2435
1 4586161 4587852 0.1563
1 4706529 4713986 0.1797
1 4792948 4798955 0.1521
1 5694625 5711351 0.2388
1 5731414 5748914 0.162
1 5944178 5955498 0.1827
1 6000726 6022255 0.1251
1 6368016 6374543 0.2486
1 6642138 6717755 2.9568
1 7453665 7477359 0.0941
1 7534359 7547904 0.1541
1 7562563 7566990 0.2146
1 8397728 8403362 0.076
1 8598220 8599405 0.3193
1 8655427 8664547 0.0907
1 9246964 9263588 0.1595
1 9296870 9301292 0.1149
1 9400751 9406312 0.1532
1 9508614 9534420 0.3892
1 9560771 9569667 0.1555
1 9749862 9760409 0.1603
1 9998415 10002459 0.0975
1 10069916 10078479 0.1213
1 10314860 10320421 0.0451
1 10510081 10530432 0.14
1 10860067 10863090 1.972
1 10867279 10871441 0.0533
1 10989308 10993656 0.2298
1 11344900 11377049 0.2
1 11927310 11930245 0.156
1 12142333 12144354 0.1274
1 12349179 12353000 0.0959
1 12409078 12411083 0.0929
1 12734935 12836723 0.2322
1 13228998 13231622 0.1707
1 13316994 13352960 0.0821
1 14115348 14175530 0.1901
1 14219642 14237938 0.3547
1 14364430 14399824 0.1603
1 14464975 14465613 0.1969
1 14826603 14868822 0.0921
1 15021862 15023385 0.0785
1 15385521 15392799 0.2315
1 15672536 15680581 0.1689
1 15681236 15690867 2.7215
1 15879237 15887904 0.1242
1 16588424 16592719 0.1168
1 16588424 16592719 0.1245
1 16701544 16718918 0.0202
1 16735802 16742699 0.1978
1 16773334 16777671 0.4311
1 16837280 16849253 3.4942
1 16852894 16897265 0.1187
1 16852894 16897265 0.0902
1 16949343 16985285 0.3113
1 17010466 17013973 0.2175
1 17445282 17450622 0.1533
1 18392058 18423914 0.1213
1 18427135 18428284 0.0833
1 19014979 19017050 0.2707
1 19545312 19555426 0.4023
1 19754526 19779359 0.1125
1 19897417 19919880 0.1519
1 20045431 20049670 0.233
1 20075159 20084895 0.414
1 20161038 20166961 3.0451
1 20168495 20203699 0.2163
1 20584818 20596751 0.2796
1 20602952 20606237 0.1272
1 20605741 20608909 0.1631
1 20820542 20824484 0.1507
1 20820542 20824484 0.2164
1 20921581 20927516 0.2184
1 21063176 21092565 0.2475
1 21099552 21104133 0.2435
1 21543442 21565537 0.1434
1 21589378 21596657 3.4994
1 21699651 21730178 0.5029
1 21699651 21730178 0.3713
1 21699651 21730178 0.524
1 21961734 21977124 0.0811
1 22023622 22036587 0.4693
1 22168200 22171306 0.1579
1 22177916 22183240 0.1145
1 22177916 22183240 0.1464
1 22234348 22240770 0.4539
1 22403687 22410614 0.3128
1 22403687 22410614 0.1618
1 22854032 22861463 0.2463
1 23118497 23122875 0.0547
1 23258559 23274380 0.0954
1 23675848 23692437 2.4607
1 23730610 23734360 0.1785
1 24949671 24977691 0.0449
1 25188783 25201127 0.153
1 25484367 25487072 0.1262
1 25484367 25487072 0.168
1 25545113 25550186 0.2089
1 25562179 25563867 0.093
1 25571569 25595585 0.1927
1 26724253 26735419 0.196
1 26943450 26948639 0.0569
1 26943450 26948639 99
1 26979595 26986537 0.1479
1 27174346 27200895 0.283
1 27301630 27312271 0.1617
1 27336601 27339295 0.155
1 27354000 27356848 0.1346
1 27446960 27451949 0.2046
1 27446960 27451949 0.2055
1 27452167 27468393 0.0708
1 27507092 27513914 1.1222
1 27514141 27518203 0.1966
1 27519218 27524787 0.2001
1 28148095 28157143 0.3163
2 197614 208944 0.2481
2 197614 208944 0.1027
2 208404 212181 0.0846
2 555934 560524 0.1982
2 909776 918786 0.2069
2 2319783 2325710 0.0525
2 3432353 3465628 0.1313
2 4151913 4163692 0.1691
2 4499953 4527479 0.1291
2 4687644 4712645 1.7092
2 5095509 5111066 0.1032
2 5274053 5289474 0.2478
2 5401930 5409409 0.1321
2 5427953 5521857 0.1782
2 5663181 5664050 0.133
2 5669451 5670158 0.0181
2 5753311 5760689 0.2893
