Chr	StartPos	EndPos	MidPos	TotalSites	VariableSites	Dxy	Fst	Hexp1	Hexp2
groupI	0	74999	37500	45	0	0	NA	0	0
groupI	75000	149999	112500	591	0	0	NA	0	0
groupI	150000	224999	187500	1368	6	0.00208950304893287	0.472304622581699	0.000949018054017632	0.00106349496426251
groupI	225000	299999	262500	271	0	0	NA	0	0
groupI	300000	374999	337500	260	0	0	NA	0	0
groupI	375000	449999	412500	2075	4	0.000607190667431632	0.265536254767605	0.000671222304182717	9.51955972036294e-05
groupI	450000	524999	487500	871	4	0.00216816438340397	0.339276559765146	0.000887706520602586	0.00173236382191606
groupI	525000	599999	562500	884	5	0.00221285207740316	0.183875328771518	0.00160067873303167	0.00173379461971552
groupI	600000	674999	637500	656	5	0.00282613928112966	0.44809359266311	0.00112063327177593	0.00196991035997732
groupI	675000	749999	712500	794	3	0.00249265323257767	0.739206534203338	0.000737956549118388	0.000559753708368317
groupI	750000	824999	787500	1707	17	0.00364378587756737	0.274897202382985	0.00207105407535877	0.00289633179008779
groupI	825000	899999	862500	373	1	0.000886780779542174	0.108427000073493	0.00112600536193029	0.000380728778336534
groupI	900000	974999	937500	925	12	0.00450833760833761	0.267110879238478	0.00414953940354165	0.00192965465465466
groupI	975000	1049999	1012500	1261	8	0.00564444651770304	0.984560431539833	0.000164641123511027	0
groupI	1050000	1124999	1087500	751	15	0.00530505941815759	0.153149737559888	0.00446162176250437	0.00416374496474264
groupI	1125000	1199999	1162500	1098	4	0.00109954972158697	0.0152590037268722	0.00113198760482539	0.000980077019557422
groupI	1200000	1274999	1237500	661	2	0.00108552566948936	0.281413395188076	0.000644508938219767	0.000750178167314737
groupI	1275000	1349999	1312500	664	2	0.00059613453815261	0.164926280352857	0.000647119728915663	0.000230087014725569
groupI	1350000	1424999	1387500	1210	10	0.00321083731465963	0.137311786623277	0.00279709013247746	0.00237276489643914
groupI	1425000	1499999	1462500	653	9	0.00466180931222087	0.3751543117523	0.00310298206710163	0.00252712380707196
groupI	1500000	1574999	1537500	570	6	0.00295948203842941	0.201625762517971	0.00207017543859649	0.00241215638302104
groupI	1575000	1649999	1612500	536	4	0.00297125483692648	0.323913201967432	0.00158639672010319	0.00225435323383085
groupI	1650000	1724999	1687500	447	5	0.00440095186320018	0.0125406347087723	0.00384063953694826	0.00448585001609316
groupI	1725000	1799999	1762500	909	10	0.0049804751665694	0.249819708945516	0.00325214940138335	0.00378479402802966
groupI	1800000	1874999	1837500	555	7	0.00507350506189516	0.125165170020965	0.00471780842506388	0.00382924496903798
groupI	1875000	1949999	1912500	1130	8	0.00162291494149901	0.0529029716985493	0.00183965411416279	0.0010134097722026
groupI	1950000	2024999	1987500	1031	6	0.00164213413485964	0.172487057784844	0.00114127486863868	0.0014636297454643
groupI	2025000	2099999	2062500	1044	15	0.00600755226275353	0.261244093419504	0.0040498714035171	0.00445580872941946
groupI	2100000	2174999	2137500	741	0	0	NA	0	0
groupI	2175000	2249999	2212500	1355	17	0.00440890104287528	0.035994198835168	0.00415781631694344	0.00374305102932017
groupI	2250000	2324999	2287500	303	0	0	NA	0	0
groupI	2325000	2399999	2362500	296	3	0.00393789272465743	0.106029644077476	0.00409730664920977	0.00266569183979898
groupI	2400000	2474999	2437500	1418	17	0.00431223407146359	0.159050068391672	0.00284236756319561	0.00410359694012652
groupI	2475000	2549999	2512500	656	7	0.00328530294231514	0.118514527061913	0.00241097137533875	0.00282140091809081
groupI	2550000	2624999	2587500	1105	16	0.00593949076627244	0.408883734650291	0.0038585348001012	0.00271965907395005
groupI	2625000	2699999	2662500	1054	11	0.00416600582634738	0.269979638097591	0.00178589308596228	0.00406992775221192
groupI	2700000	2774999	2737500	978	3	0.000925609478241058	0.0939592900054191	0.000748586244313677	0.000881460302755491
groupI	2775000	2849999	2812500	750	8	0.00390051160960252	0.238254599245347	0.00232558310376492	0.00325100114005209
groupI	2850000	2924999	2887500	1120	17	0.00469918092013989	0.155207647498445	0.00303843728103597	0.00462758726023674
groupI	2925000	2999999	2962500	221	2	0.00412822471646001	0.12769729905316	0.002654908117093	0.00443139747952582
groupI	3000000	3074999	3037500	758	5	0.00208883025505717	0.171854973262025	0.000769957939200306	0.00238198445605155
groupI	3075000	3149999	3112500	174	1	0.00254515599343186	0.0392669592890855	0.00193525686136524	0.00275862068965517
groupI	3150000	3224999	3187500	346	5	0.00274991499489969	0.185056956130867	0.0038987987716763	0.000465027901674101
groupI	3225000	3299999	3262500	824	8	0.00296901416716068	0.177207218671069	0.001710861371883	0.00294057285664132
groupI	3300000	3374999	3337500	313	4	0.00404032696538063	0.175064175347665	0.00495700131855427	0.00123213239439734
groupI	3375000	3449999	3412500	743	9	0.00606325284948576	0.405400913961064	0.00372590964933079	0.00309893472866939
groupI	3450000	3524999	3487500	454	2	0.00151088335481035	-0.103801652892562	0.00151088335481035	0.00151088335481035
groupI	3525000	3599999	3562500	622	7	0.00395855038137996	0.259076259570485	0.00295390494726796	0.00240973015746474
groupI	3600000	3674999	3637500	275	0	0	NA	0	0
groupI	3675000	3749999	3712500	811	4	0.00219886596099416	0.055917083455045	0.00223332317335109	0.00159717491906284
groupI	3750000	3824999	3787500	1208	20	0.00843568400269213	0.428130483144412	0.00391721956102909	0.00546017771354803
groupI	3825000	3899999	3862500	1329	10	0.00263677725585175	0.262873307409959	0.000850355999721307	0.00286674747199849
groupI	3900000	3974999	3937500	996	12	0.00415243487152641	0.236381434859395	0.00252291461393092	0.00360197354654992
groupI	3975000	4049999	4012500	591	5	0.00386288368521871	0.346423937769837	0.00309956005214427	0.00146411726089803
groupI	4050000	4124999	4087500	1296	7	0.00292658361745372	0.42022197314139	0.00188525455913181	0.00120491827908254
groupI	4125000	4199999	4162500	968	6	0.00136520490798566	0.0747760826105453	0.000849716450796455	0.0015410764449226
groupI	4200000	4274999	4237500	213	3	0.0049599591853113	0.245794315829259	0	0.00640467536931793
groupI	4275000	4349999	4312500	1167	8	0.00337883321316074	0.415068214734136	0.00164387098367713	0.00203432662667077
groupI	4350000	4424999	4387500	367	0	0	NA	0	0
groupI	4425000	4499999	4462500	1453	10	0.00402154223386157	0.684159823793504	0.00205955431970964	0.000233928395859376
groupI	4500000	4574999	4537500	498	7	0.00598116349356604	0.252028425423912	0.00533626946972637	0.0032348606529103
groupI	4575000	4649999	4612500	414	0	0	NA	0	0
groupI	4650000	4724999	4687500	384	0	0	NA	0	0
groupI	4725000	4799999	4762500	1590	10	0.00194200905355178	0.353447645531105	0.000164543900897118	0.00233813186317934
groupI	4800000	4874999	4837500	369	4	0.0030283477437949	0.0472481623429779	0.00132736021237763	0.00393188129412159
groupI	4875000	4949999	4912500	868	6	0.00406622946945528	0.617509133265743	0.00103151501104355	0.00196476574500768
groupI	4950000	5024999	4987500	279	0	0	NA	0	0
groupI	5025000	5099999	5062500	1337	7	0.00168017859297664	0.372541924812559	0.000630083676140613	0.00139736198376131
groupI	5100000	5174999	5137500	346	1	0.00249605885444036	0.829646017699115	0.00068074332393828	0
groupI	5175000	5249999	5212500	174	0	0	NA	0	0
groupI	5250000	5324999	5287500	301	5	0.0106403252670083	0.673171609706366	0.0040374677002584	0.00346844060020403
groupI	5325000	5399999	5362500	232	0	0	NA	0	0
groupI	5400000	5474999	5437500	306	1	0.00233426704014939	0.617486338797814	0.00133386688008537	0
groupI	5475000	5549999	5512500	920	5	0.00133395017706079	0.214076367302019	0	0.00192148912435639
groupI	5550000	5624999	5587500	324	0	0	NA	0	0
groupI	5625000	5699999	5662500	1219	5	0.00171970496006591	0.518336242508767	0.000325425935091085	0.00132794435794553
groupI	5700000	5774999	5737500	1701	3	0.00132275132275132	0.904429684140106	0.000220458553791887	0
groupI	5775000	5849999	5812500	1133	3	0.00096229283122487	0.385863843958415	0.000354134658341778	0.000820553839364519
groupI	5850000	5924999	5887500	1149	2	0.000636004552453639	0.433610821292177	0	0.000744151075542922
groupI	5925000	5999999	5962500	1736	9	0.0015014587307214	0.263143569269826	0.000411197914299652	0.00165580935276438
groupI	6000000	6074999	6037500	1486	4	0.00099980772928283	0.223888017375243	0.000345072528787199	0.0010702612135029
groupI	6075000	6149999	6112500	1378	3	0.00086210505749693	0.513680205659768	0.000348727775761974	0.000517772949390678
groupI	6150000	6224999	6187500	892	3	0.00130692309536942	0.399198572550584	0.000333543342104288	0.00111450410850764
groupI	6225000	6299999	6262500	770	5	0.0034334946099652	0.5256572101049	0	0.0032319959078898
groupI	6300000	6374999	6337500	385	1	0.00204081632653061	0.732760304747021	0	0.00087463556851312
groupI	6375000	6449999	6412500	651	3	0.00351108185209568	0.794197657745511	0.000768049155145929	0.000623060284021443
groupI	6450000	6524999	6487500	678	0	0	NA	0	0
groupI	6525000	6599999	6562500	342	1	0.000398724082934608	0.1	0	0.000688705234159781
groupI	6600000	6674999	6637500	229	2	0.00524017467248908	0.494721774915013	0	0.00419213973799127
groupI	6675000	6749999	6712500	1039	10	0.00374574895749102	0.413399600856525	0	0.00393204802673222
groupI	6750000	6824999	6787500	655	2	0.00137404580152672	0.479426231432538	0	0.00149618320610687
groupI	6825000	6899999	6862500	1608	9	0.00263265928698441	0.494753302944468	0	0.00261801429142965
groupI	6900000	6974999	6937500	267	0	0	NA	0	0
groupI	6975000	7049999	7012500	1383	13	0.00223964722107435	0.296356772309463	0.00135430247946769	0.00158166468679005
groupI	7050000	7124999	7087500	457	5	0.00440515950708281	0.36192611763216	0.0041952748089609	0.00120622874703747
groupI	7125000	7199999	7162500	639	3	0.00188267653056385	0.0149698709282738	0.00196400625978091	0.0015367431607295
groupI	7200000	7274999	7237500	409	7	0.00470832142592534	0.355053688177478	0.00582716632407238	0.000415456907090465
groupI	7275000	7349999	7312500	907	3	0.00112569834990225	0.344163124599801	0.000540017550570393	0.000859825349168139
groupI	7350000	7424999	7387500	37	0	0	NA	0	0
groupI	7425000	7499999	7462500	1929	4	0.000523536857129392	0.140241313079761	0.000292399821772082	0.000578416655147078
groupI	7500000	7574999	7537500	1696	10	0.00235958105002389	0.169963107810259	0.00224371192225852	0.00155718487537707
groupI	7575000	7649999	7612500	1326	2	0.000243003184179655	0.15091439042688	0.000260693071150587	0.000135746606334842
groupI	7650000	7724999	7687500	757	8	0.0093442444829499	0.915322035323792	0	0.00173143957991871
groupI	7725000	7799999	7762500	343	0	0	NA	0	0
groupI	7800000	7874999	7837500	1778	7	0.000983864328988952	0.389791072180009	0.000375909643947568	0.000815506163869264
groupI	7875000	7949999	7912500	721	3	0.00118299747083299	0.233596867404422	0	0.0016737134602556
groupI	7950000	8024999	7987500	1747	13	0.00354799750907364	0.427560026345033	0.000709921961895518	0.00314539210074413
groupI	8025000	8099999	8062500	964	4	0.00141261746552203	0.220346352515973	0.000411508521655636	0.00180774070812002
groupI	8100000	8174999	8137500	836	0	0	NA	0	0
groupI	8175000	8249999	8212500	755	0	0	NA	0	0
groupI	8250000	8324999	8287500	468	1	0.000854700854700855	0.375	0	0.00102564102564103
groupI	8325000	8399999	8362500	907	1	0.000517239032490778	0.037828947368421	0.000381123497624784	0.000544462139463977
groupI	8400000	8474999	8437500	1425	18	0.00561653529799611	0.0825290857623515	0.00447062207719331	0.00524266271736488
groupI	8475000	8549999	8512500	559	0	0	NA	0	0
groupI	8550000	8624999	8587500	1067	7	0.00290515612680561	0.376391837895495	0.000460272831406852	0.00295638399889443
groupI	8625000	8699999	8662500	61	0	0	NA	0	0
groupI	8700000	8774999	8737500	328	0	0	NA	0	0
groupI	8775000	8849999	8812500	75	0	0	NA	0	0
groupI	8850000	8924999	8887500	1260	5	0.00114751919286233	0.345272921890519	0.000261794532627866	0.00116299217467488
groupI	8925000	8999999	8962500	1801	11	0.00206566607652262	0.126308116802751	0.00124545005860941	0.00207088168586642
groupI	9000000	9074999	9037500	995	2	0.00042713567839196	0.115677493452925	0.000117776381909548	0.000603015075376884
groupI	9075000	9149999	9112500	756	6	0.00220896828039685	0.299150957844307	0	0.0031348103859521
groupI	9150000	9224999	9187500	845	5	0.00177890485582793	0.268745730665211	0.000378698224852071	0.00203792110751818
groupI	9225000	9299999	9262500	705	2	0.00189579923622477	0.533545768412403	0.000332446808510638	0.00120861135591087
groupI	9300000	9374999	9337500	259	2	0.00595238095238095	0.714763710760332	0	0.00266784641784642
groupI	9375000	9449999	9412500	524	6	0.00727175412149593	0.687187841129024	0	0.0047169403094646
groupI	9450000	9524999	9487500	736	8	0.00596688552119759	0.450595419417845	0.00368001003508142	0.00263633336474183
groupI	9525000	9599999	9562500	1025	9	0.00545993031358885	0.584317865599392	0.0036663887506222	0
groupI	9600000	9674999	9637500	262	3	0.0056442285449919	-0.0205188639941776	0.00567960135708227	0.00553978367996411
groupI	9675000	9749999	9712500	526	2	0.00111831804965332	-0.0140360624792359	0.00125646322049285	0.000947937183362648
groupI	9750000	9824999	9787500	1328	6	0.00245509907595751	0.300600351181539	0.00182765300373517	0.00143686992869437
groupI	9825000	9899999	9862500	797	0	0	NA	0	0
groupI	9900000	9974999	9937500	638	4	0.00389119979637221	0.381360744635734	0.0021282079620939	0.00251256464257853
groupI	9975000	10049999	10012500	797	0	0	NA	0	0
groupI	10050000	10124999	10087500	1167	1	0.000428449014567267	0.495973472288015	0	0.000428449014567267
groupI	10125000	10199999	10162500	648	0	0	NA	0	0
groupI	10200000	10274999	10237500	1062	3	0.00136187768603023	0.282858564852044	0.000895642066854991	0.000971816897259942
groupI	10275000	10349999	10312500	943	10	0.00703727595176549	0.597457471834853	0.00306754724734236	0.00220133584277923
groupI	10350000	10424999	10387500	240	2	0.00442143326758711	0.59930118175267	0.00333114179268025	0.000591715976331362
groupI	10425000	10499999	10462500	87	0	0	NA	0	0
