Chr	StartPos	EndPos	MidPos	TotalSites	VariableSites	Dxy	Fst	Hexp1	Hexp2
groupIV	0	74999	37500	671	1	0.000294140716918975	0.14290956874768	0.000472173256106773	0
groupIV	75000	149999	112500	570	3	0.00148515332652962	0.0147239247050435	0.00116418665257326	0.00172549448413277
groupIV	150000	224999	187500	245	1	0.0019280343716434	-0.0143747108499693	0.00197156424896829	0.00185714285714286
groupIV	225000	299999	262500	639	1	0.000422958169437042	0.193946393334291	0.000121743364986608	0.000586854460093897
groupIV	300000	374999	337500	686	6	0.002410897404376	0.0328716844739312	0.00208968752891371	0.0024782203667604
groupIV	375000	449999	412500	297	4	0.00348943695391924	0.149095344231358	0.00294015449673559	0.0028731787973093
groupIV	450000	524999	487500	259	1	0.00185937817516765	-0.0189247721385164	0.00186499320848351	0.00185328185328185
groupIV	525000	599999	562500	869	9	0.00421124323330804	0.100419496136823	0.00405975386775946	0.00319867944546632
groupIV	600000	674999	637500	443	8	0.00416713278180955	0.0369433761186837	0.00463738247541418	0.00322013319182905
groupIV	675000	749999	712500	476	9	0.00737791489019506	0.0947502208564362	0.00608897453350217	0.00693423809146531
groupIV	750000	824999	787500	466	2	0.000814263176644217	0.0127411898640065	0.000986009243469451	0.000538337021251317
groupIV	825000	899999	862500	531	2	0.00169739320051541	0.337907322583455	0.0014169679327668	0.000691679578070959
groupIV	900000	974999	937500	827	6	0.00220241512426712	0.0556661905351012	0.00242660401236509	0.00163600293187015
groupIV	975000	1049999	1012500	512	1	0.000993795955882354	0.161477085460549	0.000975717722750865	0.000625
groupIV	1050000	1124999	1087500	442	3	0.0018410562605609	0.035885385086527	0.00118478140322026	0.002273986517684
groupIV	1125000	1199999	1162500	0	0	NA	NA	NA	NA
groupIV	1200000	1274999	1237500	633	10	0.00642886278331527	0.14781509194904	0.0054796325593694	0.00505526787978078
groupIV	1275000	1349999	1312500	237	1	0.00120554550934298	0.271465741543799	0	0.00172220787048997
groupIV	1350000	1424999	1387500	1147	9	0.00270064298685874	0.0591920644496042	0.00241279658291993	0.00254484263401399
groupIV	1425000	1499999	1462500	127	1	0.00279734769995856	0.277507668948907	0.0036071062446834	0
groupIV	1500000	1574999	1537500	131	1	0.00135596625150663	0.0612721811656808	0.0005788627857309	0.00194656488549618
groupIV	1575000	1649999	1612500	651	7	0.00375724591964634	0.119467827903443	0.00316073244383341	0.0032869443916611
groupIV	1650000	1724999	1687500	890	12	0.00535108350620621	0.0829602362440171	0.00509379404122451	0.00445304227976559
groupIV	1725000	1799999	1762500	392	2	0.00149622971521468	0.00674044286124538	0.00136325864943283	0.00154017857142857
groupIV	1800000	1874999	1837500	396	7	0.0071437583960668	0.0753406679014881	0.00528043805311476	0.00765490283810023
groupIV	1875000	1949999	1912500	906	7	0.00224410465291121	0.150928921249917	0.00182916242940903	0.0018604259957518
groupIV	1950000	2024999	1987500	893	6	0.00176934390039241	0.0482657812225905	0.00151815963515385	0.00178471444568869
groupIV	2025000	2099999	2062500	353	2	0.0019183489438447	0.397826786928895	0.00200421180182811	0
groupIV	2100000	2174999	2137500	321	3	0.00335037296510705	0.00997394225736914	0.00312615858405065	0.00334338555165308
groupIV	2175000	2249999	2212500	567	5	0.00279769779008071	0.0786544644420406	0.00188406585069798	0.00319314020090607
groupIV	2250000	2324999	2287500	911	10	0.00405874490822223	0.248790078745234	0.00278499305462457	0.00312463145576108
groupIV	2325000	2399999	2362500	386	5	0.00427626972486531	0.161428452315491	0.00393359778970398	0.0030440414507772
groupIV	2400000	2474999	2437500	271	5	0.00382556942083064	0.0546629718369659	0.00508495940651269	0.00188915576199207
groupIV	2475000	2549999	2512500	517	3	0.00152760682257781	0.0248194503334572	0.00155137738758983	0.00135880077369439
groupIV	2550000	2624999	2587500	378	5	0.00421539618766755	0.0289564535555258	0.00413301961887802	0.00386337611608602
groupIV	2625000	2699999	2662500	0	0	NA	NA	NA	NA
groupIV	2700000	2774999	2737500	264	4	0.0049759708327292	0.0773160882649985	0.00488801486706675	0.00402011224899037
groupIV	2775000	2849999	2812500	370	0	0	NA	0	0
groupIV	2850000	2924999	2887500	1122	12	0.00369059626269476	0.19821554715892	0.00313992012641962	0.00254717796209393
groupIV	2925000	2999999	2962500	650	3	0.0015439158794422	-0.000593374093336634	0.0017056069849237	0.00132210073513744
groupIV	3000000	3074999	3037500	386	3	0.00232990182710663	0.162485273707898	0.00221211947239246	0.0015479274611399
groupIV	3075000	3149999	3112500	131	0	0	NA	0	0
groupIV	3150000	3224999	3187500	706	4	0.00228406492990137	0.0886716832591816	0.00220150245844452	0.00183157564253274
groupIV	3225000	3299999	3262500	386	2	0.0013188297378371	0.105629582879322	0.00148638565544897	0.000786917098445596
groupIV	3300000	3374999	3337500	514	5	0.00395414495737043	0.0677246869381505	0.00361493436112173	0.00353416078205313
groupIV	3375000	3449999	3412500	158	1	0.000750774993541722	-0.00375156315131303	0.00102928829759752	0.000435933867217773
groupIV	3450000	3524999	3487500	260	6	0.0091438918565435	0.00331864737520008	0.00909999726361498	0.00863267099936075
groupIV	3525000	3599999	3562500	329	4	0.00259758029903042	0.0134676006384311	0.00214640195450558	0.00273165294626974
groupIV	3600000	3674999	3637500	382	1	0.0010297967354481	0.277107109021785	0.000356664070001267	0.0012270942408377
groupIV	3675000	3749999	3712500	388	4	0.0032755422269801	0.114178026422555	0.00273870551198205	0.00295747422680412
