Chr	StartPos	EndPos	MidPos	TotalSites	VariableSites	Dxy	Fst	Hexp1	Hexp2
groupIV	0	74999	37500	861	5	0.00163871577921343	0.262962336905829	0.000828387690597181	0.00163916962965349
groupIV	75000	149999	112500	572	1	0.000931152586459306	0.320690586399194	0.00086726284451008	0.000400275970859234
groupIV	150000	224999	187500	354	0	0	NA	0	0
groupIV	225000	299999	262500	759	3	0.00130086778292403	0.315026922197218	0.00136911848013264	0.000338390833543188
groupIV	300000	374999	337500	784	2	0.000296468186496126	0.0502747886395647	0.000465346414353346	9.23197629493123e-05
groupIV	375000	449999	412500	315	9	0.0131783263417207	0.418048985579807	0.0109021502739429	0.0047067824686459
groupIV	450000	524999	487500	296	1	0.0024529964747356	0.686883378024477	0.000307694272722628	0.00126689189189189
groupIV	525000	599999	562500	919	5	0.00332279235255837	0.628079121121699	0.0014979143638529	0.00105192423641945
groupIV	600000	674999	637500	587	7	0.00593719241417191	0.576301171361586	0.00236682237653474	0.00267680497261303
groupIV	675000	749999	712500	440	5	0.00503570794320499	0.558337665306124	1.84023458859866e-05	0.00479186470384372
groupIV	750000	824999	787500	558	4	0.00337795129453453	0.43032900232861	0.0012077586733869	0.00263741545746197
groupIV	825000	899999	862500	736	5	0.00275036094054686	0.452067925275687	0.00128567992964351	0.00175773064743836
groupIV	900000	974999	937500	1033	12	0.00344320242896046	0.306901265623864	0.00196145252397263	0.00283308039686582
groupIV	975000	1049999	1012500	595	6	0.00444320096399032	0.457239767053705	0.0021302182561804	0.00267867853373052
groupIV	1050000	1124999	1087500	492	2	0.00139462661831714	0.272759730756663	0.000931058052532169	0.00112096500519276
groupIV	1125000	1199999	1162500	0	0	NA	NA	NA	NA
groupIV	1200000	1274999	1237500	524	13	0.011182727246158	0.357272935554468	0.0100306494710544	0.00431041921733858
groupIV	1275000	1349999	1312500	148	0	0	NA	0	0
groupIV	1350000	1424999	1387500	1340	11	0.00327139110064617	0.380717551309242	0.00162711697751469	0.00243835787045986
groupIV	1425000	1499999	1462500	152	1	0.00132201739287979	0.16734019872472	0.00209841802459711	3.95128389270462e-05
groupIV	1500000	1574999	1537500	153	0	0	NA	0	0
groupIV	1575000	1649999	1612500	784	8	0.00325777541908803	0.336020581166562	0.00238995205320496	0.00186258860438724
groupIV	1650000	1724999	1687500	1017	10	0.00247162257424569	0.250608277202249	0.00198770704122858	0.00161050534553524
groupIV	1725000	1799999	1762500	438	6	0.00430504558097587	0.182966484507808	0.00290560596428966	0.00414378834709649
groupIV	1800000	1874999	1837500	449	14	0.0130722347731547	0.437437382621314	0.00734983750300711	0.0069808717564979
groupIV	1875000	1949999	1912500	1082	10	0.00318783409494268	0.381314071571289	0.00235668510073177	0.00162512973715419
groupIV	1950000	2024999	1987500	1118	13	0.00573948753761368	0.364876361934662	0.00336779768989137	0.00395048124761829
groupIV	2025000	2099999	2062500	306	0	0	NA	0	0
groupIV	2100000	2174999	2137500	485	5	0.00417593317428159	0.389031494667618	0.00351922714435004	0.00151733314225736
groupIV	2175000	2249999	2212500	721	5	0.00149626526765449	0.237497528850159	0.00131949312417018	0.000953194103038669
groupIV	2250000	2324999	2287500	982	13	0.00547001382263593	0.582357599930854	0.00188848161426957	0.00272822235115934
groupIV	2325000	2399999	2362500	411	4	0.00246065679813708	0.346844292782168	0.00014990649695361	0.0030617802991552
groupIV	2400000	2474999	2437500	246	5	0.00760538959778405	0.397560530675569	0.0028109133140102	0.00646976996255943
groupIV	2475000	2549999	2512500	575	15	0.00813938197723645	0.198537221763547	0.00557716818088904	0.00744255271370471
groupIV	2550000	2624999	2587500	399	5	0.00388745133196657	0.0630206029230496	0.00322437805336041	0.00401855054801454
groupIV	2625000	2699999	2662500	130	0	0	NA	0	0
groupIV	2700000	2774999	2737500	357	2	0.00272432212776299	0.338864536087812	0.00257125059101188	0.000909711702328785
groupIV	2775000	2849999	2812500	402	6	0.00312979772853216	0.270119442057023	0.00109906601800984	0.00358449148851731
groupIV	2850000	2924999	2887500	1366	14	0.00468861071960239	0.372240278014634	0.00282371459776379	0.00303213829402815
groupIV	2925000	2999999	2962500	724	21	0.00742450872767912	0.12987864775836	0.00576168976020446	0.00716198086752355
groupIV	3000000	3074999	3037500	430	7	0.00506894757444421	0.230565669535748	0.00387517448231931	0.00382378254782848
groupIV	3075000	3149999	3112500	147	5	0.0134569470346926	0.196522839309402	0.0127996928427864	0.00877342108298722
groupIV	3150000	3224999	3187500	970	7	0.00259844405192082	0.204936030351292	0.00190216678653665	0.00215443753303475
groupIV	3225000	3299999	3262500	475	6	0.00447957583051608	0.285331982239612	0.0038922536380129	0.00240641529395662
groupIV	3300000	3374999	3337500	593	7	0.0033707658509752	0.45959140160857	9.86915320033767e-05	0.00362932142669588
groupIV	3375000	3449999	3412500	234	1	0.00188023781773782	0.335248083715727	0.00210093803146259	0.000299498481316663
groupIV	3450000	3524999	3487500	284	13	0.0216977241629886	0.232906717445664	0.0149682937121198	0.0183664442454163
groupIV	3525000	3599999	3562500	385	7	0.00884363575545498	0.341752090631916	0.00427974000413228	0.00724392336793188
groupIV	3600000	3674999	3637500	441	3	0.00323812008907229	0.607256234550465	0.00127765540321221	0.0011764955612731
groupIV	3675000	3749999	3712500	446	3	0.002233050608236	0.0897920591836536	0.00150662319732697	0.00255728030662606
groupIV	3750000	3824999	3787500	670	4	0.0032722016346568	0.565257973104772	0.0013284231609298	0.00143005539576489
groupIV	3825000	3899999	3862500	1056	10	0.00443509939232598	0.285900221734352	0.00266759463651458	0.00364178024008635
groupIV	3900000	3974999	3937500	728	10	0.00400100275128322	0.288960066831932	0.00343889422073323	0.00205463062585602
groupIV	3975000	4049999	4012500	1498	20	0.00456905370540066	0.240089619701591	0.00370282224637006	0.0032624856033669
groupIV	4050000	4124999	4087500	345	4	0.00361545039792791	0.171244204441139	0.00191119468859219	0.00411323179320159
groupIV	4125000	4199999	4162500	766	16	0.00852013220808839	0.364909681722991	0.00468844817893004	0.00603978309177675
groupIV	4200000	4274999	4237500	685	7	0.00277908135171391	0.146355414530146	0.00183881755051286	0.00290725795059409
groupIV	4275000	4349999	4312500	577	5	0.00418953185355639	0.353321496386923	0.00361656569714977	0.00166852191104888
groupIV	4350000	4424999	4387500	1251	17	0.00536819603250421	0.256174663886563	0.00426373370562402	0.00356260242922357
groupIV	4425000	4499999	4462500	575	12	0.00801004471686753	0.172856266709041	0.0082525236234771	0.00492187076846229
groupIV	4500000	4574999	4537500	605	3	0.00160055702293148	0.468754744248834	0.0011397132988856	0.000467685085567536
groupIV	4575000	4649999	4612500	280	6	0.00606687947096836	0.0960675329698009	0.00611808824421244	0.0047821223693391
groupIV	4650000	4724999	4687500	405	4	0.00215068606041702	0.216054488956291	0.0023029456825644	0.00105802680658014
groupIV	4725000	4799999	4762500	537	4	0.00315402315026301	0.479322924109019	0.0023477386703452	0.000895388556571079
groupIV	4800000	4874999	4837500	1007	4	0.00172205965938764	0.462236734446629	0.00146819189276747	0.000357360071197122
groupIV	4875000	4949999	4912500	1370	10	0.00230346269077131	0.196504603413234	0.00190545524658846	0.00176302827051196
groupIV	4950000	5024999	4987500	715	6	0.00243067766867187	0.270360399654372	0.00168598927472239	0.00181302574611894
groupIV	5025000	5099999	5062500	1013	8	0.00249209345946204	0.179544288328311	0.00200356612376788	0.00204770691745621
groupIV	5100000	5174999	5137500	538	6	0.00333927307817553	0.236541583712949	0.00370522018255319	0.00134605395728504
groupIV	5175000	5249999	5212500	226	6	0.00570844888961269	0.0661188619023154	0.00505656878742911	0.00558199755108179
groupIV	5250000	5324999	5287500	926	2	0.000883588016118713	0.14105239937757	0.000878738031442237	0.000628732058814894
groupIV	5325000	5399999	5362500	1092	3	0.000750165663570494	0.27322804952685	0.000672461278158222	0.000380690145713492
groupIV	5400000	5474999	5437500	557	5	0.00427671304695031	0.430383530609957	0.0020385740091036	0.00288619131582144
groupIV	5475000	5549999	5512500	306	3	0.00353133801647827	0.605467324665324	0.00164076704355989	0.00113410808531669
groupIV	5550000	5624999	5587500	585	6	0.00324395566695685	0.36706502474779	0.00165940918058714	0.00242734846297594
groupIV	5625000	5699999	5662500	451	1	0.00154379770617899	0.594050385317826	0.000473947001980787	0.00081030868902439
groupIV	5700000	5774999	5737500	280	2	0.00375398138213474	0.524012738234192	0.000486979522229986	0.00317474931369459
groupIV	5775000	5849999	5812500	311	2	0.00331949499525498	0.764023405293358	0.000469029106597267	0.00120761009501468
groupIV	5850000	5924999	5887500	1178	13	0.00568241964112319	0.605224222136653	0.00182799830735555	0.00257381454371771
groupIV	5925000	5999999	5962500	333	4	0.00790076054248848	0.614981287227536	0.00440863497426568	0.0017454532568815
groupIV	6000000	6074999	6037500	378	2	0.00290465392506209	0.47612991130348	0.000441284385474307	0.00256140871638581
groupIV	6075000	6149999	6112500	301	3	0.00478408371662113	0.524721372287621	0.00324793138039439	0.00129070792830483
groupIV	6150000	6224999	6187500	295	3	0.00439912439777151	0.398683719235725	0.00455499122174981	0.000638527630405183
groupIV	6225000	6299999	6262500	732	11	0.00544788608665233	0.319792642391658	0.0041211654727189	0.00342442724712852
groupIV	6300000	6374999	6337500	593	7	0.00336274611247075	0.130147243802896	0.00248925390661376	0.00335666551363023
groupIV	6375000	6449999	6412500	909	19	0.00793817427809788	0.43599122423023	0.00217253292950875	0.00690049014746189
groupIV	6450000	6524999	6487500	654	9	0.00742119552887709	0.578040831616357	0.00325105392595838	0.00284791026920151
groupIV	6525000	6599999	6562500	304	2	0.00224149257272568	0.227957185482108	0.00284160366593105	0.000531291375370007
groupIV	6600000	6674999	6637500	898	5	0.00354270895746517	0.729191050938118	0.000959020386750129	0.000895204075652306
groupIV	6675000	6749999	6712500	545	3	0.00348208144605195	0.781654527638734	0.000977055173882056	0.000439653230705327
groupIV	6750000	6824999	6787500	241	1	0.00191693045655226	0.343643207739369	0.000561647779616672	0.00205824000672746
groupIV	6825000	6899999	6862500	681	4	0.0032691097618389	0.570144870116849	0.00212348825006977	0.00064465146769404
groupIV	6900000	6974999	6937500	0	0	NA	NA	NA	NA
groupIV	6975000	7049999	7012500	148	4	0.00991031969507196	0.521441951507978	0.00735858090841955	0.00153904257731197
groupIV	7050000	7124999	7087500	649	9	0.0064302468810241	0.560835121367763	0.00337695889879378	0.00212056244841871
groupIV	7125000	7199999	7162500	158	2	0.00220265156283334	0.0568696567411152	0.0014799487319505	0.00267450714990323
groupIV	7200000	7274999	7237500	281	0	0	NA	0	0
groupIV	7275000	7349999	7312500	159	2	0.00384718319282751	0.0278732036322198	0.00439276430611193	0.00296352201257862
groupIV	7350000	7424999	7387500	531	15	0.0113274907082714	0.455437417764892	0.00346340168771667	0.00936354660717954
groupIV	7425000	7499999	7462500	290	2	0.00270343717844208	0.198609766240886	0.00113069654789442	0.00319842002512427
groupIV	7500000	7574999	7537500	1025	13	0.00615104810531214	0.617676504307227	0.00145906783879143	0.00332679825207264
groupIV	7575000	7649999	7612500	285	1	0.00304653850194348	0.847036185635238	0.000802680802907263	0
groupIV	7650000	7724999	7687500	151	1	0.00527820229806985	0.769790095897661	0.00214285990733605	0
groupIV	7725000	7799999	7762500	121	0	0	NA	0	0
groupIV	7800000	7874999	7837500	137	2	0.0109812538246751	0.692659457272609	0.00244635369820798	0.00450568990788368
groupIV	7875000	7949999	7912500	211	4	0.00462857844033281	0.318218181067774	0	0.00535618745382114
groupIV	7950000	8024999	7987500	426	4	0.00618946640142664	0.79746581813272	0.000650378591143002	0.00203085103863789
