Chr	StartPos	EndPos	MidPos	TotalSites	VariableSites	Dxy	Fst	Hexp1	Hexp2
groupI	0	74999	37500	619	2	0.000688087117812481	0.107219012683244	0.000676850993127994	0.000524098561554435
groupI	75000	149999	112500	517	3	0.00130760686370989	0.175973258993727	0.00199426117788429	7.58220502901354e-05
groupI	150000	224999	187500	681	1	0.000497006664407545	0.133746589347084	0.000625602794359148	0.000216152716593245
groupI	225000	299999	262500	125	1	0.00138461538461538	0.155555555555556	0.00228994082840237	0
groupI	300000	374999	337500	212	0	0	NA	0	0
groupI	375000	449999	412500	701	3	0.000823727121562511	0.133899224141152	0.000944576201166971	0.000451037480288159
groupI	450000	524999	487500	662	1	0.000213029669223023	-0.00593614963076613	0.000158517026593562	0.000262562791612292
groupI	525000	599999	562500	680	5	0.00277213259885894	0.0680440959997562	0.00256099483240051	0.00244308798690895
groupI	600000	674999	637500	412	6	0.00497343082024851	0.250754375395953	0.00395547564824803	0.00326767200047944
groupI	675000	749999	712500	627	5	0.00259212223679552	0.0533154348884624	0.00238215640324902	0.00243798749641367
groupI	750000	824999	787500	351	4	0.00307559021009313	0.136547656207954	0.00402430445640322	0.00102990269195255
groupI	825000	899999	862500	64	0	0	NA	0	0
groupI	900000	974999	937500	785	1	0.000143067123958843	-0.00321405041011131	0.000187515923566879	9.4222289224739e-05
groupI	975000	1049999	1012500	464	3	0.0018010450242251	0.0472910260395988	0.00137322028286268	0.00197208135031806
groupI	1050000	1124999	1087500	291	0	0	NA	0	0
groupI	1125000	1199999	1162500	254	2	0.00317005828816852	0.0512825986904172	0.002310145116158	0.00354923803374958
groupI	1200000	1274999	1237500	718	5	0.0028665594969717	0.0492412088943887	0.00221177192140305	0.00289595054778539
groupI	1275000	1349999	1312500	535	11	0.00799226424390293	0.144658006024702	0.0061709496665244	0.00702521405336406
groupI	1350000	1424999	1387500	463	9	0.00608317625754492	0.0326517158886727	0.00619566847331623	0.00532304581059422
groupI	1425000	1499999	1462500	340	5	0.00481303418803419	0.156955898797242	0.00218318809005084	0.00553948398886182
groupI	1500000	1574999	1537500	229	3	0.00618944017897397	0.255987837039352	0.00494588865307586	0.00409277255320838
groupI	1575000	1649999	1612500	475	2	0.00155124653739612	0.230874188236769	0.00105263157894737	0.00113999125236915
groupI	1650000	1724999	1687500	269	0	0	NA	0	0
groupI	1725000	1799999	1762500	558	2	0.000671196395722765	-0.0392053195650215	0.000438885231511959	0.00084327873958262
groupI	1800000	1874999	1837500	240	4	0.00590184453227931	0.459880351252358	0.000185089531680441	0.0062950913673598
groupI	1875000	1949999	1912500	763	10	0.00390026563597707	0.142105617971272	0.00306720536180866	0.00345830454593057
groupI	1950000	2024999	1987500	569	11	0.00733679203541643	0.0523942623062333	0.00756950623888672	0.00612580639509458
groupI	2025000	2099999	2062500	404	4	0.00313046010483401	0.205699538972042	0.00242326352012364	0.00235301307908569
groupI	2100000	2174999	2137500	429	2	0.00130930859769339	0.0224149292621953	0.00151798849551423	0.000978282221718473
groupI	2175000	2249999	2212500	134	0	0	NA	0	0
groupI	2250000	2324999	2287500	871	8	0.0033124130415396	0.25833310624257	0.00228149811354919	0.00240636900042682
groupI	2325000	2399999	2362500	517	7	0.0048734705157085	0.333773924583392	0.0031362372291026	0.00314947374450617
groupI	2400000	2474999	2437500	289	7	0.0113721638169018	0.320531439470392	0.00679904541700486	0.00840631794763868
groupI	2475000	2549999	2512500	311	5	0.00523787117249502	0.175495428878338	0.00544120695662913	0.00306891624602959
