Chr	StartPos	EndPos	MidPos	TotalSites	VariableSites	Dxy	Fst	Hexp1	Hexp2
groupIV	0	74999	37500	956	4	0.00157705912338309	-0.0117602133341191	0.00152715810871071	0.00154172879774684
groupIV	75000	149999	112500	188	0	0	NA	0	0
groupIV	150000	224999	187500	846	3	0.00108122767697236	0.0333446791351712	0.000869451011294983	0.00112601162614978
groupIV	225000	299999	262500	1070	0	0	NA	0	0
groupIV	300000	374999	337500	999	6	0.00211762894511433	-0.0251035054330861	0.00207131167448628	0.00204718232421007
groupIV	375000	449999	412500	585	3	0.00171378479070787	-0.0307985738891841	0.00152733525514591	0.00177738005373333
groupIV	450000	524999	487500	438	0	0	NA	0	0
groupIV	525000	599999	562500	336	2	0.00159263085399449	-0.00789011237220874	0.00127042774016336	0.00185396989374262
groupIV	600000	674999	637500	391	0	0	NA	0	0
groupIV	675000	749999	712500	1377	4	0.00114912631719354	0.0179086118585897	0.00122537904050509	0.000977301082661409
groupIV	750000	824999	787500	1516	6	0.00149307871108663	0.120855877207111	0.00138637180355871	0.00110330566978656
groupIV	825000	899999	862500	1255	12	0.00243378040858706	-0.048921339964156	0.00199637355079224	0.00262453022225945
groupIV	900000	974999	937500	474	7	0.00607037495778335	0.00809413346677193	0.00580192009476333	0.00591387700146591
groupIV	975000	1049999	1012500	866	7	0.00269930223740847	0.0252582198996605	0.00262819095141507	0.00247481553268722
groupIV	1050000	1124999	1087500	538	1	0.000246567028298309	-0.0291715285880979	0.000246567028298309	0.000246567028298309
groupIV	1125000	1199999	1162500	0	0	NA	NA	NA	NA
groupIV	1200000	1274999	1237500	1303	6	0.00181009411479582	0.018056937511282	0.00196428458167103	0.00145101527303531
groupIV	1275000	1349999	1312500	1103	11	0.00286391803137577	-0.0121007021726544	0.00274044234997606	0.00274810052501716
groupIV	1350000	1424999	1387500	983	2	0.000603948442198697	-0.0294087215206471	0.00047144319974745	0.000704086822928562
groupIV	1425000	1499999	1462500	1517	9	0.00173582665153684	0.0110906845913117	0.00141427600764757	0.00183938212940012
groupIV	1500000	1574999	1537500	2302	16	0.00205500739004214	-0.0203810727238054	0.0020261898028335	0.00199390715780617
groupIV	1575000	1649999	1612500	2381	19	0.00274140992621631	-0.0226980280475611	0.00273729608790351	0.00264080955916113
groupIV	1650000	1724999	1687500	690	9	0.00493479299114311	0.151403527510719	0.00452396059329886	0.00353231231737601
groupIV	1725000	1799999	1762500	1338	5	0.00114932887892969	-0.0323687810292865	0.00113839766739278	0.00114763604196625
groupIV	1800000	1874999	1837500	465	1	0.00102975479319565	-0.00305509285925559	0.00106199389353511	0.000919220734888938
groupIV	1875000	1949999	1912500	0	0	NA	NA	NA	NA
groupIV	1950000	2024999	1987500	664	1	0.000118896639188332	0.0215989018331127	0	0.000219020124820611
groupIV	2025000	2099999	2062500	590	1	0.000417002959375841	0.0186801319284318	0.000570736769283985	0.000177861477296505
groupIV	2100000	2174999	2137500	1563	10	0.0022161584061776	0.00285244467693848	0.00203523566255844	0.0022547444587976
groupIV	2175000	2249999	2212500	1050	8	0.00293638944028554	-0.0413493239774071	0.00293600944510035	0.00286415297751105
groupIV	2250000	2324999	2287500	534	4	0.00178863949213899	0.0080948534322319	0.00190096261160029	0.00150573995777487
groupIV	2325000	2399999	2362500	753	4	0.0011500554256802	-0.0279475342184188	0.00117179887734035	0.0010980626011412
groupIV	2400000	2474999	2437500	1665	17	0.00356593730277941	-0.00767887930756081	0.00333398540682923	0.00360176822596795
groupIV	2475000	2549999	2512500	677	1	0.000217221305065601	-0.0264917917581093	0.000265878877400295	0.00016355486499057
groupIV	2550000	2624999	2587500	835	7	0.00286441203507072	-0.032411280729354	0.00287410299957184	0.00280551294106003
groupIV	2625000	2699999	2662500	642	3	0.00213453328718126	0.199324324324324	0.000903811391869544	0.00230760355370947
groupIV	2700000	2774999	2737500	427	3	0.00261700308538716	0.0247902842118442	0.00245641425969295	0.00251185563999214
groupIV	2775000	2849999	2812500	2440	10	0.00155453447704311	-0.0251547078376658	0.00156862740695233	0.00149431682961302
groupIV	2850000	2924999	2887500	757	1	0.000660501981505945	-0.0109494174348416	0.000660501981505945	0.000647022349230313
groupIV	2925000	2999999	2962500	1371	18	0.00444737286832953	-0.0179634787584405	0.0043103907776993	0.00445216016595838
groupIV	3000000	3074999	3037500	1138	7	0.00196547923371298	0.0195594938239082	0.00206424272444917	0.00167211942076138
groupIV	3075000	3149999	3112500	528	3	0.00159837006427916	-0.0290704028550241	0.00134957795548073	0.00175770464825791
groupIV	3150000	3224999	3187500	766	7	0.00208569412585491	-0.0110003362804922	0.00182372755697386	0.00223092954076416
groupIV	3225000	3299999	3262500	339	0	0	NA	0	0
groupIV	3300000	3374999	3337500	1250	7	0.00235983127983128	0.0022076747818682	0.00224569807725852	0.00234789520436274
groupIV	3375000	3449999	3412500	462	3	0.0032641155635808	-0.022814601946025	0.00321992057529247	0.00323551880645307
groupIV	3450000	3524999	3487500	2354	23	0.00329697206731817	-0.0143522656895957	0.00321066625194351	0.00321954823302026
groupIV	3525000	3599999	3562500	1758	17	0.0044066226451584	-0.0222350751814695	0.00424919685715204	0.00444113599048618
groupIV	3600000	3674999	3637500	978	4	0.00178755861271199	0.0176243224168882	0.00145062911838219	0.00183700371545076
groupIV	3675000	3749999	3712500	414	2	0.00150966183574879	-0.01669127291914	0.00173611111111111	0.00120236178207193
