Chr	StartPos	EndPos	MidPos	TotalSites	VariableSites	Dxy	Fst	Hexp1	Hexp2
groupI	0	74999	37500	466	0	0	NA	0	0
groupI	75000	149999	112500	517	1	0.00074424306102793	0.219023494971864	0.000902112801245977	0.000202975380280344
groupI	150000	224999	187500	764	0	0	NA	0	0
groupI	225000	299999	262500	125	0	0	NA	0	0
groupI	300000	374999	337500	197	1	0.000616125947178695	0.0286667625869616	0.00021590396591596	0.000947370276367736
groupI	375000	449999	412500	724	2	0.000565497637921371	0.219775324545809	0.0008180749784448	0
groupI	450000	524999	487500	604	0	0	NA	0	0
groupI	525000	599999	562500	717	1	0.00025182085851542	0.124632791367325	5.69018286068495e-05	0.000387416705408338
groupI	600000	674999	637500	389	2	0.00361874629226814	0.726398921735558	0.000380280190444319	0.00203906026849471
groupI	675000	749999	712500	595	2	0.00179601252265612	0.795716499633173	0.000180977740890595	0.000607717135297025
groupI	750000	824999	787500	272	0	0	NA	0	0
groupI	825000	899999	862500	116	0	0	NA	0	0
groupI	900000	974999	937500	699	2	0.00121052052382524	0.602559911429249	0.000785145304788751	0
groupI	975000	1049999	1012500	447	1	0.00056493345083949	-0.0224048965338123	0.000441903499323336	0.000665594320261801
groupI	1050000	1124999	1087500	181	1	0.00154696132596685	0.220195190406328	0.00222762430939227	0
groupI	1125000	1199999	1162500	246	1	0.00188523624366678	-0.00560058952275691	0.00196281798208928	0.00172130265726098
groupI	1200000	1274999	1237500	646	1	0.00086687306501548	0.559405351547913	0	0.000762848297213622
groupI	1275000	1349999	1312500	470	2	0.00261742340227174	0.724666650365188	0.000300615824650497	0.00114730106022555
groupI	1350000	1424999	1387500	395	0	0	NA	0	0
groupI	1425000	1499999	1462500	298	1	0.00198166100477808	0.276608477097474	0.00139936108119056	0.00134642472450079
groupI	1500000	1574999	1537500	226	1	0.000921828908554571	0.283855394944927	0	0.00145956243854474
groupI	1575000	1649999	1612500	471	0	0	NA	0	0
groupI	1650000	1724999	1687500	309	1	0.00300508552935738	0.946351806230995	0	0.00042929793276534
groupI	1725000	1799999	1762500	411	2	0.0008110300081103	0.109252197949844	0.00128413084617464	0
groupI	1800000	1874999	1837500	211	1	0.00266982622432859	0.390401748707192	0.00100094786729858	0.00230384412848868
groupI	1875000	1949999	1912500	750	3	0.00223450738320019	0.382787437863254	0.00136286929844963	0.00133406557067271
groupI	1950000	2024999	1987500	568	10	0.00871279375868681	0.188652849180569	0.00695531033335997	0.00691989386571214
groupI	2025000	2099999	2062500	386	2	0.000893081203962031	0.019422272427795	0.000653887431857111	0.00105773063126591
groupI	2100000	2174999	2137500	311	3	0.00365348596859851	0.229899562065069	0.00307208482747366	0.00254078887182118
groupI	2175000	2249999	2212500	109	0	0	NA	0	0
groupI	2250000	2324999	2287500	700	3	0.000733333333333333	0.084139855438276	0.000617677444640407	0.000688
