"lg" "pos1" "pos2" "dn"
1 2098 9910 0.140192
1 18791 22890 0.055338
1 36880 38991 0.028806
1 42006 46064 0.041673
1 65279 68049 0.018606
1 69460 74583 0.020833
1 69460 74583 0.041472
1 77722 105198 0.145126
1 117583 141390 0.110752
1 117583 141390 0.093487
1 150455 155401 0.020426
1 169269 179484 0.023454
1 184803 198423 1.1e-05
1 199995 206700 0.047747
1 199995 206700 0.043411
1 199995 206700 0.047439
1 208356 211604 0.035535
1 217115 219753 0.056227
1 229192 236148 1.7e-05
1 229192 236148 0.069006
1 244666 253839 0.015459
1 257080 258329 3.8e-05
1 356280 359332 9e-06
1 356280 359332 0.045349
1 363799 365223 0.047697
1 369110 371418 0.081316
1 372834 374001 0.083751
1 380274 381945 0.015274
1 382188 383538 0.124899
1 384897 395887 0.031191
1 384897 395887 0.02878
1 399228 409825 0.041465
1 422752 424954 1e-05
1 427703 435209 0.025746
1 436490 448294 0.024919
1 452299 459852 0.000111
1 462140 471296 0.036594
1 471859 472790 0.029668
1 474993 481036 0.058109
1 474993 481036 0.06036
1 483523 484997 0.125612
1 493880 500134 0.070612
1 493880 500134 0.07843
1 500828 510359 8.4e-05
1 511973 512935 1e-06
1 514072 517686 0.025278
1 518206 536065 1e-05
1 518206 536065 1.8e-05
1 548083 553305 4e-06
1 555946 557500 0.081903
1 559077 566856 0.054033
1 568151 571571 3.4e-05
1 572635 578245 0.043321
1 572635 578245 0.049137
1 620253 626394 0.01866
1 696149 703429 0.044839
1 725635 725859 0.022403
1 726932 740276 0.00652
1 726932 740276 0.011975
1 746199 747195 0.082796
1 749956 783492 1.1e-05
1 785833 786012 0.044603
1 790618 796261 0.026047
1 798707 805841 0.086229
1 807405 813257 0.143778
1 814526 818691 0.041512
1 825335 835930 3.2e-05
1 845685 851086 0.065307
1 845685 851086 0.064601
1 853151 864471 0.029957
1 871940 888344 5e-06
1 898273 903775 0.041306
1 903985 905957 0.017219
1 906629 913276 0.031511
1 913769 925638 0.044966
1 931955 937054 2.3e-05
1 940637 945583 0.001898
1 959004 989717 0.03228
1 992281 1011125 0.029537
1 992281 1011125 0.0994
1 1053880 1057246 0.039771
1 1076088 1085084 0.018739
1 1175505 1181937 0.021448
1 1184288 1184688 0.070868
1 1185206 1186192 0.009119
1 1187874 1192146 0.0476
1 1193449 1230766 0.029936
1 1234077 1236193 0.083259
1 1234077 1236193 0.083223
1 1234077 1236193 0.084569
1 1236297 1242154 0.112978
1 1242776 1245714 0.144373
1 1242776 1245714 0.14369
1 1260571 1274267 0.0753
1 1276013 1277115 0.031345
1 1279295 1282121 0.060033
1 1282804 1288222 0.00175
1 1290624 1310251 0.025959
1 1315175 1318264 0.015439
1 1321632 1328761 2.3e-05
1 1352913 1364832 0.025186
1 1369446 1383127 0.028807
1 1385915 1393786 0.085207
1 1385915 1393786 0.085208
