Chr	StartPos	EndPos	MidPos	TotalSites	VariableSites	Dxy	Fst	Hexp1	Hexp2
groupIII	0	75000	37500	28065	494	0.00374265098877605	0.180311719028919	0.00169545725325138	0.00137234990201318
groupIII	75000	150000	112500	22219	574	0.00427013479454519	0.104201524982708	0.00164146359815923	0.00218371663891265
groupIII	150000	225000	187500	29489	587	0.00347131557529926	0.123158408889703	0.00160096773373122	0.00144282613856014
groupIII	225000	300000	262500	25624	756	0.00486604355291911	0.142031328320804	0.00204078085974087	0.0021341320636903
groupIII	300000	375000	337500	16903	603	0.00514516653848429	0.124079231045634	0.00262099830651364	0.0018857599242738
groupIII	375000	450000	412500	18836	456	0.00420488028243788	0.15603225488262	0.00190485680677957	0.00164392652367806
groupIII	450000	525000	487500	20471	484	0.00541055029065507	0.221437589933133	0.00238327809767476	0.00182917297640565
groupIII	525000	600000	562500	23490	491	0.00434493401447424	0.208622550520515	0.00192730783045977	0.00151117496807152
groupIII	600000	675000	637500	18623	308	0.00394102722439993	0.186752214084987	0.00178810098735435	0.00141693067711969
groupIII	675000	750000	712500	22053	531	0.00476919240012696	0.185517812574281	0.00195804036015508	0.00192638189815445
groupIII	750000	825000	787500	21351	267	0.00300703128659079	0.187959357507909	0.00129961345487331	0.0011422181630837
groupIII	825000	900000	862500	23728	534	0.0044974555377613	0.136737166534891	0.00208503172675742	0.00179745448415374
groupIII	900000	975000	937500	24865	443	0.00382980595214155	0.18234830833853	0.00143367936859039	0.00169776794691333
groupIII	975000	1050000	1012500	19131	313	0.00326172181276462	0.169202599158654	0.00137482399312634	0.00133500601118603
groupIII	1050000	1125000	1087500	29016	744	0.00507586331679073	0.128848928495651	0.00230516676144196	0.00211667700578991
groupIII	1125000	1200000	1162500	24450	557	0.00464378834355828	0.194705914733163	0.00174063778118609	0.00199897750511247
groupIII	1200000	1275000	1237500	26579	302	0.00297121317581549	0.25673202485062	0.0012936816894917	0.000914725911433838
groupIII	1275000	1350000	1312500	29612	568	0.00480780595704443	0.209430835418588	0.00205034593239227	0.00175055720653789
groupIII	1350000	1425000	1387500	24592	575	0.00464302415419649	0.212546869013083	0.00218332721260979	0.00147283669486012
groupIII	1425000	1500000	1462500	26521	680	0.005301341389842	0.166511079993778	0.00249890417028016	0.00191970513932356
groupIII	1500000	1575000	1537500	27088	676	0.00598662230507974	0.219529609003142	0.00235041231357058	0.00232196913762552
groupIII	1575000	1650000	1612500	29092	505	0.00385662295476419	0.139221652786675	0.00174426442406847	0.00157543310875842
groupIII	1650000	1725000	1687500	26409	678	0.00529660816388352	0.15528948191506	0.00253224368349805	0.00194185694270893
