"lg" "pos1" "pos2" "ds"
"1" 1 2098 9910 1.67733633333333
"2" 1 18791 22890 1.03644766666667
"3" 1 36880 38991 1.65135566666667
"4" 1 42006 46064 0.917506666666667
"5" 1 69460 74583 1.01180866666667
"6" 1 77722 105198 1.16831066666667
"7" 1 117583 141390 0.877963
"8" 1 150455 155401 0.757381222222222
"9" 1 169269 179484 1.01938866666667
"10" 1 184803 198423 0.914579
"11" 1 199995 206700 0.597399666666667
"12" 1 208356 211604 0.917508333333333
"13" 1 217115 219753 0.937915666666667
"14" 1 229192 236148 1.20937725
"15" 1 244666 253839 1.13005366666667
"16" 1 257080 258329 1.54275133333333
"17" 1 356280 359332 1.38014
"18" 1 363799 365223 1.50106566666667
"19" 1 369110 371418 0.947151333333333
"20" 1 372834 374001 1.6097335
"21" 1 380274 381945 0.81131
"22" 1 382188 383538 1.40671566666667
"23" 1 384897 395887 0.960211333333333
"24" 1 399228 409825 0.878785
"25" 1 427703 435209 1.16804433333333
"26" 1 436490 448294 0.919085666666667
"27" 1 462140 471296 0.921801666666667
"28" 1 474993 481036 1.120484
"29" 1 483523 484997 0.926808
"30" 1 493880 500134 1.45769266666667
"31" 1 500828 510359 0.957322333333333
"32" 1 518206 536065 1.03583083333333
"33" 1 555946 557500 1.67490366666667
"34" 1 559077 566856 1.09472766666667
"35" 1 568151 571571 1.27312533333333
"36" 1 572635 578245 1.2035595
"37" 1 620253 626394 1.20997133333333
"38" 1 638917 644877 3.29880666666667
"39" 1 696149 703429 1.380375
"40" 1 725635 725859 1.56941
"41" 1 726932 740276 1.027328
"42" 1 746199 747195 1.0051025
"43" 1 749956 783492 1.46964433333333
"44" 1 785833 786012 30.0598615
"45" 1 790618 796261 0.993603333333333
"46" 1 798707 805841 1.28465133333333
"47" 1 807405 813257 4.21961533333333
"48" 1 814526 818691 1.38581066666667
"49" 1 825335 835930 0.897997666666667
"50" 1 845685 851086 1.710809
"51" 1 898273 903775 1.21005533333333
"52" 1 903985 905957 1.086038
"53" 1 906629 913276 1.02297
"54" 1 913769 925638 1.25571733333333
"55" 1 931955 937054 1.12152933333333
"56" 1 959004 989717 1.443863
"57" 1 992281 1011125 1.13720133333333
"58" 1 1053880 1057246 2.306893
"59" 1 1076088 1085084 1.58664066666667
"60" 1 1175505 1181937 1.3655455
"61" 1 1184288 1184688 1.5619535
"62" 1 1185206 1186192 1.93893733333333
"63" 1 1187874 1192146 1.35930566666667
"64" 1 1193449 1230766 1.25113933333333
"65" 1 1234077 1236193 1.79488622222222
"66" 1 1236297 1242154 1.176179
"67" 1 1242776 1245714 1.63992925
"68" 1 1260571 1274267 1.22484066666667
"69" 1 1276013 1277115 1.0421405
"70" 1 1279295 1282121 1.260016
"71" 1 1290624 1310251 1.16446633333333
"72" 1 1315175 1318264 1.07798266666667
"73" 1 1321632 1328761 0.678236333333333
"74" 1 1352913 1364832 1.13371433333333
"75" 1 1369446 1383127 0.963153333333333
"76" 1 1385915 1393786 1.6887375
"77" 1 1394892 1401575 1.33219933333333
"78" 1 1410016 1438823 1.3766455
"79" 1 1508261 1535124 1.47796433333333
"80" 1 1545588 1554821 1.07891266666667
"81" 1 1560251 1568736 0.643714666666667
"82" 1 1594281 1664168 1.49901266666667
"83" 1 1751568 1753282 1.12735033333333
"84" 1 1755126 1762297 1.076788
"85" 1 1762413 1764918 1.207454
"86" 1 1811639 1812559 0.987608333333333
"87" 1 1835798 1849578 0.934082
"88" 1 1855721 1863275 1.12411
"89" 1 1875460 1882519 0.713623333333333
"90" 1 1890918 1895272 0.899987333333333
"91" 1 1899975 1907740 0.708470166666667
"92" 1 1912692 1913706 1.0854905
"93" 1 1919945 1923826 0.819417666666667
"94" 1 1924903 1926389 0.945849
"95" 1 1964741 1970521 1.077268
"96" 1 1988336 1991038 0.597084
"97" 1 2001693 2004602 0.906377
"98" 1 2004856 2007949 0.842201
"99" 1 2009479 2010527 3.007567
"100" 1 2013835 2018817 0.840686
"101" 1 2024413 2029617 0.91871
"102" 1 2041834 2047281 1.06740875
"103" 1 2075764 2085083 1.10851733333333
"104" 1 2096706 2098851 1.12477533333333
"105" 1 2110211 2128414 0.516868333333333
"106" 1 2139386 2140819 1.0195495
"107" 1 2149070 2156200 1.02539375
"108" 1 2156320 2161808 0.819824666666667
"109" 1 2161683 2166868 1.1092325
"110" 1 2167369 2171903 0.981755333333333
"111" 1 2172113 2173949 1.03425633333333
"112" 1 2175787 2179611 1.23434166666667
"113" 1 2180844 2181239 1.9848965
"114" 1 2189867 2195389 0.777835444444445
"115" 1 2197855 2203483 1.05579866666667
"116" 1 2206772 2213401 0.894410666666667
"117" 1 2218130 2220146 0.898902
"118" 1 2225187 2236863 0.898780166666667
"119" 1 2237067 2245543 1.102404
"120" 1 2247753 2267649 0.713408666666667
"121" 1 2271244 2274912 0.900784666666667
"122" 1 2277256 2278122 2.10113066666667
"123" 1 2293356 2295366 1.3533155
"124" 1 2301708 2308184 1.605013
"125" 1 2330169 2365007 0.777958333333333
"126" 1 2636733 2646924 0.879458
"127" 1 2717130 2718198 1.02168
"128" 1 2735505 2755528 0.869408
"129" 1 2782049 2790640 0.835646
"130" 1 2798666 2813268 0.916779166666667
"131" 1 2824077 2830150 0.7975155
"132" 1 2898939 2945757 0.664129
"133" 1 2988172 2992797 0.861818666666667
"134" 1 2995003 2999589 0.8665115
"135" 1 3032666 3033857 1.243725
"136" 1 3039163 3045850 0.677407
"137" 1 3047218 3052489 0.917016833333333
"138" 1 3080902 3085572 0.8893835
"139" 1 3086853 3088913 0.853930333333333
"140" 1 3091076 3108409 0.7704685
"141" 1 3124210 3127693 0.937579333333333
"142" 1 3129406 3136785 0.857376
"143" 1 3145697 3149203 1.14475366666667
"144" 1 3154035 3156749 1.04079633333333
"145" 1 3163025 3169107 1.837613
"146" 1 3175899 3178064 0.875443
"147" 1 3273500 3300395 0.664287
"148" 1 3303968 3318945 0.695455
"149" 1 3325760 3330237 0.962528333333333
"150" 1 3332783 3338589 0.949367666666667
"151" 1 3347259 3347414 1.44215366666667
"152" 1 3390561 3407147 0.912848666666667
"153" 1 3414389 3416002 0.988123
"154" 1 3421423 3436453 0.578718
"155" 1 3486252 3490154 0.516588
"156" 1 3537920 3541210 0.968691833333333
"157" 1 3727950 3776112 0.8203285
"158" 1 3837246 3845416 0.952988666666667
"159" 1 3848030 3851119 1.09502166666667
"160" 1 3935093 3946002 0.688026666666667
"161" 1 3984198 4032562 0.874065833333333
"162" 1 4043118 4044679 0.801475
"163" 1 4046937 4048548 2.55229675
"164" 1 4056681 4058563 0.726734333333333
"165" 1 4062043 4063888 1.06855933333333
"166" 1 4066933 4068501 1.47400033333333
"167" 1 4093568 4112992 0.795757333333333
"168" 1 4114283 4117189 1.79472066666667
"169" 1 4122097 4123446 0.890736666666667
"170" 1 4123737 4126346 66.6721086666667
"171" 1 4128096 4137512 0.577637777777778
"172" 1 4165526 4175090 0.626687666666667
"173" 1 4178468 4194469 0.841462
"174" 1 4220184 4222102 0.742935
"175" 1 4226568 4230446 1.574692
"176" 1 4236565 4248993 0.835056
"177" 1 4322322 4397568 0.731237
"178" 1 4425525 4435391 0.755813666666667
"179" 1 4470998 4481907 0.735983
"180" 1 4482490 4485218 0.885874833333333
"181" 1 4485819 4491775 0.698271333333333
"182" 1 4494513 4498339 0.872056333333333
"183" 1 4499549 4509058 0.721897666666667
"184" 1 4511274 4515926 0.950255333333333
"185" 1 4543685 4582641 0.738414666666667
"186" 1 4607682 4609548 0.74868
"187" 1 4617503 4623965 0.794609
"188" 1 4716822 4758126 0.86377
"189" 1 4743905 4749468 1.02975575
"190" 1 4766643 4768983 0.775951
"191" 1 4772115 4783409 1.30087033333333
"192" 1 4807095 4815196 0.517916
"193" 1 4818207 4825298 0.978955
"194" 1 5065629 5116913 0.884401
"195" 1 5136823 5139540 0.659865666666667
"196" 1 5186778 5192211 1.00046466666667
"197" 1 5335913 5344736 0.918643666666667
"198" 1 5357524 5359129 0.800450333333333
"199" 1 5408524 5408916 29.9572205
"200" 1 5465852 5488747 0.846488666666667
"201" 1 5496803 5535584 0.740468333333333
"202" 1 5512892 5515273 0.977419
"203" 1 5537599 5542661 0.814126666666667
"204" 1 5543009 5544661 0.981739333333333
"205" 1 5544654 5547177 0.995821
"206" 1 5548344 5562595 0.492095333333333
"207" 1 5562826 5565056 1.099221
"208" 1 5570060 5575752 0.723922
"209" 1 5577318 5597550 0.805954333333333
"210" 1 5674998 5692007 0.808763666666667
"211" 1 5759769 5763212 0.870681333333333
"212" 1 5766408 5786885 0.617427666666667
"213" 1 5794328 5802345 0.726989666666667
"214" 1 5805079 5806185 0.660500333333333
"215" 1 5807949 5810402 1.09905
"216" 1 5836452 5839025 1.13949433333333
"217" 1 5854274 5864978 0.876879666666667
"218" 1 5866321 5868151 0.858625
"219" 1 5871321 5902430 0.708762333333333
"220" 1 5911897 5915684 0.535527333333333
"221" 1 5920985 5928413 0.826912
"222" 1 5937570 5939340 0.735513
"223" 1 5966412 5977419 0.912504666666667
"224" 1 5980980 5983171 0.8734655
"225" 1 5985827 5996095 0.68187
"226" 1 6123882 6150613 0.773688666666667
"227" 1 6159836 6170264 0.656684666666667
"228" 1 6172911 6197405 0.548304666666667
"229" 1 6206113 6208424 0.654841
"230" 1 6212467 6229609 0.766846
"231" 1 6232964 6234580 1.05167416666667
"232" 1 6236909 6237643 0.964084666666667
"233" 1 6238914 6241202 0.862246333333333
"234" 1 6242282 6244025 0.619787666666667
"235" 1 6245953 6248843 0.513180333333333
"236" 1 6250813 6252158 0.621452333333333
"237" 1 6266514 6270948 0.989964
"238" 1 6272282 6281123 0.761687666666667
"239" 1 6283524 6297921 0.722219333333333
"240" 1 6300577 6304779 0.807778333333333
"241" 1 6315506 6357731 0.749847
"242" 1 6368016 6374543 1.09319333333333
"243" 1 6375143 6379717 0.900799
"244" 1 6399461 6404685 0.931514333333333
"245" 1 6450466 6452113 100.300697
"246" 1 6458406 6536357 67.8326345
"247" 1 6554830 6569989 0.768835
"248" 1 6642138 6717755 0.782394666666667
"249" 1 6725039 6727697 1.234015
"250" 1 6729472 6735234 0.5819975
"251" 1 6748014 6770807 0.648357333333333
"252" 1 6774853 6788674 1.11401733333333
"253" 1 6789295 6797202 0.723503333333333
"254" 1 6802071 6805344 0.827287
"255" 1 6817428 6823743 0.357633333333333
"256" 1 6839106 6841996 1.3401455
"257" 1 6847350 6887280 0.965785
"258" 1 6892498 6912972 0.560985
"259" 1 6930934 6971403 0.751857333333333
"260" 1 6983471 6991945 0.8023905
"261" 1 6992838 6997265 0.809991083333333
"262" 1 7025597 7037380 1.00453266666667
"263" 1 7044038 7049685 0.710119
"264" 1 7056587 7057788 1.27276883333333
"265" 1 7058416 7060534 0.841831333333333
"266" 1 7067099 7068103 1.44697833333333
"267" 1 7086897 7087907 1.026663
"268" 1 7212546 7247667 0.860855333333333
"269" 1 7408054 7428093 0.830108333333333
"270" 1 7429585 7430761 0.836975
"271" 1 7433814 7449826 0.947321333333333
"272" 1 7480872 7489908 0.8205015
"273" 1 7509074 7523648 0.964878666666667
"274" 1 7524210 7529201 0.902036666666667
"275" 1 7530051 7532857 0.865183
"276" 1 7534359 7547904 0.814963833333333
"277" 1 7548475 7555673 1.24891
"278" 1 7557008 7561871 1.01769066666667
"279" 1 7562563 7566990 0.916931
"280" 1 7568494 7571957 0.773197
"281" 1 7573483 7576174 0.832670333333333
"282" 1 7590810 7595653 0.849343666666667
"283" 1 7596867 7608799 0.819161
"284" 1 7609666 7612260 0.775038111111111
"285" 1 7614233 7615946 0.412477666666667
"286" 1 7617542 7631515 0.984701333333333
"287" 1 7633993 7648015 0.736686
"288" 1 7652097 7662516 0.5859875
"289" 1 7666331 7669626 1.043095
"290" 1 7711424 7718976 0.972662666666667
"291" 1 7742778 7772976 0.653222333333333
"292" 1 7779850 7794030 0.768667
"293" 1 7795716 7798893 0.872867
"294" 1 7799466 7801516 0.746214
"295" 1 7804379 7814771 0.836083
"296" 1 7819170 7825689 0.945725166666667
"297" 1 7851131 7883099 0.777891
"298" 1 7884939 7889802 0.8141645
"299" 1 7944004 7949594 0.801621
"300" 1 7950910 7953127 1.10044833333333
"301" 1 7955113 7960310 0.901276333333333
"302" 1 7960644 7963349 0.636955
"303" 1 7963629 7966954 0.8843945
"304" 1 7970667 7978934 0.806625666666667
"305" 1 7984427 7992236 0.847582
"306" 1 7994935 8024790 0.742883
"307" 1 8030647 8032675 1.09338166666667
"308" 1 8040906 8042255 1.73671033333333
"309" 1 8050570 8076662 1.138629
"310" 1 8081930 8106122 0.706725
"311" 1 8117262 8202337 0.710913
"312" 1 8360502 8362370 1.05737866666667
"313" 1 8365243 8376303 0.817207
"314" 1 8387386 8393676 0.754992
"315" 1 8397728 8403362 0.517202
"316" 1 8407809 8413900 1.28375383333333
"317" 1 8464004 8471992 0.8189175
"318" 1 8509579 8522810 0.654612888888889
"319" 1 8533757 8538878 0.900830666666667
"320" 1 8558661 8571918 0.704463333333333
"321" 1 8575330 8575822 1.366705
"322" 1 8606768 8609836 0.760359166666667
"323" 1 8612249 8646561 0.696084666666667
"324" 1 8665489 8666737 0.977627333333333
"325" 1 8668669 8674810 0.933074666666667
"326" 1 8675614 8790734 0.9417565
"327" 1 8796782 8801850 0.913839666666667
"328" 1 8890956 8917439 0.830585166666667
"329" 1 8924403 8928404 0.815991
"330" 1 8929439 8934034 0.945266333333333
"331" 1 8935387 8937511 1.06286766666667
"332" 1 8950903 8953636 1.05764133333333
"333" 1 8959411 8964674 0.899105555555556
"334" 1 8990298 9055383 0.760982666666667
"335" 1 9059605 9062045 1.088769
"336" 1 9066263 9069851 0.9264
"337" 1 9084555 9086444 0.758982666666667
"338" 1 9090447 9091400 1.04012933333333
"339" 1 9102134 9126171 0.827229333333333
"340" 1 9131095 9141734 0.771936666666667
"341" 1 9143564 9145147 1.22878666666667
"342" 1 9146859 9153860 1.11075516666667
"343" 1 9166576 9173856 0.8663555
"344" 1 9180092 9182871 0.700132333333333
"345" 1 9190590 9210348 1.37198
"346" 1 9296870 9301292 0.584222666666667
"347" 1 9303842 9311720 0.77525
