Chr	StartPos	EndPos	MidPos	TotalSites	VariableSites	Dxy	Fst	Hexp1	Hexp2
groupIV	0	74999	37500	603	3	0.0013020806967739	0.00677475411191169	0.0014651275410969	0.00100374061099281
groupIV	75000	149999	112500	462	1	0.00037000037000037	-0.0105613871342357	0.000307384922769539	0.000427555983111539
groupIV	150000	224999	187500	274	0	0	NA	0	0
groupIV	225000	299999	262500	580	0	0	NA	0	0
groupIV	300000	374999	337500	570	1	0.000894202264664432	0.0591787439613528	0.000758128006998105	0.000874763084997812
groupIV	375000	449999	412500	244	2	0.00348838516719512	0.0937519370234923	0.00230778744743529	0.00389035058130383
groupIV	450000	524999	487500	172	1	0.00284090909090909	-0.0182740756790828	0.00272529069767442	0.00288295214299442
groupIV	525000	599999	562500	761	2	0.00118146021136725	-0.0138311256973151	0.00110564036562966	0.00121531439211636
groupIV	600000	674999	637500	381	1	0.000628265088263144	-0.0176327970024245	0.000662468631750249	0.000592261358276717
groupIV	675000	749999	712500	382	6	0.00420696873191484	-0.0199495022277761	0.00467554626562667	0.00353610230630304
groupIV	750000	824999	787500	373	0	0	NA	0	0
groupIV	825000	899999	862500	363	4	0.00367244926167485	-0.00347662149235169	0.00357635240653457	0.00357941441334098
groupIV	900000	974999	937500	521	4	0.00306286574090626	0.0342192452459016	0.00320039073258558	0.00257680150254165
groupIV	975000	1049999	1012500	464	5	0.0036006666915769	-0.000744031342048612	0.00357977162495042	0.00346969081083925
groupIV	1050000	1124999	1087500	350	1	0.000487948265726043	0.0157553290083411	0.00064471879286694	0.000299823633156966
groupIV	1125000	1199999	1162500	0	0	NA	NA	NA	NA
groupIV	1200000	1274999	1237500	520	5	0.00320753205128205	-0.0270853170307373	0.00326802884615384	0.00293522168803419
groupIV	1275000	1349999	1312500	123	0	0	NA	0	0
groupIV	1350000	1424999	1387500	986	10	0.00319393044246549	0.000272404137867972	0.00328603546614066	0.0029732966829194
groupIV	1425000	1499999	1462500	109	0	0	NA	0	0
groupIV	1500000	1574999	1537500	113	0	0	NA	0	0
groupIV	1575000	1649999	1612500	532	2	0.00143289772049171	0.0674586249839129	0.00107836141279124	0.00155144984058786
groupIV	1650000	1724999	1687500	796	3	0.00157520156595802	-0.017590545701025	0.00155071028569318	0.00158708416709158
