Chr	StartPos	EndPos	MidPos	TotalSites	VariableSites	Dxy	Fst	Hexp1	Hexp2
groupIV	0	74999	37500	1138	4	0.00125547440303484	-0.00312666348729978	0.00120088622945525	0.00124394820455063
groupIV	75000	149999	112500	365	0	0	NA	0	0
groupIV	150000	224999	187500	1523	4	0.000394396680368106	-0.0294883163254019	0.000464908440942584	0.000317546635862456
groupIV	225000	299999	262500	1480	5	0.00129072457197457	-0.00910179876643902	0.00120938859778146	0.00127319804308441
groupIV	300000	374999	337500	1074	8	0.0025838500419506	0.027147024970144	0.00244920077488958	0.00239718970204267
groupIV	375000	449999	412500	769	4	0.00210836068280802	0.0408863226557005	0.00218786673444917	0.00172684606840586
groupIV	450000	524999	487500	494	1	0.0010788806335365	0.129062982605572	0.000991489713294225	0.00079654073736914
groupIV	525000	599999	562500	660	6	0.00290962404598768	-0.033934474115731	0.00304095160791589	0.00267172447183093
groupIV	600000	674999	637500	1036	4	0.0015857694429123	0.0329450789701836	0.00137223229059964	0.00144787644787645
groupIV	675000	749999	712500	1956	15	0.00257017350800774	0.00200570999597489	0.00234925822775264	0.00251270187292792
groupIV	750000	824999	787500	2114	14	0.00190361882455503	0.00551824101639671	0.00183236499367456	0.0017839485831994
groupIV	825000	899999	862500	1460	12	0.00247383877176396	-0.00388286463334694	0.0022892241838973	0.00245458569058232
groupIV	900000	974999	937500	1066	8	0.00301326316697482	-0.0204408556087584	0.00295917505573948	0.00298082960102413
groupIV	975000	1049999	1012500	1350	6	0.00170366537026442	-0.0145566429715491	0.00172438449599157	0.00165677163911866
groupIV	1050000	1124999	1087500	824	1	0.000509449145942579	0.0319687540009476	0.000561662521062345	0.000396832062350926
groupIV	1125000	1199999	1162500	0	0	NA	NA	NA	NA
groupIV	1200000	1274999	1237500	1931	7	0.00127555384730302	-0.0135329982914258	0.00127448745308565	0.00123149046479567
groupIV	1275000	1349999	1312500	1681	18	0.00410733486820314	0.00504086961555079	0.00405561109395787	0.00371926403537514
groupIV	1350000	1424999	1387500	1120	7	0.00161625934533732	-0.00813411463062807	0.00161572761764019	0.00133029295285234
groupIV	1425000	1499999	1462500	2006	14	0.00189140632897231	0.0234778013531917	0.00163644040731618	0.00181284920345921
groupIV	1500000	1574999	1537500	2795	16	0.00176283862794494	-6.53131124165726e-05	0.00162066699459733	0.00179177916015793
groupIV	1575000	1649999	1612500	2585	17	0.00225223569588931	-0.00898227460612429	0.00225445817898277	0.00215662009899369
groupIV	1650000	1724999	1687500	1063	11	0.00343976281175774	-0.0221061068698288	0.00327025911417631	0.0035262892991393
groupIV	1725000	1799999	1762500	1537	8	0.00117897758444161	-0.0160839591598713	0.00106992782393395	0.00123070956871359
groupIV	1800000	1874999	1837500	706	2	0.00111435509047812	-0.0432706503888837	0.00114091316413251	0.00107186217263109
groupIV	1875000	1949999	1912500	559	2	0.000702785586506517	0.138632732647316	0.000438100105874191	0.000670840787119857
groupIV	1950000	2024999	1987500	1046	3	0.00103026886009678	-0.0184804026961988	0.000914182187286075	0.00107532574762604
groupIV	2025000	2099999	2062500	932	6	0.000564992946967196	0.00917938991203963	0	0.00102992643480053
groupIV	2100000	2174999	2137500	1823	13	0.0024296192036735	0.00124283469459734	0.00231975984304857	0.00238964047755367
groupIV	2175000	2249999	2212500	1277	10	0.00271945538278139	-0.0209994364745992	0.00263501896024486	0.00269368427305205
groupIV	2250000	2324999	2287500	544	5	0.00210463130959454	-0.0202217072896952	0.00206344516973456	0.00211236402898261
groupIV	2325000	2399999	2362500	1084	10	0.00309868299392361	0.0362338197501494	0.00249504740008497	0.00319086147483445
groupIV	2400000	2474999	2437500	1786	19	0.0038768933449972	0.0600470214892896	0.0036414397234391	0.00343725801396755
groupIV	2475000	2549999	2512500	1061	3	0.00058028579624285	-0.0115464770401813	0.000708345455288618	0.000422629762867716
groupIV	2550000	2624999	2587500	1208	5	0.00163162570568656	-0.00562244294928946	0.00163984265794358	0.00156289287210145
groupIV	2625000	2699999	2662500	1039	4	0.00160410651267244	0.00849426369638489	0.0016939364773821	0.00131429793604962
groupIV	2700000	2774999	2737500	647	4	0.00164184347337361	-0.0105736222556379	0.00166387600893011	0.00155892208582949
groupIV	2775000	2849999	2812500	3239	19	0.00208735262436071	0.00469134079944506	0.00206245828527327	0.00185661652482683
groupIV	2850000	2924999	2887500	1039	6	0.00175925762868731	-0.0604689495956122	0.00173771385358763	0.00175415694084202
groupIV	2925000	2999999	2962500	1992	17	0.00347287049590887	0.00513934688524737	0.00355020619642892	0.00313938392562481
groupIV	3000000	3074999	3037500	1684	14	0.00290768920121629	-0.00992791364629316	0.00271275532832402	0.00286209033698478
groupIV	3075000	3149999	3112500	540	3	0.00175294612794613	0.0827539601435042	0.00192921640648914	0.00115097736625514
groupIV	3150000	3224999	3187500	780	4	0.00159957166033555	-0.0260566299224765	0.00159613406141184	0.00156052028925293
groupIV	3225000	3299999	3262500	702	1	0.000254375254375255	-0.00486345474999029	0.000348857491714634	0.000135327635327635
groupIV	3300000	3374999	3337500	1370	9	0.00256146297700914	0.00928114218336237	0.00222653491588089	0.00273179590503409
groupIV	3375000	3449999	3412500	658	7	0.00451096258942004	0.00111450889273748	0.00417970069233367	0.0043177544301819
groupIV	3450000	3524999	3487500	2534	32	0.00386050196969985	0.00684016758037682	0.00359911251224903	0.0037596000740952
groupIV	3525000	3599999	3562500	2346	21	0.00374574674295917	-0.00724177137057421	0.00380425521715669	0.00350647617378974
groupIV	3600000	3674999	3637500	1454	5	0.00123250374599438	0.00817396004392508	0.00119154525582921	0.00116061937638651
groupIV	3675000	3749999	3712500	532	2	0.00150350957137661	-0.00469722853465737	0.00155855279459745	0.00136707115781143
groupIV	3750000	3824999	3787500	1426	12	0.00281329397966845	-0.00474601154274095	0.00264392551212995	0.00284398943304614
groupIV	3825000	3899999	3862500	2700	25	0.00343324016787084	-0.0130722243976985	0.00323173048144358	0.00338348835395062
groupIV	3900000	3974999	3937500	2625	22	0.00278451425811605	-0.0116285067101235	0.00262006425331294	0.00270167782835727
groupIV	3975000	4049999	4012500	1358	9	0.00243526462647594	0.0213768434401977	0.00214564835684963	0.00244256407748543
groupIV	4050000	4124999	4087500	2073	17	0.0028570192385556	-0.0123195571349997	0.0028771819072438	0.00274470694641552
groupIV	4125000	4199999	4162500	1203	12	0.00259056814241856	-0.0116513358087577	0.0022604178296347	0.00278462143324245
groupIV	4200000	4274999	4237500	129	0	0	NA	0	0
groupIV	4275000	4349999	4312500	287	0	0	NA	0	0
groupIV	4350000	4424999	4387500	1701	19	0.00402608800410051	-0.0171060482152173	0.0037260894171418	0.00408137470110765
groupIV	4425000	4499999	4462500	1150	7	0.00207264274167138	-0.020536653765806	0.00209563985014296	0.00195214639304075
groupIV	4500000	4574999	4537500	1749	5	0.00101670909453928	-0.0123183227709304	0.00105576202274316	0.000913784938170046
groupIV	4575000	4649999	4612500	1697	11	0.00218818545110203	0.0138549196009384	0.00217737532126632	0.00202337305919617
groupIV	4650000	4724999	4687500	2004	9	0.00151152402365493	-0.00393166084702397	0.00148730317143491	0.00142940175629112
groupIV	4725000	4799999	4762500	1242	1	0.000126524039567518	-0.0876146380553824	0.000106806007427126	0.000144927536231884
groupIV	4800000	4874999	4837500	1325	4	0.000783834148614024	-0.0193638932222532	0.000731423247146518	0.000815650477521547
groupIV	4875000	4949999	4912500	979	7	0.00194081017307129	-0.0167859821960576	0.00198432093543078	0.00185368772070275
groupIV	4950000	5024999	4987500	556	0	0	NA	0	0
groupIV	5025000	5099999	5062500	2227	8	0.00134014956421782	0.00121899620775871	0.0012126178810738	0.00137721510690042
groupIV	5100000	5174999	5137500	1201	8	0.00222863730773806	0.012777794617849	0.00218392633812629	0.0020243418550385
groupIV	5175000	5249999	5212500	1261	12	0.00275331008328183	-0.00254825750205177	0.00290811971734129	0.00246466510381059
groupIV	5250000	5324999	5287500	1332	6	0.00130030505030505	0.0186466610570647	0.00107722305638972	0.00138887061297984
groupIV	5325000	5399999	5362500	3435	19	0.00168870810941077	0.00523492330003521	0.0015872463082399	0.00163762990108414
groupIV	5400000	5474999	5437500	817	7	0.00234292342774923	0.0159442625314522	0.00224027985553893	0.00226092269798563
groupIV	5475000	5549999	5512500	1231	6	0.0012591359809069	-0.0190260460631493	0.00116120970663892	0.0012919155926744
groupIV	5550000	5624999	5587500	1508	7	0.00128044918232545	0.0161682829399663	0.0011268792441822	0.00129466828657458
groupIV	5625000	5699999	5662500	1972	9	0.0017119899028147	-0.0136134134857354	0.00163956098358241	0.00165971635088365
groupIV	5700000	5774999	5737500	853	4	0.00210907744689444	0.029772896308002	0.00186115283184832	0.00195212637796028
groupIV	5775000	5849999	5812500	278	1	0.000743405275779378	-0.0299574407549228	0.000831334932054356	0.000647482014388489
groupIV	5850000	5924999	5887500	1967	20	0.00330958729333524	-0.0217462914939573	0.003314319593234	0.00321920997335183
groupIV	5925000	5999999	5962500	1210	10	0.00242329175551641	0.000468390737539739	0.00215167304225476	0.00248845804842071
