Chr	StartPos	EndPos	MidPos	TotalSites	VariableSites	Dxy	Fst	Hexp1	Hexp2
groupI	0	74999	37500	46	0	0	NA	0	0
groupI	75000	149999	112500	540	0	0	NA	0	0
groupI	150000	224999	187500	1434	4	0.00148928535434812	0.508353118251544	0.000713280874280962	0.000711631046107631
groupI	225000	299999	262500	192	0	0	NA	0	0
groupI	300000	374999	337500	260	0	0	NA	0	0
groupI	375000	449999	412500	1784	4	0.000467115097159941	0.148275518855511	0.000451544593921276	0.00028486235675137
groupI	450000	524999	487500	859	4	0.00213013130420152	0.331109587716027	0.0018019086218543	0.000900107543009142
groupI	525000	599999	562500	782	3	0.00124701201878876	0.0367309287922267	0.00145811407267998	0.000828360329639102
groupI	600000	674999	637500	362	4	0.00334223303109607	0.367735692366856	0.00265390913149577	0.0015089683353484
groupI	675000	749999	712500	568	4	0.00371919014084507	0.633337731641732	0.00169014084507042	0.0010315801056338
groupI	750000	824999	787500	1570	22	0.00478424156839692	0.233690835599338	0.00423570039443293	0.00261054835132209
groupI	825000	899999	862500	356	1	0.00100321027287319	0.024338760146779	0.000687915615684475	0.00117977528089888
groupI	900000	974999	937500	904	11	0.00390866047669145	0.220135264023317	0.00185861210081459	0.00396074275251773
groupI	975000	1049999	1012500	1250	7	0.00489411764705882	0.982572115384615	0	0.000166089965397924
groupI	1050000	1124999	1087500	903	14	0.00452724606641375	0.145933905074287	0.00371652039686928	0.0037106068035889
groupI	1125000	1199999	1162500	1080	5	0.00158389509618762	0.103471218383334	0.00161634966328933	0.00115085406490581
groupI	1200000	1274999	1237500	732	4	0.00219179727376449	0.373248274650015	0.00181861351583023	0.000581995093119216
groupI	1275000	1349999	1312500	739	1	0.000465155615696888	0.115663940065744	0.000206735829198617	0.00058144451962111
groupI	1350000	1424999	1387500	1439	9	0.0024807657017525	0.186862192481159	0.00177087477536247	0.00192085659736313
groupI	1425000	1499999	1462500	651	8	0.00331849259742998	0.203443789946823	0.00209735410684861	0.00293250351738459
groupI	1500000	1574999	1537500	570	6	0.0025662714478504	0.0573114631217408	0.00252191492838182	0.00207017543859649
groupI	1575000	1649999	1612500	481	3	0.00147015147015147	0.0390995586686337	0.00152806652806653	0.00105541176969748
groupI	1650000	1724999	1687500	501	6	0.00496308969362862	0.0962061923201148	0.00406293931879125	0.00440431495286072
groupI	1725000	1799999	1762500	908	10	0.00469375006334063	0.128125640368252	0.00338598871082941	0.00426864517950009
groupI	1800000	1874999	1837500	534	12	0.00735295126405503	0.139565281118506	0.00725825235860661	0.00490334021706077
groupI	1875000	1949999	1912500	1139	10	0.0019050763563494	0.0371898915878559	0.00165018174266023	0.0018251177778788
groupI	1950000	2024999	1987500	1055	4	0.000812718087599605	0.156314910480873	0.000570993326240448	0.000759861980631732
groupI	2025000	2099999	2062500	1074	22	0.00792948830222377	0.207710857188052	0.00679587768423321	0.00513997281139821
groupI	2100000	2174999	2137500	756	4	0.00142234444135029	0.0674551992676335	0.00153220476060196	0.00107766979391208
groupI	2175000	2249999	2212500	1359	20	0.00486025902699688	0.104739959930435	0.00410769986995856	0.00415239173562739
groupI	2250000	2324999	2287500	264	0	0	NA	0	0
groupI	2325000	2399999	2362500	322	5	0.00581080258190233	0.253632964714198	0.00485636645962733	0.0037664682241183
groupI	2400000	2474999	2437500	1092	15	0.00508019343047028	0.226236926227418	0.00432289967314888	0.00329409574343736
groupI	2475000	2549999	2512500	629	5	0.00223900370959195	0.22354613966777	0.000508744038155803	0.00251446299240417
groupI	2550000	2624999	2587500	832	13	0.00553754242719087	0.128923246200762	0.00454003330345575	0.00446595630833024
groupI	2625000	2699999	2662500	996	12	0.00466642438083349	0.328246504598766	0.00395172369540112	0.00196686544103505
groupI	2700000	2774999	2737500	972	5	0.0012128282382912	0.0660559538382433	0.00144132845444038	0.000753207147056354
groupI	2775000	2849999	2812500	750	7	0.00331062209395543	0.187204743562065	0.00294288349290333	0.002159657177839
groupI	2850000	2924999	2887500	753	2	0.000890704935208037	0.188894740411966	0.00108350736610801	0.000213678159334979
groupI	2925000	2999999	2962500	135	0	0	NA	0	0
groupI	3000000	3074999	3037500	380	2	0.00191060985797828	-0.00145757146000773	0.00213888888888889	0.00153586346819429
groupI	3075000	3149999	3112500	171	2	0.00342201657991132	0.011198169174322	0.00413722384665367	0.00240174965449691
groupI	3150000	3224999	3187500	327	8	0.0059692070586566	0.203517594568664	0.00342505593639781	0.00563550928285574
groupI	3225000	3299999	3262500	722	6	0.00284969339678481	0.243443850582428	0.00215129145588518	0.00195256200890802
groupI	3300000	3374999	3337500	314	4	0.00404534425235062	0.169105467313977	0.00152986777656231	0.00494121469015123
groupI	3375000	3449999	3412500	746	9	0.00717860953150921	0.547400352995662	0.00228458796539063	0.00371092609846217
groupI	3450000	3524999	3487500	441	2	0.00218358948517679	0.0612528459702438	0.0022535763276504	0.0015554218664034
groupI	3525000	3599999	3562500	623	7	0.00393594700006798	0.0427128592446076	0.00428635124133643	0.00272121515711259
groupI	3600000	3674999	3637500	275	0	0	NA	0	0
groupI	3675000	3749999	3712500	783	3	0.00166280164011561	0.181525392987833	0.00136485132030015	0.00124781790564284
groupI	3750000	3824999	3787500	1353	18	0.00545766744696454	0.255700981138795	0.00417253134855654	0.00355208109886516
groupI	3825000	3899999	3862500	1217	11	0.00360859776793365	0.263687887849879	0.00410155596991564	0.00101711822037511
groupI	3900000	3974999	3937500	982	12	0.00554459532520513	0.414514843346515	0.00376992880912776	0.00255888284671609
groupI	3975000	4049999	4012500	791	2	0.00108188271905086	0.266353144867062	0.000258080925201416	0.00121488270824554
groupI	4050000	4124999	4087500	1383	6	0.00214268918472536	0.44033627106778	0.000490647180781206	0.00176665936994564
groupI	4125000	4199999	4162500	853	6	0.0031551005455104	0.386072399229241	0.00262070481261985	0.000964273768312976
groupI	4200000	4274999	4237500	230	0	0	NA	0	0
groupI	4275000	4349999	4312500	1251	13	0.00439600337460201	0.336666431808495	0.0034091570050629	0.00213159798060974
groupI	4350000	4424999	4387500	276	0	0	NA	0	0
groupI	4425000	4499999	4462500	1286	11	0.00461707162718049	0.463812762279751	0.00232497520637193	0.00232700810772792
groupI	4500000	4574999	4537500	504	8	0.00739763199681377	0.328146972573215	0.00432604793343212	0.00527274245222963
groupI	4575000	4649999	4612500	564	0	0	NA	0	0
groupI	4650000	4724999	4687500	313	2	0.00318728130229727	0.291739698102858	0.00153354632587859	0.00250632095223606
groupI	4725000	4799999	4762500	1489	9	0.00181963875767455	0.431117614727391	0.00190742303024793	0.000175705038567104
groupI	4800000	4874999	4837500	347	2	0.00238464705323495	0.147000853247551	0.002438142659823	0.00141151561489149
groupI	4875000	4949999	4912500	871	5	0.00240341684084508	0.591855494204215	0.00109650288443821	0.000821303133852812
groupI	4950000	5024999	4987500	155	0	0	NA	0	0
groupI	5025000	5099999	5062500	1165	8	0.00244093065281229	0.331870950287187	0.00210128042038686	0.000997787017167382
groupI	5100000	5174999	5137500	346	1	0.00249605885444036	0.829646017699115	0	0.00068074332393828
groupI	5175000	5249999	5212500	174	1	0.00331564986737401	0.486389422885464	0.00280554988777801	0
groupI	5250000	5324999	5287500	242	3	0.00998622589531681	0.854979526745308	0	0.00387396694214876
groupI	5325000	5399999	5362500	232	0	0	NA	0	0
groupI	5400000	5474999	5437500	290	1	0.00204081632653061	0.235632183908046	0.00140745953553835	0.00140745953553835
groupI	5475000	5549999	5512500	857	4	0.00189614935822637	0.476059334228106	0.00186551925320887	0
groupI	5550000	5624999	5587500	316	0	0	NA	0	0
groupI	5625000	5699999	5662500	1059	5	0.00148950042717748	0.418757446102864	0.00163922666957875	8.97072710103872e-05
groupI	5700000	5774999	5737500	2042	8	0.00182852026632634	0.658647426813743	0.00105773951587622	0.000183643486777669
groupI	5775000	5849999	5812500	1238	3	0.00123656235664852	0.514357016881458	0.000846397016294701	0.000324099004766749
groupI	5850000	5924999	5887500	1127	1	0.000110913930789707	0.104285418943265	0.000194099378881988	0
groupI	5925000	5999999	5962500	1458	9	0.00403645375353194	0.658460033664564	0.00227783395398331	0.000458261409313958
groupI	6000000	6074999	6037500	1433	5	0.0019693118000864	0.584381006493197	0.00104576606171661	0.000439612894471583
groupI	6075000	6149999	6112500	1329	4	0.00241252821670429	0.905661062641009	0.000127856941309255	0.000316027088036117
groupI	6150000	6224999	6187500	836	5	0.00192652673654644	0.404628551714863	0.00175344983455224	0.0003558859583218
groupI	6225000	6299999	6262500	766	6	0.00628082390484479	0.892498230390593	0.00129935854043774	0
groupI	6300000	6374999	6337500	382	4	0.00515528319847692	0.698808771778193	0.00283300565747912	0
groupI	6375000	6449999	6412500	691	4	0.00344667534162724	0.740841323286331	0.000861291083595913	0.000806213351093396
groupI	6450000	6524999	6487500	650	0	0	NA	0	0
groupI	6525000	6599999	6562500	342	3	0.00792551554324408	0.897415747423123	0.00120279924187199	0
groupI	6600000	6674999	6637500	229	2	0.00400291120815138	0.337862746896302	0.00430616205725376	0
groupI	6675000	6749999	6712500	945	11	0.0104854933426362	0.904583436979325	0.00157280036086944	0
groupI	6750000	6824999	6787500	603	2	0.00107925978572745	0.382343048323916	0.00138553056502989	0
groupI	6825000	6899999	6862500	1396	10	0.00332234170727832	0.5187818705484	0.00282468912685033	0.000128939828080229
groupI	6900000	6974999	6937500	267	3	0.00301158639420023	0.206184288642282	0.00440770725318088	0
groupI	6975000	7049999	7012500	1304	13	0.00580881339604499	0.70611764621123	0.00196156192275359	0.00131971654124562
groupI	7050000	7124999	7087500	630	7	0.00722703222703223	0.774586744083335	0	0.00330560292681505
groupI	7125000	7199999	7162500	449	2	0.00267260579064588	0.729057342902664	0	0.00178173719376392
groupI	7200000	7274999	7237500	422	9	0.00870541057152432	0.608312109529631	0	0.00663410400650032
groupI	7275000	7349999	7312500	803	2	0.00112672715412441	0.582163866353954	0.000287809602878096	0.000609957557119983
groupI	7350000	7424999	7387500	37	0	0	NA	0	0
groupI	7425000	7499999	7462500	2002	10	0.00299393633926748	0.763809635396416	0.00068410449837751	0.00063133727042059
groupI	7500000	7574999	7537500	1429	23	0.0101970694098492	0.687261781696569	0.00354871723413923	0.00253697370199472
groupI	7575000	7649999	7612500	992	6	0.00371023745519713	0.675577945725065	0.00180828573028674	0.000348466746316209
groupI	7650000	7724999	7687500	697	6	0.00517524082803853	0.833585161516006	0.00185562029689925	0
groupI	7725000	7799999	7762500	363	1	0.00259277264624858	0.911548075444287	0.000305032076029245	0
groupI	7800000	7874999	7837500	1543	13	0.00697049184597315	0.857615814984625	0.00132224395110383	0.000484917989662921
groupI	7875000	7949999	7912500	560	8	0.0121970942982456	0.859196553333549	0.00227943913202689	0.00103001168768437
groupI	7950000	8024999	7987500	1636	9	0.00410900224469907	0.883263419384174	0.000715916668350543	0.000259111941821042
groupI	8025000	8099999	8062500	868	9	0.00515321036143966	0.739577287180832	0.00208534673100033	0.000457020984880222
groupI	8100000	8174999	8137500	936	6	0.00549103674103674	0.925218066939167	0.000776978252627604	0
groupI	8175000	8249999	8212500	650	3	0.00461538461538462	1	0	0
groupI	8250000	8324999	8287500	180	1	0.00146198830409357	0.147510288963541	0.00215450907971683	0
groupI	8325000	8399999	8362500	650	1	0.0011965811965812	0.779998195967166	0	0.000531813865147198
groupI	8400000	8474999	8437500	1502	17	0.00712670704838011	0.67476382075027	0.00154140312694411	0.00296951106591092
groupI	8475000	8549999	8512500	272	0	0	NA	0	0
groupI	8550000	8624999	8587500	947	7	0.00478682497286137	0.861904038812196	0.000708828316717083	0.00051859673823771
groupI	8625000	8699999	8662500	61	0	0	NA	0	0
groupI	8700000	8774999	8737500	281	2	0.0046054008792129	0.794762336658429	0.00147766873129826	0
groupI	8775000	8849999	8812500	75	0	0	NA	0	0
